logfeh_mean,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
2.1456e-01,-1.9660e+00,-1.9839e+00,-2.9162e-01,7.6440e-01,2.1103e+00,2.9581e+00,2.4351e+01,-9.6260e+02
3.2878e-01,-1.3718e+00,-2.8658e+00,5.0846e-02,-5.6771e-01,2.6273e+00,2.5623e+00,2.4171e+01,-1.3641e+03
-1.3536e-01,-1.2074e+00,-3.0545e+00,2.3095e-01,1.7034e-01,1.1234e+00,3.1526e+00,2.4756e+01,-1.5061e+03
9.5657e-02,-1.5929e+00,-1.1811e+00,-1.7338e-01,1.0300e+00,1.5575e+00,3.0697e+00,2.4528e+01,-1.5408e+03
4.4156e-01,-1.8072e+00,-1.4679e+00,-3.5741e-01,9.6242e-01,2.5335e+00,2.6753e+00,2.4155e+01,-1.3944e+03
2.2614e-01,-1.2230e+00,-1.3013e+00,-6.3306e-01,8.3212e-01,2.5706e+00,2.5664e+00,2.4137e+01,-1.5248e+03
-7.7215e-02,-1.2999e+00,-1.9910e+00,5.6547e-03,1.4142e-01,2.5893e-01,3.0978e+00,2.4578e+01,-1.4594e+03
3.1317e-02,-1.3766e+00,-3.0866e+00,8.5648e-02,6.6548e-01,1.9828e+00,3.0109e+00,2.4481e+01,-1.5044e+03
3.0073e-01,-1.4107e+00,-8.8239e-01,-5.3191e-01,-2.6287e-01,2.5941e+00,2.6310e+00,2.4208e+01,-1.4894e+03
3.7037e-01,-1.9132e+00,-1.5419e+00,-5.3193e-01,-2.9542e-01,2.4512e+00,2.7458e+00,2.4133e+01,-1.5406e+03
2.5888e-01,-1.9528e+00,-2.8785e+00,-5.8195e-01,8.8471e-01,1.9802e+00,2.8750e+00,2.4072e+01,-1.5068e+03
2.9247e-01,-1.9439e+00,-2.3762e+00,-5.3771e-01,-9.8434e-01,2.3882e+00,2.7848e+00,2.4177e+01,-1.5102e+03
1.5653e-01,-1.6160e+00,-2.5219e+00,-2.2271e-01,-5.8878e-02,2.1574e+00,2.9253e+00,2.4299e+01,-1.2247e+03
1.8895e-01,-1.6092e+00,-2.8874e+00,-1.2677e-01,-2.5190e-01,2.2480e+00,2.8912e+00,2.4265e+01,-1.2683e+03
1.6846e-01,-1.7146e+00,-1.1728e+00,-5.8405e-01,1.0305e+00,1.9053e+00,2.9518e+00,2.4279e+01,-1.0974e+03
4.9131e-02,-1.6644e+00,-3.0152e+00,-2.8337e-01,-9.6192e-01,1.3645e+00,3.0543e+00,2.4457e+01,-1.4811e+03
2.1293e-03,-1.4719e+00,-2.7848e+00,-5.4127e-02,-1.2212e+00,1.7320e+00,3.1115e+00,2.4666e+01,-1.5477e+03
3.7051e-01,-1.7176e+00,-2.2620e+00,-1.1729e-01,4.2689e-01,2.4372e+00,2.7143e+00,2.4073e+01,-1.3911e+03
3.4423e-01,-1.3732e+00,-2.3580e+00,-1.1471e+00,1.0161e+00,2.6019e+00,2.5408e+00,2.4131e+01,-1.3369e+03
3.0864e-01,-1.3981e+00,-1.5007e+00,-2.2000e-01,-2.0415e-02,2.5984e+00,2.6284e+00,2.4203e+01,-1.3523e+03
2.1785e-01,-1.3486e+00,-8.9626e-01,-7.1415e-01,-1.1914e+00,2.5415e+00,2.7387e+00,2.4281e+01,-1.5420e+03
2.2246e-01,-1.5013e+00,-1.2167e+00,-1.0017e+00,-3.6315e-01,2.4495e+00,2.7739e+00,2.4235e+01,-1.3649e+03
1.4499e-01,-1.9521e+00,-1.0149e+00,-7.1023e-01,7.3151e-01,1.3553e+00,2.9806e+00,2.4245e+01,-1.4974e+03
4.2037e-02,-1.4634e+00,-2.9229e+00,-4.5355e-01,9.7099e-01,1.5332e+00,3.0388e+00,2.4451e+01,-1.3206e+03
1.6941e-01,-1.8843e+00,-1.8815e+00,6.5937e-02,-4.4663e-01,1.9716e+00,3.0071e+00,2.4391e+01,-1.5302e+03
3.6526e-01,-1.7557e+00,-9.0610e-01,-6.3418e-01,1.0316e+00,2.4364e+00,2.7877e+00,2.4224e+01,-1.5123e+03
2.0289e-01,-1.9209e+00,-1.9632e+00,-3.9425e-01,-6.4345e-01,2.2453e+00,2.9281e+00,2.4355e+01,-1.3609e+03
7.4643e-02,-1.9457e+00,-1.5603e+00,-7.7007e-02,-1.2231e+00,8.7300e-01,3.0956e+00,2.4554e+01,-1.4814e+03
-7.2528e-02,-1.3211e+00,-2.4981e+00,-9.0835e-02,5.0366e-01,9.2680e-01,3.1112e+00,2.4639e+01,-1.3750e+03
4.4144e-02,-1.5799e+00,-2.5400e+00,-7.1567e-02,7.1610e-01,7.4718e-01,3.0665e+00,2.4495e+01,-1.5212e+03
2.1748e-01,-1.9760e+00,-9.6334e-01,-1.2749e-01,8.3167e-01,1.8640e+00,2.9711e+00,2.4278e+01,-1.4645e+03
2.6473e-01,-1.6555e+00,-3.1300e+00,8.8805e-02,-1.2714e+00,2.3488e+00,2.8258e+00,2.4202e+01,-1.3900e+03
