nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,logzh,logdust,logNpix,tau
2.0000e+03,1.6900e+02,9.8000e+02,1.6505e+01,-5.2194e+05,-5.2195e+05,-3.3664e+00,-5.2195e+05,3.9732e-01,7.9716e+00,2.6286e+05,-9.9716e-01,-1.3197e+00,1.4975e+00,6.1061e+00
2.0000e+03,1.7000e+02,9.9300e+02,1.6395e+01,-5.2096e+05,-5.2097e+05,-3.3862e+00,-5.2097e+05,3.9781e-01,7.9914e+00,2.6190e+05,-5.2529e-01,-1.4665e+00,1.7100e+00,5.5213e+00
2.0000e+03,1.7100e+02,1.0050e+03,1.6303e+01,-5.1078e+05,-5.1079e+05,-3.4061e+00,-5.1079e+05,3.9830e-01,8.0112e+00,2.6092e+05,-3.2956e-01,-1.7044e+00,1.5933e+00,6.8008e+00
2.0000e+03,1.7200e+02,1.0200e+03,1.6168e+01,-5.0812e+05,-5.0813e+05,-3.4259e+00,-5.0813e+05,3.9879e-01,8.0310e+00,2.5074e+05,-8.8520e-01,-1.4032e+00,1.8185e+00,4.5708e+00
2.0000e+03,1.7300e+02,1.0230e+03,1.6216e+01,-5.0766e+05,-5.0767e+05,-3.4457e+00,-5.0767e+05,3.9928e-01,8.0508e+00,2.4808e+05,-3.2832e-01,-1.5140e+00,1.9585e+00,5.9285e+00
2.0000e+03,1.7400e+02,1.0350e+03,1.6129e+01,-5.0296e+05,-5.0297e+05,-3.4655e+00,-5.0297e+05,3.9977e-01,8.0706e+00,2.4762e+05,-1.2125e+00,-1.5130e+00,1.3593e+00,6.7541e+00
2.0000e+03,1.7500e+02,1.0370e+03,1.6191e+01,-5.0036e+05,-5.0037e+05,-3.4853e+00,-5.0037e+05,4.0026e-01,8.0904e+00,2.4292e+05,-1.2521e+00,-1.7612e+00,1.9770e+00,4.5238e+00
2.0000e+03,1.7600e+02,1.0400e+03,1.6239e+01,-4.9807e+05,-4.9808e+05,-3.5051e+00,-4.9808e+05,4.0075e-01,8.1102e+00,2.4032e+05,-1.3061e+00,-1.2688e+00,1.4816e+00,5.7132e+00
2.0000e+03,1.7700e+02,1.0420e+03,1.6300e+01,-4.8771e+05,-4.8772e+05,-3.5249e+00,-4.8772e+05,4.0124e-01,8.1300e+00,2.3803e+05,-7.8137e-01,-1.8240e+00,1.9591e+00,6.2863e+00
2.0000e+03,1.7800e+02,1.0460e+03,1.6332e+01,-4.8725e+05,-4.8725e+05,-3.5447e+00,-4.8725e+05,4.0173e-01,8.1498e+00,2.2767e+05,-1.2477e+00,-1.5807e+00,1.6393e+00,4.1387e+00
2.0000e+03,1.7900e+02,1.0500e+03,1.6364e+01,-4.8154e+05,-4.8155e+05,-3.5645e+00,-4.8155e+05,4.0222e-01,8.1696e+00,2.2721e+05,-1.0584e+00,-9.9860e-01,1.7949e+00,6.0885e+00
2.0000e+03,1.8000e+02,1.0610e+03,1.6292e+01,-4.7958e+05,-4.7959e+05,-3.5843e+00,-4.7959e+05,4.0271e-01,8.1895e+00,2.2150e+05,-1.1213e-01,-1.6429e+00,1.6997e+00,6.8539e+00
2.0000e+03,1.8100e+02,1.0810e+03,1.6092e+01,-4.7942e+05,-4.7943e+05,-3.6041e+00,-4.7943e+05,4.0319e-01,8.2092e+00,2.1954e+05,-7.1945e-01,-1.2157e+00,1.8041e+00,5.7735e+00
2.0000e+03,1.8200e+02,1.0820e+03,1.6166e+01,-4.7729e+05,-4.7730e+05,-3.6239e+00,-4.7730e+05,4.0368e-01,8.2291e+00,2.1938e+05,-1.0517e+00,-1.7227e+00,1.9505e+00,6.8427e+00
