logfeh_mean,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
4.3584e-01,-1.9249e+00,-2.2002e+00,-2.7320e-01,8.6359e-01,2.1308e+00,1.9970e+00,-2.5493e+03
2.6331e-01,-1.7390e+00,-1.4590e+00,-4.0582e-01,8.3296e-01,1.9260e+00,2.2251e+00,-2.5712e+03
2.8119e-01,-1.6373e+00,-2.3915e+00,-7.7922e-02,3.6320e-01,2.0629e+00,2.1340e+00,-2.5213e+03
2.8490e-01,-1.8482e+00,-1.1431e+00,-2.1578e-01,-5.0558e-01,2.0558e+00,2.1512e+00,-2.5519e+03
2.8703e-01,-1.5389e+00,-1.1028e+00,-1.3648e-01,7.0405e-01,2.0459e+00,2.1378e+00,-2.5501e+03
3.4017e-01,-1.8532e+00,-2.1714e+00,-1.7309e-01,7.7899e-01,2.0603e+00,2.1010e+00,-2.5150e+03
2.8094e-01,-1.7217e+00,-1.4082e+00,-1.4634e-01,1.2234e-01,2.0604e+00,2.1452e+00,-2.5515e+03
3.4541e-01,-1.5626e+00,-2.4884e+00,2.3545e-02,5.3659e-01,2.1477e+00,1.9992e+00,-2.5382e+03
2.5819e-01,-1.8502e+00,-9.3109e-01,-6.5585e-01,7.2481e-01,1.9180e+00,2.2450e+00,-2.5620e+03
2.2083e-01,-1.4764e+00,-2.3490e+00,-1.1970e-01,5.6162e-01,2.0206e+00,2.1516e+00,-2.5435e+03
3.0258e-01,-1.8540e+00,-1.8884e+00,-5.4891e-02,-5.0719e-01,2.0611e+00,2.1492e+00,-2.5610e+03
2.5765e-01,-1.6806e+00,-2.9906e+00,-7.9344e-02,8.9945e-01,1.8238e+00,2.2822e+00,-2.5476e+03
4.1091e-01,-1.9540e+00,-2.1546e+00,-1.9320e-01,8.1888e-01,2.0825e+00,2.1002e+00,-2.5146e+03
3.0687e-01,-1.5186e+00,-1.6731e+00,-1.1314e-01,4.7349e-01,2.1317e+00,2.0395e+00,-2.4877e+03
2.8140e-01,-1.6170e+00,-2.3681e+00,-1.3690e-01,-1.8041e-01,2.1044e+00,2.0873e+00,-2.5582e+03
2.7353e-01,-1.8924e+00,-1.9078e+00,-1.7851e-01,8.7014e-02,2.0038e+00,2.2033e+00,-2.5619e+03
