logfeh_mean,logdust_med,logNpix,tau,dmod,logl
-1.1167e-01,-8.1821e-01,6.0402e+00,2.6136e+00,3.5086e+01,-9.8848e+00
-3.6988e-01,-6.0932e-01,5.8477e+00,1.1465e+00,3.4610e+01,-9.9852e+00
-4.3933e-02,-8.4817e-01,5.8026e+00,2.8499e+00,3.4475e+01,-9.9436e+00
-1.5359e-01,-9.8772e-01,5.6524e+00,7.9756e-01,3.4097e+01,-9.8712e+00
-4.1772e-01,-4.6768e-02,6.1051e+00,2.3267e+00,3.5011e+01,-9.9195e+00
-4.7617e-01,-4.3728e-01,5.9518e+00,1.3739e+00,3.4849e+01,-9.9782e+00
2.0404e-02,-9.0824e-01,5.9147e+00,2.9740e+00,3.4739e+01,-9.7022e+00
-3.5712e-01,-6.0906e-01,5.7637e+00,1.5783e+00,3.4403e+01,-9.9388e+00
-3.2844e-01,-5.6729e-01,5.7453e+00,2.2880e+00,3.4365e+01,-9.9653e+00
-8.7175e-02,-8.6014e-01,5.8476e+00,2.6149e+00,3.4599e+01,-9.9589e+00
-1.2444e-01,-9.7315e-01,5.7039e+00,1.9537e+00,3.4235e+01,-9.8797e+00
-2.2930e-01,-8.0956e-01,5.6662e+00,1.5126e+00,3.4151e+01,-9.9610e+00
-2.9483e-01,-7.3078e-03,6.0710e+00,2.9042e+00,3.4893e+01,-9.9484e+00
-1.8530e-01,-9.3214e-01,5.8361e+00,8.6559e-01,3.4565e+01,-9.9810e+00
-1.1423e-01,-8.7719e-01,5.6864e+00,2.3880e+00,3.4197e+01,-9.9357e+00
-3.4696e-01,-5.4053e-01,5.8041e+00,2.2947e+00,3.4511e+01,-9.8289e+00
-1.1281e-01,-7.6955e-01,6.0221e+00,2.7830e+00,3.5046e+01,-9.9870e+00
-1.4458e-01,-9.9028e-01,5.7469e+00,1.5218e+00,3.4340e+01,-9.9515e+00
-3.3819e-01,-5.3914e-03,5.9861e+00,2.5964e+00,3.4672e+01,-9.9783e+00
-1.9686e-02,-9.0466e-01,5.9071e+00,2.8010e+00,3.4728e+01,-9.8542e+00
-2.5767e-01,-7.7300e-01,5.7956e+00,1.4577e+00,3.4479e+01,-9.8685e+00
-3.2227e-01,-4.8389e-01,6.0883e+00,2.7195e+00,3.5222e+01,-9.9026e+00
-1.3528e-01,-8.1355e-01,5.8455e+00,2.5109e+00,3.4602e+01,-9.9359e+00
-2.3236e-01,-6.8676e-01,5.7748e+00,2.4218e+00,3.4440e+01,-9.9891e+00
-7.3449e-02,-9.6483e-01,5.6574e+00,2.3484e+00,3.4113e+01,-9.9785e+00
-3.7963e-01,-4.2504e-01,5.9295e+00,2.6101e+00,3.4811e+01,-9.8740e+00
-2.1061e-01,-7.5101e-01,5.8915e+00,2.2745e+00,3.4728e+01,-9.8249e+00
-3.3059e-01,-4.2643e-03,6.2015e+00,2.6559e+00,3.5214e+01,-9.9385e+00
-3.6345e-01,-6.2253e-01,5.8793e+00,9.1243e-01,3.4691e+01,-9.9859e+00
