logfeh_mean,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
1.5737e-01,-1.5815e+00,-2.0005e+00,2.1510e-02,-5.4040e-01,2.2289e+00,2.9635e+00,-1.1321e+03
8.9900e-02,-1.7265e+00,-2.6898e+00,-1.8039e-01,8.8172e-01,1.1591e+00,3.0435e+00,-1.1051e+03
9.4020e-02,-1.1490e+00,-2.3319e+00,2.0850e-01,7.9625e-01,2.5047e+00,2.8319e+00,-1.1507e+03
1.3129e-01,-1.5151e+00,-2.7158e+00,-4.5858e-01,9.5442e-01,2.1846e+00,2.9565e+00,-1.0056e+03
1.1794e-01,-1.8927e+00,-2.0267e+00,-2.9906e-01,7.1848e-01,1.4833e+00,3.0383e+00,-1.1170e+03
1.6109e-01,-1.9118e+00,-1.2783e+00,-2.6156e-01,6.5223e-01,1.9840e+00,3.0029e+00,-1.0943e+03
6.4595e-02,-1.5635e+00,-2.5229e+00,-2.7822e-01,1.0079e+00,7.8929e-01,3.0430e+00,-1.1455e+03
1.0778e-01,-1.7567e+00,-2.0331e+00,-7.1051e-02,9.1895e-01,1.1516e+00,3.0447e+00,-1.0480e+03
1.7789e-01,-1.6122e+00,-2.3577e+00,-7.0948e-03,9.9186e-01,2.1312e+00,2.9756e+00,-1.0467e+03
8.5809e-02,-1.4424e+00,-2.9515e+00,-8.5781e-02,9.8241e-01,1.8806e+00,3.0081e+00,-1.0854e+03
9.6709e-02,-1.5123e+00,-2.8228e+00,-2.5797e-01,8.7333e-01,1.9646e+00,2.9957e+00,-1.1455e+03
1.2913e-01,-1.8227e+00,-1.9501e+00,-4.2253e-02,1.0094e+00,9.7600e-01,3.0470e+00,-1.1158e+03
1.4629e-01,-1.8925e+00,-1.7649e+00,-4.9269e-02,1.0636e+00,6.8751e-01,3.0555e+00,-1.1372e+03
8.5196e-02,-1.7375e+00,-1.3712e+00,-4.9886e-01,9.9293e-01,3.9625e-01,3.0432e+00,-1.1492e+03
1.2018e-01,-1.5650e+00,-2.3288e+00,-3.7543e-01,8.1027e-01,2.0605e+00,2.9856e+00,-1.0572e+03
1.4684e-01,-1.6369e+00,-2.5754e+00,-2.2798e-01,1.0115e+00,1.9361e+00,3.0084e+00,-1.0028e+03
1.0732e-01,-1.4434e+00,-2.0541e+00,2.8674e-02,8.5350e-01,2.1059e+00,2.9765e+00,-1.0410e+03
1.2366e-01,-1.7783e+00,-1.4854e+00,-1.6543e-01,7.9292e-01,1.6757e+00,3.0299e+00,-1.0794e+03
1.2164e-01,-1.8222e+00,-2.7143e+00,-1.5622e-01,1.0119e+00,4.4656e-01,3.0541e+00,-1.0529e+03
1.1985e-01,-1.8180e+00,-1.6035e+00,-1.4177e-01,9.2400e-01,1.1638e+00,3.0456e+00,-1.0358e+03
9.5544e-02,-1.4899e+00,-3.0027e+00,9.6769e-02,1.0461e+00,1.7027e+00,3.0232e+00,-1.1344e+03
1.2877e-01,-1.9859e+00,-1.8867e+00,-5.7481e-01,1.0602e+00,9.2507e-01,3.0421e+00,-9.2635e+02
1.3312e-01,-1.5369e+00,-1.8360e+00,-4.8951e-01,1.0142e+00,2.0770e+00,2.9852e+00,-1.0671e+03
1.2140e-01,-1.9983e+00,-2.8225e+00,-2.0461e-01,7.8235e-01,1.0433e+00,3.0504e+00,-1.0930e+03
1.1958e-01,-1.8798e+00,-2.2786e+00,-2.3951e-01,8.4086e-01,1.3050e+00,3.0426e+00,-1.0210e+03
1.1805e-01,-1.7446e+00,-2.9747e+00,-1.7253e-01,1.0176e+00,1.5056e+00,3.0290e+00,-1.0874e+03
1.5266e-01,-1.5808e+00,-1.7066e+00,-9.6621e-02,7.8009e-01,2.2055e+00,2.9565e+00,-1.0538e+03
9.5755e-02,-1.4570e+00,-2.3853e+00,-1.1903e-01,9.0025e-01,1.9487e+00,3.0056e+00,-1.1316e+03
1.5461e-01,-1.4658e+00,-2.6310e+00,-1.0818e-01,1.7121e-01,2.3557e+00,2.9184e+00,-1.0699e+03
1.2678e-01,-1.5289e+00,-1.8748e+00,-6.8630e-02,8.2813e-01,2.1376e+00,2.9684e+00,-1.0818e+03
1.4410e-01,-1.6232e+00,-2.6054e+00,2.3550e-02,3.3282e-01,2.1220e+00,2.9849e+00,-1.0402e+03
2.0352e-01,-1.7924e+00,-2.9722e+00,7.8147e-03,1.2366e-01,2.2741e+00,2.9497e+00,-1.1167e+03
9.9493e-02,-1.7288e+00,-2.8928e+00,-1.4814e-01,8.7866e-01,1.3722e+00,3.0353e+00,-1.0699e+03
9.9746e-02,-1.2243e+00,-2.3787e+00,-4.1711e-02,-3.2547e-01,2.5070e+00,2.8355e+00,-1.1194e+03
1.0911e-01,-1.6297e+00,-2.4315e+00,-1.1848e-01,9.0671e-01,1.7624e+00,3.0175e+00,-1.1269e+03
1.1976e-01,-1.8845e+00,-2.0866e+00,-2.0008e-01,8.8748e-01,7.2369e-01,3.0499e+00,-1.1454e+03
7.3707e-02,-1.1886e+00,-2.2577e+00,1.0077e-02,5.3535e-01,2.4444e+00,2.8682e+00,-1.1494e+03
1.3139e-01,-1.6968e+00,-1.9534e+00,-1.0907e-02,-1.1223e+00,2.0094e+00,3.0049e+00,-1.1048e+03
1.1440e-01,-1.4377e+00,-3.1880e+00,1.6178e-01,9.7832e-01,1.9984e+00,2.9956e+00,-1.1496e+03
1.1545e-01,-1.9599e+00,-1.3864e+00,-3.1338e-01,9.1474e-01,5.4132e-01,3.0467e+00,-1.0392e+03
1.2741e-01,-1.8901e+00,-2.9116e+00,-3.6477e-01,1.0286e+00,1.1655e+00,3.0451e+00,-1.0998e+03
1.9299e-01,-1.6963e+00,-1.6788e+00,8.9980e-02,1.0070e+00,2.0519e+00,2.9924e+00,-1.1492e+03
1.0637e-01,-1.9003e+00,-2.1000e+00,-2.9776e-01,8.1924e-01,5.1712e-01,3.0493e+00,-1.1502e+03
1.1576e-01,-1.2600e+00,-1.8540e+00,-1.5524e-02,9.4625e-01,2.3930e+00,2.8946e+00,-1.0523e+03
1.3011e-01,-1.5862e+00,-2.5908e+00,-1.7450e-01,6.5797e-01,2.1294e+00,2.9743e+00,-1.0645e+03
1.3171e-01,-1.7868e+00,-2.0468e+00,-2.8940e-01,7.5816e-01,1.7929e+00,3.0224e+00,-1.0630e+03
1.3969e-01,-1.4259e+00,-2.3772e+00,-2.0573e-01,1.0412e+00,2.2832e+00,2.9280e+00,-1.0372e+03
1.8869e-01,-1.4593e+00,-3.1615e+00,1.9992e-02,8.5426e-01,2.3710e+00,2.9107e+00,-1.0638e+03
