logfeh_mean,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
-3.3127e-01,-9.3254e-01,-1.3642e+00,-2.5083e-02,-2.9828e-01,1.3074e+00,1.7611e+00,-6.3509e+04
-3.3907e-01,-3.8585e-01,-2.1557e+00,-4.0195e-01,7.9309e-01,1.7983e+00,1.5366e+00,-7.7710e+04
-4.5575e-01,-9.4803e-01,-1.7343e+00,-9.2379e-01,8.7557e-01,3.2573e-01,1.5903e+00,-7.8113e+04
1.7086e-01,-5.7259e-01,-2.7049e+00,-1.0825e+00,-8.3706e-01,8.9422e-01,1.7366e+00,-1.1623e+05
-4.7614e-01,-3.7381e-02,-1.7270e+00,-1.3182e+00,6.2647e-01,5.5690e-01,1.2129e+00,-1.1972e+05
-1.7744e-01,-3.1820e-01,-7.8847e-01,-2.7903e-01,2.4289e-01,1.4161e+00,1.1949e+00,-8.3279e+04
-2.9551e-01,-7.6435e-02,-2.6341e+00,-1.4516e+00,5.8121e-01,1.9248e+00,1.4817e+00,-5.2745e+04
1.8171e-01,-3.0504e-01,-1.1363e+00,-6.9995e-01,-2.7896e-02,1.5775e+00,1.8461e+00,-2.1771e+04
-4.0473e-01,-6.5425e-01,-1.9330e+00,-1.0108e+00,2.0075e-01,1.6004e+00,1.8644e+00,-8.2275e+04
-6.0141e-02,-5.0713e-01,-1.7916e+00,-1.2003e+00,8.6292e-02,1.6157e+00,1.4767e+00,-1.1215e+04
-4.6504e-01,-3.6090e-01,-1.4864e+00,2.6471e-01,-3.5232e-01,1.4993e+00,1.3124e+00,-6.8189e+04
-4.9085e-01,-5.4300e-01,-9.0281e-01,-4.1738e-02,-1.7707e-01,1.9137e+00,1.3875e+00,-1.2030e+05
-4.0143e-01,-1.0145e-01,-1.7166e+00,-1.5892e+00,2.2093e-01,1.3480e+00,1.2638e+00,-1.0363e+05
-1.8750e-02,-7.0666e-01,-1.1083e+00,-1.6736e-01,2.9523e-01,1.0249e+00,1.1733e+00,-1.1148e+05
7.6437e-02,-7.3877e-01,-8.8940e-01,1.4350e-01,3.6636e-01,1.9301e+00,1.4100e+00,-9.1459e+04
-1.2877e-01,-1.9012e-01,-8.5718e-01,-4.5882e-01,6.9797e-01,1.4929e+00,1.0214e+00,-6.9646e+04
1.2519e-01,-6.3005e-01,-8.9320e-01,-7.6768e-01,-8.7307e-01,2.0375e+00,9.6959e-01,-6.8016e+04
-3.4548e-01,-3.0334e-01,-1.3396e+00,-1.0852e+00,-1.4381e-01,2.0642e+00,1.5699e+00,-1.1989e+05
