logfeh_mean,logdust_med,logNpix,tau,logl
-4.8550e-01,-1.2940e-01,2.7112e+00,3.6982e+00,-3.5245e+03
-4.9158e-01,-1.4091e-01,2.7105e+00,3.6167e+00,-3.5317e+03
-4.9136e-01,-1.2067e-01,2.7118e+00,3.6285e+00,-3.5211e+03
-4.9310e-01,-1.2605e-01,2.7125e+00,3.5998e+00,-3.5064e+03
-4.9178e-01,-1.1935e-01,2.7137e+00,3.6552e+00,-3.5091e+03
-4.8728e-01,-1.4655e-01,2.7053e+00,3.6252e+00,-3.5177e+03
-4.9901e-01,-5.1276e-02,2.7422e+00,3.2997e+00,-3.5271e+03
-4.8609e-01,-1.3629e-01,2.7130e+00,3.5655e+00,-3.5275e+03
-4.8623e-01,-1.6439e-01,2.7042e+00,3.6142e+00,-3.5218e+03
-4.8735e-01,-1.4029e-01,2.7118e+00,3.5482e+00,-3.5121e+03
-4.9262e-01,-1.1561e-01,2.7151e+00,3.6416e+00,-3.5151e+03
-4.9050e-01,-1.2858e-01,2.7117e+00,3.6261e+00,-3.4827e+03
-4.9231e-01,-1.1138e-01,2.7157e+00,3.6332e+00,-3.5096e+03
-4.9260e-01,-1.2605e-01,2.7132e+00,3.6492e+00,-3.5317e+03
-4.9899e-01,-5.6561e-02,2.7422e+00,3.2815e+00,-3.5284e+03
-4.8600e-01,-1.4550e-01,2.7031e+00,3.6311e+00,-3.5223e+03
-4.8678e-01,-1.7232e-01,2.7034e+00,3.6252e+00,-3.5284e+03
-4.8662e-01,-1.2587e-01,2.7149e+00,3.5724e+00,-3.5282e+03
-4.8685e-01,-1.5642e-01,2.6983e+00,3.7114e+00,-3.5318e+03
-4.8975e-01,-1.1657e-01,2.7128e+00,3.6547e+00,-3.5207e+03
-4.8490e-01,-1.2225e-01,2.7117e+00,3.6702e+00,-3.5213e+03
-4.9224e-01,-1.1264e-01,2.7154e+00,3.6563e+00,-3.5276e+03
-4.8698e-01,-1.3438e-01,2.7126e+00,3.5429e+00,-3.5229e+03
-4.9049e-01,-1.2523e-01,2.7117e+00,3.6131e+00,-3.5193e+03
-4.9735e-01,-1.3443e-01,2.7108e+00,3.5792e+00,-3.5157e+03
-4.9155e-01,-1.3765e-01,2.7113e+00,3.6196e+00,-3.5286e+03
-4.8511e-01,-1.2885e-01,2.7129e+00,3.6635e+00,-3.5259e+03
-4.8585e-01,-1.4219e-01,2.7121e+00,3.5597e+00,-3.5210e+03
-4.8634e-01,-1.3413e-01,2.7101e+00,3.5586e+00,-3.5297e+03
-4.8477e-01,-1.3449e-01,2.7099e+00,3.5803e+00,-3.5225e+03
-4.9929e-01,-6.1654e-02,2.7405e+00,3.2768e+00,-3.5087e+03
-4.9264e-01,-1.2431e-01,2.7147e+00,3.6315e+00,-3.5250e+03
-4.8616e-01,-1.2937e-01,2.7127e+00,3.5466e+00,-3.5258e+03
-4.9048e-01,-1.2298e-01,2.7130e+00,3.6314e+00,-3.5252e+03
-4.9251e-01,-1.1738e-01,2.7147e+00,3.6268e+00,-3.5255e+03
-4.9147e-01,-1.1769e-01,2.7131e+00,3.6467e+00,-3.5010e+03
-4.9959e-01,-5.5789e-02,2.7421e+00,3.2657e+00,-3.5325e+03
-4.8630e-01,-1.3810e-01,2.7120e+00,3.5418e+00,-3.5243e+03
-4.8491e-01,-1.3391e-01,2.7105e+00,3.5797e+00,-3.5181e+03
-4.9261e-01,-1.1628e-01,2.7144e+00,3.6556e+00,-3.4764e+03
-4.8483e-01,-1.2001e-01,2.7129e+00,3.6813e+00,-3.5252e+03
-4.8385e-01,-1.1786e-01,2.7130e+00,3.6347e+00,-3.5305e+03
-4.8772e-01,-1.4806e-01,2.7090e+00,3.6457e+00,-3.5321e+03
-4.8436e-01,-1.2147e-01,2.7125e+00,3.6684e+00,-3.5061e+03
-4.8863e-01,-1.4870e-01,2.7078e+00,3.5972e+00,-3.5259e+03
-4.9118e-01,-1.3282e-01,2.7117e+00,3.6328e+00,-3.5254e+03
-4.9173e-01,-1.2402e-01,2.7137e+00,3.6630e+00,-3.4837e+03
-4.9361e-01,-1.1957e-01,2.7142e+00,3.6397e+00,-3.5255e+03
-4.9990e-01,-6.7395e-02,2.7364e+00,3.3441e+00,-3.5149e+03
-4.9970e-01,-4.9851e-02,2.7400e+00,3.2784e+00,-3.5144e+03
-4.8643e-01,-1.2255e-01,2.7137e+00,3.5686e+00,-3.5272e+03
-4.8795e-01,-1.5744e-01,2.7070e+00,3.5981e+00,-3.5303e+03
-4.8996e-01,-1.2213e-01,2.7134e+00,3.6167e+00,-3.5065e+03
-4.9293e-01,-1.1638e-01,2.7135e+00,3.6321e+00,-3.5041e+03
-4.8446e-01,-1.2517e-01,2.7121e+00,3.6538e+00,-3.5164e+03
-4.9074e-01,-1.2188e-01,2.7123e+00,3.6405e+00,-3.5184e+03
-4.8860e-01,-1.3540e-01,2.7101e+00,3.6442e+00,-3.5319e+03
-4.9008e-01,-1.3411e-01,2.7126e+00,3.6314e+00,-3.5292e+03
-4.9080e-01,-1.1882e-01,2.7130e+00,3.6677e+00,-3.5178e+03
-4.8895e-01,-1.4838e-01,2.7054e+00,3.6546e+00,-3.5303e+03
-4.8411e-01,-1.2245e-01,2.7131e+00,3.6207e+00,-3.5286e+03
-4.8567e-01,-1.3563e-01,2.7120e+00,3.5741e+00,-3.5320e+03
