nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logzh,logdust,logNpix
2.0000e+03,0.0000e+00,1.0000e+00,1.9608e+00,-1.0184e+07,-1.0184e+07,-1.9803e-02,-1.0184e+07,3.0278e-01,4.6296e+00,inf,4.6618e-01,-1.1128e+00,-1.0844e+00,3.8408e+00
2.0000e+03,1.0000e+00,2.0000e+00,3.8462e+00,-8.8870e+06,-8.8870e+06,-3.9605e-02,-8.8870e+06,3.0318e-01,4.6418e+00,inf,9.4828e-01,9.3734e-02,-8.8448e-01,3.9317e+00
2.0000e+03,2.0000e+00,3.0000e+00,5.6604e+00,-8.3070e+06,-8.3070e+06,-5.9408e-02,-8.3070e+06,3.0387e-01,4.6630e+00,inf,1.4170e+00,-9.4707e-01,-3.9626e-01,3.9163e+00
2.0000e+03,3.0000e+00,4.0000e+00,7.4074e+00,-5.4005e+06,-5.4005e+06,-7.9211e-02,-5.4005e+06,3.0456e-01,4.6841e+00,inf,1.8841e+00,-5.9670e-01,-3.5991e-02,2.2479e+00
2.0000e+03,4.0000e+00,6.0000e+00,8.9286e+00,-5.3732e+06,-5.3732e+06,-9.9013e-02,-5.3732e+06,3.0523e-01,4.7047e+00,inf,2.8219e+00,-1.2320e+00,-1.0692e-02,2.3590e+00
2.0000e+03,5.0000e+00,7.0000e+00,1.0526e+01,-3.2812e+06,-3.2813e+06,-1.1882e-01,-3.2813e+06,3.0583e-01,4.7232e+00,inf,3.2942e+00,3.0130e-01,-4.5517e-02,3.1138e+00
2.0000e+03,6.0000e+00,9.0000e+00,1.1864e+01,-2.7970e+06,-2.7970e+06,-1.3862e-01,-2.7970e+06,3.0649e-01,4.7435e+00,inf,4.2209e+00,-4.2624e-01,-3.6160e-01,2.1142e+00
2.0000e+03,7.0000e+00,1.0000e+01,1.3333e+01,-2.7061e+06,-2.7061e+06,-1.5842e-01,-2.7061e+06,3.0714e-01,4.7637e+00,inf,4.6848e+00,2.8111e-01,-5.3470e-02,3.1868e+00
2.0000e+03,8.0000e+00,1.1000e+01,1.4754e+01,-2.5782e+06,-2.5782e+06,-1.7822e-01,-2.5782e+06,3.0779e-01,4.7839e+00,inf,5.1584e+00,-1.2719e+00,-9.8380e-02,2.6514e+00
2.0000e+03,9.0000e+00,1.2000e+01,1.6129e+01,-2.2796e+06,-2.2796e+06,-1.9803e-01,-2.2796e+06,3.0840e-01,4.8029e+00,inf,5.6271e+00,-2.5445e-01,-1.0126e+00,3.6811e+00
2.0000e+03,1.0000e+01,1.3000e+01,1.7460e+01,-2.2528e+06,-2.2528e+06,-2.1783e-01,-2.2528e+06,3.0904e-01,4.8230e+00,inf,6.0959e+00,2.3825e-01,-1.1277e+00,3.6043e+00
2.0000e+03,1.1000e+01,1.4000e+01,1.8750e+01,-2.0341e+06,-2.0341e+06,-2.3763e-01,-2.0341e+06,3.0967e-01,4.8426e+00,inf,6.5534e+00,-1.3305e+00,-1.3340e+00,3.4569e+00
2.0000e+03,1.2000e+01,1.5000e+01,2.0000e+01,-1.9794e+06,-1.9794e+06,-2.5743e-01,-1.9794e+06,3.1031e-01,4.8627e+00,inf,7.0108e+00,-1.2834e+00,-4.4764e-01,3.5650e+00
2.0000e+03,1.3000e+01,1.6000e+01,2.1212e+01,-1.9184e+06,-1.9184e+06,-2.7724e-01,-1.9184e+06,3.1094e-01,4.8824e+00,inf,7.4749e+00,-1.0624e+00,-1.5026e-01,2.8843e+00
2.0000e+03,1.4000e+01,1.9000e+01,2.1739e+01,-1.8274e+06,-1.8274e+06,-2.9704e-01,-1.8274e+06,3.1156e-01,4.9020e+00,inf,8.8857e+00,4.8416e-01,-8.2396e-02,3.5839e+00
2.0000e+03,1.5000e+01,2.0000e+01,2.2857e+01,-1.8231e+06,-1.8231e+06,-3.1684e-01,-1.8231e+06,3.1220e-01,4.9221e+00,inf,9.3481e+00,-2.8561e-01,-8.6811e-01,2.0135e+00
2.0000e+03,1.6000e+01,2.1000e+01,2.3944e+01,-1.6994e+06,-1.6994e+06,-3.3664e-01,-1.6994e+06,3.1282e-01,4.9417e+00,inf,9.8168e+00,-3.7761e-01,-9.9383e-01,2.0275e+00
2.0000e+03,1.7000e+01,2.2000e+01,2.5000e+01,-1.6884e+06,-1.6884e+06,-3.5645e-01,-1.6884e+06,3.1346e-01,4.9618e+00,inf,1.0290e+01,4.4899e-01,-6.6443e-01,2.5113e+00
2.0000e+03,1.8000e+01,2.3000e+01,2.6027e+01,-1.4740e+06,-1.4740e+06,-3.7625e-01,-1.4740e+06,3.1408e-01,4.9814e+00,inf,1.0758e+01,7.0717e-02,-4.4005e-01,2.5452e+00
2.0000e+03,1.9000e+01,2.6000e+01,2.6316e+01,-1.4457e+06,-1.4457e+06,-3.9605e-01,-1.4457e+06,3.1470e-01,5.0011e+00,inf,1.2126e+01,-2.6512e-01,-1.7575e-01,3.5810e+00
2.0000e+03,2.0000e+01,2.7000e+01,2.7273e+01,-1.4361e+06,-1.4361e+06,-4.1586e-01,-1.4361e+06,3.1533e-01,5.0211e+00,inf,1.2591e+01,4.5653e-02,-2.3472e-01,2.7298e+00
2.0000e+03,2.1000e+01,2.9000e+01,2.7848e+01,-1.4303e+06,-1.4303e+06,-4.3566e-01,-1.4303e+06,3.1594e-01,5.0408e+00,inf,1.3535e+01,-5.0420e-02,-5.6664e-01,2.0822e+00
2.0000e+03,2.2000e+01,3.1000e+01,2.8395e+01,-1.4212e+06,-1.4212e+06,-4.5546e-01,-1.4212e+06,3.1657e-01,5.0608e+00,inf,1.4450e+01,-1.1571e+00,-5.2583e-01,2.2541e+00
2.0000e+03,2.3000e+01,3.2000e+01,2.9268e+01,-1.3979e+06,-1.3979e+06,-4.7526e-01,-1.3979e+06,3.1718e-01,5.0804e+00,inf,1.4917e+01,-8.6491e-01,-8.6342e-01,2.0187e+00
2.0000e+03,2.4000e+01,3.5000e+01,2.9412e+01,-1.2469e+06,-1.2469e+06,-4.9507e-01,-1.2469e+06,3.1780e-01,5.1001e+00,inf,1.6307e+01,-8.2965e-01,-6.8490e-01,2.1467e+00
2.0000e+03,2.5000e+01,3.7000e+01,2.9885e+01,-1.1999e+06,-1.1999e+06,-5.1487e-01,-1.1999e+06,3.1842e-01,5.1201e+00,inf,1.7242e+01,-4.6683e-02,-1.9982e-01,3.5583e+00
2.0000e+03,2.6000e+01,3.9000e+01,3.0337e+01,-1.1708e+06,-1.1708e+06,-5.3467e-01,-1.1708e+06,3.1903e-01,5.1398e+00,inf,1.8183e+01,3.1863e-01,-1.8804e+00,2.3686e+00
2.0000e+03,2.7000e+01,4.0000e+01,3.1111e+01,-1.1070e+06,-1.1070e+06,-5.5447e-01,-1.1070e+06,3.1965e-01,5.1598e+00,inf,1.8652e+01,-7.5806e-02,-1.1122e+00,2.0621e+00
2.0000e+03,2.8000e+01,4.1000e+01,3.1868e+01,-1.1052e+06,-1.1052e+06,-5.7428e-01,-1.1052e+06,3.2026e-01,5.1795e+00,inf,1.9112e+01,-8.1117e-01,-7.1824e-01,2.2524e+00
2.0000e+03,2.9000e+01,4.4000e+01,3.1915e+01,-1.1027e+06,-1.1028e+06,-5.9408e-01,-1.1028e+06,3.2087e-01,5.1992e+00,inf,2.0520e+01,-7.6070e-01,-7.9133e-01,2.2062e+00
