logfeh_mean,logdust_med,logNpix,tau,dmod,logl
-2.7680e-01,-5.2201e-01,2.0250e+00,2.7888e+00,2.6092e+01,-9.2299e+02
-2.4645e-01,-5.0050e-01,2.0052e+00,2.9436e+00,2.6013e+01,-9.2697e+02
-3.0514e-01,-4.5608e-01,2.0417e+00,2.8245e+00,2.6113e+01,-9.2278e+02
-2.0505e-01,-5.4695e-01,2.0085e+00,3.0293e+00,2.6040e+01,-9.0952e+02
-2.4845e-01,-5.2146e-01,2.0157e+00,3.0064e+00,2.6065e+01,-9.2709e+02
-2.2603e-01,-5.3394e-01,2.0024e+00,3.0146e+00,2.6022e+01,-9.2255e+02
-2.2672e-01,-5.5471e-01,2.0037e+00,2.9338e+00,2.6027e+01,-9.1514e+02
-2.2179e-01,-5.5424e-01,1.9959e+00,2.9730e+00,2.6002e+01,-9.2689e+02
-2.4440e-01,-5.3444e-01,2.0056e+00,2.8484e+00,2.6027e+01,-9.2704e+02
-2.2920e-01,-5.2272e-01,2.0107e+00,2.9555e+00,2.6037e+01,-9.1519e+02
-2.7073e-01,-5.2568e-01,2.0156e+00,2.8137e+00,2.6065e+01,-9.1064e+02
-2.1508e-01,-5.4561e-01,1.9933e+00,2.9785e+00,2.5994e+01,-9.2621e+02
-2.5736e-01,-5.1544e-01,1.9964e+00,2.9406e+00,2.6003e+01,-9.2607e+02
-3.0326e-01,-4.8046e-01,2.0355e+00,2.7327e+00,2.6101e+01,-9.2865e+02
-2.0906e-01,-5.5918e-01,2.0046e+00,2.9967e+00,2.6033e+01,-9.0549e+02
-2.9285e-01,-4.6785e-01,2.0305e+00,2.8742e+00,2.6093e+01,-9.2791e+02
-2.2918e-01,-5.4058e-01,2.0016e+00,2.9490e+00,2.6021e+01,-9.2132e+02
-2.5025e-01,-5.2575e-01,2.0122e+00,2.8902e+00,2.6048e+01,-9.1276e+02
-2.3614e-01,-5.3669e-01,2.0195e+00,2.9772e+00,2.6074e+01,-9.2588e+02
-2.8636e-01,-4.7025e-01,2.0216e+00,2.9568e+00,2.6078e+01,-9.2823e+02
-2.5013e-01,-5.1662e-01,2.0154e+00,2.9519e+00,2.6055e+01,-9.2583e+02
-2.6101e-01,-4.9340e-01,2.0210e+00,2.9865e+00,2.6077e+01,-9.2624e+02
-2.8791e-01,-5.0600e-01,2.0223e+00,2.6823e+00,2.6074e+01,-9.2460e+02
-2.2105e-01,-5.3615e-01,1.9936e+00,3.0353e+00,2.5992e+01,-9.2621e+02
-3.0195e-01,-4.6884e-01,2.0333e+00,2.8153e+00,2.6101e+01,-9.2292e+02
-2.1062e-01,-5.4343e-01,2.0056e+00,2.9996e+00,2.6026e+01,-9.0895e+02
-2.9308e-01,-4.8874e-01,2.0315e+00,2.7948e+00,2.6099e+01,-9.2193e+02
-2.2635e-01,-5.4484e-01,2.0065e+00,2.9851e+00,2.6035e+01,-9.2023e+02
-3.0559e-01,-4.6970e-01,2.0255e+00,2.8048e+00,2.6068e+01,-9.1878e+02
-2.7560e-01,-4.8918e-01,2.0069e+00,2.9360e+00,2.6033e+01,-9.1578e+02
-2.5275e-01,-5.0984e-01,2.0159e+00,2.9219e+00,2.6055e+01,-9.2453e+02
