nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,logzh,logdust,logNpix
2.0000e+03,4.6100e+02,6.3260e+03,7.2459e+00,-2.7785e+03,-2.7922e+03,-9.1488e+00,-2.7922e+03,5.2037e-01,1.3674e+01,1.3881e+03,-3.0391e-01,-1.0942e+00,3.0075e+00
2.0000e+03,4.6200e+02,6.3350e+03,7.2514e+00,-2.7449e+03,-2.7587e+03,-9.1686e+00,-2.7587e+03,5.2226e-01,1.3774e+01,1.3831e+03,-6.0880e-01,-9.8240e-01,2.9929e+00
2.0000e+03,4.6300e+02,6.3370e+03,7.2648e+00,-2.7299e+03,-2.7437e+03,-9.1884e+00,-2.7437e+03,5.2264e-01,1.3794e+01,1.3495e+03,-3.6559e-01,-1.0669e+00,2.9997e+00
2.0000e+03,4.6400e+02,6.3390e+03,7.2781e+00,-2.6784e+03,-2.6922e+03,-9.2082e+00,-2.6922e+03,5.2301e-01,1.3813e+01,1.3345e+03,-4.6740e-01,-1.0136e+00,2.9930e+00
2.0000e+03,4.6500e+02,6.3420e+03,7.2904e+00,-2.6449e+03,-2.6587e+03,-9.2280e+00,-2.6587e+03,5.2339e-01,1.3833e+01,1.2830e+03,-3.7731e-01,-1.0528e+00,2.9986e+00
2.0000e+03,4.6600e+02,6.3440e+03,7.3037e+00,-2.6399e+03,-2.6538e+03,-9.2478e+00,-2.6538e+03,5.2213e-01,1.3767e+01,1.2495e+03,-7.7204e-01,-8.6126e-01,2.9976e+00
2.0000e+03,4.6700e+02,6.3480e+03,7.3148e+00,-2.6244e+03,-2.6383e+03,-9.2676e+00,-2.6383e+03,5.2414e-01,1.3873e+01,1.2446e+03,-3.9218e-01,-9.9950e-01,3.0185e+00
2.0000e+03,4.6800e+02,6.3490e+03,7.3293e+00,-2.6144e+03,-2.6283e+03,-9.2874e+00,-2.6283e+03,5.2449e-01,1.3892e+01,1.2291e+03,-5.4619e-01,-1.0134e+00,2.9855e+00
2.0000e+03,4.6900e+02,6.3520e+03,7.3415e+00,-2.6050e+03,-2.6189e+03,-9.3072e+00,-2.6189e+03,5.2485e-01,1.3911e+01,1.2191e+03,-7.6681e-01,-8.8206e-01,2.9888e+00
2.0000e+03,4.7000e+02,6.3540e+03,7.3548e+00,-2.5899e+03,-2.6039e+03,-9.3270e+00,-2.6039e+03,5.2526e-01,1.3932e+01,1.2096e+03,-4.4786e-01,-9.7021e-01,3.0141e+00
2.0000e+03,4.7100e+02,6.3550e+03,7.3692e+00,-2.5791e+03,-2.5930e+03,-9.3468e+00,-2.5930e+03,5.2562e-01,1.3952e+01,1.1946e+03,-3.6867e-01,-1.0448e+00,3.0024e+00
2.0000e+03,4.7200e+02,6.3580e+03,7.3814e+00,-2.5787e+03,-2.5921e+03,-9.3666e+00,-2.5918e+03,5.0518e-01,1.2888e+01,1.1837e+03,-5.2006e-01,-1.0218e+00,2.9882e+00
