niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust,logNpix,tau
1.0000e+00,1.0000e+00,9.9900e-02,-1.9173e+05,-1.9174e+05,-9.9950e-04,-1.9174e+05,8.7167e-02,7.6019e+00,inf,2.6721e+00,3.8404e-01,-1.1494e+00,3.9862e+00,9.7582e-01
2.0000e+00,1.0000e+00,1.9960e-01,-1.9172e+05,-1.9173e+05,-1.9990e-03,-1.9173e+05,8.7168e-02,7.6021e+00,1.8425e+05,5.8151e+00,8.7972e-02,-1.9623e+00,3.9728e+00,4.4679e-01
3.0000e+00,1.0000e+00,2.9910e-01,-1.9172e+05,-1.9173e+05,-2.9985e-03,-1.9173e+05,8.6407e-02,7.4699e+00,1.8424e+05,8.0765e+00,1.2998e-01,-1.3370e+00,3.9905e+00,4.8650e-01
4.0000e+00,1.0000e+00,3.9841e-01,-1.9168e+05,-1.9168e+05,-3.9980e-03,-1.9168e+05,8.7184e-02,7.6049e+00,1.8424e+05,1.0763e+01,-4.0102e-01,-1.8223e+00,3.9511e+00,8.0765e-01
5.0000e+00,1.0000e+00,4.9751e-01,-1.9167e+05,-1.9168e+05,-4.9975e-03,-1.9168e+05,8.5700e-02,7.3482e+00,1.8420e+05,1.3496e+01,-3.9133e-01,-1.2845e+00,3.9556e+00,4.2772e-01
6.0000e+00,1.0000e+00,5.9642e-01,-1.9166e+05,-1.9167e+05,-5.9970e-03,-1.9167e+05,8.7195e-02,7.6068e+00,1.8419e+05,1.5784e+01,5.2327e-02,-1.7214e+00,3.9524e+00,5.7009e-01
7.0000e+00,1.0000e+00,6.9513e-01,-1.9163e+05,-1.9164e+05,-6.9965e-03,-1.9164e+05,8.7201e-02,7.6079e+00,1.8418e+05,1.8938e+01,1.4357e-01,-1.6103e+00,3.9455e+00,1.6441e-01
8.0000e+00,1.0000e+00,7.9365e-01,-1.9162e+05,-1.9163e+05,-7.9960e-03,-1.9163e+05,8.7176e-02,7.6035e+00,1.8415e+05,2.1633e+01,3.8860e-01,-1.7496e+00,3.9506e+00,1.7082e+00
9.0000e+00,1.0000e+00,8.9197e-01,-1.9153e+05,-1.9153e+05,-8.9955e-03,-1.9153e+05,8.7213e-02,7.6099e+00,1.8414e+05,2.4346e+01,-4.2384e-01,-1.2176e+00,3.9602e+00,2.1788e+00
1.0000e+01,1.0000e+00,9.9010e-01,-1.9151e+05,-1.9151e+05,-9.9950e-03,-1.9151e+05,8.7219e-02,7.6109e+00,1.8405e+05,2.6900e+01,4.6480e-01,-5.4861e-01,3.8251e+00,1.0049e+00
1.1000e+01,1.0000e+00,1.0880e+00,-1.9150e+05,-1.9151e+05,-1.0995e-02,-1.9151e+05,8.1938e-02,6.7172e+00,1.8403e+05,2.9585e+01,-3.3109e-01,-1.5041e+00,3.8868e+00,6.0812e-01
1.2000e+01,1.0000e+00,1.1858e+00,-1.9147e+05,-1.9148e+05,-1.1994e-02,-1.9148e+05,8.7230e-02,7.6129e+00,1.8402e+05,3.2273e+01,1.4266e-01,-1.0233e+00,3.9184e+00,1.7258e+00
1.3000e+01,1.0000e+00,1.2833e+00,-1.9139e+05,-1.9139e+05,-1.2994e-02,-1.9139e+05,8.7236e-02,7.6139e+00,1.8399e+05,3.4975e+01,4.3246e-01,-1.9169e+00,3.8914e+00,1.7665e+00
1.4000e+01,1.0000e+00,1.3807e+00,-1.9136e+05,-1.9137e+05,-1.3993e-02,-1.9137e+05,8.7242e-02,7.6149e+00,1.8391e+05,3.7655e+01,3.7279e-01,-1.2379e+00,3.9576e+00,2.1885e+00
1.5000e+01,1.0000e+00,1.4778e+00,-1.9136e+05,-1.9136e+05,-1.4993e-02,-1.9136e+05,8.7212e-02,7.6098e+00,1.8388e+05,3.9967e+01,-2.9966e-01,-1.0144e+00,3.8580e+00,1.8482e+00
1.6000e+01,1.0000e+00,1.5748e+00,-1.9135e+05,-1.9135e+05,-1.5992e-02,-1.9135e+05,8.7250e-02,7.6163e+00,1.8388e+05,4.3100e+01,1.3351e-01,-1.6332e+00,3.8279e+00,1.4551e+00
1.7000e+01,1.0000e+00,1.6716e+00,-1.9132e+05,-1.9133e+05,-1.6992e-02,-1.9133e+05,8.7259e-02,7.6179e+00,1.8387e+05,4.5359e+01,8.4091e-02,-1.7118e+00,3.9014e+00,2.1005e+00
1.8000e+01,1.0000e+00,1.7682e+00,-1.9131e+05,-1.9132e+05,-1.7991e-02,-1.9132e+05,8.7262e-02,7.6185e+00,1.8384e+05,4.7643e+01,-3.0986e-01,-1.0302e+00,3.8328e+00,1.0708e+00
1.9000e+01,1.0000e+00,1.8646e+00,-1.9129e+05,-1.9130e+05,-1.8991e-02,-1.9130e+05,8.7270e-02,7.6199e+00,1.8383e+05,4.9905e+01,-2.2405e-01,-1.1254e+00,3.8249e+00,3.8075e-01
2.0000e+01,1.0000e+00,1.9608e+00,-1.9120e+05,-1.9121e+05,-1.9990e-02,-1.9121e+05,8.7276e-02,7.6209e+00,1.8381e+05,5.2637e+01,-3.5562e-01,-1.8992e+00,3.7653e+00,2.9729e-01
2.1000e+01,1.0000e+00,2.0568e+00,-1.9116e+05,-1.9117e+05,-2.0990e-02,-1.9117e+05,8.7282e-02,7.6219e+00,1.8372e+05,5.5326e+01,-4.6731e-01,-1.7047e+00,3.7521e+00,1.0066e+00
2.2000e+01,1.0000e+00,2.1526e+00,-1.9113e+05,-1.9114e+05,-2.1989e-02,-1.9114e+05,8.7287e-02,7.6229e+00,1.8368e+05,5.8033e+01,-4.9065e-01,-6.4903e-01,3.9431e+00,2.8288e+00
2.3000e+01,1.0000e+00,2.2483e+00,-1.9113e+05,-1.9113e+05,-2.2989e-02,-1.9113e+05,8.7138e-02,7.5968e+00,1.8365e+05,6.0742e+01,9.1166e-02,-1.5327e+00,3.7961e+00,3.4819e-01
2.4000e+01,1.0000e+00,2.3438e+00,-1.9110e+05,-1.9111e+05,-2.3988e-02,-1.9111e+05,8.7299e-02,7.6249e+00,1.8365e+05,6.3012e+01,-4.4786e-01,-1.8609e+00,3.7175e+00,9.2394e-01
2.5000e+01,1.0000e+00,2.4390e+00,-1.9108e+05,-1.9109e+05,-2.4988e-02,-1.9109e+05,8.7305e-02,7.6259e+00,1.8362e+05,6.5255e+01,3.5811e-01,-7.7175e-01,3.5964e+00,1.0231e+00
2.6000e+01,1.0000e+00,2.5341e+00,-1.9106e+05,-1.9107e+05,-2.5987e-02,-1.9107e+05,8.7310e-02,7.6269e+00,1.8360e+05,6.8406e+01,-2.0285e-01,-9.2302e-01,3.9945e+00,2.8043e+00
