logfeh_mean,logdust_med,logNpix,tau,dmod,logl
-1.6227e-01,-6.4489e-01,1.9973e+00,2.8936e+00,2.5984e+01,-9.7028e+02
-1.9095e-01,-5.8714e-01,1.9959e+00,3.0097e+00,2.5982e+01,-9.7017e+02
-1.8595e-01,-6.0200e-01,2.0155e+00,2.9946e+00,2.6040e+01,-9.5277e+02
-1.7985e-01,-6.1772e-01,2.0031e+00,2.9570e+00,2.6002e+01,-9.5376e+02
-2.0610e-01,-5.6565e-01,2.0378e+00,2.9279e+00,2.6090e+01,-9.7087e+02
-1.9137e-01,-5.6337e-01,2.0275e+00,3.0315e+00,2.6062e+01,-9.7029e+02
-1.7475e-01,-6.1569e-01,2.0021e+00,2.9698e+00,2.6002e+01,-9.6923e+02
-1.4880e-01,-5.9853e-01,1.9967e+00,3.1470e+00,2.5978e+01,-9.7081e+02
-1.8143e-01,-5.8904e-01,2.0148e+00,3.0210e+00,2.6033e+01,-9.6894e+02
-1.6021e-01,-5.9929e-01,1.9940e+00,3.1220e+00,2.5972e+01,-9.6172e+02
-1.5787e-01,-5.8480e-01,2.0176e+00,3.1604e+00,2.6034e+01,-9.6827e+02
-1.8551e-01,-5.7237e-01,1.9985e+00,3.1116e+00,2.5987e+01,-9.5892e+02
-1.7227e-01,-5.9778e-01,2.0187e+00,3.1315e+00,2.6054e+01,-9.6023e+02
-1.2281e-01,-6.2298e-01,2.0047e+00,3.1167e+00,2.5997e+01,-9.6580e+02
-1.6555e-01,-5.8703e-01,1.9948e+00,3.0846e+00,2.5976e+01,-9.6629e+02
-2.0978e-01,-5.4387e-01,2.0282e+00,2.9819e+00,2.6056e+01,-9.6121e+02
-1.9104e-01,-5.9247e-01,2.0181e+00,2.9853e+00,2.6042e+01,-9.6736e+02
-1.9347e-01,-5.7452e-01,2.0077e+00,3.0115e+00,2.6001e+01,-9.5900e+02
-1.9625e-01,-5.8630e-01,1.9791e+00,2.9831e+00,2.5933e+01,-9.6683e+02
-2.3552e-01,-5.0190e-01,2.0554e+00,3.0536e+00,2.6138e+01,-9.6627e+02
-1.7000e-01,-6.0003e-01,2.0141e+00,3.0702e+00,2.6040e+01,-9.6683e+02
-1.4064e-01,-6.1688e-01,1.9869e+00,3.1259e+00,2.5952e+01,-9.5650e+02
-2.0503e-01,-5.4312e-01,2.0495e+00,3.1042e+00,2.6125e+01,-9.5522e+02
-1.9275e-01,-5.9464e-01,1.9985e+00,2.8332e+00,2.5975e+01,-9.6835e+02
-1.2022e-01,-6.2006e-01,2.0101e+00,3.1591e+00,2.6014e+01,-9.5809e+02
-1.3048e-01,-6.0238e-01,1.9867e+00,3.1496e+00,2.5935e+01,-9.6538e+02
-1.7065e-01,-6.0627e-01,1.9951e+00,3.0157e+00,2.5977e+01,-9.6878e+02
-1.8358e-01,-5.9235e-01,2.0090e+00,3.0055e+00,2.6012e+01,-9.6527e+02
-1.5105e-01,-6.4069e-01,1.9835e+00,2.9570e+00,2.5948e+01,-9.7040e+02
-1.7854e-01,-6.1701e-01,2.0002e+00,2.9251e+00,2.5996e+01,-9.6903e+02
-2.0412e-01,-5.6439e-01,2.0143e+00,3.0637e+00,2.6038e+01,-9.6944e+02
-1.6537e-01,-5.9871e-01,1.9842e+00,3.0361e+00,2.5936e+01,-9.5680e+02
-1.6646e-01,-5.9271e-01,2.0095e+00,3.0848e+00,2.6022e+01,-9.6460e+02
-1.3528e-01,-6.2813e-01,1.9909e+00,3.0943e+00,2.5969e+01,-9.6226e+02
-1.7176e-01,-5.9473e-01,1.9899e+00,3.0768e+00,2.5959e+01,-9.6871e+02
-1.6289e-01,-6.0453e-01,2.0276e+00,3.0878e+00,2.6071e+01,-9.7039e+02
-1.8661e-01,-5.8906e-01,1.9863e+00,2.9573e+00,2.5941e+01,-9.7053e+02
-2.0842e-01,-5.4699e-01,2.0250e+00,3.0066e+00,2.6056e+01,-9.6849e+02
-1.6459e-01,-6.0547e-01,1.9926e+00,3.0457e+00,2.5964e+01,-9.6996e+02
-1.6970e-01,-5.9804e-01,1.9985e+00,3.0684e+00,2.5980e+01,-9.6904e+02
-1.4366e-01,-6.3616e-01,1.9906e+00,3.0735e+00,2.5965e+01,-9.6826e+02
-1.7988e-01,-5.6028e-01,1.9851e+00,3.1406e+00,2.5945e+01,-9.6975e+02
-1.9041e-01,-5.5594e-01,2.0257e+00,3.0652e+00,2.6061e+01,-9.6518e+02
-1.7221e-01,-5.9112e-01,2.0242e+00,3.1029e+00,2.6067e+01,-9.6435e+02
-1.2440e-01,-6.3184e-01,2.0048e+00,3.1659e+00,2.6009e+01,-9.7033e+02
-1.9232e-01,-5.5335e-01,2.0388e+00,3.0869e+00,2.6096e+01,-9.6418e+02
-1.4452e-01,-6.3867e-01,2.0004e+00,3.0270e+00,2.5987e+01,-9.6987e+02
-2.0501e-01,-5.5733e-01,2.0323e+00,2.9853e+00,2.6069e+01,-9.5989e+02
-1.8308e-01,-5.8022e-01,2.0151e+00,2.9966e+00,2.6030e+01,-9.7018e+02
-1.2159e-01,-6.3745e-01,2.0110e+00,3.1229e+00,2.6022e+01,-9.6119e+02
-1.8453e-01,-5.8276e-01,2.0048e+00,3.0489e+00,2.6002e+01,-9.5141e+02
-1.4798e-01,-6.1872e-01,2.0179e+00,3.0989e+00,2.6042e+01,-9.6828e+02
-1.8970e-01,-5.7021e-01,1.9836e+00,3.0093e+00,2.5927e+01,-9.7054e+02
-1.9860e-01,-5.6713e-01,2.0345e+00,2.9723e+00,2.6079e+01,-9.7043e+02
-1.9894e-01,-5.4245e-01,2.0449e+00,3.0405e+00,2.6103e+01,-9.4897e+02
-1.1550e-01,-6.4864e-01,2.0147e+00,3.1520e+00,2.6034e+01,-9.6807e+02
-1.7908e-01,-5.8790e-01,2.0110e+00,3.0550e+00,2.6026e+01,-9.6712e+02
-1.6860e-01,-5.9600e-01,2.0030e+00,3.1447e+00,2.6014e+01,-9.7026e+02
-1.9242e-01,-5.6184e-01,2.0464e+00,3.0365e+00,2.6111e+01,-9.6888e+02
-1.7045e-01,-5.7971e-01,1.9893e+00,3.1729e+00,2.5966e+01,-9.6033e+02
-1.4905e-01,-6.2482e-01,1.9807e+00,3.0892e+00,2.5942e+01,-9.5740e+02
-1.7095e-01,-5.9766e-01,2.0157e+00,3.1393e+00,2.6042e+01,-9.5827e+02
-1.5330e-01,-6.1728e-01,2.0011e+00,3.0418e+00,2.5987e+01,-9.5748e+02
-1.9809e-01,-5.8814e-01,2.0085e+00,2.8894e+00,2.6013e+01,-9.7083e+02
-2.0485e-01,-5.7437e-01,2.0084e+00,3.0040e+00,2.6018e+01,-9.6997e+02
-1.9635e-01,-5.3794e-01,2.0470e+00,3.0999e+00,2.6114e+01,-9.6717e+02
-1.4819e-01,-6.1396e-01,1.9866e+00,3.0630e+00,2.5949e+01,-9.5283e+02
-1.8200e-01,-5.5999e-01,2.0134e+00,3.1752e+00,2.6026e+01,-9.5900e+02
