nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,logzh,logdust,logNpix,tau
2.0000e+03,1.0000e+02,1.7100e+02,3.7269e+01,-7.0135e+07,-7.0135e+07,-1.0050e+00,-7.0135e+07,2.4999e-01,6.2808e+00,inf,-1.4956e+00,-1.9161e+00,5.2836e+00,5.7859e+00
2.0000e+03,1.0100e+02,1.7400e+02,3.7226e+01,-6.5809e+07,-6.5809e+07,-1.0149e+00,-6.5809e+07,2.4826e-01,6.1941e+00,inf,-6.8159e-01,-5.4401e-01,5.3442e+00,4.0757e+00
2.0000e+03,1.0200e+02,1.7600e+02,3.7319e+01,-6.5204e+07,-6.5204e+07,-1.0249e+00,-6.5204e+07,2.4653e-01,6.1080e+00,inf,-1.3804e+00,-1.6314e+00,5.0947e+00,6.3990e+00
2.0000e+03,1.0300e+02,1.7700e+02,3.7545e+01,-6.2959e+07,-6.2959e+07,-1.0348e+00,-6.2959e+07,2.5433e-01,6.5006e+00,inf,-1.2746e+00,-1.1900e+00,5.0841e+00,8.4125e+00
2.0000e+03,1.0400e+02,1.8200e+02,3.7234e+01,-6.2172e+07,-6.2172e+07,-1.0448e+00,-6.2172e+07,2.5266e-01,6.4158e+00,inf,-2.4057e-01,-1.8809e+00,5.3938e+00,3.2337e+00
2.0000e+03,1.0500e+02,1.8700e+02,3.6934e+01,-6.1706e+07,-6.1706e+07,-1.0547e+00,-6.1706e+07,2.5103e-01,6.3332e+00,inf,-2.8205e-01,-2.2867e-02,5.4482e+00,5.6977e+00
2.0000e+03,1.0600e+02,1.9000e+02,3.6897e+01,-6.1056e+07,-6.1056e+07,-1.0647e+00,-6.1056e+07,2.4943e-01,6.2524e+00,inf,-1.0534e+00,-1.1609e+00,5.1458e+00,6.2067e+00
2.0000e+03,1.0700e+02,1.9100e+02,3.7113e+01,-6.0997e+07,-6.0997e+07,-1.0746e+00,-6.0997e+07,2.4781e-01,6.1715e+00,inf,-1.3805e+00,-1.6614e+00,5.1381e+00,8.2482e+00
2.0000e+03,1.0800e+02,1.9300e+02,3.7201e+01,-6.0892e+07,-6.0892e+07,-1.0846e+00,-6.0892e+07,2.5519e-01,6.5447e+00,inf,-5.0821e-01,-1.4774e+00,6.1114e+00,1.5833e+00
2.0000e+03,1.0900e+02,2.0000e+02,3.6667e+01,-6.0168e+07,-6.0168e+07,-1.0945e+00,-6.0168e+07,2.5359e-01,6.4631e+00,inf,2.1295e-01,-5.4441e-01,6.3847e+00,4.7788e+00
2.0000e+03,1.1000e+02,2.0300e+02,3.6634e+01,-5.9666e+07,-5.9666e+07,-1.1045e+00,-5.9666e+07,2.5203e-01,6.3835e+00,inf,-8.5381e-01,-2.5715e-01,5.4313e+00,6.8796e+00
2.0000e+03,1.1100e+02,2.0500e+02,3.6721e+01,-5.8990e+07,-5.8990e+07,-1.1144e+00,-5.8990e+07,2.5049e-01,6.3058e+00,inf,2.1708e-02,-1.1022e-01,6.0031e+00,6.2967e+00
2.0000e+03,1.1200e+02,2.1100e+02,3.6334e+01,-5.7829e+07,-5.7829e+07,-1.1244e+00,-5.7829e+07,2.4901e-01,6.2316e+00,inf,-9.6600e-01,-1.3836e+00,5.3546e+00,4.8605e+00
2.0000e+03,1.1300e+02,2.1300e+02,3.6422e+01,-5.4393e+07,-5.4393e+07,-1.1343e+00,-5.4393e+07,2.5582e-01,6.5771e+00,inf,-6.0719e-01,-1.3863e+00,5.0346e+00,3.3482e+00
2.0000e+03,1.1400e+02,2.1600e+02,3.6392e+01,-5.2990e+07,-5.2990e+07,-1.1443e+00,-5.2990e+07,2.5440e-01,6.5044e+00,inf,-1.2027e+00,-3.9133e-01,5.8396e+00,3.7137e+00
2.0000e+03,1.1500e+02,2.1700e+02,3.6593e+01,-5.1132e+07,-5.1132e+07,-1.1542e+00,-5.1132e+07,2.5306e-01,6.4360e+00,inf,-1.3077e+00,-3.6132e-01,6.2592e+00,7.2690e+00
2.0000e+03,1.1600e+02,2.2000e+02,3.6562e+01,-5.0995e+07,-5.0995e+07,-1.1642e+00,-5.0995e+07,2.5176e-01,6.3700e+00,inf,-1.0376e+00,-1.9509e+00,5.5147e+00,4.2809e+00
2.0000e+03,1.1700e+02,2.2200e+02,3.6646e+01,-5.0690e+07,-5.0690e+07,-1.1741e+00,-5.0690e+07,2.5047e-01,6.3049e+00,inf,-9.5883e-01,-9.5539e-01,5.1967e+00,6.7091e+00
2.0000e+03,1.1800e+02,2.2400e+02,3.6728e+01,-4.8778e+07,-4.8778e+07,-1.1841e+00,-4.8778e+07,2.5650e-01,6.6119e+00,inf,-2.8665e-01,-3.5568e-01,6.2559e+00,1.9434e+00
2.0000e+03,1.1900e+02,2.2900e+02,3.6474e+01,-4.8363e+07,-4.8363e+07,-1.1940e+00,-4.8363e+07,2.5527e-01,6.5487e+00,inf,-8.6972e-01,-1.0077e+00,5.1009e+00,5.6602e+00
2.0000e+03,1.2000e+02,2.3000e+02,3.6667e+01,-4.6157e+07,-4.6157e+07,-1.2040e+00,-4.6157e+07,2.5407e-01,6.4873e+00,inf,5.4807e-03,-3.9045e-01,5.5889e+00,7.2450e+00
2.0000e+03,1.2100e+02,2.3100e+02,3.6858e+01,-4.5972e+07,-4.5972e+07,-1.2139e+00,-4.5972e+07,2.5292e-01,6.4288e+00,inf,-8.4066e-01,-9.9407e-01,5.2238e+00,5.8575e+00
2.0000e+03,1.2200e+02,2.3500e+02,3.6716e+01,-4.5387e+07,-4.5387e+07,-1.2239e+00,-4.5387e+07,2.5180e-01,6.3721e+00,inf,4.5808e-01,-2.3754e-01,6.2554e+00,8.4439e+00
2.0000e+03,1.2300e+02,2.3800e+02,3.6686e+01,-4.4538e+07,-4.4538e+07,-1.2338e+00,-4.4538e+07,2.5724e-01,6.6503e+00,inf,-9.3586e-01,-1.3300e+00,5.1671e+00,7.0868e+00
2.0000e+03,1.2400e+02,2.4300e+02,3.6443e+01,-4.4536e+07,-4.4536e+07,-1.2438e+00,-4.4536e+07,2.5615e-01,6.5939e+00,inf,5.9952e-02,-1.4548e+00,5.5529e+00,7.4150e+00
2.0000e+03,1.2500e+02,2.4600e+02,3.6416e+01,-4.4477e+07,-4.4477e+07,-1.2537e+00,-4.4477e+07,2.5505e-01,6.5375e+00,inf,1.7585e-01,-1.5175e+00,5.8685e+00,4.4229e+00
