logfeh_mean,logdust,logNpix,tau,logl
-4.9142e-01,-1.9467e+00,1.7891e+00,4.1629e+00,-2.4036e+04
-4.9139e-01,-1.9327e+00,1.7897e+00,4.1522e+00,-2.4129e+04
-4.9181e-01,-1.9711e+00,1.7884e+00,4.0532e+00,-2.4051e+04
-4.9117e-01,-1.8965e+00,1.7902e+00,4.1729e+00,-2.4157e+04
-4.9447e-01,-1.8090e+00,1.7927e+00,4.1199e+00,-2.4164e+04
-4.9451e-01,-1.9049e+00,1.7933e+00,4.1289e+00,-2.4089e+04
-4.8821e-01,-1.9516e+00,1.7933e+00,4.1413e+00,-2.4068e+04
-4.8894e-01,-1.9682e+00,1.7894e+00,4.1372e+00,-2.4125e+04
-4.9374e-01,-1.9529e+00,1.7920e+00,3.9748e+00,-2.4059e+04
-4.9346e-01,-1.9589e+00,1.7947e+00,3.9793e+00,-2.4000e+04
-4.9109e-01,-1.9830e+00,1.7890e+00,4.1798e+00,-2.4096e+04
-4.9238e-01,-1.9373e+00,1.7895e+00,4.0790e+00,-2.4115e+04
-4.9245e-01,-1.9917e+00,1.7873e+00,4.0593e+00,-2.4103e+04
-4.9187e-01,-1.9849e+00,1.7943e+00,3.9967e+00,-2.4133e+04
-4.9288e-01,-1.9925e+00,1.7911e+00,4.1336e+00,-2.4148e+04
-4.8913e-01,-1.9242e+00,1.7910e+00,4.1553e+00,-2.4102e+04
-4.9404e-01,-1.9807e+00,1.7882e+00,4.0919e+00,-2.4151e+04
-4.9126e-01,-1.9870e+00,1.7949e+00,3.9574e+00,-2.4124e+04
-4.9463e-01,-1.8620e+00,1.7944e+00,4.1559e+00,-2.4163e+04
-4.9279e-01,-1.9623e+00,1.7905e+00,4.1036e+00,-2.4121e+04
-4.9275e-01,-1.9622e+00,1.7903e+00,4.0339e+00,-2.4022e+04
-4.9996e-01,-1.9431e+00,1.7937e+00,3.9819e+00,-2.4068e+04
-4.9551e-01,-1.9815e+00,1.7899e+00,4.0986e+00,-2.4146e+04
-4.9429e-01,-1.9986e+00,1.7914e+00,3.9227e+00,-2.4140e+04
-4.9499e-01,-1.9554e+00,1.7921e+00,4.1094e+00,-2.4079e+04
-4.9049e-01,-1.9173e+00,1.7868e+00,4.1576e+00,-2.3987e+04
-4.9422e-01,-1.9564e+00,1.7936e+00,4.1439e+00,-2.4041e+04
-4.8829e-01,-1.9496e+00,1.7908e+00,4.1595e+00,-2.4142e+04
-4.9173e-01,-1.8983e+00,1.7888e+00,4.1573e+00,-2.4126e+04
-4.9204e-01,-1.9331e+00,1.7915e+00,4.1134e+00,-2.4112e+04
-4.9557e-01,-1.9555e+00,1.7899e+00,4.1014e+00,-2.4164e+04
-4.9116e-01,-1.9927e+00,1.7937e+00,3.9485e+00,-2.4086e+04
-4.9109e-01,-1.9908e+00,1.7959e+00,3.9648e+00,-2.4117e+04
-4.9427e-01,-1.9737e+00,1.7944e+00,4.1247e+00,-2.4164e+04
-4.9307e-01,-1.9664e+00,1.7934e+00,3.9930e+00,-2.4059e+04
-4.9996e-01,-1.9586e+00,1.7869e+00,4.0829e+00,-2.4122e+04
-4.9396e-01,-1.9707e+00,1.7937e+00,4.0041e+00,-2.3993e+04
-4.9414e-01,-1.9312e+00,1.7907e+00,4.1181e+00,-2.4099e+04
