niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust,logNpix,tau
1.0000e+00,1.0000e+00,9.9900e-02,-2.0597e+05,-2.0598e+05,-9.9950e-04,-2.0598e+05,8.7167e-02,7.6019e+00,inf,2.6331e+00,-4.0102e-01,-1.8223e+00,3.9511e+00,8.0765e-01
2.0000e+00,1.0000e+00,1.9960e-01,-2.0590e+05,-2.0591e+05,-1.9990e-03,-2.0591e+05,8.7173e-02,7.6029e+00,1.8956e+05,5.7171e+00,-3.9133e-01,-1.2845e+00,3.9556e+00,4.2772e-01
3.0000e+00,1.0000e+00,2.9910e-01,-2.0584e+05,-2.0585e+05,-2.9985e-03,-2.0585e+05,8.7179e-02,7.6039e+00,1.8948e+05,8.0389e+00,-4.2384e-01,-1.2176e+00,3.9602e+00,2.1788e+00
4.0000e+00,1.0000e+00,3.9841e-01,-2.0570e+05,-2.0571e+05,-3.9980e-03,-2.0571e+05,8.7184e-02,7.6049e+00,1.8942e+05,1.0664e+01,8.7972e-02,-1.9623e+00,3.9728e+00,4.4679e-01
5.0000e+00,1.0000e+00,4.9751e-01,-2.0565e+05,-2.0566e+05,-4.9975e-03,-2.0566e+05,8.7190e-02,7.6059e+00,1.8928e+05,1.3317e+01,1.2998e-01,-1.3370e+00,3.9905e+00,4.8650e-01
6.0000e+00,1.0000e+00,5.9642e-01,-2.0560e+05,-2.0561e+05,-5.9970e-03,-2.0561e+05,8.7196e-02,7.6069e+00,1.8923e+05,1.5529e+01,5.2327e-02,-1.7214e+00,3.9524e+00,5.7009e-01
7.0000e+00,1.0000e+00,6.9513e-01,-2.0554e+05,-2.0555e+05,-6.9965e-03,-2.0555e+05,8.7201e-02,7.6079e+00,1.8918e+05,1.8832e+01,-3.3109e-01,-1.5041e+00,3.8868e+00,6.0812e-01
8.0000e+00,1.0000e+00,7.9365e-01,-2.0546e+05,-2.0547e+05,-7.9960e-03,-2.0547e+05,8.7207e-02,7.6089e+00,1.8912e+05,2.1460e+01,1.4357e-01,-1.6103e+00,3.9455e+00,1.6441e-01
9.0000e+00,1.0000e+00,8.9197e-01,-2.0542e+05,-2.0543e+05,-8.9955e-03,-2.0543e+05,8.7213e-02,7.6099e+00,1.8904e+05,2.4090e+01,3.8404e-01,-1.1494e+00,3.9862e+00,9.7582e-01
1.0000e+01,1.0000e+00,9.9010e-01,-2.0537e+05,-2.0538e+05,-9.9950e-03,-2.0538e+05,8.7219e-02,7.6109e+00,1.8900e+05,2.6487e+01,-2.0285e-01,-9.2302e-01,3.9945e+00,2.8043e+00
1.1000e+01,1.0000e+00,1.0880e+00,-2.0532e+05,-2.0532e+05,-1.0995e-02,-2.0532e+05,8.7224e-02,7.6119e+00,1.8895e+05,2.9234e+01,3.8860e-01,-1.7496e+00,3.9506e+00,1.7082e+00
1.2000e+01,1.0000e+00,1.1858e+00,-2.0527e+05,-2.0528e+05,-1.1994e-02,-2.0528e+05,8.7230e-02,7.6129e+00,1.8890e+05,3.1873e+01,-4.2782e-01,-1.2021e+00,3.9385e+00,3.3378e+00
1.3000e+01,1.0000e+00,1.2833e+00,-2.0524e+05,-2.0525e+05,-1.2994e-02,-2.0525e+05,8.7236e-02,7.6139e+00,1.8885e+05,3.4515e+01,-4.9065e-01,-6.4903e-01,3.9431e+00,2.8288e+00
1.4000e+01,1.0000e+00,1.3807e+00,-2.0520e+05,-2.0521e+05,-1.3993e-02,-2.0521e+05,8.7242e-02,7.6149e+00,1.8882e+05,3.7196e+01,-2.9966e-01,-1.0144e+00,3.8580e+00,1.8482e+00
1.5000e+01,1.0000e+00,1.4778e+00,-2.0517e+05,-2.0518e+05,-1.4993e-02,-2.0518e+05,8.7247e-02,7.6159e+00,1.8878e+05,3.9411e+01,8.4091e-02,-1.7118e+00,3.9014e+00,2.1005e+00
1.6000e+01,1.0000e+00,1.5748e+00,-2.0517e+05,-2.0518e+05,-1.5992e-02,-2.0518e+05,8.1752e-02,6.6868e+00,1.8875e+05,4.2477e+01,1.4266e-01,-1.0233e+00,3.9184e+00,1.7258e+00
1.7000e+01,1.0000e+00,1.6716e+00,-2.0516e+05,-2.0517e+05,-1.6992e-02,-2.0517e+05,8.7079e-02,7.5865e+00,1.8875e+05,4.4728e+01,-3.4469e-01,-1.0257e+00,3.9541e+00,3.5046e+00
1.8000e+01,1.0000e+00,1.7682e+00,-2.0516e+05,-2.0516e+05,-1.7991e-02,-2.0516e+05,8.7204e-02,7.6083e+00,1.8874e+05,4.7056e+01,-4.1570e-01,-1.4343e+00,3.8632e+00,2.6521e+00
1.9000e+01,1.0000e+00,1.8646e+00,-2.0511e+05,-2.0512e+05,-1.8991e-02,-2.0512e+05,8.7270e-02,7.6199e+00,1.8874e+05,4.9276e+01,3.7279e-01,-1.2379e+00,3.9576e+00,2.1885e+00
2.0000e+01,1.0000e+00,1.9608e+00,-2.0509e+05,-2.0510e+05,-1.9990e-02,-2.0510e+05,8.7276e-02,7.6209e+00,1.8869e+05,5.1974e+01,-3.0986e-01,-1.0302e+00,3.8328e+00,1.0708e+00
2.1000e+01,1.0000e+00,2.0568e+00,-2.0508e+05,-2.0509e+05,-2.0990e-02,-2.0509e+05,8.5804e-02,7.3659e+00,1.8867e+05,5.4649e+01,-3.0657e-01,-8.8993e-01,3.8918e+00,2.6279e+00
2.2000e+01,1.0000e+00,2.1526e+00,-2.0506e+05,-2.0507e+05,-2.1989e-02,-2.0507e+05,8.7287e-02,7.6229e+00,1.8866e+05,5.7300e+01,-4.9997e-01,-1.7768e+00,3.8718e+00,3.4596e+00
2.3000e+01,1.0000e+00,2.2483e+00,-2.0502e+05,-2.0502e+05,-2.2989e-02,-2.0502e+05,8.7293e-02,7.6239e+00,1.8864e+05,5.9940e+01,-2.2405e-01,-1.1254e+00,3.8249e+00,3.8075e-01
2.4000e+01,1.0000e+00,2.3438e+00,-2.0500e+05,-2.0500e+05,-2.3988e-02,-2.0500e+05,8.7299e-02,7.6249e+00,1.8860e+05,6.2171e+01,-1.2796e-01,-1.9710e+00,3.8722e+00,2.7315e+00
2.5000e+01,1.0000e+00,2.4390e+00,-2.0498e+05,-2.0499e+05,-2.4988e-02,-2.0499e+05,8.7304e-02,7.6259e+00,1.8858e+05,6.4433e+01,3.6669e-01,-1.4970e+00,3.8738e+00,7.9140e-01
2.6000e+01,1.0000e+00,2.5341e+00,-2.0497e+05,-2.0498e+05,-2.5987e-02,-2.0498e+05,8.7252e-02,7.6167e+00,1.8856e+05,6.7491e+01,4.3246e-01,-1.9169e+00,3.8914e+00,1.7665e+00
2.7000e+01,1.0000e+00,2.6290e+00,-2.0497e+05,-2.0497e+05,-2.6987e-02,-2.0497e+05,8.7295e-02,7.6242e+00,1.8856e+05,6.9767e+01,-8.6398e-02,-1.1300e+00,3.9724e+00,3.6093e+00
2.8000e+01,1.0000e+00,2.7237e+00,-2.0496e+05,-2.0497e+05,-2.7986e-02,-2.0497e+05,8.6133e-02,7.4225e+00,1.8855e+05,7.1983e+01,-3.5562e-01,-1.8992e+00,3.7653e+00,2.9729e-01
2.9000e+01,1.0000e+00,2.8183e+00,-2.0495e+05,-2.0496e+05,-2.8986e-02,-2.0496e+05,8.7326e-02,7.6297e+00,1.8854e+05,7.4734e+01,1.6520e-01,-7.6428e-01,3.9032e+00,2.8537e-01
3.0000e+01,1.0000e+00,2.9126e+00,-2.0493e+05,-2.0494e+05,-2.9985e-02,-2.0494e+05,8.7333e-02,7.6309e+00,1.8853e+05,7.7431e+01,-4.6731e-01,-1.7047e+00,3.7521e+00,1.0066e+00
3.1000e+01,2.0000e+00,3.0039e+00,-2.0493e+05,-2.0493e+05,-3.0985e-02,-2.0493e+05,8.7193e-02,7.6063e+00,1.8851e+05,8.3392e+01,3.3435e-01,-9.0293e-01,3.9036e+00,6.6187e-01
3.2000e+01,1.0000e+00,3.0978e+00,-2.0492e+05,-2.0493e+05,-3.1984e-02,-2.0493e+05,8.4998e-02,7.2283e+00,1.8851e+05,8.6138e+01,1.3351e-01,-1.6332e+00,3.8279e+00,1.4551e+00
3.3000e+01,1.0000e+00,3.1915e+00,-2.0487e+05,-2.0488e+05,-3.2984e-02,-2.0488e+05,8.7350e-02,7.6339e+00,1.8850e+05,8.8366e+01,2.3646e-01,-1.2879e+00,3.9353e+00,2.6758e+00
3.4000e+01,1.0000e+00,3.2850e+00,-2.0487e+05,-2.0488e+05,-3.3983e-02,-2.0488e+05,8.5370e-02,7.2916e+00,1.8846e+05,9.1421e+01,5.2469e-02,-1.5904e+00,3.9362e+00,3.3722e+00
3.5000e+01,1.0000e+00,3.3784e+00,-2.0480e+05,-2.0481e+05,-3.4983e-02,-2.0481e+05,8.7362e-02,7.6359e+00,1.8845e+05,9.4065e+01,-4.9610e-01,-1.7236e+00,3.8199e+00,3.4639e+00
