niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust,logNpix,tau,dmod
1.0000e+00,1.0000e+00,9.9900e-02,-1.9733e+05,-1.9734e+05,-9.9950e-04,-1.9734e+05,8.7167e-02,7.6019e+00,inf,1.7698e+00,4.0473e-01,-9.2311e-01,1.6448e+00,2.5481e+00,2.7889e+01
2.0000e+00,1.0000e+00,1.9960e-01,-1.9668e+05,-1.9669e+05,-1.9990e-03,-1.9669e+05,8.7173e-02,7.6029e+00,1.7465e+05,3.5825e+00,2.9032e-01,-6.5962e-01,1.7020e+00,2.7325e+00,2.7818e+01
3.0000e+00,1.0000e+00,2.9910e-01,-1.9637e+05,-1.9638e+05,-2.9985e-03,-1.9638e+05,8.7179e-02,7.6039e+00,1.7400e+05,5.7503e+00,4.9970e-01,-1.7061e+00,1.6061e+00,2.4293e+00,2.7822e+01
4.0000e+00,1.0000e+00,3.9841e-01,-1.9589e+05,-1.9590e+05,-3.9980e-03,-1.9590e+05,8.7184e-02,7.6049e+00,1.7369e+05,7.7704e+00,-3.4055e-02,-5.4601e-01,1.6645e+00,1.2805e+00,2.7679e+01
5.0000e+00,1.0000e+00,4.9751e-01,-1.9588e+05,-1.9589e+05,-4.9975e-03,-1.9589e+05,8.7188e-02,7.6056e+00,1.7321e+05,9.8416e+00,-4.2047e-01,-6.6445e-01,1.5228e+00,8.5761e-01,2.7750e+01
6.0000e+00,1.0000e+00,5.9642e-01,-1.9586e+05,-1.9587e+05,-5.9970e-03,-1.9587e+05,8.7196e-02,7.6069e+00,1.7320e+05,1.2179e+01,4.9448e-01,-1.7319e+00,1.5305e+00,2.3393e+00,2.7591e+01
7.0000e+00,1.0000e+00,6.9513e-01,-1.9375e+05,-1.9375e+05,-6.9965e-03,-1.9375e+05,8.7201e-02,7.6079e+00,1.7318e+05,1.4540e+01,3.7228e-01,-1.3895e+00,1.7717e+00,2.4374e+00,2.7893e+01
8.0000e+00,1.0000e+00,7.9365e-01,-1.9357e+05,-1.9358e+05,-7.9960e-03,-1.9358e+05,8.7207e-02,7.6089e+00,1.7106e+05,1.6851e+01,2.0755e-01,-1.4338e+00,1.5385e+00,1.7481e+00,2.7447e+01
9.0000e+00,1.0000e+00,8.9197e-01,-1.9346e+05,-1.9347e+05,-8.9955e-03,-1.9347e+05,8.7213e-02,7.6099e+00,1.7089e+05,1.8921e+01,4.4871e-01,-1.6625e+00,1.8497e+00,9.6416e-01,2.7941e+01
1.0000e+01,1.0000e+00,9.9010e-01,-1.9322e+05,-1.9323e+05,-9.9950e-03,-1.9323e+05,8.7219e-02,7.6109e+00,1.7078e+05,2.1135e+01,-4.3312e-01,-7.2163e-01,3.9639e+00,1.1660e+00,2.2269e+01
1.1000e+01,1.0000e+00,1.0880e+00,-1.9299e+05,-1.9300e+05,-1.0995e-02,-1.9300e+05,8.7224e-02,7.6119e+00,1.7054e+05,2.3214e+01,-5.8290e-02,-1.7157e+00,3.8890e+00,3.7592e-01,2.2312e+01
1.2000e+01,1.0000e+00,1.1858e+00,-1.9297e+05,-1.9298e+05,-1.1994e-02,-1.9298e+05,8.7230e-02,7.6129e+00,1.7031e+05,2.5510e+01,4.5324e-01,-6.7192e-01,3.4482e+00,2.5586e-01,2.7776e+01
1.3000e+01,1.0000e+00,1.2833e+00,-1.9297e+05,-1.9297e+05,-1.2994e-02,-1.9297e+05,8.6943e-02,7.5629e+00,1.7029e+05,2.7578e+01,3.1429e-01,-1.2337e+00,3.9193e+00,1.0535e+00,2.2261e+01
1.4000e+01,1.0000e+00,1.3807e+00,-1.9294e+05,-1.9295e+05,-1.3993e-02,-1.9295e+05,8.7242e-02,7.6149e+00,1.7028e+05,2.9628e+01,-4.4613e-01,-1.3225e+00,3.9550e+00,7.0732e-01,2.2716e+01
1.5000e+01,1.0000e+00,1.4778e+00,-1.9276e+05,-1.9277e+05,-1.4993e-02,-1.9277e+05,8.7247e-02,7.6159e+00,1.7026e+05,3.1985e+01,3.6372e-01,-1.3918e+00,3.2413e+00,7.0512e-01,2.7896e+01
1.6000e+01,1.0000e+00,1.5748e+00,-1.9274e+05,-1.9275e+05,-1.5992e-02,-1.9275e+05,8.7253e-02,7.6169e+00,1.7008e+05,3.4072e+01,-3.5562e-01,-1.8992e+00,3.7653e+00,2.9729e-01,2.2178e+01
1.7000e+01,1.0000e+00,1.6716e+00,-1.9269e+05,-1.9270e+05,-1.6992e-02,-1.9270e+05,8.7259e-02,7.6179e+00,1.7006e+05,3.6103e+01,3.1960e-01,-1.9937e+00,3.7215e+00,9.1797e-01,2.7881e+01
1.8000e+01,1.0000e+00,1.7682e+00,-1.9267e+05,-1.9268e+05,-1.7991e-02,-1.9268e+05,8.7264e-02,7.6189e+00,1.7001e+05,3.8531e+01,1.2440e-01,-1.2441e+00,3.9334e+00,2.0008e+00,2.2489e+01
1.9000e+01,1.0000e+00,1.8646e+00,-1.9266e+05,-1.9267e+05,-1.8991e-02,-1.9267e+05,8.7246e-02,7.6157e+00,1.6999e+05,4.0581e+01,3.4736e-01,-1.2669e+00,3.8465e+00,9.6774e-01,2.2326e+01
2.0000e+01,3.0000e+00,1.9569e+00,-1.9264e+05,-1.9264e+05,-1.9990e-02,-1.9264e+05,8.7276e-02,7.6209e+00,1.6998e+05,4.6411e+01,-9.0395e-02,-1.9914e+00,3.8850e+00,3.0657e+00,2.2039e+01
2.1000e+01,1.0000e+00,2.0528e+00,-1.9258e+05,-1.9259e+05,-2.0990e-02,-1.9259e+05,8.7282e-02,7.6219e+00,1.6995e+05,4.8201e+01,-1.9096e-03,-1.3356e+00,3.7493e+00,1.8067e+00,2.2007e+01
2.2000e+01,1.0000e+00,2.1484e+00,-1.9255e+05,-1.9256e+05,-2.1989e-02,-1.9256e+05,8.7287e-02,7.6229e+00,1.6990e+05,5.0211e+01,-4.6133e-01,-9.8214e-01,3.7719e+00,2.1765e+00,2.2162e+01
2.3000e+01,1.0000e+00,2.2439e+00,-1.9254e+05,-1.9255e+05,-2.2989e-02,-1.9255e+05,8.7226e-02,7.6122e+00,1.6987e+05,5.2014e+01,4.2498e-01,-1.2063e+00,3.9280e+00,2.7815e+00,2.2039e+01
2.4000e+01,1.0000e+00,2.3392e+00,-1.9254e+05,-1.9255e+05,-2.3988e-02,-1.9255e+05,8.6892e-02,7.5540e+00,1.6986e+05,5.4086e+01,-2.1257e-01,-7.9208e-01,1.6405e+00,1.4631e+00,2.7620e+01
2.5000e+01,1.0000e+00,2.4343e+00,-1.9248e+05,-1.9249e+05,-2.4988e-02,-1.9249e+05,8.7305e-02,7.6259e+00,1.6986e+05,5.6153e+01,2.8715e-01,-5.5335e-01,3.9262e+00,7.8197e-01,2.7475e+01
2.6000e+01,1.0000e+00,2.5292e+00,-1.9244e+05,-1.9245e+05,-2.5987e-02,-1.9245e+05,8.7310e-02,7.6269e+00,1.6980e+05,5.8462e+01,1.3464e-01,-1.5362e+00,3.9173e+00,2.9709e-01,2.7943e+01
2.7000e+01,1.0000e+00,2.6239e+00,-1.9240e+05,-1.9241e+05,-2.6987e-02,-1.9241e+05,8.7316e-02,7.6279e+00,1.6976e+05,6.0526e+01,-4.9239e-01,-6.5549e-01,3.9939e+00,4.0494e+00,2.2181e+01
2.8000e+01,1.0000e+00,2.7184e+00,-1.9238e+05,-1.9239e+05,-2.7986e-02,-1.9239e+05,8.7322e-02,7.6289e+00,1.6972e+05,6.2321e+01,-1.5319e-01,-1.4705e+00,3.7134e+00,1.2890e+00,2.2213e+01
2.9000e+01,1.0000e+00,2.8128e+00,-1.9237e+05,-1.9238e+05,-2.8986e-02,-1.9238e+05,8.7307e-02,7.6264e+00,1.6970e+05,6.4353e+01,-4.9065e-01,-6.4903e-01,3.9431e+00,2.8288e+00,2.2509e+01
3.0000e+01,1.0000e+00,2.9070e+00,-1.9235e+05,-1.9235e+05,-2.9985e-02,-1.9235e+05,8.7333e-02,7.6309e+00,1.6969e+05,6.6426e+01,-3.4510e-01,-1.4300e+00,3.9567e+00,1.4258e+00,2.3360e+01
3.1000e+01,1.0000e+00,3.0010e+00,-1.9232e+05,-1.9233e+05,-3.0985e-02,-1.9233e+05,8.7339e-02,7.6319e+00,1.6966e+05,6.8228e+01,1.2497e-01,-1.6482e+00,3.8859e+00,3.1286e+00,2.2077e+01
3.2000e+01,1.0000e+00,3.0948e+00,-1.9231e+05,-1.9232e+05,-3.1984e-02,-1.9232e+05,8.6292e-02,7.4500e+00,1.6964e+05,7.0394e+01,-4.6416e-01,-1.5017e+00,3.8309e+00,3.4530e+00,2.2203e+01
3.3000e+01,1.0000e+00,3.1884e+00,-1.9224e+05,-1.9225e+05,-3.2984e-02,-1.9225e+05,8.7350e-02,7.6339e+00,1.6963e+05,7.2180e+01,-2.7672e-01,-1.1096e+00,3.9034e+00,2.5514e+00,2.2688e+01
3.4000e+01,1.0000e+00,3.2819e+00,-1.9224e+05,-1.9224e+05,-3.3983e-02,-1.9224e+05,8.7275e-02,7.6207e+00,1.6956e+05,7.4492e+01,4.7905e-01,-1.9096e+00,3.2873e+00,9.7695e-01,2.7172e+01
3.5000e+01,2.0000e+00,3.3719e+00,-1.9222e+05,-1.9223e+05,-3.4983e-02,-1.9223e+05,8.7362e-02,7.6359e+00,1.6955e+05,7.9030e+01,-3.6190e-02,-7.2310e-01,3.8229e+00,7.2998e-01,2.2623e+01
3.6000e+01,1.0000e+00,3.4649e+00,-1.9221e+05,-1.9222e+05,-3.5982e-02,-1.9222e+05,8.7088e-02,7.5880e+00,1.6954e+05,8.1334e+01,1.9214e-01,-1.9356e+00,3.5840e+00,1.9127e+00,2.7619e+01
3.7000e+01,1.0000e+00,3.5577e+00,-1.9221e+05,-1.9221e+05,-3.6982e-02,-1.9221e+05,8.7315e-02,7.6277e+00,1.6953e+05,8.3799e+01,-1.0829e-01,-7.6618e-01,3.9075e+00,9.9348e-01,2.3052e+01
3.8000e+01,1.0000e+00,3.6503e+00,-1.9213e+05,-1.9214e+05,-3.7981e-02,-1.9214e+05,8.7379e-02,7.6389e+00,1.6952e+05,8.5880e+01,3.4606e-01,-1.7251e+00,3.7824e+00,6.0790e-01,2.2761e+01
3.9000e+01,1.0000e+00,3.7428e+00,-1.9208e+05,-1.9209e+05,-3.8981e-02,-1.9209e+05,8.7385e-02,7.6399e+00,1.6945e+05,8.7967e+01,-3.6224e-01,-1.0565e+00,3.6293e+00,7.9690e-01,2.2115e+01
4.0000e+01,1.0000e+00,3.8351e+00,-1.9205e+05,-1.9205e+05,-3.9980e-02,-1.9205e+05,8.7390e-02,7.6409e+00,1.6940e+05,9.0313e+01,2.1661e-01,-1.2789e+00,3.6820e+00,2.5894e+00,2.7898e+01
4.1000e+01,1.0000e+00,3.9272e+00,-1.9203e+05,-1.9204e+05,-4.0980e-02,-1.9204e+05,8.7395e-02,7.6417e+00,1.6936e+05,9.2381e+01,3.2831e-01,-1.0741e+00,3.9240e+00,1.5674e+00,2.7074e+01
4.2000e+01,1.0000e+00,4.0191e+00,-1.9203e+05,-1.9204e+05,-4.1979e-02,-1.9204e+05,8.4603e-02,7.1612e+00,1.6935e+05,9.4747e+01,7.7086e-02,-1.2122e+00,3.1089e+00,1.3732e+00,2.7869e+01
