logfeh_mean,logdust,logNpix,tau,dmod,logl
-3.7421e-01,-1.5636e+00,1.6754e+00,6.2642e-01,2.3410e+01,-4.2889e+04
-4.5878e-02,-1.9440e+00,1.8179e+00,4.8986e+00,2.3860e+01,-2.9178e+04
-3.7287e-01,-1.5607e+00,1.7795e+00,1.3838e-01,2.3637e+01,-4.5215e+04
-3.2063e-01,-1.7687e+00,2.1491e+00,4.3974e+00,2.4995e+01,-1.3606e+04
-6.9815e-02,-1.3956e+00,1.8195e+00,4.8888e+00,2.3752e+01,-4.2688e+04
-9.9104e-02,-1.9779e+00,2.3862e+00,4.1176e+00,2.5460e+01,-2.9194e+04
-4.3141e-01,-1.9268e+00,2.6465e+00,1.4405e+00,2.6243e+01,-4.5055e+04
-4.0644e-01,-1.9678e+00,2.6928e+00,2.0147e+00,2.6435e+01,-4.6457e+04
-1.0932e-01,-1.9400e+00,2.2512e+00,3.6628e+00,2.5110e+01,-2.9441e+04
-4.6364e-01,-1.6019e+00,2.8041e+00,4.5666e+00,2.7069e+01,-1.6248e+04
-4.9573e-01,-1.9433e+00,2.8994e+00,3.6944e+00,2.7285e+01,-2.2385e+04
-2.5704e-01,-1.7451e+00,2.7159e+00,4.6909e+00,2.6739e+01,-2.1950e+04
-3.6778e-01,-1.5755e+00,2.6142e+00,2.6824e+00,2.6127e+01,-4.6203e+04
-2.8606e-01,-1.6250e+00,1.5708e+00,3.9139e+00,2.3484e+01,-4.1581e+04
-8.6644e-02,-1.6041e+00,2.4487e+00,4.1591e+00,2.5697e+01,-3.7548e+04
-4.7316e-01,-1.8676e+00,2.5186e+00,2.0031e+00,2.5960e+01,-2.8125e+04
-4.1788e-01,-1.1950e+00,1.7476e+00,2.8352e+00,2.3697e+01,-4.4176e+04
-4.1244e-01,-1.7569e+00,2.9491e+00,4.4009e+00,2.7269e+01,-2.4362e+04
-2.5119e-01,-1.6669e+00,2.1066e+00,4.2530e+00,2.5124e+01,-4.6615e+04
-1.9028e-01,-1.4377e+00,1.6826e+00,4.5616e+00,2.3797e+01,-4.2079e+04
-2.5196e-01,-1.9142e+00,2.0816e+00,4.5673e+00,2.4727e+01,-2.1235e+04
-8.1877e-02,-1.9733e+00,2.2342e+00,3.8987e+00,2.5147e+01,-2.9095e+04
-4.3641e-01,-1.4688e+00,2.1792e+00,2.3484e+00,2.4847e+01,-3.5717e+04
