logfeh_mean,logdust,logNpix,tau,logl
-4.8929e-01,-1.9234e+00,1.8253e+00,3.3946e+00,-3.2478e+04
-4.8712e-01,-1.9395e+00,1.8288e+00,3.3326e+00,-3.2416e+04
-4.8698e-01,-1.9784e+00,1.8312e+00,3.1424e+00,-3.2566e+04
-4.5901e-01,-1.9811e+00,1.8367e+00,3.3647e+00,-3.2409e+04
-4.8528e-01,-1.9522e+00,1.8292e+00,3.3186e+00,-3.2531e+04
-4.9127e-01,-1.9977e+00,1.8310e+00,3.3141e+00,-3.2413e+04
-4.8558e-01,-1.9936e+00,1.8286e+00,3.4121e+00,-3.2497e+04
-4.8694e-01,-1.9449e+00,1.8299e+00,3.3320e+00,-3.2531e+04
-4.9030e-01,-1.9415e+00,1.8247e+00,3.3966e+00,-3.2505e+04
-4.8871e-01,-1.9636e+00,1.8328e+00,3.3341e+00,-3.2407e+04
-4.8522e-01,-1.9737e+00,1.8310e+00,3.3291e+00,-3.2505e+04
-4.8518e-01,-1.9990e+00,1.8306e+00,3.3492e+00,-3.2544e+04
-4.8654e-01,-1.9660e+00,1.8318e+00,3.3356e+00,-3.2570e+04
-4.8584e-01,-1.9533e+00,1.8286e+00,3.3295e+00,-3.2326e+04
-4.5968e-01,-1.9909e+00,1.8351e+00,3.3656e+00,-3.2441e+04
-4.8646e-01,-1.9254e+00,1.8305e+00,3.3208e+00,-3.2562e+04
-4.8710e-01,-1.9843e+00,1.8299e+00,3.3478e+00,-3.2188e+04
-4.9137e-01,-1.9462e+00,1.8299e+00,3.3243e+00,-3.2568e+04
-4.8621e-01,-1.9004e+00,1.8298e+00,3.3299e+00,-3.2416e+04
-4.8687e-01,-1.9601e+00,1.8301e+00,3.3555e+00,-3.2297e+04
-4.9126e-01,-1.9569e+00,1.8296e+00,3.3355e+00,-3.2556e+04
-4.8524e-01,-1.9806e+00,1.8292e+00,3.3124e+00,-3.2439e+04
-4.9168e-01,-1.9283e+00,1.8309e+00,3.3115e+00,-3.2540e+04
-4.8968e-01,-1.9654e+00,1.8253e+00,3.3678e+00,-3.2563e+04
-4.8251e-01,-1.9449e+00,1.8310e+00,3.3013e+00,-3.2566e+04
-4.8948e-01,-1.9768e+00,1.8245e+00,3.3459e+00,-3.2471e+04
-4.9137e-01,-1.9808e+00,1.8281e+00,3.2742e+00,-3.2545e+04
-4.8727e-01,-1.9581e+00,1.8297e+00,3.3441e+00,-3.2495e+04
-4.8637e-01,-1.9314e+00,1.8303e+00,3.3317e+00,-3.2414e+04
-4.8706e-01,-1.9464e+00,1.8302e+00,3.3684e+00,-3.2414e+04
-4.8507e-01,-1.9902e+00,1.8311e+00,3.3624e+00,-3.2561e+04
-4.9146e-01,-1.9804e+00,1.8290e+00,3.2850e+00,-3.2293e+04
