logfeh_mean,logdust,logNpix,tau,dmod,logl
-4.6823e-01,-1.9021e+00,2.1639e+00,3.8125e+00,2.7695e+01,-4.1624e+04
-4.9113e-01,-1.9881e+00,2.1395e+00,3.7780e+00,2.7593e+01,-4.0708e+04
-4.9557e-01,-1.9021e+00,2.1668e+00,3.8214e+00,2.7645e+01,-4.0172e+04
-4.9394e-01,-1.8841e+00,2.2694e+00,3.7707e+00,2.7933e+01,-4.1298e+04
-4.9851e-01,-1.9274e+00,2.2517e+00,3.5886e+00,2.7826e+01,-4.1514e+04
-4.9433e-01,-1.8428e+00,2.2743e+00,3.9494e+00,2.7999e+01,-4.1270e+04
-4.9972e-01,-1.7611e+00,2.2734e+00,3.7520e+00,2.7944e+01,-4.0530e+04
-4.8178e-01,-1.9906e+00,2.1755e+00,3.7732e+00,2.7715e+01,-4.1491e+04
-4.9450e-01,-1.7608e+00,2.2701e+00,3.9370e+00,2.7983e+01,-4.1464e+04
-4.8377e-01,-1.9134e+00,2.2515e+00,3.7784e+00,2.7919e+01,-4.1437e+04
-4.8828e-01,-1.9511e+00,2.1614e+00,3.6216e+00,2.7577e+01,-4.1395e+04
-4.6999e-01,-1.9310e+00,2.1701e+00,4.0399e+00,2.7731e+01,-4.1400e+04
-4.9727e-01,-1.9134e+00,2.2807e+00,3.7722e+00,2.7962e+01,-4.0798e+04
-4.7875e-01,-1.7219e+00,2.2730e+00,3.8324e+00,2.7938e+01,-4.1576e+04
-4.9070e-01,-1.9987e+00,2.2184e+00,3.7656e+00,2.7822e+01,-4.1389e+04
-4.8360e-01,-1.9214e+00,2.2806e+00,3.6192e+00,2.7938e+01,-4.1481e+04
-4.9855e-01,-1.9781e+00,2.2747e+00,3.5200e+00,2.7909e+01,-4.1604e+04
-4.9137e-01,-1.8164e+00,2.1620e+00,3.7317e+00,2.7632e+01,-4.0335e+04
-4.9786e-01,-1.8574e+00,2.1047e+00,3.9269e+00,2.7529e+01,-4.1015e+04
-4.8493e-01,-1.7727e+00,2.2424e+00,3.9605e+00,2.7919e+01,-4.0989e+04
-4.9822e-01,-1.7767e+00,2.2034e+00,3.9110e+00,2.7799e+01,-4.0634e+04
-4.9215e-01,-1.9580e+00,2.2708e+00,3.9173e+00,2.7986e+01,-4.0564e+04
-4.9051e-01,-1.9970e+00,2.1677e+00,3.6599e+00,2.7667e+01,-4.1387e+04
-4.9460e-01,-1.9688e+00,2.1515e+00,3.9894e+00,2.7690e+01,-4.0189e+04
-4.8612e-01,-1.9010e+00,2.1913e+00,3.6694e+00,2.7690e+01,-4.1426e+04
-4.6251e-01,-1.9976e+00,2.1675e+00,3.7692e+00,2.7686e+01,-4.1126e+04
-4.7412e-01,-1.9303e+00,2.0849e+00,3.6814e+00,2.7408e+01,-4.1168e+04
-4.9415e-01,-1.7701e+00,2.1991e+00,3.9403e+00,2.7775e+01,-4.1387e+04
-4.9032e-01,-1.8972e+00,2.1512e+00,3.6776e+00,2.7603e+01,-4.1348e+04
-4.6953e-01,-1.9382e+00,2.1296e+00,3.7389e+00,2.7530e+01,-4.1469e+04
-4.8247e-01,-1.9517e+00,2.2317e+00,3.8418e+00,2.7879e+01,-4.0857e+04
