niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod
1.0000e+00,1.0000e+00,9.9900e-02,-2.1137e+05,-2.1137e+05,-9.9950e-04,-2.1137e+05,8.7167e-02,7.6019e+00,inf,2.1387e+00,-4.7506e-01,-6.7441e-01,-1.7931e+00,-8.5213e-01,1.7428e-01,8.6519e-01,3.9217e+00,2.2079e+01
2.0000e+00,1.0000e+00,1.9960e-01,-2.1065e+05,-2.1066e+05,-1.9990e-03,-2.1066e+05,8.7173e-02,7.6029e+00,1.8926e+05,4.7104e+00,9.5053e-02,-1.6297e+00,-1.9737e+00,8.7620e-02,1.5195e-01,9.8865e-01,3.8935e+00,2.2241e+01
3.0000e+00,1.0000e+00,2.9910e-01,-2.1062e+05,-2.1062e+05,-2.9985e-03,-2.1062e+05,8.7179e-02,7.6039e+00,1.8855e+05,7.3045e+00,-4.8677e-01,-1.9150e+00,-1.9360e+00,-2.1246e+00,-6.3321e-02,1.8624e+00,3.7037e+00,2.2042e+01
4.0000e+00,1.0000e+00,3.9841e-01,-2.1029e+05,-2.1030e+05,-3.9980e-03,-2.1030e+05,8.7184e-02,7.6049e+00,1.8851e+05,9.8843e+00,2.0972e-02,-9.7862e-01,-2.1664e+00,4.2826e-02,2.3341e-02,2.6389e+00,3.8323e+00,2.2279e+01
5.0000e+00,1.0000e+00,4.9751e-01,-2.1010e+05,-2.1011e+05,-4.9975e-03,-2.1011e+05,8.7190e-02,7.6059e+00,1.8819e+05,1.2859e+01,-3.2988e-01,-9.2243e-01,-1.0613e+00,-1.8418e+00,1.0005e+00,2.1012e+00,3.7679e+00,2.2226e+01
6.0000e+00,1.0000e+00,5.9642e-01,-2.1008e+05,-2.1009e+05,-5.9970e-03,-2.1009e+05,8.7196e-02,7.6069e+00,1.8800e+05,1.5819e+01,5.6838e-02,-5.9808e-01,-9.1222e-01,1.4162e-01,1.0630e+00,2.2494e+00,3.9024e+00,2.2225e+01
7.0000e+00,1.0000e+00,6.9513e-01,-2.0996e+05,-2.0997e+05,-6.9965e-03,-2.0997e+05,8.7201e-02,7.6079e+00,1.8798e+05,1.8799e+01,1.3385e-01,-1.1081e+00,-2.7310e+00,2.0117e-01,-2.9609e-01,1.2497e+00,3.8936e+00,2.2436e+01
8.0000e+00,1.0000e+00,7.9365e-01,-2.0993e+05,-2.0994e+05,-7.9960e-03,-2.0994e+05,8.7207e-02,7.6089e+00,1.8786e+05,2.1122e+01,2.6008e-01,-7.5109e-01,-1.8359e+00,-8.0546e-01,3.5279e-02,2.7850e-01,3.9489e+00,2.2425e+01
9.0000e+00,1.0000e+00,8.9197e-01,-2.0985e+05,-2.0986e+05,-8.9955e-03,-2.0986e+05,8.7213e-02,7.6099e+00,1.8783e+05,2.3695e+01,2.3897e-01,-8.1129e-01,-1.8378e+00,-7.4322e-01,7.3261e-02,1.7166e+00,3.8893e+00,2.2337e+01
1.0000e+01,1.0000e+00,9.9010e-01,-2.0957e+05,-2.0958e+05,-9.9950e-03,-2.0958e+05,8.7219e-02,7.6109e+00,1.8775e+05,2.6385e+01,-1.0296e-01,-1.6795e+00,-2.2336e+00,-5.2489e-01,8.7672e-01,5.4485e-01,3.7027e+00,2.2254e+01
