nlive,niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logSFH5,dmod
2.0000e+03,1.8000e+01,1.0000e+00,1.7682e+00,-2.5961e+04,-2.5968e+04,-1.7991e-02,-2.5968e+04,8.7264e-02,7.6189e+00,2.4075e+04,1.7401e+02,-6.9564e-01,-5.2361e-01,6.3524e-01,8.4231e-01,1.5733e+00,2.2408e+00,2.9824e+00,2.8829e+00,2.9249e+01
2.0000e+03,1.9000e+01,1.0000e+00,1.8646e+00,-2.5804e+04,-2.5812e+04,-1.8991e-02,-2.5812e+04,8.7270e-02,7.6199e+00,2.3928e+04,1.8357e+02,-6.6680e-01,-7.3969e-01,6.9691e-01,1.1040e+00,1.6496e+00,2.0915e+00,2.9001e+00,2.9218e+00,2.9298e+01
2.0000e+03,2.0000e+01,1.0000e+00,1.9608e+00,-2.5760e+04,-2.5768e+04,-1.9990e-02,-2.5768e+04,8.7276e-02,7.6209e+00,2.3772e+04,1.9332e+02,-6.4194e-01,-6.1431e-01,6.8691e-01,1.1507e+00,1.5729e+00,2.1501e+00,2.9307e+00,2.9187e+00,2.9269e+01
2.0000e+03,2.1000e+01,2.0000e+00,2.0548e+00,-2.5712e+04,-2.5719e+04,-2.0990e-02,-2.5719e+04,8.7282e-02,7.6219e+00,2.3728e+04,2.1257e+02,-7.9581e-01,-6.5685e-01,5.6062e-01,1.1563e+00,1.6888e+00,2.1948e+00,2.8589e+00,2.9490e+00,2.9277e+01
2.0000e+03,2.2000e+01,2.0000e+00,2.1484e+00,-2.5699e+04,-2.5706e+04,-2.1989e-02,-2.5706e+04,8.7287e-02,7.6228e+00,2.3679e+04,2.3187e+02,-7.9841e-01,-6.5436e-01,8.4392e-01,9.6380e-01,1.6512e+00,1.9833e+00,2.9018e+00,2.8986e+00,2.9292e+01
2.0000e+03,2.3000e+01,1.0000e+00,2.2439e+00,-2.5365e+04,-2.5373e+04,-2.2989e-02,-2.5373e+04,8.7293e-02,7.6239e+00,2.3666e+04,2.4147e+02,-4.9803e-01,-7.5306e-01,8.4739e-01,8.8451e-01,1.6035e+00,1.9748e+00,2.9192e+00,2.8461e+00,2.9239e+01
2.0000e+03,2.4000e+01,1.0000e+00,2.3392e+00,-2.5074e+04,-2.5081e+04,-2.3988e-02,-2.5081e+04,8.7299e-02,7.6249e+00,2.3333e+04,2.5119e+02,-7.7086e-01,-7.5899e-01,8.4391e-01,9.1305e-01,1.4571e+00,2.2343e+00,2.9286e+00,2.8517e+00,2.9355e+01
2.0000e+03,2.5000e+01,1.0000e+00,2.4343e+00,-2.4972e+04,-2.4979e+04,-2.4988e-02,-2.4979e+04,8.7305e-02,7.6259e+00,2.3041e+04,2.6076e+02,-7.9467e-01,-7.8124e-01,6.5967e-01,1.0848e+00,1.4652e+00,2.0436e+00,2.9788e+00,2.8330e+00,2.9314e+01
2.0000e+03,2.6000e+01,1.0000e+00,2.5292e+00,-2.4878e+04,-2.4886e+04,-2.5987e-02,-2.4886e+04,8.7310e-02,7.6269e+00,2.2939e+04,2.7040e+02,-7.3588e-01,-6.6860e-01,7.4397e-01,9.2163e-01,1.5591e+00,1.9533e+00,2.9605e+00,2.8522e+00,2.9273e+01
2.0000e+03,2.7000e+01,1.0000e+00,2.6239e+00,-2.4767e+04,-2.4774e+04,-2.6987e-02,-2.4774e+04,8.7316e-02,7.6279e+00,2.2845e+04,2.8010e+02,-6.7063e-01,-6.7448e-01,7.6203e-01,1.0882e+00,1.5014e+00,2.0155e+00,2.8398e+00,2.9199e+00,2.9222e+01
2.0000e+03,2.8000e+01,1.0000e+00,2.7184e+00,-2.4708e+04,-2.4716e+04,-2.7986e-02,-2.4716e+04,8.7322e-02,7.6289e+00,2.2734e+04,2.8971e+02,-7.9414e-01,-6.1773e-01,7.6416e-01,8.8515e-01,1.5641e+00,2.0322e+00,2.9895e+00,2.8787e+00,2.9332e+01
2.0000e+03,2.9000e+01,1.0000e+00,2.8128e+00,-2.4703e+04,-2.4711e+04,-2.8986e-02,-2.4711e+04,8.6897e-02,7.5548e+00,2.2675e+04,2.9937e+02,-7.7557e-01,-7.3488e-01,8.3621e-01,8.4007e-01,1.6216e+00,2.1119e+00,2.9200e+00,2.8862e+00,2.9368e+01
2.0000e+03,3.0000e+01,1.0000e+00,2.9070e+00,-2.4629e+04,-2.4636e+04,-2.9985e-02,-2.4636e+04,8.7333e-02,7.6309e+00,2.2670e+04,3.0916e+02,-4.4191e-01,-5.1479e-01,6.5460e-01,8.3887e-01,1.5844e+00,2.2822e+00,2.9873e+00,2.9526e+00,2.9299e+01
2.0000e+03,3.1000e+01,1.0000e+00,3.0010e+00,-2.4362e+04,-2.4370e+04,-3.0985e-02,-2.4370e+04,8.7339e-02,7.6319e+00,2.2596e+04,3.1874e+02,-6.0487e-01,-6.2191e-01,7.1325e-01,1.0707e+00,1.5192e+00,2.0050e+00,2.9201e+00,2.9438e+00,2.9272e+01
2.0000e+03,3.2000e+01,1.0000e+00,3.0948e+00,-2.4154e+04,-2.4162e+04,-3.1984e-02,-2.4162e+04,8.7345e-02,7.6329e+00,2.2330e+04,3.2839e+02,-7.5317e-01,-7.8702e-01,5.4027e-01,1.1953e+00,1.6147e+00,1.9640e+00,2.9113e+00,2.8625e+00,2.9278e+01
2.0000e+03,3.3000e+01,1.0000e+00,3.1884e+00,-2.3960e+04,-2.3967e+04,-3.2984e-02,-2.3967e+04,8.7350e-02,7.6339e+00,2.2122e+04,3.3801e+02,-5.5133e-01,-5.9807e-01,6.1004e-01,1.1733e+00,1.7304e+00,2.2235e+00,2.8294e+00,2.9195e+00,2.9246e+01
