logfeh,logdust,logNpix,tau,logl
-2.4847e-01,-5.0079e-01,4.5014e+00,7.7528e-01,-1.6108e+01
-2.4783e-01,-5.0059e-01,4.5022e+00,3.8131e-01,-1.5968e+01
-2.5040e-01,-4.9951e-01,4.5020e+00,1.3825e-01,-1.6243e+01
-2.4988e-01,-5.0024e-01,4.5014e+00,7.7558e-01,-1.6035e+01
-2.5213e-01,-4.9923e-01,4.5015e+00,8.0322e-01,-1.4678e+01
-2.4632e-01,-5.0083e-01,4.5025e+00,7.6525e-01,-1.5940e+01
-2.4427e-01,-5.0167e-01,4.5025e+00,6.0468e-01,-1.3223e+01
-2.3801e-01,-5.0337e-01,4.5027e+00,1.0891e+00,-1.4536e+01
-2.4478e-01,-5.0116e-01,4.5028e+00,7.5551e-01,-1.1892e+01
-2.3846e-01,-5.0301e-01,4.5021e+00,1.2005e+00,-1.5432e+01
-2.4342e-01,-5.0184e-01,4.5028e+00,6.5059e-01,-1.5445e+01
-2.4148e-01,-5.0301e-01,4.5023e+00,7.4933e-01,-1.5102e+01
-2.4374e-01,-5.0150e-01,4.5028e+00,7.5549e-01,-1.4213e+01
-2.4674e-01,-5.0099e-01,4.5020e+00,7.6033e-01,-1.5067e+01
-2.3338e-01,-5.0514e-01,4.5041e+00,3.9838e-01,-1.6017e+01
-2.5027e-01,-5.0034e-01,4.5012e+00,5.9384e-01,-1.3737e+01
-2.4309e-01,-5.0072e-01,4.5002e+00,1.3905e+00,-1.6218e+01
-2.3798e-01,-5.0450e-01,4.5024e+00,8.0125e-01,-1.4559e+01
-2.4913e-01,-5.0013e-01,4.5017e+00,7.7925e-01,-1.4924e+01
-2.4490e-01,-5.0152e-01,4.5024e+00,6.3189e-01,-1.4560e+01
-2.4605e-01,-5.0112e-01,4.5022e+00,6.0872e-01,-1.4988e+01
-2.4432e-01,-5.0181e-01,4.5023e+00,7.6733e-01,-1.5735e+01
-2.4181e-01,-5.0266e-01,4.5027e+00,7.4435e-01,-1.5408e+01
-2.3270e-01,-5.0546e-01,4.5040e+00,1.3141e-01,-1.2128e+01
-2.4235e-01,-5.0241e-01,4.5028e+00,3.9391e-01,-1.3680e+01
-2.3156e-01,-5.0593e-01,4.5042e+00,3.2675e-01,-1.4873e+01
-2.5762e-01,-4.9773e-01,4.5013e+00,4.9381e-01,-1.5251e+01
-2.3426e-01,-5.0487e-01,4.5040e+00,3.6631e-01,-1.6037e+01
-2.4993e-01,-4.9998e-01,4.5017e+00,7.6705e-01,-1.5561e+01
-2.3727e-01,-5.0434e-01,4.5029e+00,7.4902e-01,-1.4834e+01
-2.2946e-01,-5.0696e-01,4.5040e+00,1.7970e-01,-1.4888e+01
-2.3005e-01,-5.0680e-01,4.5040e+00,1.0145e-01,-1.5703e+01
-2.4493e-01,-5.0180e-01,4.5020e+00,9.1021e-01,-1.5533e+01
-2.4206e-01,-5.0264e-01,4.5027e+00,5.9419e-01,-1.5898e+01
-2.4561e-01,-5.0081e-01,4.5011e+00,1.1818e+00,-1.5976e+01
