nlive,niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust_med,logNpix,tau
2.0000e+03,1.0000e+00,1.0000e+00,3.3223e-01,-8.4209e+05,-8.4209e+05,-3.3278e-03,-8.4209e+05,1.4594e-01,6.4003e+00,inf,2.3404e+03,3.9477e-01,-2.8593e-01,2.1302e+00,2.4461e+00
2.0000e+03,2.0000e+00,1.0000e+00,6.6225e-01,-8.3148e+05,-8.3149e+05,-6.6556e-03,-8.3149e+05,1.4598e-01,6.4036e+00,4.7288e+05,2.3482e+03,2.3527e-01,-1.1097e+00,2.1459e+00,2.2332e+00
2.0000e+03,3.0000e+00,1.0000e+00,9.9010e-01,-8.2833e+05,-8.2834e+05,-9.9834e-03,-8.2834e+05,1.4602e-01,6.4069e+00,4.6227e+05,2.3566e+03,-3.5468e-01,-1.7587e+00,6.9998e+00,1.9948e+01
2.0000e+03,4.0000e+00,1.0000e+00,1.3158e+00,-8.2736e+05,-8.2737e+05,-1.3311e-02,-8.2737e+05,1.4605e-01,6.4102e+00,4.5912e+05,2.3654e+03,1.4548e-01,-1.5196e+00,2.0485e+00,4.5783e+00
2.0000e+03,5.0000e+00,1.0000e+00,1.6393e+00,-8.2417e+05,-8.2417e+05,-1.6639e-02,-8.2417e+05,1.4609e-01,6.4136e+00,4.5815e+05,2.3721e+03,-1.0371e+00,-1.8090e-02,2.0300e+00,6.7715e+00
2.0000e+03,6.0000e+00,1.0000e+00,1.9608e+00,-8.2352e+05,-8.2353e+05,-1.9967e-02,-8.2353e+05,1.4613e-01,6.4169e+00,4.5496e+05,2.3796e+03,4.6472e-01,-1.7350e+00,2.3014e+00,1.4507e+00
2.0000e+03,7.0000e+00,1.0000e+00,2.2801e+00,-8.1933e+05,-8.1934e+05,-2.3295e-02,-8.1934e+05,1.4617e-01,6.4202e+00,4.5431e+05,2.3873e+03,-7.0012e-02,-5.5182e-01,2.0934e+00,5.7877e+00
2.0000e+03,8.0000e+00,1.0000e+00,2.5974e+00,-8.1637e+05,-8.1637e+05,-2.6622e-02,-8.1637e+05,1.4621e-01,6.4235e+00,4.5012e+05,2.3937e+03,3.0747e-01,-1.7230e+00,2.0077e+00,1.2295e+01
2.0000e+03,9.0000e+00,1.0000e+00,2.9126e+00,-8.1597e+05,-8.1597e+05,-2.9950e-02,-8.1597e+05,1.4624e-01,6.4269e+00,4.4716e+05,2.4026e+03,-9.0571e-01,-5.6403e-01,6.9890e+00,1.1083e+01
2.0000e+03,1.0000e+01,1.0000e+00,3.2258e+00,-8.1453e+05,-8.1454e+05,-3.3278e-02,-8.1454e+05,1.4628e-01,6.4302e+00,4.4676e+05,2.4124e+03,-6.6649e-01,-9.2830e-01,2.0310e+00,6.0828e+00
2.0000e+03,1.1000e+01,1.0000e+00,3.5370e+00,-8.1165e+05,-8.1166e+05,-3.6606e-02,-8.1166e+05,1.4632e-01,6.4336e+00,4.4532e+05,2.4204e+03,-1.1894e+00,-7.0088e-01,6.9083e+00,1.3927e+01
2.0000e+03,1.2000e+01,1.0000e+00,3.8462e+00,-8.0968e+05,-8.0968e+05,-3.9933e-02,-8.0968e+05,1.4636e-01,6.4368e+00,4.4244e+05,2.4279e+03,3.0702e-01,-6.5315e-02,2.3377e+00,6.4200e+00
2.0000e+03,1.3000e+01,1.0000e+00,4.1534e+00,-8.0801e+05,-8.0802e+05,-4.3261e-02,-8.0802e+05,1.4640e-01,6.4402e+00,4.4047e+05,2.4358e+03,-6.0719e-01,-1.3863e+00,2.0864e+00,5.9412e+00
2.0000e+03,1.4000e+01,1.0000e+00,4.4586e+00,-8.0782e+05,-8.0782e+05,-4.6589e-02,-8.0782e+05,1.4643e-01,6.4435e+00,4.3880e+05,2.4450e+03,-3.9506e-01,-1.4539e+00,6.8725e+00,1.3389e+01
2.0000e+03,1.5000e+01,1.0000e+00,4.7619e+00,-8.0604e+05,-8.0604e+05,-4.9917e-02,-8.0604e+05,1.4647e-01,6.4469e+00,4.3860e+05,2.4529e+03,2.0855e-01,-1.1553e+00,2.4422e+00,1.2282e+00
2.0000e+03,1.6000e+01,1.0000e+00,5.0633e+00,-8.0464e+05,-8.0465e+05,-5.3245e-02,-8.0465e+05,1.4651e-01,6.4501e+00,4.3683e+05,2.4607e+03,-1.0036e+00,-4.0064e-01,2.0944e+00,9.6590e+00
2.0000e+03,1.7000e+01,1.0000e+00,5.3628e+00,-8.0306e+05,-8.0306e+05,-5.6572e-02,-8.0306e+05,1.4655e-01,6.4535e+00,4.3543e+05,2.4671e+03,4.3167e-01,-1.7057e+00,2.1482e+00,1.1918e+01
2.0000e+03,1.8000e+01,1.0000e+00,5.6604e+00,-8.0292e+05,-8.0292e+05,-5.9900e-02,-8.0292e+05,1.4658e-01,6.4568e+00,4.3385e+05,2.4765e+03,-1.0570e-01,-1.1808e+00,2.0286e+00,1.9085e+01
2.0000e+03,1.9000e+01,1.0000e+00,5.9561e+00,-8.0252e+05,-8.0253e+05,-6.3228e-02,-8.0253e+05,1.4662e-01,6.4602e+00,4.3371e+05,2.4845e+03,4.3245e-03,-1.8991e+00,2.4133e+00,8.6781e-01
2.0000e+03,2.0000e+01,1.0000e+00,6.2500e+00,-8.0238e+05,-8.0238e+05,-6.6556e-02,-8.0238e+05,1.4666e-01,6.4634e+00,4.3331e+05,2.4931e+03,-1.1615e+00,-1.8737e+00,2.1611e+00,4.9244e+00
2.0000e+03,2.1000e+01,1.0000e+00,6.5421e+00,-8.0048e+05,-8.0048e+05,-6.9884e-02,-8.0048e+05,1.4670e-01,6.4668e+00,4.3317e+05,2.5006e+03,1.6442e-01,-4.4707e-01,2.3058e+00,6.5161e+00
2.0000e+03,2.2000e+01,1.0000e+00,6.8323e+00,-7.9972e+05,-7.9972e+05,-7.3211e-02,-7.9972e+05,1.4674e-01,6.4701e+00,4.3127e+05,2.5086e+03,-5.0420e-02,-5.6664e-01,2.2054e+00,8.8457e+00
2.0000e+03,2.3000e+01,1.0000e+00,7.1207e+00,-7.9725e+05,-7.9726e+05,-7.6539e-02,-7.9726e+05,1.4677e-01,6.4735e+00,4.3050e+05,2.5162e+03,-1.2906e+00,-1.2525e+00,2.1089e+00,9.0219e+00
2.0000e+03,2.4000e+01,1.0000e+00,7.4074e+00,-7.9684e+05,-7.9685e+05,-7.9867e-02,-7.9685e+05,1.4681e-01,6.4768e+00,4.2804e+05,2.5242e+03,-1.4813e+00,-1.9870e-01,6.8862e+00,1.1182e+01
2.0000e+03,2.5000e+01,1.0000e+00,7.6923e+00,-7.9634e+05,-7.9635e+05,-8.3195e-02,-7.9635e+05,1.4685e-01,6.4801e+00,4.2763e+05,2.5327e+03,-7.5336e-01,-3.4263e-01,2.4512e+00,1.3737e+00
2.0000e+03,2.6000e+01,1.0000e+00,7.9755e+00,-7.9535e+05,-7.9536e+05,-8.6523e-02,-7.9536e+05,1.4689e-01,6.4834e+00,4.2713e+05,2.5392e+03,-4.2904e-01,-1.1104e+00,2.1106e+00,1.2159e+01
2.0000e+03,2.7000e+01,1.0000e+00,8.2569e+00,-7.9520e+05,-7.9520e+05,-8.9850e-02,-7.9520e+05,1.4692e-01,6.4868e+00,4.2614e+05,2.5469e+03,3.2170e-01,-6.1573e-01,2.2147e+00,1.6688e+01
2.0000e+03,2.8000e+01,1.0000e+00,8.5366e+00,-7.9470e+05,-7.9471e+05,-9.3178e-02,-7.9471e+05,1.4696e-01,6.4901e+00,4.2599e+05,2.5558e+03,-1.0965e+00,-6.0341e-01,6.7610e+00,1.7810e+01
2.0000e+03,2.9000e+01,1.0000e+00,8.8146e+00,-7.9445e+05,-7.9446e+05,-9.6506e-02,-7.9446e+05,1.4700e-01,6.4934e+00,4.2549e+05,2.5633e+03,-6.8915e-01,-2.0135e-01,2.4239e+00,3.7046e+00
2.0000e+03,3.0000e+01,1.0000e+00,9.0909e+00,-7.9317e+05,-7.9318e+05,-9.9834e-02,-7.9318e+05,1.4704e-01,6.4968e+00,4.2524e+05,2.5714e+03,4.0298e-01,-6.3404e-01,2.3808e+00,8.2606e+00
2.0000e+03,3.1000e+01,1.0000e+00,9.3656e+00,-7.9275e+05,-7.9275e+05,-1.0316e-01,-7.9275e+05,1.4707e-01,6.5001e+00,4.2396e+05,2.5794e+03,-4.0432e-01,-5.3953e-01,2.1399e+00,1.7285e+01
2.0000e+03,3.2000e+01,1.0000e+00,9.6386e+00,-7.9247e+05,-7.9247e+05,-1.0649e-01,-7.9247e+05,1.4711e-01,6.5035e+00,4.2354e+05,2.5888e+03,-1.2236e+00,-6.5515e-01,2.1966e+00,8.6924e+00
2.0000e+03,3.3000e+01,1.0000e+00,9.9099e+00,-7.9189e+05,-7.9189e+05,-1.0982e-01,-7.9189e+05,1.4715e-01,6.5067e+00,4.2326e+05,2.5965e+03,-8.8663e-01,-1.8868e+00,6.6842e+00,1.8090e+01
2.0000e+03,3.4000e+01,1.0000e+00,1.0180e+01,-7.9039e+05,-7.9040e+05,-1.1314e-01,-7.9040e+05,1.4719e-01,6.5101e+00,4.2268e+05,2.6042e+03,-1.1131e+00,-5.1990e-01,6.7836e+00,1.0366e+01
2.0000e+03,3.5000e+01,1.0000e+00,1.0448e+01,-7.9024e+05,-7.9024e+05,-1.1647e-01,-7.9024e+05,1.4723e-01,6.5134e+00,4.2118e+05,2.6121e+03,-6.2538e-01,-8.1379e-01,6.7572e+00,1.1107e+01
2.0000e+03,3.6000e+01,1.0000e+00,1.0714e+01,-7.8820e+05,-7.8821e+05,-1.1980e-01,-7.8821e+05,1.4726e-01,6.5168e+00,4.2103e+05,2.6210e+03,-3.1075e-01,-9.3338e-01,2.2166e+00,1.1273e+01
2.0000e+03,3.7000e+01,1.0000e+00,1.0979e+01,-7.8780e+05,-7.8780e+05,-1.2313e-01,-7.8780e+05,1.4730e-01,6.5200e+00,4.1899e+05,2.6292e+03,-4.2842e-01,-1.4571e+00,2.1722e+00,1.2579e+01
2.0000e+03,3.8000e+01,1.0000e+00,1.1243e+01,-7.8778e+05,-7.8779e+05,-1.2646e-01,-7.8779e+05,1.4734e-01,6.5234e+00,4.1859e+05,2.6357e+03,-1.4756e+00,-1.0860e+00,6.6588e+00,1.6936e+01
2.0000e+03,3.9000e+01,1.0000e+00,1.1504e+01,-7.8660e+05,-7.8661e+05,-1.2978e-01,-7.8661e+05,1.4738e-01,6.5267e+00,4.1857e+05,2.6433e+03,-5.1007e-01,-3.8024e-01,6.7728e+00,1.2786e+01
