niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust,logNpix,tau,dmod
1.0000e+00,1.0000e+00,9.9900e-02,-2.1124e+05,-2.1125e+05,-9.9950e-04,-2.1125e+05,8.7167e-02,7.6019e+00,inf,1.8942e+00,-4.3312e-01,-7.2163e-01,3.9639e+00,1.1660e+00,2.2269e+01
2.0000e+00,1.0000e+00,1.9960e-01,-2.1112e+05,-2.1112e+05,-1.9990e-03,-2.1112e+05,8.7173e-02,7.6029e+00,1.8822e+05,3.8267e+00,-9.0395e-02,-1.9914e+00,3.8850e+00,3.0657e+00,2.2039e+01
3.0000e+00,1.0000e+00,2.9910e-01,-2.1107e+05,-2.1108e+05,-2.9985e-03,-2.1108e+05,8.7179e-02,7.6039e+00,1.8810e+05,6.0296e+00,-4.9239e-01,-6.5549e-01,3.9939e+00,4.0494e+00,2.2181e+01
4.0000e+00,1.0000e+00,3.9841e-01,-2.1074e+05,-2.1075e+05,-3.9980e-03,-2.1075e+05,8.7184e-02,7.6049e+00,1.8806e+05,8.5514e+00,-5.8290e-02,-1.7157e+00,3.8890e+00,3.7592e-01,2.2312e+01
5.0000e+00,1.0000e+00,4.9751e-01,-2.1060e+05,-2.1061e+05,-4.9975e-03,-2.1061e+05,8.7190e-02,7.6059e+00,1.8773e+05,1.0768e+01,-4.6416e-01,-1.5017e+00,3.8309e+00,3.4530e+00,2.2203e+01
6.0000e+00,1.0000e+00,5.9642e-01,-2.1057e+05,-2.1058e+05,-5.9970e-03,-2.1058e+05,8.7196e-02,7.6069e+00,1.8759e+05,1.3303e+01,-4.4613e-01,-1.3225e+00,3.9550e+00,7.0732e-01,2.2716e+01
7.0000e+00,1.0000e+00,6.9513e-01,-2.1056e+05,-2.1057e+05,-6.9965e-03,-2.1057e+05,8.7201e-02,7.6079e+00,1.8756e+05,1.5840e+01,-3.5562e-01,-1.8992e+00,3.7653e+00,2.9729e-01,2.2178e+01
8.0000e+00,1.0000e+00,7.9365e-01,-2.1051e+05,-2.1052e+05,-7.9960e-03,-2.1052e+05,8.7207e-02,7.6089e+00,1.8754e+05,1.8388e+01,4.2498e-01,-1.2063e+00,3.9280e+00,2.7815e+00,2.2039e+01
9.0000e+00,1.0000e+00,8.9197e-01,-2.1050e+05,-2.1050e+05,-8.9955e-03,-2.1050e+05,8.7212e-02,7.6098e+00,1.8749e+05,2.0616e+01,1.2497e-01,-1.6482e+00,3.8859e+00,3.1286e+00,2.2077e+01
1.0000e+01,1.0000e+00,9.9010e-01,-2.1045e+05,-2.1046e+05,-9.9950e-03,-2.1046e+05,8.7219e-02,7.6109e+00,1.8748e+05,2.2959e+01,3.1429e-01,-1.2337e+00,3.9193e+00,1.0535e+00,2.2261e+01
1.1000e+01,1.0000e+00,1.0880e+00,-2.1037e+05,-2.1038e+05,-1.0995e-02,-2.1038e+05,8.7224e-02,7.6119e+00,1.8744e+05,2.5191e+01,-4.6133e-01,-9.8214e-01,3.7719e+00,2.1765e+00,2.2162e+01
1.2000e+01,1.0000e+00,1.1858e+00,-2.1023e+05,-2.1024e+05,-1.1994e-02,-2.1024e+05,8.7230e-02,7.6129e+00,1.8736e+05,2.7725e+01,-1.9096e-03,-1.3356e+00,3.7493e+00,1.8067e+00,2.2007e+01
1.3000e+01,1.0000e+00,1.2833e+00,-2.1015e+05,-2.1016e+05,-1.2994e-02,-2.1016e+05,8.7236e-02,7.6139e+00,1.8722e+05,2.9959e+01,1.2440e-01,-1.2441e+00,3.9334e+00,2.0008e+00,2.2489e+01
1.4000e+01,1.0000e+00,1.3807e+00,-2.1012e+05,-2.1012e+05,-1.3993e-02,-2.1012e+05,8.7242e-02,7.6149e+00,1.8714e+05,3.2171e+01,-4.9065e-01,-6.4903e-01,3.9431e+00,2.8288e+00,2.2509e+01
1.5000e+01,1.0000e+00,1.4778e+00,-2.1008e+05,-2.1009e+05,-1.4993e-02,-2.1009e+05,8.7247e-02,7.6159e+00,1.8710e+05,3.4699e+01,4.3557e-01,-1.5639e+00,3.8903e+00,3.6590e+00,2.2039e+01
1.6000e+01,1.0000e+00,1.5748e+00,-2.0981e+05,-2.0982e+05,-1.5992e-02,-2.0982e+05,8.7253e-02,7.6169e+00,1.8707e+05,3.6942e+01,3.4736e-01,-1.2669e+00,3.8465e+00,9.6774e-01,2.2326e+01
1.7000e+01,1.0000e+00,1.6716e+00,-2.0978e+05,-2.0979e+05,-1.6992e-02,-2.0979e+05,8.7259e-02,7.6179e+00,1.8680e+05,3.9141e+01,-2.7672e-01,-1.1096e+00,3.9034e+00,2.5514e+00,2.2688e+01
1.8000e+01,1.0000e+00,1.7682e+00,-2.0977e+05,-2.0978e+05,-1.7991e-02,-2.0978e+05,8.7263e-02,7.6187e+00,1.8677e+05,4.1664e+01,-1.5319e-01,-1.4705e+00,3.7134e+00,1.2890e+00,2.2213e+01
