logfeh_mean,logdust,logNpix,tau,dmod,logl
1.8640e-01,-1.7310e+00,2.8514e+00,2.6237e+00,2.4102e+01,-1.7615e+03
2.0706e-01,-1.8461e+00,2.8569e+00,2.6597e+00,2.4117e+01,-1.7534e+03
1.8594e-01,-1.8758e+00,2.8403e+00,2.5305e+00,2.4085e+01,-1.7738e+03
1.8199e-01,-1.7596e+00,2.8635e+00,2.6099e+00,2.4144e+01,-1.7325e+03
2.0576e-01,-1.8957e+00,2.8424e+00,2.6069e+00,2.4082e+01,-1.7628e+03
1.6555e-01,-1.6916e+00,2.8505e+00,2.5417e+00,2.4103e+01,-1.7846e+03
1.5622e-01,-1.5940e+00,2.8497e+00,2.6475e+00,2.4110e+01,-1.7606e+03
1.8464e-01,-1.9004e+00,2.8484e+00,2.4651e+00,2.4094e+01,-1.7826e+03
2.0546e-01,-1.8978e+00,2.8568e+00,2.6091e+00,2.4115e+01,-1.7733e+03
1.8815e-01,-1.8043e+00,2.8561e+00,2.5409e+00,2.4112e+01,-1.7779e+03
2.0509e-01,-1.9619e+00,2.8538e+00,2.5831e+00,2.4109e+01,-1.7637e+03
2.0718e-01,-1.9744e+00,2.8456e+00,2.5343e+00,2.4085e+01,-1.7626e+03
1.7006e-01,-1.6896e+00,2.8659e+00,2.5825e+00,2.4144e+01,-1.7862e+03
1.8920e-01,-1.9415e+00,2.8617e+00,2.5195e+00,2.4139e+01,-1.7766e+03
2.1954e-01,-1.9623e+00,2.8466e+00,2.6410e+00,2.4087e+01,-1.7389e+03
1.8692e-01,-1.9172e+00,2.8581e+00,2.4540e+00,2.4120e+01,-1.7809e+03
1.8394e-01,-1.8116e+00,2.8529e+00,2.4805e+00,2.4101e+01,-1.7756e+03
2.0079e-01,-1.8582e+00,2.8368e+00,2.5565e+00,2.4056e+01,-1.7864e+03
1.1711e-01,-1.5095e+00,2.8528e+00,2.5530e+00,2.4125e+01,-1.7738e+03
1.7001e-01,-1.6805e+00,2.8622e+00,2.6276e+00,2.4140e+01,-1.7626e+03
1.4500e-01,-1.5871e+00,2.8558e+00,2.5595e+00,2.4125e+01,-1.7650e+03
2.0191e-01,-1.9386e+00,2.8509e+00,2.5368e+00,2.4099e+01,-1.7585e+03
1.6732e-01,-1.6615e+00,2.8514e+00,2.5450e+00,2.4099e+01,-1.7777e+03
