logfeh_mean,logdust,logNpix,tau,logl
4.8570e-02,-1.9557e+00,2.4109e+00,3.6322e+00,-3.7149e+03
9.1190e-03,-1.9971e+00,2.4053e+00,3.4080e+00,-3.6927e+03
9.4827e-03,-1.9943e+00,2.4065e+00,3.4023e+00,-3.7220e+03
5.1013e-02,-1.9859e+00,2.4099e+00,3.6253e+00,-3.7215e+03
5.2421e-02,-1.9645e+00,2.4090e+00,3.6454e+00,-3.7267e+03
-1.2947e-03,-1.9833e+00,2.4064e+00,3.3522e+00,-3.7167e+03
5.2188e-02,-1.9996e+00,2.4086e+00,3.6532e+00,-3.7068e+03
5.1343e-02,-1.9954e+00,2.4095e+00,3.6346e+00,-3.6630e+03
2.1955e-02,-1.9765e+00,2.4092e+00,3.5098e+00,-3.7074e+03
5.2115e-02,-1.9661e+00,2.4106e+00,3.6437e+00,-3.7186e+03
5.1939e-02,-1.9675e+00,2.4084e+00,3.6559e+00,-3.7273e+03
9.1386e-03,-1.9308e+00,2.4078e+00,3.4248e+00,-3.7269e+03
2.7099e-02,-1.9375e+00,2.4130e+00,3.5038e+00,-3.7177e+03
8.4877e-03,-1.8966e+00,2.4078e+00,3.4200e+00,-3.7074e+03
1.0834e-02,-1.9827e+00,2.4085e+00,3.3901e+00,-3.7074e+03
5.1039e-02,-1.9998e+00,2.4092e+00,3.6437e+00,-3.6800e+03
-1.7791e-03,-1.9376e+00,2.4077e+00,3.3429e+00,-3.6599e+03
7.8832e-03,-1.9816e+00,2.4125e+00,3.3776e+00,-3.7075e+03
1.0467e-02,-1.9150e+00,2.4094e+00,3.4288e+00,-3.7274e+03
-1.9633e-03,-1.9622e+00,2.4082e+00,3.3467e+00,-3.7026e+03
-4.3295e-03,-1.9919e+00,2.4017e+00,3.3746e+00,-3.7254e+03
5.0873e-02,-1.9644e+00,2.4109e+00,3.6296e+00,-3.6927e+03
5.2882e-02,-1.9759e+00,2.4097e+00,3.6597e+00,-3.7123e+03
5.0415e-02,-1.9923e+00,2.4114e+00,3.5880e+00,-3.7110e+03
1.7160e-02,-1.9820e+00,2.4085e+00,3.4149e+00,-3.7182e+03
8.5862e-03,-1.9456e+00,2.4116e+00,3.3459e+00,-3.7182e+03
5.0833e-02,-1.9589e+00,2.4109e+00,3.6027e+00,-3.7096e+03
5.1337e-02,-1.9906e+00,2.4111e+00,3.6382e+00,-3.6800e+03
