nlive,niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logSFH5,logSFH6
2.0000e+03,1.0000e+00,1.0000e+00,3.3223e-01,-1.5250e+06,-1.5250e+06,-3.3278e-03,-inf,1.4594e-01,6.4001e+00,inf,4.0223e+00,-4.4174e-01,4.2796e-01,-1.3776e+00,-1.7296e+00,-1.8312e-01,4.4016e-01,1.5461e-02,1.7705e+00,3.9321e-01
2.0000e+03,2.0000e+00,1.0000e+00,6.6225e-01,-1.5214e+06,-1.5214e+06,-6.6556e-03,-inf,1.4598e-01,6.4037e+00,inf,8.0574e+00,-1.9138e-01,4.1526e-01,-2.2541e+00,-7.2050e-01,-1.7292e-01,4.0522e-01,1.2058e+00,1.1052e+00,1.8551e-01
2.0000e+03,3.0000e+00,1.0000e+00,9.9010e-01,-1.5011e+06,-1.5011e+06,-9.9834e-03,-inf,1.4602e-01,6.4068e+00,inf,1.2077e+01,-5.9170e-01,4.5590e-01,-2.4144e+00,-1.5950e+00,-1.1954e+00,-6.2470e-01,1.6833e+00,1.7090e+00,2.0262e+00
2.0000e+03,4.0000e+00,1.0000e+00,1.3158e+00,-1.4595e+06,-1.4595e+06,-1.3311e-02,-inf,1.4606e-01,6.4104e+00,inf,1.6166e+01,-8.2454e-01,4.8950e-01,-1.5905e+00,2.8157e-01,3.9350e-01,1.5366e+00,1.4223e+00,1.3730e+00,2.5040e+00
2.0000e+03,5.0000e+00,1.0000e+00,1.6393e+00,-1.4421e+06,-1.4421e+06,-1.6639e-02,-inf,1.4609e-01,6.4136e+00,inf,2.0211e+01,-1.2320e+00,4.8663e-01,-2.2970e+00,-9.5186e-01,5.5667e-02,-8.4169e-01,1.8866e+00,2.5780e+00,1.4593e+00
2.0000e+03,6.0000e+00,1.0000e+00,1.9608e+00,-1.4189e+06,-1.4189e+06,-1.9967e-02,-inf,1.4613e-01,6.4168e+00,inf,2.4259e+01,-9.6639e-01,3.7532e-01,-1.7011e+00,-3.8346e-01,1.6194e-01,-7.3936e-01,-6.0999e-02,1.4007e+00,1.5607e+00
2.0000e+03,7.0000e+00,1.0000e+00,2.2801e+00,-1.4118e+06,-1.4118e+06,-2.3295e-02,-inf,1.4617e-01,6.4203e+00,inf,2.8292e+01,-1.3457e+00,4.3000e-01,-5.3865e-01,-1.6965e-01,9.5762e-01,1.3026e-01,8.5725e-01,1.8494e+00,7.7110e-01
2.0000e+03,8.0000e+00,1.0000e+00,2.5974e+00,-1.3967e+06,-1.3967e+06,-2.6622e-02,-inf,1.4621e-01,6.4235e+00,inf,3.2315e+01,2.7869e-01,2.9535e-01,-2.3648e+00,-1.4483e+00,-1.3399e+00,-1.6546e-01,-5.7756e-02,1.2790e+00,5.3811e-01
2.0000e+03,9.0000e+00,1.0000e+00,2.9126e+00,-1.3880e+06,-1.3880e+06,-2.9950e-02,-inf,1.4624e-01,6.4267e+00,inf,3.6356e+01,-4.5745e-01,3.9750e-01,-8.4403e-01,2.6284e-01,-5.4116e-01,7.6887e-02,1.3526e+00,1.9031e+00,3.4422e-01
2.0000e+03,1.0000e+01,1.0000e+00,3.2258e+00,-1.3811e+06,-1.3811e+06,-3.3278e-02,-inf,1.4628e-01,6.4302e+00,inf,4.0479e+01,1.2071e-01,4.1025e-01,-3.5144e-01,-2.6782e-01,-5.8630e-01,1.4310e+00,-2.3843e-01,6.9930e-01,9.7387e-01
2.0000e+03,1.1000e+01,1.0000e+00,3.5370e+00,-1.3693e+06,-1.3693e+06,-3.6606e-02,-inf,1.4632e-01,6.4335e+00,inf,4.4497e+01,4.7456e-01,3.7372e-01,-8.6534e-01,-1.4507e-01,-8.4412e-01,-4.4540e-01,-5.7607e-03,1.2671e+00,7.8282e-02
2.0000e+03,1.2000e+01,1.0000e+00,3.8462e+00,-1.3448e+06,-1.3449e+06,-3.9933e-02,-inf,1.4636e-01,6.4370e+00,inf,4.8561e+01,1.2861e-01,4.0325e-01,-1.0861e+00,-1.6308e+00,8.2382e-01,1.4923e+00,2.0577e+00,2.0082e+00,2.3989e+00
2.0000e+03,1.3000e+01,1.0000e+00,4.1534e+00,-1.3066e+06,-1.3066e+06,-4.3261e-02,-inf,1.4640e-01,6.4402e+00,inf,5.2583e+01,-1.2719e+00,3.7702e-01,-1.9315e+00,-1.2617e+00,-2.2053e-01,1.4359e+00,1.8326e+00,7.6648e-01,9.3713e-01
2.0000e+03,1.4000e+01,1.0000e+00,4.4586e+00,-1.3023e+06,-1.3023e+06,-4.6589e-02,-inf,1.4643e-01,6.4434e+00,inf,5.6614e+01,-6.5678e-01,3.3041e-01,-5.7665e-01,-6.3279e-01,-1.2921e+00,-5.9707e-01,1.2559e-01,7.3053e-01,2.1284e+00
2.0000e+03,1.5000e+01,1.0000e+00,4.7619e+00,-1.2857e+06,-1.2857e+06,-4.9917e-02,-inf,1.4647e-01,6.4469e+00,inf,6.0642e+01,-6.7549e-01,3.6155e-01,-1.2973e+00,-1.2788e+00,1.2615e-01,1.4693e+00,-2.9716e-02,2.5906e+00,4.5179e-01
2.0000e+03,1.6000e+01,1.0000e+00,5.0633e+00,-1.2417e+06,-1.2418e+06,-5.3245e-02,-inf,1.4651e-01,6.4501e+00,inf,6.4676e+01,-9.7754e-01,3.4614e-01,-3.9912e-01,1.1688e-01,9.1178e-01,-2.7200e-01,8.7236e-01,2.1596e+00,2.4535e+00
2.0000e+03,1.7000e+01,1.0000e+00,5.3628e+00,-1.2337e+06,-1.2337e+06,-5.6572e-02,-inf,1.4655e-01,6.4536e+00,inf,6.8716e+01,-6.1209e-01,3.1192e-01,-1.0671e+00,-1.5419e+00,6.6587e-02,-5.6341e-01,2.1348e+00,2.6284e+00,1.8039e+00
2.0000e+03,1.8000e+01,1.0000e+00,5.6604e+00,-1.2301e+06,-1.2301e+06,-5.9900e-02,-inf,1.4658e-01,6.4568e+00,inf,7.2767e+01,1.0475e-01,3.6388e-01,-2.9813e-01,4.5735e-01,2.0414e-01,1.4612e+00,1.4469e+00,1.9266e+00,1.6980e-01
2.0000e+03,1.9000e+01,2.0000e+00,5.9375e+00,-1.2283e+06,-1.2283e+06,-6.3228e-02,-inf,1.4662e-01,6.4601e+00,inf,8.0802e+01,-1.4113e+00,3.6040e-01,-5.0760e-01,4.5779e-01,-4.7727e-01,5.2847e-01,1.2580e+00,2.0888e+00,8.0447e-02
2.0000e+03,2.0000e+01,1.0000e+00,6.2305e+00,-1.2101e+06,-1.2101e+06,-6.6556e-02,-inf,1.4666e-01,6.4636e+00,inf,8.4860e+01,2.8420e-01,2.8790e-01,-1.9772e+00,-9.9968e-01,2.8307e-01,6.2278e-01,2.0959e+00,1.6740e+00,4.5389e-01
2.0000e+03,2.1000e+01,1.0000e+00,6.5217e+00,-1.1866e+06,-1.1866e+06,-6.9884e-02,-inf,1.4670e-01,6.4668e+00,inf,8.8918e+01,-7.4575e-01,3.6324e-01,-1.4436e+00,2.1850e-01,7.8886e-01,2.0838e-01,1.3485e+00,7.9685e-01,5.5461e-01
2.0000e+03,2.2000e+01,1.0000e+00,6.8111e+00,-1.1618e+06,-1.1618e+06,-7.3211e-02,-inf,1.4673e-01,6.4700e+00,inf,9.2957e+01,-2.7570e-01,2.9550e-01,-1.1814e+00,1.9264e-02,-9.9048e-01,1.0001e+00,1.7125e+00,1.7193e+00,1.1629e+00
2.0000e+03,2.3000e+01,1.0000e+00,7.0988e+00,-1.1470e+06,-1.1470e+06,-7.6539e-02,-inf,1.4677e-01,6.4735e+00,inf,9.7002e+01,-2.2503e-01,2.7712e-01,-1.0154e+00,-1.6384e+00,7.1891e-01,5.9810e-02,1.9763e+00,1.3426e+00,3.8043e-01
2.0000e+03,2.4000e+01,2.0000e+00,7.3620e+00,-1.1206e+06,-1.1206e+06,-7.9867e-02,-inf,1.4681e-01,6.4767e+00,inf,1.0503e+02,-5.0016e-01,2.8563e-01,-1.7147e+00,-1.2448e+00,2.4387e-01,1.3460e-01,1.1705e+00,1.2282e+00,1.5499e+00
2.0000e+03,2.5000e+01,1.0000e+00,7.6453e+00,-1.1203e+06,-1.1203e+06,-8.3195e-02,-inf,1.4685e-01,6.4802e+00,inf,1.0910e+02,-9.6486e-01,3.3207e-01,-6.8037e-01,-1.3821e+00,2.5245e-01,1.3448e+00,1.4883e+00,1.4242e+00,4.0523e-01
2.0000e+03,2.6000e+01,1.0000e+00,7.9268e+00,-1.0459e+06,-1.0459e+06,-8.6523e-02,-inf,1.4689e-01,6.4834e+00,inf,1.1315e+02,-1.0624e+00,3.1217e-01,-1.6404e+00,5.2756e-01,-1.2155e+00,-4.0434e-01,-2.4667e-01,1.8221e+00,1.5537e+00
2.0000e+03,2.7000e+01,1.0000e+00,8.2067e+00,-1.0154e+06,-1.0154e+06,-8.9850e-02,-inf,1.4692e-01,6.4868e+00,inf,1.1721e+02,4.0439e-01,2.2491e-01,-2.6181e-01,3.0103e-01,-2.2557e-03,2.6307e-01,1.8613e+00,2.5681e+00,1.5506e+00
2.0000e+03,2.8000e+01,1.0000e+00,8.4848e+00,-1.0143e+06,-1.0143e+06,-9.3178e-02,-inf,1.4696e-01,6.4902e+00,9.9342e+05,1.2124e+02,4.5653e-02,2.0660e-01,-1.8335e+00,-2.0724e-01,-1.1766e+00,5.6999e-02,1.9678e+00,1.7634e+00,1.0601e+00
2.0000e+03,2.9000e+01,1.0000e+00,8.7613e+00,-1.0064e+06,-1.0064e+06,-9.6506e-02,-inf,1.4700e-01,6.4934e+00,9.9233e+05,1.2528e+02,-1.2449e+00,2.3900e-01,-4.7054e-01,-1.7353e-01,-9.7116e-01,9.6141e-01,2.1077e+00,2.0843e+00,2.5159e+00
