logfeh,logdust,logNpix,tau,logl
-3.6015e-01,-1.0370e+00,4.7203e+00,4.9762e+00,-3.0462e+03
-3.5468e-01,-1.0407e+00,4.7184e+00,4.9925e+00,-3.0485e+03
-3.6571e-01,-1.0304e+00,4.7221e+00,4.9602e+00,-3.0500e+03
-3.2374e-01,-1.0705e+00,4.7183e+00,4.9895e+00,-3.0558e+03
-3.2112e-01,-1.0684e+00,4.7183e+00,4.9932e+00,-3.0441e+03
-3.5761e-01,-1.0356e+00,4.7216e+00,4.9731e+00,-3.0561e+03
-3.2379e-01,-1.0722e+00,4.7187e+00,4.9866e+00,-3.0559e+03
-3.5943e-01,-1.0417e+00,4.7191e+00,4.9827e+00,-3.0570e+03
-3.5133e-01,-1.0394e+00,4.7189e+00,4.9937e+00,-3.0477e+03
-3.2276e-01,-1.0709e+00,4.7181e+00,4.9982e+00,-3.0402e+03
-3.5302e-01,-1.0422e+00,4.7216e+00,4.9652e+00,-3.0495e+03
-3.1958e-01,-1.0754e+00,4.7177e+00,4.9918e+00,-3.0432e+03
-3.5651e-01,-1.0343e+00,4.7212e+00,4.9647e+00,-3.0544e+03
-3.2575e-01,-1.0634e+00,4.7186e+00,4.9985e+00,-3.0554e+03
-3.4312e-01,-1.0594e+00,4.7180e+00,4.9512e+00,-3.0540e+03
-3.1907e-01,-1.0823e+00,4.7175e+00,4.9832e+00,-3.0504e+03
-3.6497e-01,-1.0316e+00,4.7198e+00,4.9744e+00,-3.0559e+03
-3.6229e-01,-1.0380e+00,4.7174e+00,4.9899e+00,-3.0567e+03
-3.2074e-01,-1.0739e+00,4.7186e+00,4.9932e+00,-3.0451e+03
-3.6142e-01,-1.0322e+00,4.7184e+00,4.9866e+00,-3.0563e+03
-3.5647e-01,-1.0392e+00,4.7201e+00,4.9710e+00,-3.0469e+03
-3.5923e-01,-1.0330e+00,4.7197e+00,4.9840e+00,-3.0454e+03
-3.5237e-01,-1.0383e+00,4.7194e+00,4.9915e+00,-3.0408e+03
-3.1672e-01,-1.0781e+00,4.7177e+00,4.9795e+00,-3.0545e+03
-3.2704e-01,-1.0626e+00,4.7196e+00,4.9912e+00,-3.0566e+03
-3.4996e-01,-1.0483e+00,4.7207e+00,4.9669e+00,-3.0529e+03
-3.2926e-01,-1.0707e+00,4.7196e+00,4.9381e+00,-3.0537e+03
-3.2154e-01,-1.0782e+00,4.7161e+00,4.9915e+00,-3.0568e+03
-3.6098e-01,-1.0305e+00,4.7186e+00,4.9865e+00,-3.0574e+03
-3.1995e-01,-1.0792e+00,4.7182e+00,4.9945e+00,-3.0558e+03
-3.4789e-01,-1.0457e+00,4.7182e+00,4.9773e+00,-3.0574e+03
-3.5058e-01,-1.0408e+00,4.7191e+00,4.9926e+00,-3.0540e+03
-3.4867e-01,-1.0514e+00,4.7205e+00,4.9641e+00,-3.0561e+03
-3.5491e-01,-1.0426e+00,4.7195e+00,4.9933e+00,-3.0558e+03
-3.1966e-01,-1.0738e+00,4.7184e+00,4.9951e+00,-3.0487e+03
-3.4460e-01,-1.0522e+00,4.7208e+00,4.9664e+00,-3.0526e+03
-3.1846e-01,-1.0747e+00,4.7184e+00,4.9983e+00,-3.0175e+03
-3.4846e-01,-1.0498e+00,4.7192e+00,4.9711e+00,-3.0567e+03
-3.4435e-01,-1.0560e+00,4.7183e+00,4.9751e+00,-3.0507e+03
-3.7018e-01,-1.0232e+00,4.7227e+00,4.9533e+00,-3.0537e+03
-3.2006e-01,-1.0782e+00,4.7177e+00,4.9865e+00,-3.0573e+03
-3.5816e-01,-1.0365e+00,4.7184e+00,4.9798e+00,-3.0394e+03
-3.7499e-01,-1.0189e+00,4.7209e+00,4.9693e+00,-3.0501e+03
-3.2351e-01,-1.0724e+00,4.7184e+00,4.9808e+00,-3.0340e+03
-3.2132e-01,-1.0725e+00,4.7169e+00,4.9996e+00,-3.0441e+03
-3.2276e-01,-1.0751e+00,4.7176e+00,4.9988e+00,-3.0529e+03
-3.6438e-01,-1.0284e+00,4.7204e+00,4.9756e+00,-3.0468e+03
-3.5350e-01,-1.0383e+00,4.7181e+00,4.9955e+00,-3.0437e+03
-3.2478e-01,-1.0707e+00,4.7181e+00,4.9999e+00,-3.0451e+03
-3.4689e-01,-1.0497e+00,4.7172e+00,4.9995e+00,-3.0533e+03
-3.7397e-01,-1.0222e+00,4.7223e+00,4.9639e+00,-3.0509e+03
-3.6076e-01,-1.0340e+00,4.7177e+00,4.9938e+00,-3.0541e+03
-3.5097e-01,-1.0426e+00,4.7210e+00,4.9671e+00,-3.0572e+03
-3.2031e-01,-1.0711e+00,4.7184e+00,4.9917e+00,-3.0549e+03
-3.5146e-01,-1.0487e+00,4.7196e+00,4.9908e+00,-3.0542e+03
-3.5143e-01,-1.0524e+00,4.7204e+00,4.9187e+00,-3.0571e+03
-3.4952e-01,-1.0490e+00,4.7210e+00,4.9638e+00,-3.0568e+03
-3.2421e-01,-1.0698e+00,4.7181e+00,4.9848e+00,-3.0313e+03
-3.2287e-01,-1.0755e+00,4.7189e+00,4.9913e+00,-3.0558e+03
-3.5365e-01,-1.0408e+00,4.7189e+00,4.9792e+00,-3.0565e+03
-3.2659e-01,-1.0698e+00,4.7174e+00,4.9877e+00,-3.0496e+03
-3.1874e-01,-1.0796e+00,4.7189e+00,4.9929e+00,-3.0532e+03
-3.5240e-01,-1.0445e+00,4.7207e+00,4.9688e+00,-3.0541e+03
-3.6339e-01,-1.0349e+00,4.7195e+00,4.9819e+00,-3.0532e+03
-3.6365e-01,-1.0330e+00,4.7197e+00,4.9805e+00,-3.0554e+03
-3.2359e-01,-1.0704e+00,4.7176e+00,4.9911e+00,-3.0535e+03
-3.5525e-01,-1.0374e+00,4.7194e+00,4.9902e+00,-3.0466e+03
-3.2738e-01,-1.0666e+00,4.7178e+00,4.9973e+00,-3.0529e+03
-3.1658e-01,-1.0757e+00,4.7174e+00,4.9995e+00,-3.0503e+03
-3.4957e-01,-1.0473e+00,4.7204e+00,4.9681e+00,-3.0422e+03
-3.6453e-01,-1.0346e+00,4.7212e+00,4.9625e+00,-3.0534e+03
-3.6877e-01,-1.0267e+00,4.7214e+00,4.9603e+00,-3.0460e+03
-3.1621e-01,-1.0778e+00,4.7182e+00,4.9977e+00,-3.0480e+03
-3.2680e-01,-1.0710e+00,4.7182e+00,4.9871e+00,-3.0531e+03
-3.0907e-01,-1.0915e+00,4.7155e+00,4.9992e+00,-3.0529e+03
