,NGC4993,NGC3377,M49,M87
4,617.0422981824375,2193.676498779136,2305.8683064568254,2464.70972980715
5,633.0269670604839,2125.990746299223,2302.6695031238,2445.2515149086717
6,591.8099824443353,2160.789728157012,2259.660228825445,2457.344596002481
7,628.4781845750865,2143.054695246287,2312.2179689175864,2474.4663728050436
8,598.6113573970682,2171.528592623506,2294.690762984073,2454.8358115056076
9,599.0604917678106,2091.6751604081983,2286.5115787605337,2430.5370273126396
10,587.7405709268027,2124.97657245493,2244.424927325816,2446.0203527669123
11,595.0975663037176,2115.442498532757,2296.8551216165474,2461.9852611015367
12,575.3995180920647,2136.587199406727,2281.4928451530736,2444.5304099009386
13,584.0213054042865,2041.0032460824505,2264.5594843381145,2415.84228963814
14,572.7541877589579,2071.731666927993,2231.483682224144,2436.86788745495
15,577.2755782119217,2070.058589768392,2275.7023736803753,2448.5115651345754
16,558.9643008375415,2073.4799697433414,2262.9825621201876,2433.4739775210123
17,569.522766817802,1988.6109543482821,2244.9093598877325,2401.554465942139
18,554.9281554772068,2017.0004213007205,2213.385670291167,2425.4487199286136
19,557.117710361288,2023.6498800540032,2248.950772996364,2434.319067281856
20,540.5044296676116,2013.7433525737565,2244.453554201404,2422.4860558652117
21,557.3982453180473,1955.456515767257,2224.009480073603,2385.654571705355
22,533.8902151167496,1980.774624895723,2193.3163258436252,2413.843006726755
23,536.5712079166677,1987.9635818785061,2226.701639937381,2418.7272974323646
24,527.0920678001524,1975.904670320783,2221.1893185022436,2410.13931637372
25,,1915.4305480036876,2201.1145666928414,2369.9411256512485
26,516.6856292286299,1944.7353195649828,2170.463995302818,2401.335112128221
27,511.84528578917,1947.977061812533,2208.7595985407816,2404.1496070102385
28,506.7472292085114,1937.6841269618262,2197.7903171220114,2395.168707633746
29,,1877.9035611211325,2179.0520305924074,2356.022574401474
30,496.67254527783956,1905.9295095417533,2145.2492020988175,2384.6955966496444
31,489.6672216371267,1911.7201962615081,2195.601680384317,2389.639282309952
32,487.1412297120455,1899.9532922864691,2175.183434974583,2379.3752340699107
33,,1838.2543566451334,2155.226316855431,2339.928437941321
34,481.2246510612582,1870.4516428868817,2121.2386070065368,2367.912939264164
35,466.21064361230356,1876.5426445205933,2177.784174348499,2373.5173383620013
36,470.2093904956436,1856.9490376298127,2150.0218819716397,2362.909382512014
37,,1784.3021482716467,2127.6074604867445,2323.2313694672343
38,466.4111074480428,1830.3045786568193,2096.619133800585,2351.641083585151
39,445.9537930748776,1818.706252184832,2145.7355887897543,2357.21106831576
40,457.9276536647713,1881.9911285956944,2124.890235423237,2345.2568701718974
41,496.20469058639736,1743.3746420957223,2101.236785658947,2305.7440984518967
42,448.1172443916922,1815.9614237112228,2068.2268819192714,2334.4145269354253
43,425.7623489501398,1796.9432553455404,2113.09848101074,2338.984540648825
44,443.96546673686066,1838.5958656341647,2096.915669495563,2327.895076741532
45,474.90491263975315,1708.9730726822652,2075.882239857657,2285.1891218465826
46,427.0808478876716,1778.0150894133967,2040.8106050354206,2316.177838616966
47,404.35293429762544,1760.9616075955798,2080.91563018195,2318.4087568659393
48,425.98535063502624,1787.6809887905163,2069.2244142177256,2310.1731751225643
49,451.4630394363291,1673.859637784819,2048.715974684228,2263.8414053526967
50,404.18225206794585,1735.158818007046,2014.5984079720413,2297.481132318345
51,379.4624013433479,1714.702227957424,2046.7272449039112,2296.5681236383834
52,396.77874613308666,1749.2518468031258,2041.2226343383547,2290.8081151699052
53,400.5330044027719,1630.7951923306177,2018.0216946656765,2242.3170771410246
54,371.2896719337167,1705.8494603044649,1986.5665169840188,2277.716731012891
55,372.01761919474365,1670.2986437492407,2013.4427603683257,2275.003677173702
56,375.13768890030366,1704.3021916365835,2011.4572000399305,2270.217351918121
57,381.4231169734877,1598.6366563657946,1988.5312453893139,2220.6866651612218
58,364.27613632454745,1672.7988973370038,1957.2666997365545,2256.069355136111
59,343.9060200970645,1636.4656271548135,1981.3749339219037,2252.9064369634725
60,346.8720922554379,1632.620468114974,1979.4009858882498,2224.9654000071278
61,357.0260149802154,1590.02341204108,1956.5280602266973,2219.17291324648
62,340.6708928416653,1602.9543162399088,1924.2636021325789,2211.1359070781677
63,325.4060421832257,1613.6502766275466,1949.600884689205,2252.7606226961675
64,327.2690584529866,1625.7166100521752,1962.2130119479546,2203.504151786437
65,327.398349780383,1518.8206458383822,1911.3237320257183,2194.2100512797074
66,322.2802235298868,1592.9706822320186,1902.9699712675483,2190.69813788152
67,310.19465359674456,1554.367948479268,1905.107676756422,2227.346241481935
68,309.2515241390508,1591.0181891056654,1907.2463874903685,2179.636197804618
