logfeh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
-2.9728e-01,-1.0514e+00,2.2268e+00,9.5385e-01,3.9105e+00,3.4176e+00,5.6199e+00,-9.7062e+01
-3.2753e-01,-1.0109e+00,2.2314e+00,2.0080e+00,4.0514e+00,3.1546e+00,5.5856e+00,-9.7594e+01
-2.5201e-01,-1.0411e+00,2.2550e+00,1.3346e+00,3.8828e+00,4.0094e+00,5.6053e+00,-9.8156e+01
-2.4594e-01,-1.0365e+00,2.2475e+00,1.5006e+00,3.9691e+00,3.7607e+00,5.6063e+00,-9.6275e+01
-3.0919e-01,-1.0053e+00,2.2468e+00,9.1008e-01,3.9930e+00,3.8453e+00,5.5951e+00,-9.6722e+01
-2.9423e-01,-1.0345e+00,2.2364e+00,2.7045e+00,4.0204e+00,3.5487e+00,5.5951e+00,-9.6677e+01
-2.5388e-01,-1.0411e+00,2.2362e+00,1.5887e+00,3.9994e+00,4.2248e+00,5.5765e+00,-9.4431e+01
-2.3063e-01,-1.0296e+00,2.2564e+00,2.0023e+00,3.9050e+00,3.3167e+00,5.6240e+00,-9.7854e+01
-2.6419e-01,-1.0412e+00,2.2344e+00,1.0523e+00,4.0433e+00,3.9676e+00,5.5842e+00,-9.5916e+01
-3.0361e-01,-1.0118e+00,2.2486e+00,1.2599e+00,3.8831e+00,3.6800e+00,5.6116e+00,-9.7943e+01
-2.5818e-01,-1.0511e+00,2.2052e+00,1.6602e+00,4.0567e+00,4.0703e+00,5.5719e+00,-9.6363e+01
-3.1015e-01,-1.0025e+00,2.2012e+00,1.4610e+00,4.0188e+00,3.1352e+00,5.6040e+00,-9.7444e+01
-2.0312e-01,-1.0023e+00,2.2161e+00,2.9164e+00,3.9066e+00,3.3266e+00,5.6175e+00,-9.7222e+01
-2.3390e-01,-1.0703e+00,2.2603e+00,1.8954e+00,4.0013e+00,3.0975e+00,5.5980e+00,-9.5094e+01
-2.8404e-01,-1.0313e+00,2.2546e+00,6.1717e-01,3.7409e+00,3.4359e+00,5.6410e+00,-9.7707e+01
-2.3286e-01,-1.0699e+00,2.2180e+00,8.1582e-01,3.9646e+00,3.5956e+00,5.6000e+00,-9.7724e+01
