logfeh,logdust,logNpix,tau,logl
-3.1741e-01,-1.8195e+00,3.4141e+00,4.9787e+00,-1.4061e+03
-3.0395e-01,-1.9344e+00,3.4156e+00,4.9415e+00,-1.4038e+03
-3.0695e-01,-1.8322e+00,3.4129e+00,4.9991e+00,-1.4047e+03
-3.0941e-01,-1.8388e+00,3.4127e+00,4.9938e+00,-1.4070e+03
-3.0763e-01,-1.7973e+00,3.4166e+00,4.9943e+00,-1.4040e+03
-3.2110e-01,-1.7772e+00,3.4165e+00,4.9540e+00,-1.4049e+03
-3.3571e-01,-1.6628e+00,3.4166e+00,4.9945e+00,-1.4015e+03
-2.3824e-01,-1.9958e+00,3.4173e+00,4.9972e+00,-1.4028e+03
-3.0167e-01,-1.8956e+00,3.4149e+00,4.9807e+00,-1.4058e+03
-3.2677e-01,-1.6617e+00,3.4167e+00,4.9979e+00,-1.4023e+03
-3.1810e-01,-1.7967e+00,3.4132e+00,4.9971e+00,-1.4035e+03
-3.0546e-01,-1.8427e+00,3.4142e+00,4.9907e+00,-1.3996e+03
-3.2949e-01,-1.6662e+00,3.4166e+00,4.9931e+00,-1.4053e+03
-3.0788e-01,-1.8414e+00,3.4154e+00,4.9964e+00,-1.4036e+03
-3.0644e-01,-1.7379e+00,3.4171e+00,4.9898e+00,-1.4063e+03
-3.2831e-01,-1.7344e+00,3.4166e+00,4.9658e+00,-1.4069e+03
-3.2433e-01,-1.6762e+00,3.4163e+00,4.9959e+00,-1.4007e+03
-3.0197e-01,-1.8355e+00,3.4154e+00,4.9853e+00,-1.4019e+03
-3.2386e-01,-1.7999e+00,3.4140e+00,4.9808e+00,-1.4064e+03
-3.0598e-01,-1.8246e+00,3.4164e+00,4.9638e+00,-1.3979e+03
-3.1929e-01,-1.7970e+00,3.4136e+00,4.9995e+00,-1.4019e+03
-3.3177e-01,-1.6010e+00,3.4205e+00,4.9741e+00,-1.4055e+03
-3.0197e-01,-1.8716e+00,3.4179e+00,4.9363e+00,-1.4070e+03
-3.0760e-01,-1.7490e+00,3.4180e+00,4.9768e+00,-1.4016e+03
-3.2711e-01,-1.7151e+00,3.4163e+00,4.9644e+00,-1.4051e+03
-3.2391e-01,-1.7333e+00,3.4161e+00,4.9778e+00,-1.3940e+03
-3.1574e-01,-1.8177e+00,3.4138e+00,4.9869e+00,-1.4073e+03
-3.0242e-01,-1.9480e+00,3.4127e+00,4.9971e+00,-1.3973e+03
-3.0104e-01,-1.8121e+00,3.4153e+00,4.9859e+00,-1.4018e+03
-3.1709e-01,-1.7877e+00,3.4153e+00,4.9942e+00,-1.4004e+03
-3.1680e-01,-1.7660e+00,3.4136e+00,4.9952e+00,-1.4059e+03
-3.0020e-01,-1.8341e+00,3.4152e+00,4.9870e+00,-1.4071e+03
-3.0580e-01,-1.9097e+00,3.4135e+00,4.9933e+00,-1.4057e+03
-3.1344e-01,-1.8081e+00,3.4150e+00,4.9968e+00,-1.4016e+03
-3.0119e-01,-1.7502e+00,3.4177e+00,4.9670e+00,-1.3990e+03
-3.0193e-01,-1.8678e+00,3.4154e+00,4.9737e+00,-1.4006e+03
-3.2472e-01,-1.7847e+00,3.4153e+00,4.9514e+00,-1.4046e+03
-3.1845e-01,-1.7557e+00,3.4158e+00,4.9664e+00,-1.4040e+03
-3.2892e-01,-1.7017e+00,3.4164e+00,4.9617e+00,-1.4024e+03
-3.0665e-01,-1.7494e+00,3.4177e+00,4.9907e+00,-1.3990e+03
-3.2055e-01,-1.7992e+00,3.4141e+00,4.9930e+00,-1.4028e+03
-3.0014e-01,-1.9050e+00,3.4153e+00,4.9882e+00,-1.3941e+03
-3.0622e-01,-1.8220e+00,3.4162e+00,4.9851e+00,-1.4052e+03
-3.0215e-01,-1.8780e+00,3.4191e+00,4.9352e+00,-1.4023e+03
-3.1254e-01,-1.7333e+00,3.4153e+00,4.9902e+00,-1.4048e+03
-3.1635e-01,-1.8005e+00,3.4148e+00,4.9843e+00,-1.4059e+03
-3.2118e-01,-1.7751e+00,3.4149e+00,4.9880e+00,-1.4038e+03
-3.0016e-01,-1.8770e+00,3.4166e+00,4.9376e+00,-1.4060e+03
-3.2417e-01,-1.7737e+00,3.4157e+00,4.9565e+00,-1.3988e+03
-3.0323e-01,-1.7782e+00,3.4163e+00,4.9981e+00,-1.4000e+03
-3.0145e-01,-1.8116e+00,3.4163e+00,4.9821e+00,-1.4010e+03
-2.3311e-01,-1.9797e+00,3.4170e+00,4.9982e+00,-1.4034e+03
