logfeh,logdust,logNpix,tau,logl
-2.4576e-01,-1.1075e+00,4.6641e+00,2.4981e+00,-4.4608e+01
-2.6911e-01,-1.1104e+00,4.6656e+00,2.4528e+00,-4.4284e+01
-2.6547e-01,-1.1106e+00,4.6654e+00,2.4536e+00,-4.4840e+01
-2.2265e-01,-1.1112e+00,4.6662e+00,2.4381e+00,-4.4847e+01
-2.8827e-01,-1.1076e+00,4.6673e+00,2.4268e+00,-4.4856e+01
-2.8605e-01,-1.1010e+00,4.6645e+00,2.5134e+00,-4.4512e+01
-2.6382e-01,-1.1103e+00,4.6660e+00,2.4462e+00,-4.3271e+01
-2.9310e-01,-1.1060e+00,4.6666e+00,2.4496e+00,-4.5818e+01
-2.9009e-01,-1.1099e+00,4.6653e+00,2.4544e+00,-4.5373e+01
-2.3797e-01,-1.1080e+00,4.6636e+00,2.4992e+00,-4.5721e+01
-2.1850e-01,-1.1069e+00,4.6674e+00,2.4247e+00,-4.5649e+01
-2.1580e-01,-1.1058e+00,4.6653e+00,2.4743e+00,-4.5942e+01
-2.9741e-01,-1.1068e+00,4.6641e+00,2.5011e+00,-4.4226e+01
-2.8733e-01,-1.1141e+00,4.6658e+00,2.4308e+00,-4.3420e+01
-2.3166e-01,-1.1115e+00,4.6658e+00,2.4389e+00,-4.5341e+01
-2.2172e-01,-1.1070e+00,4.6670e+00,2.4295e+00,-4.2489e+01
-2.3157e-01,-1.1079e+00,4.6673e+00,2.4248e+00,-4.4683e+01
-2.0961e-01,-1.1077e+00,4.6637e+00,2.5078e+00,-4.5484e+01
-2.8594e-01,-1.1009e+00,4.6619e+00,2.5749e+00,-4.4967e+01
-2.7687e-01,-1.1109e+00,4.6638e+00,2.4962e+00,-4.5865e+01
-2.3680e-01,-1.1078e+00,4.6642e+00,2.4885e+00,-4.4570e+01
-2.3758e-01,-1.1045e+00,4.6674e+00,2.4268e+00,-4.5057e+01
-2.4102e-01,-1.1093e+00,4.6664e+00,2.4374e+00,-4.2978e+01
-2.3556e-01,-1.0960e+00,4.6628e+00,2.5795e+00,-4.5895e+01
-2.1516e-01,-1.1068e+00,4.6661e+00,2.4545e+00,-4.1216e+01
-2.3379e-01,-1.1068e+00,4.6667e+00,2.4385e+00,-3.9137e+01
-2.2120e-01,-1.1088e+00,4.6638e+00,2.5025e+00,-4.5612e+01
-2.1371e-01,-1.1005e+00,4.6643e+00,2.5235e+00,-4.4962e+01
-2.1353e-01,-1.1018e+00,4.6642e+00,2.5206e+00,-4.3261e+01
-2.3758e-01,-1.1043e+00,4.6637e+00,2.5215e+00,-4.5082e+01
-2.0895e-01,-1.0929e+00,4.6632e+00,2.5767e+00,-4.4348e+01
-2.8737e-01,-1.1117e+00,4.6660e+00,2.4304e+00,-4.3478e+01
-2.6765e-01,-1.1070e+00,4.6661e+00,2.4562e+00,-4.4940e+01
-2.7743e-01,-1.1018e+00,4.6633e+00,2.5338e+00,-4.5745e+01
-2.3928e-01,-1.1045e+00,4.6668e+00,2.4463e+00,-4.4442e+01
-2.6679e-01,-1.1016e+00,4.6647e+00,2.5055e+00,-4.2564e+01
-2.2209e-01,-1.1062e+00,4.6660e+00,2.4537e+00,-4.5866e+01
-2.2065e-01,-1.1081e+00,4.6644e+00,2.4910e+00,-4.5535e+01
-2.0264e-01,-1.1063e+00,4.6649e+00,2.4825e+00,-4.4195e+01
