GPU acceleration enabled
Loading Setup File: setup_files/dynamic_2.py
using given n: 0
Starting SourceModule Code
Getting function
Past the SourceModule code
CUDAC Available
Running Nested Sampling
-initializing models
-Running dynesty dynamic sampler
iter: 1 | batch: 0 | bound: 0 | nc: 1 | ncall: 1 | eff(%):  3.226 | logz:   -inf +/-  0.368 | dlogz:    inf > 10.000 
iter: 64 | batch: 0 | bound: 0 | nc: 2 | ncall: 354 | eff(%): 16.667 | logz: -77885.071 +/-  0.451 | dlogz: 75483.744 > 10.000 
iter: 65 | batch: 0 | bound: 0 | nc: 2 | ncall: 356 | eff(%): 16.839 | logz: -76794.534 +/-  0.452 | dlogz: 74999.183 > 10.000 
iter: 66 | batch: 0 | bound: 0 | nc: 8 | ncall: 364 | eff(%): 16.751 | logz: -75011.048 +/-  0.453 | dlogz: 73908.614 > 10.000 
iter: 67 | batch: 0 | bound: 0 | nc: 1 | ncall: 365 | eff(%): 16.962 | logz: -74939.535 +/-  0.454 | dlogz: 72125.095 > 10.000 
iter: 68 | batch: 0 | bound: 0 | nc: 4 | ncall: 369 | eff(%): 17.043 | logz: -71851.654 +/-  0.455 | dlogz: 72053.550 > 10.000 
iter: 69 | batch: 0 | bound: 0 | nc: 4 | ncall: 373 | eff(%): 17.122 | logz: -69680.765 +/-  0.457 | dlogz: 68965.636 > 10.000 
iter: 70 | batch: 0 | bound: 0 | nc: 4 | ncall: 377 | eff(%): 17.199 | logz: -66848.653 +/-  0.458 | dlogz: 66794.714 > 10.000 
iter: 71 | batch: 0 | bound: 0 | nc: 9 | ncall: 386 | eff(%): 17.067 | logz: -60437.423 +/-  0.459 | dlogz: 63962.570 > 10.000 
iter: 72 | batch: 0 | bound: 0 | nc: 14 | ncall: 400 | eff(%): 16.744 | logz: -57147.143 +/-  0.460 | dlogz: 57551.307 > 10.000 
iter: 73 | batch: 0 | bound: 0 | nc: 11 | ncall: 411 | eff(%): 16.553 | logz: -49317.085 +/-  0.461 | dlogz: 54260.993 > 10.000 
iter: 74 | batch: 0 | bound: 0 | nc: 1 | ncall: 412 | eff(%): 16.742 | logz: -48890.218 +/-  0.462 | dlogz: 46430.903 > 10.000 
iter: 75 | batch: 0 | bound: 0 | nc: 5 | ncall: 417 | eff(%): 16.779 | logz: -45763.037 +/-  0.464 | dlogz: 46004.003 > 10.000 
iter: 76 | batch: 0 | bound: 0 | nc: 21 | ncall: 438 | eff(%): 16.239 | logz: -44580.738 +/-  0.465 | dlogz: 42876.789 > 10.000 
iter: 77 | batch: 0 | bound: 0 | nc: 16 | ncall: 454 | eff(%): 15.909 | logz: -40387.113 +/-  0.466 | dlogz: 41694.457 > 10.000 
iter: 78 | batch: 0 | bound: 0 | nc: 4 | ncall: 458 | eff(%): 15.984 | logz: -35247.021 +/-  0.467 | dlogz: 37500.800 > 10.000 
iter: 79 | batch: 0 | bound: 0 | nc: 17 | ncall: 475 | eff(%): 15.644 | logz: -34550.937 +/-  0.468 | dlogz: 32360.675 > 10.000 
iter: 80 | batch: 0 | bound: 0 | nc: 12 | ncall: 487 | eff(%): 15.474 | logz: -32939.092 +/-  0.469 | dlogz: 31664.558 > 10.000 
iter: 81 | batch: 0 | bound: 0 | nc: 40 | ncall: 527 | eff(%): 14.542 | logz: -32782.289 +/-  0.470 | dlogz: 30052.680 > 10.000 
iter: 82 | batch: 0 | bound: 0 | nc: 7 | ncall: 534 | eff(%): 14.539 | logz: -32091.958 +/-  0.472 | dlogz: 29895.844 > 10.000 
iter: 83 | batch: 0 | bound: 0 | nc: 8 | ncall: 542 | eff(%): 14.510 | logz: -31606.352 +/-  0.473 | dlogz: 30421.289 > 10.000 
iter: 84 | batch: 0 | bound: 0 | nc: 2 | ncall: 544 | eff(%): 14.634 | logz: -31466.105 +/-  0.474 | dlogz: 29935.650 > 10.000 
iter: 85 | batch: 0 | bound: 0 | nc: 6 | ncall: 550 | eff(%): 14.655 | logz: -30475.461 +/-  0.475 | dlogz: 29795.370 > 10.000 
iter: 86 | batch: 0 | bound: 0 | nc: 1 | ncall: 551 | eff(%): 14.802 | logz: -30258.509 +/-  0.476 | dlogz: 28804.693 > 10.000 
iter: 87 | batch: 0 | bound: 0 | nc: 35 | ncall: 586 | eff(%): 14.123 | logz: -28086.294 +/-  0.477 | dlogz: 28587.709 > 10.000 
iter: 88 | batch: 0 | bound: 0 | nc: 69 | ncall: 655 | eff(%): 12.847 | logz: -27325.326 +/-  0.478 | dlogz: 26415.461 > 10.000 
iter: 89 | batch: 0 | bound: 0 | nc: 43 | ncall: 698 | eff(%): 12.225 | logz: -27224.481 +/-  0.480 | dlogz: 25654.460 > 10.000 
iter: 90 | batch: 0 | bound: 0 | nc: 29 | ncall: 727 | eff(%): 11.889 | logz: -24864.766 +/-  0.481 | dlogz: 28100.459 > 10.000 
iter: 91 | batch: 0 | bound: 0 | nc: 57 | ncall: 784 | eff(%): 11.179 | logz: -24371.372 +/-  0.482 | dlogz: 25740.712 > 10.000 
iter: 92 | batch: 0 | bound: 0 | nc: 51 | ncall: 835 | eff(%): 10.636 | logz: -22678.303 +/-  0.483 | dlogz: 25247.285 > 10.000 
iter: 93 | batch: 0 | bound: 0 | nc: 31 | ncall: 866 | eff(%): 10.379 | logz: -22380.713 +/-  0.484 | dlogz: 23554.183 > 10.000 
iter: 94 | batch: 0 | bound: 0 | nc: 48 | ncall: 914 | eff(%):  9.958 | logz: -22210.454 +/-  0.485 | dlogz: 23256.561 > 10.000 
iter: 95 | batch: 0 | bound: 1 | nc: 1 | ncall: 915 | eff(%): 10.053 | logz: -21843.195 +/-  0.486 | dlogz: 23086.269 > 10.000 
iter: 96 | batch: 0 | bound: 1 | nc: 4 | ncall: 919 | eff(%): 10.116 | logz: -20013.351 +/-  0.487 | dlogz: 22718.977 > 10.000 
iter: 97 | batch: 0 | bound: 1 | nc: 8 | ncall: 927 | eff(%): 10.136 | logz: -19684.481 +/-  0.488 | dlogz: 20889.100 > 10.000 
iter: 98 | batch: 0 | bound: 1 | nc: 1 | ncall: 928 | eff(%): 10.230 | logz: -19371.487 +/-  0.490 | dlogz: 20560.198 > 10.000 
iter: 99 | batch: 0 | bound: 1 | nc: 6 | ncall: 934 | eff(%): 10.270 | logz: -18981.474 +/-  0.491 | dlogz: 20247.170 > 10.000 
