nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,logzh,logdust,logNpix,logage
2.0000e+03,3.2000e+01,3.5000e+01,2.4444e+01,-1.6807e+10,-1.6807e+10,-3.2836e-01,-1.6807e+10,,-3.0548e+03,inf,-5.8438e-01,-1.5919e-01,6.7581e+00,8.5052e+00
2.0000e+03,3.3000e+01,3.6000e+01,2.5000e+01,-1.5850e+10,-1.5850e+10,-3.3831e-01,-1.5850e+10,,-7.7458e+03,inf,-6.9001e-01,-7.0081e-04,5.2171e+00,8.6548e+00
2.0000e+03,3.4000e+01,3.7000e+01,2.5547e+01,-1.5289e+10,-1.5289e+10,-3.4826e-01,-1.5289e+10,,-1.2165e+04,inf,-8.5381e-01,-2.5715e-01,5.4313e+00,9.4699e+00
2.0000e+03,3.5000e+01,3.8000e+01,2.6087e+01,-1.4592e+10,-1.4592e+10,-3.5821e-01,-1.4592e+10,1.0810e+01,1.1743e+04,inf,4.8713e-01,-3.6259e-01,6.0902e+00,8.9025e+00
2.0000e+03,3.6000e+01,3.9000e+01,2.6619e+01,-1.3856e+10,-1.3856e+10,-3.6816e-01,-1.3856e+10,8.2844e+00,6.8974e+03,inf,-1.0627e-01,-7.1947e-01,6.2652e+00,9.6575e+00
2.0000e+03,3.7000e+01,4.0000e+01,2.7143e+01,-1.3684e+10,-1.3684e+10,-3.7811e-01,-1.3684e+10,5.0977e+00,2.6117e+03,inf,1.1372e-02,-1.3580e-01,5.7528e+00,8.5939e+00
2.0000e+03,3.8000e+01,4.2000e+01,2.7465e+01,-1.3429e+10,-1.3429e+10,-3.8806e-01,-1.3429e+10,,-1.5592e+03,inf,4.2524e-01,-9.6073e-01,5.4156e+00,9.7502e+00
2.0000e+03,3.9000e+01,4.3000e+01,2.7972e+01,-1.2974e+10,-1.2974e+10,-3.9801e-01,-1.2974e+10,,-5.4886e+03,inf,2.4612e-01,-1.9226e+00,6.3848e+00,8.9525e+00
2.0000e+03,4.0000e+01,4.5000e+01,2.8276e+01,-1.2797e+10,-1.2797e+10,-4.0796e-01,-1.2797e+10,,-9.3417e+03,inf,-1.4546e+00,-2.8989e-01,5.6127e+00,9.5176e+00
2.0000e+03,4.1000e+01,4.6000e+01,2.8767e+01,-1.2409e+10,-1.2409e+10,-4.1791e-01,-1.2409e+10,1.0367e+01,1.0800e+04,inf,3.0702e-01,-6.5315e-02,5.1351e+00,8.6352e+00
2.0000e+03,4.2000e+01,4.7000e+01,2.9252e+01,-1.1801e+10,-1.1801e+10,-4.2786e-01,-1.1801e+10,8.1340e+00,6.6492e+03,inf,-1.3307e-01,-5.7460e-01,5.7405e+00,9.1224e+00
2.0000e+03,4.3000e+01,4.8000e+01,2.9730e+01,-1.1025e+10,-1.1025e+10,-4.3781e-01,-1.1025e+10,5.3048e+00,2.8281e+03,inf,-1.4453e+00,-6.2751e-02,5.6550e+00,8.8206e+00
2.0000e+03,4.4000e+01,4.9000e+01,3.0201e+01,-1.0888e+10,-1.0888e+10,-4.4776e-01,-1.0888e+10,,-5.4917e+02,inf,-1.4756e+00,-1.0860e+00,6.8635e+00,9.6920e+00
2.0000e+03,4.5000e+01,5.2000e+01,3.0263e+01,-1.0885e+10,-1.0885e+10,-4.5772e-01,-1.0885e+10,,-3.8903e+03,inf,-2.4102e-01,-6.2764e-01,5.4808e+00,9.5759e+00
2.0000e+03,4.6000e+01,5.3000e+01,3.0719e+01,-1.0854e+10,-1.0854e+10,-4.6767e-01,-1.0854e+10,,-7.2113e+03,inf,3.0718e-01,-1.4448e+00,5.5133e+00,9.3994e+00
2.0000e+03,4.7000e+01,5.6000e+01,3.0769e+01,-1.0641e+10,-1.0641e+10,-4.7762e-01,-1.0641e+10,9.9551e+00,9.9599e+03,inf,-1.4813e+00,-1.9870e-01,6.9545e+00,9.1138e+00
2.0000e+03,4.8000e+01,5.7000e+01,3.1210e+01,-1.0559e+10,-1.0559e+10,-4.8757e-01,-1.0559e+10,8.1299e+00,6.6425e+03,inf,2.1375e-01,-6.7051e-01,5.6668e+00,9.0363e+00
2.0000e+03,4.9000e+01,5.9000e+01,3.1447e+01,-1.0350e+10,-1.0350e+10,-4.9752e-01,-1.0350e+10,5.7597e+00,3.3340e+03,inf,3.2170e-01,-6.1573e-01,5.0859e+00,9.6672e+00
2.0000e+03,5.0000e+01,6.0000e+01,3.1875e+01,-1.0266e+10,-1.0266e+10,-5.0747e-01,-1.0266e+10,1.2445e+00,1.5564e+02,inf,-4.6745e-01,-6.0159e-01,5.5973e+00,9.7232e+00
2.0000e+03,5.1000e+01,6.1000e+01,3.2298e+01,-1.0164e+10,-1.0164e+10,-5.1742e-01,-1.0164e+10,,-2.9659e+03,inf,2.3630e-01,-6.5434e-01,5.1749e+00,9.7739e+00
2.0000e+03,5.2000e+01,6.2000e+01,3.2716e+01,-1.0073e+10,-1.0073e+10,-5.2737e-01,-1.0073e+10,,-6.0312e+03,inf,-4.2624e-01,-3.6160e-01,5.1142e+00,9.3388e+00
2.0000e+03,5.3000e+01,6.3000e+01,3.3129e+01,-9.5274e+09,-9.5274e+09,-5.3732e-01,-9.5274e+09,,-8.6288e+03,inf,-2.3815e-01,-8.9752e-01,6.1342e+00,9.6367e+00
2.0000e+03,5.4000e+01,6.4000e+01,3.3537e+01,-9.3271e+09,-9.3271e+09,-5.4727e-01,-9.3271e+09,8.0296e+00,6.4797e+03,inf,5.9952e-02,-1.4548e+00,5.5529e+00,9.6037e+00
2.0000e+03,5.5000e+01,6.6000e+01,3.3735e+01,-8.9169e+09,-8.9169e+09,-5.5722e-01,-8.9169e+09,5.8657e+00,3.4578e+03,inf,-5.5334e-01,-1.9489e-01,5.4520e+00,8.6083e+00
2.0000e+03,5.6000e+01,6.7000e+01,3.4132e+01,-8.6874e+09,-8.6874e+09,-5.6717e-01,-8.6874e+09,2.6434e+00,7.0224e+02,inf,4.8931e-01,-1.6410e+00,5.6351e+00,9.1366e+00
2.0000e+03,5.7000e+01,6.9000e+01,3.4320e+01,-8.5156e+09,-8.5156e+09,-5.7712e-01,-8.5156e+09,,-1.9255e+03,inf,-7.6876e-01,-3.9679e-01,6.5655e+00,9.4027e+00
2.0000e+03,5.8000e+01,7.1000e+01,3.4503e+01,-8.3460e+09,-8.3460e+09,-5.8707e-01,-8.3460e+09,5.9101e+00,3.5104e+03,inf,-1.4162e+00,-1.6516e+00,6.1308e+00,8.3458e+00
2.0000e+03,5.9000e+01,7.3000e+01,3.4682e+01,-8.1306e+09,-8.1306e+09,-5.9702e-01,-8.1306e+09,3.0325e+00,9.2418e+02,inf,2.9401e-02,-1.8908e+00,5.9802e+00,8.3614e+00
2.0000e+03,6.0000e+01,7.4000e+01,3.5057e+01,-8.0615e+09,-8.0615e+09,-6.0697e-01,-8.0615e+09,,-1.5582e+03,inf,-5.1007e-01,-3.8024e-01,6.9091e+00,9.2750e+00
2.0000e+03,6.1000e+01,7.5000e+01,3.5429e+01,-7.5444e+09,-7.5444e+09,-6.1692e-01,-7.5444e+09,5.8345e+00,3.4212e+03,inf,-1.0371e+00,-1.8090e-02,5.0120e+00,8.6705e+00
2.0000e+03,6.2000e+01,7.6000e+01,3.5795e+01,-7.1561e+09,-7.1561e+09,-6.2687e-01,-7.1561e+09,3.2304e+00,1.0487e+03,inf,-7.5315e-01,-1.9752e+00,6.8438e+00,9.7466e+00
2.0000e+03,6.3000e+01,7.7000e+01,3.6158e+01,-7.0607e+09,-7.0607e+09,-6.3682e-01,-7.0607e+09,,-1.1325e+03,inf,-8.4359e-02,-1.3451e+00,5.8506e+00,9.4095e+00
2.0000e+03,6.4000e+01,7.9000e+01,3.6313e+01,-6.9946e+09,-6.9946e+09,-6.4677e-01,-6.9946e+09,,-3.2690e+03,inf,-7.3779e-02,-1.3290e+00,5.3354e+00,9.5294e+00
2.0000e+03,6.5000e+01,8.0000e+01,3.6667e+01,-6.9234e+09,-6.9234e+09,-6.5672e-01,-6.9234e+09,3.5152e+00,1.2418e+03,inf,4.3167e-01,-1.7057e+00,5.0593e+00,9.1878e+00
2.0000e+03,6.6000e+01,8.1000e+01,3.7017e+01,-6.6763e+09,-6.6763e+09,-6.6667e-01,-6.6763e+09,,-8.5167e+02,inf,-5.0420e-02,-5.6664e-01,5.0822e+00,8.8790e+00
2.0000e+03,6.7000e+01,8.4000e+01,3.6957e+01,-6.2940e+09,-6.2940e+09,-6.7662e-01,-6.2940e+09,,-2.7346e+03,inf,-5.7326e-01,-5.9333e-01,5.1321e+00,9.3380e+00
2.0000e+03,6.8000e+01,8.9000e+01,3.6508e+01,-6.0866e+09,-6.0866e+09,-6.8657e-01,-6.0866e+09,3.5855e+00,1.2920e+03,inf,-6.0652e-01,-1.1698e+00,5.9608e+00,9.9666e+00
2.0000e+03,6.9000e+01,9.0000e+01,3.6842e+01,-6.0771e+09,-6.0771e+09,-6.9652e-01,-6.0771e+09,,-5.7545e+02,inf,-4.8146e-01,-6.7791e-01,6.2606e+00,8.7419e+00
2.0000e+03,7.0000e+01,9.1000e+01,3.7173e+01,-5.8993e+09,-5.8993e+09,-7.0647e-01,-5.8993e+09,,-2.3693e+03,inf,-1.1170e+00,-7.5578e-01,5.8755e+00,9.5707e+00
2.0000e+03,7.1000e+01,9.3000e+01,3.7306e+01,-5.8864e+09,-5.8864e+09,-7.1642e-01,-5.8864e+09,3.7888e+00,1.4427e+03,inf,-1.4202e+00,-3.3136e-01,5.2341e+00,9.0462e+00
2.0000e+03,7.2000e+01,9.5000e+01,3.7436e+01,-5.7451e+09,-5.7451e+09,-7.2637e-01,-5.7451e+09,,-3.5532e+02,inf,-2.3155e-02,-5.8001e-02,5.4921e+00,8.0852e+00
2.0000e+03,7.3000e+01,1.0300e+02,3.6453e+01,-5.6189e+09,-5.6189e+09,-7.3632e-01,-5.6189e+09,,-2.0722e+03,inf,1.6049e-01,-5.1047e-01,6.1730e+00,8.9857e+00
2.0000e+03,7.4000e+01,1.0700e+02,3.6232e+01,-5.5542e+09,-5.5542e+09,-7.4627e-01,-5.5542e+09,3.9193e+00,1.5437e+03,inf,4.0298e-01,-6.3404e-01,5.1523e+00,8.8202e+00
2.0000e+03,7.5000e+01,1.0800e+02,3.6538e+01,-5.4503e+09,-5.4503e+09,-7.5623e-01,-5.4503e+09,,-1.5808e+02,inf,1.7012e-01,-4.1500e-01,5.6585e+00,8.7144e+00
2.0000e+03,7.6000e+01,1.1100e+02,3.6493e+01,-5.2837e+09,-5.2837e+09,-7.6618e-01,-5.2837e+09,,-1.7750e+03,inf,-3.1075e-01,-9.3338e-01,5.0866e+00,9.1229e+00
2.0000e+03,7.7000e+01,1.1200e+02,3.6792e+01,-5.1646e+09,-5.1646e+09,-7.7613e-01,-5.1646e+09,3.9965e+00,1.6052e+03,inf,-3.6678e-01,-9.7199e-01,6.7377e+00,9.4407e+00
2.0000e+03,7.8000e+01,1.1700e+02,3.6406e+01,-5.0002e+09,-5.0002e+09,-7.8608e-01,-5.0002e+09,4.3956e-01,1.9418e+01,inf,-3.6811e-01,-1.9865e+00,6.2349e+00,9.8242e+00
2.0000e+03,7.9000e+01,1.2100e+02,3.6199e+01,-4.9207e+09,-4.9207e+09,-7.9603e-01,-4.9207e+09,,-1.4913e+03,inf,-2.3255e-01,-1.1234e+00,5.3051e+00,9.1368e+00
2.0000e+03,8.0000e+01,1.2300e+02,3.6323e+01,-4.8927e+09,-4.8927e+09,-8.0598e-01,-4.8927e+09,4.0903e+00,1.6814e+03,inf,-5.5673e-01,-1.7857e+00,5.4584e+00,9.7999e+00
2.0000e+03,8.1000e+01,1.2700e+02,3.6123e+01,-4.7403e+09,-4.7403e+09,-8.1593e-01,-4.7403e+09,1.3164e+00,1.7415e+02,inf,3.4233e-02,-5.8377e-01,6.5937e+00,9.1155e+00
2.0000e+03,8.2000e+01,1.2800e+02,3.6404e+01,-4.5570e+09,-4.5570e+09,-8.2588e-01,-4.5570e+09,,-1.2312e+03,inf,-3.3903e-01,-1.3843e-01,5.6780e+00,8.2402e+00
2.0000e+03,8.3000e+01,1.2900e+02,3.6681e+01,-4.4448e+09,-4.4448e+09,-8.3583e-01,-4.4448e+09,4.0811e+00,1.6738e+03,inf,1.3249e-01,-2.6777e-01,5.2622e+00,8.3864e+00
2.0000e+03,8.4000e+01,1.3200e+02,3.6638e+01,-4.3713e+09,-4.3713e+09,-8.4578e-01,-4.3713e+09,1.7404e+00,3.0440e+02,inf,-7.3537e-01,-1.8923e+00,5.9033e+00,9.9640e+00
2.0000e+03,8.5000e+01,1.3500e+02,3.6596e+01,-4.2973e+09,-4.2973e+09,-8.5573e-01,-4.2973e+09,,-1.0198e+03,inf,-4.1432e-01,-1.5841e+00,5.1822e+00,9.7397e+00
2.0000e+03,8.6000e+01,1.4300e+02,3.5802e+01,-4.2934e+09,-4.2934e+09,-8.6568e-01,-4.2934e+09,,-2.8949e+02,inf,-1.0936e+00,-6.6595e-01,6.1496e+00,8.1040e+00
2.0000e+03,8.7000e+01,1.4400e+02,3.6066e+01,-4.2763e+09,-4.2763e+09,-8.7563e-01,-4.2763e+09,2.0880e+00,4.3813e+02,inf,-8.5446e-01,-1.3227e+00,5.6646e+00,9.9576e+00
2.0000e+03,8.8000e+01,1.4800e+02,3.5887e+01,-4.2536e+09,-4.2536e+09,-8.8558e-01,-4.2536e+09,,-8.6986e+02,inf,-1.0570e-01,-1.1808e+00,5.0114e+00,9.9080e+00
2.0000e+03,8.9000e+01,1.4900e+02,3.6145e+01,-4.0705e+09,-4.0705e+09,-8.9553e-01,-4.0705e+09,,-1.4067e+02,inf,-9.5883e-01,-9.5539e-01,5.1967e+00,9.4273e+00
2.0000e+03,9.0000e+01,1.5000e+02,3.6400e+01,-4.0026e+09,-4.0026e+09,-9.0548e-01,-4.0026e+09,2.3217e+00,5.4172e+02,inf,-2.8665e-01,-3.5568e-01,6.2559e+00,8.2358e+00
2.0000e+03,9.1000e+01,1.5200e+02,3.6508e+01,-3.9958e+09,-3.9958e+09,-9.1543e-01,-3.9958e+09,,-6.8574e+02,inf,-4.2904e-01,-1.1104e+00,5.0442e+00,9.2120e+00
2.0000e+03,9.2000e+01,1.5300e+02,3.6759e+01,-3.8986e+09,-3.8986e+09,-9.2538e-01,-3.8986e+09,,-6.6338e+00,inf,-2.5445e-01,-1.0126e+00,6.6811e+00,9.4242e+00
2.0000e+03,9.3000e+01,1.5400e+02,3.7008e+01,-3.8876e+09,-3.8876e+09,-9.3533e-01,-3.8876e+09,2.5506e+00,6.5380e+02,inf,-4.5960e-01,-1.9161e+00,6.5149e+00,9.9767e+00
2.0000e+03,9.4000e+01,1.5500e+02,3.7255e+01,-3.8872e+09,-3.8872e+09,-9.4528e-01,-3.8872e+09,,-5.3948e+02,inf,-6.8159e-01,-5.4401e-01,5.3442e+00,8.7689e+00
2.0000e+03,9.5000e+01,1.5800e+02,3.7209e+01,-3.8769e+09,-3.8769e+09,-9.5523e-01,-3.8769e+09,1.0953e+00,1.2056e+02,inf,-1.0993e+00,-7.1286e-01,5.7997e+00,9.2285e+00
2.0000e+03,9.6000e+01,1.5900e+02,3.7452e+01,-3.8613e+09,-3.8613e+09,-9.6518e-01,-3.8613e+09,2.7788e+00,7.7605e+02,inf,-4.2842e-01,-1.4571e+00,5.0689e+00,9.2542e+00
2.0000e+03,9.7000e+01,1.6000e+02,3.7692e+01,-3.7168e+09,-3.7168e+09,-9.7513e-01,-3.7168e+09,,-3.9368e+02,inf,3.7797e-01,-1.6142e+00,6.4257e+00,9.3959e+00
2.0000e+03,9.8000e+01,1.6500e+02,3.7358e+01,-3.7063e+09,-3.7063e+09,-9.8508e-01,-3.7063e+09,1.5358e+00,2.3705e+02,inf,-6.8915e-01,-2.0135e-01,5.1696e+00,8.3623e+00
2.0000e+03,9.9000e+01,1.6600e+02,3.7594e+01,-3.6365e+09,-3.6365e+09,-9.9503e-01,-3.6365e+09,2.9090e+00,8.5046e+02,inf,-6.2501e-01,-5.8149e-02,6.5477e+00,8.2636e+00
2.0000e+03,1.0000e+02,1.6800e+02,3.7687e+01,-3.6020e+09,-3.6020e+09,-1.0050e+00,-3.6020e+09,,-2.6322e+02,inf,-6.1218e-01,-1.9379e+00,5.7265e+00,9.4614e+00
2.0000e+03,1.0100e+02,1.6900e+02,3.7918e+01,-3.5907e+09,-3.5907e+09,-1.0149e+00,-3.5907e+09,1.8598e+00,3.4760e+02,inf,-8.4066e-01,-9.9407e-01,5.2238e+00,9.2144e+00
2.0000e+03,1.0200e+02,1.7200e+02,3.7868e+01,-3.5417e+09,-3.5417e+09,-1.0249e+00,-3.5417e+09,,-7.4423e+02,inf,-6.6154e-01,-8.6267e-01,5.0834e+00,9.9913e+00
2.0000e+03,1.0300e+02,1.7300e+02,3.8095e+01,-3.5199e+09,-3.5199e+09,-1.0348e+00,-3.5199e+09,,-1.4166e+02,inf,1.9752e-01,-3.3540e-01,5.6913e+00,8.4799e+00
2.0000e+03,1.0400e+02,1.7800e+02,3.7770e+01,-3.4988e+09,-3.4988e+09,-1.0448e+00,-3.4988e+09,2.1245e+00,4.5359e+02,inf,-7.7423e-01,-6.9144e-01,6.2096e+00,8.7900e+00
2.0000e+03,1.0500e+02,1.8000e+02,3.7857e+01,-3.4874e+09,-3.4874e+09,-1.0547e+00,-3.4874e+09,,-6.1837e+02,inf,-1.4095e+00,-1.3151e+00,5.7108e+00,9.9917e+00
2.0000e+03,1.0600e+02,1.8200e+02,3.7943e+01,-3.4761e+09,-3.4761e+09,-1.0647e+00,-3.4761e+09,,-2.5835e+01,inf,-7.6010e-01,-1.2689e-01,5.9661e+00,8.2507e+00
2.0000e+03,1.0700e+02,1.8300e+02,3.8163e+01,-3.4034e+09,-3.4034e+09,-1.0746e+00,-3.4034e+09,2.3457e+00,5.5299e+02,inf,-4.2659e-01,-4.5352e-01,6.7607e+00,9.2748e+00
2.0000e+03,1.0800e+02,1.8400e+02,3.8380e+01,-3.4028e+09,-3.4028e+09,-1.0846e+00,-3.4028e+09,,-4.9163e+02,inf,-9.3586e-01,-1.3300e+00,5.1671e+00,9.5217e+00
2.0000e+03,1.0900e+02,1.8700e+02,3.8328e+01,-3.2719e+09,-3.2719e+09,-1.0945e+00,-3.2719e+09,9.1067e-01,8.3345e+01,inf,-1.1335e+00,-4.0518e-01,6.2247e+00,9.1113e+00
2.0000e+03,1.1000e+02,1.8800e+02,3.8542e+01,-3.2157e+09,-3.2157e+09,-1.1045e+00,-3.2157e+09,2.5004e+00,6.2830e+02,inf,-8.8520e-01,-1.4032e+00,6.3185e+00,9.1903e+00
2.0000e+03,1.1100e+02,1.9400e+02,3.8095e+01,-3.1784e+09,-3.1784e+09,-1.1144e+00,-3.1784e+09,,-3.5456e+02,inf,-7.9152e-01,-1.7649e-01,5.8670e+00,8.3566e+00
2.0000e+03,1.1200e+02,1.9500e+02,3.8305e+01,-3.0856e+09,-3.0856e+09,-1.1244e+00,-3.0856e+09,1.3388e+00,1.8015e+02,inf,-1.1818e+00,-1.1212e+00,6.2587e+00,9.8501e+00
2.0000e+03,1.1300e+02,2.0200e+02,3.7748e+01,-3.0737e+09,-3.0737e+09,-1.1343e+00,-3.0737e+09,2.6422e+00,7.0161e+02,inf,-1.0534e+00,-1.1609e+00,5.1458e+00,9.3017e+00
2.0000e+03,1.1400e+02,2.0600e+02,3.7582e+01,-3.0273e+09,-3.0273e+09,-1.1443e+00,-3.0273e+09,,-2.3814e+02,inf,-8.1479e-01,-1.9877e+00,5.8771e+00,9.5941e+00
2.0000e+03,1.1500e+02,2.1100e+02,3.7299e+01,-2.9855e+09,-2.9855e+09,-1.1542e+00,-2.9855e+09,1.6464e+00,2.7241e+02,inf,4.7309e-01,-4.2159e-01,6.2287e+00,8.3166e+00
2.0000e+03,1.1600e+02,2.1500e+02,3.7143e+01,-2.9123e+09,-2.9123e+09,-1.1642e+00,-2.9123e+09,,-6.2807e+02,inf,-1.0965e+00,-6.0341e-01,6.9044e+00,9.7799e+00
2.0000e+03,1.1700e+02,2.2200e+02,3.6646e+01,-2.8770e+09,-2.8770e+09,-1.1741e+00,-2.8770e+09,,-1.3165e+02,inf,3.6827e-01,-1.0584e+00,6.0247e+00,8.5260e+00
