nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logzh,logdust,logNpix
2.0000e+03,0.0000e+00,1.0000e+00,1.9608e+00,-2.1559e+05,-2.1560e+05,-1.9803e-02,-2.1560e+05,3.0263e-01,4.6250e+00,inf,5.1955e-01,-5.9670e-01,-3.5991e-02,2.2479e+00
2.0000e+03,1.0000e+00,2.0000e+00,3.8462e+00,-2.0472e+05,-2.0473e+05,-3.9605e-02,-2.0473e+05,3.0328e-01,4.6448e+00,1.8081e+05,1.0443e+00,-1.2320e+00,-1.0692e-02,2.3590e+00
2.0000e+03,2.0000e+00,3.0000e+00,5.6604e+00,-1.7502e+05,-1.7503e+05,-5.9408e-02,-1.7503e+05,3.0393e-01,4.6646e+00,1.6994e+05,1.5706e+00,-4.2624e-01,-3.6160e-01,2.1142e+00
2.0000e+03,3.0000e+00,4.0000e+00,7.4074e+00,-1.6269e+05,-1.6270e+05,-7.9211e-02,-1.6270e+05,3.0457e-01,4.6844e+00,1.4024e+05,2.0941e+00,-1.2719e+00,-9.8380e-02,2.6514e+00
2.0000e+03,4.0000e+00,5.0000e+00,9.0909e+00,-1.6038e+05,-1.6038e+05,-9.9013e-02,-1.6038e+05,3.0521e-01,4.7042e+00,1.2791e+05,2.6315e+00,3.0130e-01,-4.5517e-02,3.1138e+00
2.0000e+03,5.0000e+00,6.0000e+00,1.0714e+01,-1.5788e+05,-1.5788e+05,-1.1882e-01,-1.5788e+05,3.0586e-01,4.7240e+00,1.2559e+05,3.1542e+00,-2.8561e-01,-8.6811e-01,2.0135e+00
2.0000e+03,6.0000e+00,8.0000e+00,1.2069e+01,-1.5285e+05,-1.5286e+05,-1.3862e-01,-1.5286e+05,3.0650e-01,4.7438e+00,1.2309e+05,4.1962e+00,-8.6491e-01,-8.6342e-01,2.0187e+00
2.0000e+03,7.0000e+00,9.0000e+00,1.3559e+01,-1.5258e+05,-1.5259e+05,-1.5842e-01,-1.5259e+05,3.0713e-01,4.7636e+00,1.1807e+05,4.7147e+00,-3.7761e-01,-9.9383e-01,2.0275e+00
2.0000e+03,8.0000e+00,1.0000e+01,1.5000e+01,-1.5091e+05,-1.5092e+05,-1.7822e-01,-1.5092e+05,3.0777e-01,4.7834e+00,1.1780e+05,5.2338e+00,4.5653e-02,-2.3472e-01,2.7298e+00
2.0000e+03,9.0000e+00,1.1000e+01,1.6393e+01,-1.4999e+05,-1.5000e+05,-1.9803e-01,-1.5000e+05,3.0841e-01,4.8032e+00,1.1613e+05,5.7624e+00,-8.2965e-01,-6.8490e-01,2.1467e+00
2.0000e+03,1.0000e+01,1.3000e+01,1.7460e+01,-1.4973e+05,-1.4974e+05,-2.1783e-01,-1.4974e+05,3.0904e-01,4.8230e+00,1.1521e+05,6.7904e+00,-1.1128e+00,-1.0844e+00,3.8408e+00
