acceptance
0.0660
0.0760
0.1200
0.0900
0.1420
0.1260
0.0700
0.0820
0.0600
0.0580
0.0620
0.0780
0.1260
0.1220
0.0700
0.0360
0.1080
0.0720
0.0640
0.0980
0.0740
0.1220
0.0720
0.0640
0.1080
0.0720
0.0620
0.1080
0.0500
0.0560
0.1260
0.0640
0.0880
0.1080
0.1100
0.1460
0.0840
0.0800
0.0920
0.0620
0.0800
0.1260
0.0420
0.1280
0.0920
0.1240
0.1200
0.0760
0.0520
0.0700
0.0640
0.0760
0.0600
0.0520
0.1040
0.0740
0.0860
0.1080
0.0760
0.0780
0.0400
0.0660
0.1320
0.1160
0.0960
0.1180
0.1500
0.0700
0.0720
0.0340
0.0720
0.1500
0.0680
0.0840
0.1700
0.0600
0.0360
0.1580
0.0560
0.0800
0.0920
0.1180
0.0700
0.0720
0.0700
0.0680
0.1240
0.0680
0.0960
0.1220
0.0380
0.0760
0.0440
0.0380
0.0700
0.0380
0.0780
0.1020
0.0760
0.0420
0.0760
0.0460
0.0760
0.1240
0.1040
0.0940
0.0640
0.0740
0.1000
0.1080
0.0720
0.0780
0.0420
0.0820
0.1420
0.1400
0.1320
0.1340
0.0400
0.1120
0.0500
0.0780
0.0440
0.1160
0.0580
0.0500
0.0860
0.1300
