nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logzh,logdust,logNpix
2.0000e+03,0.0000e+00,1.0000e+00,1.9608e+00,-9.6440e+06,-9.6440e+06,-1.9803e-02,-9.6440e+06,3.0278e-01,4.6293e+00,inf,5.0252e-01,-1.1128e+00,-1.0844e+00,3.8408e+00
2.0000e+03,1.0000e+00,2.0000e+00,3.8462e+00,-9.2661e+06,-9.2661e+06,-3.9605e-02,-9.2661e+06,3.0318e-01,4.6417e+00,inf,1.0111e+00,9.3734e-02,-8.8448e-01,3.9317e+00
2.0000e+03,2.0000e+00,3.0000e+00,5.6604e+00,-7.7413e+06,-7.7413e+06,-5.9408e-02,-7.7413e+06,3.0388e-01,4.6631e+00,inf,1.5178e+00,-9.4707e-01,-3.9626e-01,3.9163e+00
2.0000e+03,3.0000e+00,4.0000e+00,7.4074e+00,-5.5139e+06,-5.5139e+06,-7.9211e-02,-5.5139e+06,3.0456e-01,4.6841e+00,inf,2.0251e+00,-5.9670e-01,-3.5991e-02,2.2479e+00
2.0000e+03,4.0000e+00,6.0000e+00,8.9286e+00,-5.4097e+06,-5.4097e+06,-9.9013e-02,-5.4097e+06,3.0523e-01,4.7047e+00,inf,3.0394e+00,-1.2320e+00,-1.0692e-02,2.3590e+00
2.0000e+03,5.0000e+00,7.0000e+00,1.0526e+01,-3.5382e+06,-3.5382e+06,-1.1882e-01,-3.5382e+06,3.0583e-01,4.7232e+00,inf,3.5484e+00,3.0130e-01,-4.5517e-02,3.1138e+00
2.0000e+03,6.0000e+00,9.0000e+00,1.1864e+01,-2.8172e+06,-2.8172e+06,-1.3862e-01,-2.8172e+06,3.0649e-01,4.7435e+00,inf,4.5533e+00,2.8111e-01,-5.3470e-02,3.1868e+00
2.0000e+03,7.0000e+00,1.0000e+01,1.3333e+01,-2.7337e+06,-2.7337e+06,-1.5842e-01,-2.7337e+06,3.0714e-01,4.7637e+00,inf,5.0581e+00,-4.2624e-01,-3.6160e-01,2.1142e+00
2.0000e+03,8.0000e+00,1.1000e+01,1.4754e+01,-2.6752e+06,-2.6752e+06,-1.7822e-01,-2.6752e+06,3.0779e-01,4.7839e+00,inf,5.5687e+00,-1.2719e+00,-9.8380e-02,2.6514e+00
2.0000e+03,9.0000e+00,1.2000e+01,1.6129e+01,-2.1986e+06,-2.1986e+06,-1.9803e-01,-2.1986e+06,3.0840e-01,4.8029e+00,inf,6.0645e+00,-2.5445e-01,-1.0126e+00,3.6811e+00
2.0000e+03,1.0000e+01,1.3000e+01,1.7460e+01,-2.0925e+06,-2.0925e+06,-2.1783e-01,-2.0925e+06,3.0904e-01,4.8230e+00,inf,6.5690e+00,2.3825e-01,-1.1277e+00,3.6043e+00
2.0000e+03,1.1000e+01,1.4000e+01,1.8750e+01,-1.9993e+06,-1.9993e+06,-2.3763e-01,-1.9993e+06,3.0967e-01,4.8427e+00,inf,7.0674e+00,-1.3305e+00,-1.3340e+00,3.4569e+00
2.0000e+03,1.2000e+01,1.5000e+01,2.0000e+01,-1.9501e+06,-1.9501e+06,-2.5743e-01,-1.9501e+06,3.1031e-01,4.8627e+00,inf,7.5647e+00,-1.2834e+00,-4.4764e-01,3.5650e+00
2.0000e+03,1.3000e+01,1.6000e+01,2.1212e+01,-1.7795e+06,-1.7795e+06,-2.7724e-01,-1.7795e+06,3.1094e-01,4.8824e+00,inf,8.0628e+00,-2.8561e-01,-8.6811e-01,2.0135e+00
2.0000e+03,1.4000e+01,2.0000e+01,2.1429e+01,-1.7488e+06,-1.7488e+06,-2.9704e-01,-1.7488e+06,3.1156e-01,4.9020e+00,inf,1.0062e+01,-1.0624e+00,-1.5026e-01,2.8843e+00
2.0000e+03,1.5000e+01,2.1000e+01,2.2535e+01,-1.7000e+06,-1.7000e+06,-3.1684e-01,-1.7000e+06,3.1220e-01,4.9221e+00,inf,1.0564e+01,4.8416e-01,-8.2396e-02,3.5839e+00
2.0000e+03,1.6000e+01,2.2000e+01,2.3611e+01,-1.6012e+06,-1.6012e+06,-3.3664e-01,-1.6012e+06,3.1282e-01,4.9417e+00,inf,1.1066e+01,-7.5806e-02,-1.1122e+00,2.0621e+00
2.0000e+03,1.7000e+01,2.3000e+01,2.4658e+01,-1.5512e+06,-1.5512e+06,-3.5645e-01,-1.5512e+06,3.1346e-01,4.9617e+00,inf,1.1568e+01,4.5653e-02,-2.3472e-01,2.7298e+00
2.0000e+03,1.8000e+01,2.6000e+01,2.5000e+01,-1.5453e+06,-1.5453e+06,-3.7625e-01,-1.5453e+06,3.1408e-01,4.9814e+00,inf,1.3048e+01,4.4899e-01,-6.6443e-01,2.5113e+00
2.0000e+03,1.9000e+01,2.7000e+01,2.5974e+01,-1.4988e+06,-1.4988e+06,-3.9605e-01,-1.4988e+06,3.1470e-01,5.0011e+00,inf,1.3544e+01,7.0717e-02,-4.4005e-01,2.5452e+00
2.0000e+03,2.0000e+01,2.9000e+01,2.6582e+01,-1.4655e+06,-1.4655e+06,-4.1586e-01,-1.4655e+06,3.1533e-01,5.0211e+00,inf,1.4551e+01,-2.6512e-01,-1.7575e-01,3.5810e+00
2.0000e+03,2.1000e+01,3.1000e+01,2.7160e+01,-1.4638e+06,-1.4638e+06,-4.3566e-01,-1.4638e+06,3.1594e-01,5.0408e+00,inf,1.5543e+01,-8.6491e-01,-8.6342e-01,2.0187e+00
2.0000e+03,2.2000e+01,3.2000e+01,2.8049e+01,-1.4125e+06,-1.4125e+06,-4.5546e-01,-1.4125e+06,3.1657e-01,5.0608e+00,inf,1.6043e+01,-3.7761e-01,-9.9383e-01,2.0275e+00
2.0000e+03,2.3000e+01,3.3000e+01,2.8916e+01,-1.3766e+06,-1.3766e+06,-4.7526e-01,-1.3766e+06,3.1718e-01,5.0804e+00,inf,1.6540e+01,-1.1571e+00,-5.2583e-01,2.2541e+00
2.0000e+03,2.4000e+01,3.5000e+01,2.9412e+01,-1.3001e+06,-1.3001e+06,-4.9507e-01,-1.3001e+06,3.1780e-01,5.1001e+00,inf,1.7546e+01,-1.3832e+00,-7.5735e-01,2.0454e+00
2.0000e+03,2.5000e+01,3.7000e+01,2.9885e+01,-1.2955e+06,-1.2955e+06,-5.1487e-01,-1.2955e+06,3.1842e-01,5.1201e+00,inf,1.8552e+01,-8.2965e-01,-6.8490e-01,2.1467e+00
2.0000e+03,2.6000e+01,3.9000e+01,3.0337e+01,-1.1657e+06,-1.1657e+06,-5.3467e-01,-1.1657e+06,3.1903e-01,5.1398e+00,inf,1.9561e+01,-8.1117e-01,-7.1824e-01,2.2524e+00
2.0000e+03,2.7000e+01,4.0000e+01,3.1111e+01,-1.1523e+06,-1.1523e+06,-5.5447e-01,-1.1523e+06,3.1965e-01,5.1598e+00,inf,2.0067e+01,-4.6683e-02,-1.9982e-01,3.5583e+00
2.0000e+03,2.8000e+01,4.1000e+01,3.1868e+01,-1.0887e+06,-1.0887e+06,-5.7428e-01,-1.0887e+06,3.2026e-01,5.1795e+00,inf,2.0567e+01,2.0780e-01,-1.4259e+00,2.3461e+00
2.0000e+03,2.9000e+01,4.4000e+01,3.1915e+01,-1.0663e+06,-1.0663e+06,-5.9408e-01,-1.0663e+06,3.2087e-01,5.1992e+00,inf,2.2057e+01,3.1863e-01,-1.8804e+00,2.3686e+00
2.0000e+03,3.0000e+01,4.5000e+01,3.2632e+01,-1.0127e+06,-1.0127e+06,-6.1388e-01,-1.0127e+06,3.2148e-01,5.2190e+00,inf,2.2561e+01,-8.8005e-02,-1.7003e+00,3.4921e+00
