nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,logzh,logdust,logNpix
2.0000e+03,2.0680e+03,1.9889e+04,1.0299e+01,1.6998e+05,1.6996e+05,-1.0319e+01,1.6996e+05,2.7640e-01,1.5317e+01,1.6244e+03,-4.9433e-01,-1.0724e+00,5.9983e+00
2.0000e+03,2.0690e+03,1.9890e+04,1.0304e+01,1.6998e+05,1.6996e+05,-1.0324e+01,1.6996e+05,2.7202e-01,1.4836e+01,1.6228e+03,-4.6505e-01,-1.0381e+00,6.0032e+00
2.0000e+03,2.0700e+03,1.9894e+04,1.0307e+01,1.6998e+05,1.6997e+05,-1.0329e+01,1.6997e+05,2.8327e-01,1.6088e+01,1.6218e+03,-3.2271e-01,-1.1079e+00,6.0123e+00
2.0000e+03,2.0710e+03,1.9905e+04,1.0306e+01,1.6999e+05,1.6997e+05,-1.0334e+01,1.6997e+05,2.8353e-01,1.6118e+01,1.6183e+03,-4.2778e-01,-1.0905e+00,6.0035e+00
2.0000e+03,2.0720e+03,1.9906e+04,1.0310e+01,1.6999e+05,1.6997e+05,-1.0339e+01,1.6997e+05,2.7514e-01,1.5178e+01,1.6144e+03,-4.2157e-01,-1.0231e+00,6.0026e+00
2.0000e+03,2.0730e+03,1.9907e+04,1.0315e+01,1.7000e+05,1.6998e+05,-1.0344e+01,1.6998e+05,2.8544e-01,1.6335e+01,1.6132e+03,-4.6901e-01,-9.4937e-01,6.0031e+00
2.0000e+03,2.0740e+03,1.9908e+04,1.0319e+01,1.7000e+05,1.6998e+05,-1.0349e+01,1.6998e+05,2.7590e-01,1.5262e+01,1.6013e+03,-4.0581e-01,-1.0005e+00,6.0051e+00
2.0000e+03,2.0750e+03,1.9913e+04,1.0322e+01,1.7000e+05,1.6999e+05,-1.0354e+01,1.6999e+05,2.7345e-01,1.4992e+01,1.6000e+03,-5.4863e-01,-1.0264e+00,5.9989e+00
2.0000e+03,2.0760e+03,1.9917e+04,1.0325e+01,1.7000e+05,1.6999e+05,-1.0359e+01,1.6999e+05,2.7825e-01,1.5524e+01,1.5990e+03,-4.9681e-01,-1.0622e+00,5.9953e+00
2.0000e+03,2.0770e+03,1.9928e+04,1.0324e+01,1.7003e+05,1.7001e+05,-1.0364e+01,1.7001e+05,2.8561e-01,1.6356e+01,1.5970e+03,-2.9923e-01,-9.9913e-01,6.0208e+00
