"N_scale: 1024, log_Npix: 0","N_scale: 1024, log_Npix: 2","N_scale: 1024, log_Npix: 4","N_scale: 128, log_Npix: 0","N_scale: 128, log_Npix: 2","N_scale: 128, log_Npix: 4","N_scale: 2048, log_Npix: 0","N_scale: 2048, log_Npix: 2","N_scale: 2048, log_Npix: 4","N_scale: 256, log_Npix: 0","N_scale: 256, log_Npix: 2","N_scale: 256, log_Npix: 4","N_scale: 512, log_Npix: 0","N_scale: 512, log_Npix: 2","N_scale: 512, log_Npix: 4"
-2954.3030688140557,-881.1039822754748,-291.30433543332344,-243.10396879323625,-7.934739864891602,-4.352655219256852,-2822.924323572393,-849.9543848248627,-295.48968095314086,-3229.454539192068,-971.7415296373898,-179.8368978832666,-2959.548619690444,-828.7976948953261,-187.25602087484998
-2990.518791864344,-912.9096803247186,-286.14872461009924,-173.43984175093715,-5.724491139008974,-4.758476887641019,-2873.8848387583052,-843.3708144006877,-291.0959874345122,-2495.3950405377404,-893.5769125192985,-154.2123874052327,-2781.2174821667495,-803.1242001681327,-252.3355354434489
-2964.4181314528873,-834.208669149241,-281.82516311302646,-201.4517130206787,-5.724491139008974,-2.6132441597322167,-2821.8556274184825,-827.3153310635364,-290.72646161299343,-2848.9466524511363,-923.7053418806795,-154.1469352544833,-2835.27960191026,-943.9672268416961,-284.95670262015614
-2912.6263231121516,-875.520875978766,-262.88208911421555,-210.8255573306606,-46.332646359185354,-4.53447592593626,-2924.420026013535,-876.1789948199767,-291.6329721490585,-3178.308209847795,-824.5170795889861,-201.18270143543654,-3503.492490319836,-866.3014679570784,-206.37885129369835
-2842.6221677032318,-844.9887477579897,-272.9408379257157,-188.2669684034723,-5.724491139008974,-4.790545135541604,-2876.84730441031,-849.1290474928985,-293.8366365628132,-3170.943894667761,-986.0084854848069,-250.05647497630318,-3070.179776624613,-876.0600271011621,-243.9002123407671
-2974.1740810328174,-885.959472660629,-292.33499612944706,-195.39589403097295,-51.266549057335276,-3.7197323187179934,-2914.23190853666,-842.0900538666596,-282.2993916045211,-3458.00071746807,-947.8314395768115,-137.29183312096387,-2711.868804895858,-871.4713764911659,-298.1576069157
-2984.186213685655,-859.9187014749335,-276.9370880881398,-248.2509774403502,-40.04129731799913,-2.244794064845941,-2900.598578057839,-831.5870270617309,-284.63466061947315,-2966.2626256804597,-1073.905754267755,-200.46262564285968,-2703.166984453531,-790.7901288724124,-252.52579892662237
-2767.486680975902,-842.7332041032697,-287.2488792567555,-212.93364920055672,-9.763726356178958,-3.556327542090032,-2918.7764607855493,-840.1093641624568,-278.07562453491494,-2659.3058407362846,-922.8684833622235,-139.11040391899527,-2642.65790215626,-909.2737856202584,-235.6455195931884
-3001.172236494417,-851.2401698669922,-294.17821493987657,-202.126734370961,-72.9311574083682,-3.186655147979757,-2815.6905421835427,-834.2654096867544,-299.39552417046656,-3070.466828468698,-847.4798350557123,-143.3157228594155,-2489.918740467418,-859.9151404738906,-238.35703632951314
-2886.9493799435877,-795.1736358058382,-269.8028923139863,-195.39589403097295,-9.763726356178958,-3.364344494646033,-2913.8525633690842,-844.5747369380881,-276.3009380098104,-3212.0746133662997,-867.1364527431979,-155.78760512590011,-2764.6699223920073,-835.2091659220077,-252.02786318360643
-3015.0460264573176,-860.5185312159172,-267.70029844748734,-247.89097983473238,-9.548242532683558,-6.481156452964406,-2883.4852767805237,-830.6026905966615,-275.8909769014932,-3248.7278223382136,-1052.7197691738336,-162.5348294568608,-2721.2489320724167,-790.6426507124124,-206.99901712571034
-2801.786982253549,-834.1713803107326,-276.13564834561106,-195.39589403097295,-54.58601528597473,-4.898772648149031,-2778.2579779460925,-851.4422612227145,-282.5423334064455,-3216.413031342958,-974.8358264216861,-167.32162369871236,-2561.5337779189863,-780.13932117198,-229.51890289514387
