# Vega Mags
# Elliptical M49 region extracted from isophotes (64.06,64.07]
# Num Pixels: 175412
# Neff ~ 419^2
# zmag gmag-zmag
# F850LP F475W-F850LP
# 
26.257703 1.673023
26.310159 1.736663
26.161157 1.564256
26.017686 1.796010
25.974054 1.928910
26.101200 1.921189
26.215994 1.861319
26.146318 1.842513
26.174176 1.783389
26.202308 1.740353
26.360229 1.686578
26.132549 1.917749
26.229705 1.752733
26.120793 1.875548
26.162118 1.673011
26.181431 1.917886
26.345851 1.562531
26.177401 1.703005
26.136266 1.883239
26.134859 1.787565
26.048081 1.886040
26.101983 1.842239
26.122627 1.734916
26.043067 1.805850
25.984755 1.910220
26.127509 1.784864
26.286447 1.615823
26.055410 1.966687
26.038297 1.999137
26.061869 2.038393
26.150195 1.765290
26.128061 1.805829
26.100229 1.868800
26.093445 1.834821
26.151613 1.963587
26.205320 1.731172
26.101735 1.824362
26.233433 1.750471
26.165890 1.728684
26.142486 1.676265
26.009089 1.835494
26.182162 1.734924
26.232799 1.715829
26.159852 1.788204
26.115454 1.731834
26.158509 1.637277
26.120744 1.752344
26.187315 1.768112
26.209921 1.744411
26.184075 1.607505
26.192399 1.664775
26.185924 1.803814
26.230286 1.784210
26.076786 1.908342
26.244391 1.697950
26.109047 1.853362
26.122280 1.879047
26.262182 1.727816
26.175165 1.757809
26.193613 1.825176
26.240109 1.708145
26.172301 1.882235
26.160991 1.858511
26.305953 1.730105
26.187017 1.910785
26.323176 1.548558
26.294432 1.632230
26.124242 1.818658
26.209593 1.701174
26.232216 1.685342
26.443783 1.478127
26.223336 1.804273
26.193210 1.836297
26.253976 1.716114
26.288786 1.651143
26.255713 1.575662
26.148735 1.802881
26.320227 1.668318
26.103120 1.770796
26.066295 1.854129
26.038617 1.879372
26.354141 1.619577
26.138285 1.807995
26.257958 1.571123
26.093802 1.896588
26.042594 2.048701
26.173665 1.716030
26.243909 1.842962
26.338081 1.697294
26.293156 1.571217
26.287217 1.633965
26.161593 1.784901
26.125159 1.800162
26.120842 1.708884
26.164136 1.680260
26.061255 1.825112
26.124418 1.792428
26.293303 1.716035
26.082890 1.768046
26.031628 1.980110
25.989431 1.899677
26.178986 1.629573
26.180379 1.723987
26.169228 1.778695
26.176869 1.858289
26.176043 1.800589
26.161687 1.811131
26.179199 1.802662
26.129946 1.844117
25.990306 1.907046
26.274277 1.603660
26.341067 1.568127
26.292619 1.584057
26.204031 1.759505
26.199730 1.606638
26.085896 1.706422
25.921295 1.969913
26.027262 1.815766
26.028474 1.875214
26.103864 1.724673
26.154698 1.767246
26.168730 1.708088
26.157819 1.624830
26.063672 1.745007
26.136898 1.702009
26.224583 1.622406
26.166665 1.776062
26.162047 1.852562
26.260618 1.596736
26.139437 1.824347
26.154697 1.793655
26.146251 1.790151
26.139860 1.922095
26.217231 1.670838
26.156139 1.658393
26.092374 1.787703
26.162534 1.786209
26.203657 1.683291
26.012813 1.863211
26.056452 1.907306
26.231924 1.756637
26.232918 1.658279
26.155309 1.764933
26.184770 1.803662
26.170950 1.742364
26.153456 1.833000
26.167678 1.859214
26.085042 1.925550
26.012870 1.937543
25.995775 2.008865
26.128762 1.870893
26.223867 1.563964
26.230707 1.645930
26.271534 1.790538
26.202086 1.740524
26.185815 1.773782
26.138901 1.795143
26.016999 1.863953
26.170531 1.760663
26.175724 1.754330
26.146534 1.901554
26.088876 1.964258
26.230568 1.791997
26.088828 1.769192
26.227736 1.692062
26.260229 1.621533
26.275074 1.600259
26.408610 1.657962
26.332019 1.640948
26.229240 1.795419
26.195925 1.692943
26.194779 1.899528
26.138829 1.804613
26.095963 1.855197
26.299009 1.632163
26.302015 1.761258
26.282127 1.694114
26.091675 1.836863
26.243225 1.649113
26.305626 1.586108
26.414163 1.558966
26.383703 1.499455
26.188494 1.556791
26.118015 1.763200
26.179814 1.716533
26.200149 1.762274
26.285330 1.728035
26.269932 1.736834
26.073553 1.856886
26.181844 1.736544
26.098462 1.767955
26.033556 1.797961
26.023364 1.860738
25.907560 2.059854
26.162384 1.826701
26.192717 1.827162
26.174605 1.747594
26.192890 1.730828
26.180801 1.796133
26.201955 1.690740
26.180132 1.729336
26.130268 1.886196
26.056019 1.837238
26.202341 1.677387
25.988092 2.009393
26.338176 1.507678
26.256671 1.688590
26.050643 2.000779
25.995120 1.895006
26.117027 1.925756
26.228337 1.815096
26.110831 1.707087
26.159270 1.789208
26.118603 1.841381
26.114481 1.831057
26.197570 1.774784
26.107954 1.944450
26.093905 1.855652
26.159675 1.776102
26.292222 1.671199
26.090283 1.848815
26.035191 1.772042
26.139718 1.761792
26.301099 1.840353
26.266415 1.766508
26.199480 1.722946
26.143980 1.866635
26.200445 1.725088
26.146704 1.792711
26.090946 1.746272
26.148791 1.712047
26.196088 1.730526
26.197235 1.739674
26.139000 1.729852
26.035862 1.813445
26.058960 1.829853
26.213609 1.807177
26.117769 1.739631
26.098364 1.815494
26.127720 1.762548
26.149771 1.862097
26.179304 1.828148
26.265245 1.733070
26.258343 1.586681
26.144691 1.841993
26.139269 1.795742
26.236987 1.665462
26.126042 1.770442
26.091578 1.866190
26.152253 1.787923
26.008654 2.071420
26.118289 1.920568
26.320351 1.786393
26.454069 1.623873
26.426335 1.516147
26.286433 1.606934
26.251181 1.761284
26.291864 1.723205
26.288303 1.630775
26.288021 1.678784
26.170390 1.769947
26.198690 1.701041
26.353235 1.529615
26.039304 1.770354
26.188435 1.679925
26.225280 1.768987
26.235861 1.786363
26.172419 1.685400
26.292964 1.623291
26.154429 1.784524
26.192877 1.721131
26.208405 1.713492
26.377481 1.468500
26.154515 1.805614
26.112416 1.864051
26.138969 1.862383
26.186478 1.865683
26.274480 1.603209
26.118513 1.711900
26.197197 1.807790
26.138114 1.886132
26.193700 1.897483
26.096425 1.871697
26.107209 1.870180
26.090353 1.971198
26.230863 1.777944
26.214239 1.713275
26.082101 1.647184
26.112321 1.744133
26.096446 1.823298
26.215906 1.654211
26.050034 1.864592
26.036684 1.861532
26.034568 1.775062
26.189384 1.720537
26.178448 1.634393
26.198240 1.773271
26.128528 1.794745
26.156319 1.725558
26.236867 1.690118
26.249374 1.607621
26.235288 1.647534
26.207645 1.784282
26.130899 1.716477
26.076002 1.779520
25.968668 2.000099
26.048729 1.932707
26.069674 1.871858
26.077273 1.903047
26.159774 1.808516
26.078651 1.877802
26.104027 1.951178
26.160274 1.603034
26.017452 1.933828
25.961735 1.831988
25.946866 1.962239
25.968910 1.856018
26.203247 1.736217
26.116591 1.853167
26.203452 1.763537
26.316185 1.576872
26.187623 1.667300
26.150028 1.685929
26.134214 1.790999
26.282894 1.641014
26.240703 1.736948
26.117752 1.841218
26.055852 1.922861
26.061877 1.909195
26.067773 1.856879
26.073982 1.901415
25.917229 1.905182
26.045284 1.755104
26.089293 1.725893
26.094577 1.795841
25.970791 1.916055
26.223874 1.626149
26.042542 1.705058
25.989989 2.104725
26.087150 1.872237
26.252313 1.600665
26.257124 1.642964
26.223860 1.762061
26.378164 1.718879
26.328150 1.557807
26.342010 1.584536
26.301412 1.562855
26.312637 1.553687
26.250917 1.580733
26.164487 1.749176
26.239397 1.636476
26.073182 1.781442
26.291832 1.629216
26.180487 1.728889
26.222817 1.648724
26.185203 1.677225
26.297712 1.638813
26.326659 1.676034
26.246538 1.771534
26.240549 1.986195
26.299602 1.669018
26.199540 1.677744
26.055640 1.865154
26.141977 1.743209
26.256560 1.669808
26.262374 1.668905
26.174787 1.808268
26.083211 1.908197
26.208823 1.707457
26.320855 1.613453
26.219262 1.621432
26.157250 1.729890
25.993787 1.884284
26.237186 1.748167
26.362722 1.590776
26.198082 1.742592
26.207480 1.655514
26.286401 1.574018
26.310015 1.616767
26.384563 1.516464
26.368969 1.570730
26.366952 1.624826
26.193715 1.710246
26.223769 1.555598
26.230623 1.695153
26.147290 1.708166
26.085204 1.996543
26.085030 1.863860
26.209930 1.571634
26.180116 1.842755
26.130616 1.702729
26.224711 1.731015
26.103057 1.854000
26.197596 1.644931
26.214957 1.696309
26.258366 1.770255
26.320046 1.664827
26.319452 1.583845
26.320764 1.639261
26.356109 1.652475
26.160901 1.847641
26.116302 1.848496
26.072663 1.905935
25.992751 1.811409
26.008086 1.972869
26.077636 1.953317
26.011465 2.009211
26.019419 1.767512
26.014940 1.865141
26.211089 1.645924
26.310565 1.525038
26.269826 1.836080
26.108854 1.918619
26.159609 1.666195
26.273310 1.578669
26.169188 1.691214
26.217301 1.578716
26.204222 1.839132
26.159392 1.772231
26.106606 1.862165
26.119410 1.968252
26.194941 1.919168
26.161203 1.897777
26.359161 1.700391
26.167195 1.811171
26.210969 1.829376
26.278286 1.778397
26.241753 1.827890
26.137794 1.845495
26.199577 1.806953
26.291567 1.685082
26.218534 1.830263
26.172215 1.806174
26.063620 1.948972
25.984883 1.907844
26.137113 1.788758
26.243008 1.616481
26.277392 1.605697
26.233413 1.710822
26.207899 1.686670
26.173793 1.713730
26.162151 1.776270
26.126382 1.770374
26.051008 1.853223
26.116978 1.707232
26.066918 1.850149
26.126464 1.673569
26.102314 1.792373
26.150427 1.694738
26.176155 1.892119
26.178061 1.942838
26.174727 1.872719
26.175483 1.836297
26.213662 1.772985
26.180811 1.708393
26.259194 1.536389
26.182996 1.692121
26.162261 1.740475
26.289180 1.582327
26.185203 1.811616
26.173167 1.935092
26.215582 1.810887
26.181567 1.826694
26.153780 1.828600
26.131794 1.797942
26.203460 1.770848
26.207936 1.837620
26.331644 1.687717
26.402971 1.633773
26.263894 1.788632
26.183376 1.828855
26.198263 1.622602
26.257337 1.604130
26.233937 1.707297
26.159183 1.861477
26.186523 1.629084
26.118802 1.723147
26.194737 1.743498
26.217741 1.819469
26.155457 1.807942
26.234083 1.661075
26.188008 1.749413
26.108064 1.722657
26.127015 1.746079
26.095221 1.983843
26.341289 1.663339
26.028823 1.877308
26.118546 1.802778
26.285729 1.788123
26.237751 1.727578
26.136521 1.685594
26.181428 1.621197
26.176786 1.740714
26.143836 1.639330
26.055071 1.868384
25.960253 2.117799
26.146734 1.933817
26.039518 2.011872
26.133820 1.755661
26.157121 1.830393
26.038641 1.892826
26.098620 1.740110
26.261283 1.584630
26.268081 1.608203
26.129907 1.770752
26.113493 1.715227
26.059738 1.826619
26.034541 1.864248
26.105287 1.738588
26.184902 1.687126
26.271621 1.593315
26.179197 1.660095
26.178069 1.619945
26.228693 1.616763
26.237399 1.724301
26.109870 1.832805
26.083889 1.771843
26.057510 1.772353
26.041579 2.013472
26.112450 1.771220
