# Vega Mags
# Elliptical M49 region extracted from isophotes (65.07,65.08]
# Num Pixels: 174390
# Neff ~ 418^2
# zmag gmag-zmag
# F850LP F475W-F850LP
# 
26.355718 1.741484
26.511658 1.515354
26.375512 1.818325
26.458532 1.705884
26.466712 1.633810
26.377858 1.725900
26.343460 1.839562
26.324734 1.573491
26.255105 1.591759
26.349125 1.684102
26.412305 1.791512
26.307334 1.618773
26.235782 1.791849
26.372705 1.673120
26.282027 1.847972
26.258101 1.822981
26.457359 1.673998
26.356087 1.662038
26.312885 1.665219
26.359740 1.801581
26.257004 1.808884
26.372354 1.578729
26.367985 1.687523
26.595295 1.629353
26.263533 1.833935
26.277053 1.696029
26.261078 1.939247
26.347955 1.750359
26.349153 1.673067
26.474487 1.581495
26.317259 1.799681
26.389077 1.645721
26.422975 1.598563
26.397025 1.776537
26.377958 1.669787
26.381520 1.810768
26.406867 1.726218
26.374108 1.723468
26.400301 1.627251
26.378613 1.669628
26.306667 1.672050
26.275859 1.715673
26.288017 1.859207
26.470821 1.548513
26.354674 1.619743
26.325292 1.740780
26.324149 1.845020
26.485394 1.674408
26.507721 1.650054
26.402905 1.592367
26.312104 1.619546
26.426798 1.545805
26.314918 1.568598
26.363691 1.635239
26.364958 1.874364
26.380398 1.838268
26.456053 1.690079
26.354127 1.699618
26.369225 1.658875
26.384152 1.646395
26.165097 1.965302
26.341522 1.893982
26.552207 1.617072
26.474588 1.695886
26.413162 1.721127
26.478767 1.557014
26.439461 1.674771
26.390123 1.764283
26.426891 1.585133
26.236947 1.741439
26.322593 1.926501
26.397996 1.673495
26.273590 1.603652
26.218506 1.971811
26.303857 1.769923
26.191041 1.825228
26.152823 1.935295
26.149723 1.948023
26.324757 1.800387
26.341869 1.844395
26.327038 1.847425
26.384572 1.811238
26.420131 1.616338
26.307659 1.661592
26.394446 1.611566
26.297374 1.804729
26.373779 1.714390
26.388213 1.650976
26.368717 1.657220
26.430606 1.729980
26.516319 1.581775
26.459466 1.597901
26.283395 1.663147
26.345999 1.679595
26.355739 1.847376
26.295799 1.777592
26.405360 1.587409
26.480938 1.538126
26.372350 1.747915
26.429451 1.625956
26.285735 1.678758
26.236341 1.642281
26.381865 1.833446
26.366874 1.702768
26.473599 1.608090
26.443885 1.511958
26.382836 1.771442
26.468250 1.575398
26.401859 1.698181
26.395428 1.619990
26.378649 1.577372
26.349284 1.784552
26.360386 1.668508
26.271868 1.817050
26.558513 1.578461
26.463985 1.660114
26.362848 1.830186
26.352141 1.700419
26.526090 1.435027
26.602122 1.549101
26.428211 1.583826
26.408757 1.682201
26.325876 1.791232
26.362571 1.623246
26.362364 1.802386
26.398837 1.807534
26.331127 1.823363
26.448141 1.578482
26.203528 1.769117
26.299195 1.757166
26.362310 1.845860
26.454273 1.691080
26.381889 1.706779
26.465657 1.554438
26.415313 1.694279
26.409879 1.728180
26.364671 1.737500
26.307664 1.751156
26.484472 1.564881
26.483646 1.566441
26.251027 1.742083
26.185001 1.798401
26.199181 1.809340
26.360296 1.697784
26.418100 1.667187
26.361922 1.688021
26.324530 1.752935
26.396924 1.704379
26.359319 1.617139
26.271378 1.745416
26.276159 1.698310
26.318371 1.792607
26.348273 1.755166
26.381496 1.684252
26.340292 1.725905
26.254430 1.813670
26.250847 1.756334
26.354615 1.636933
26.272300 1.693047
26.435353 1.602594
26.577886 1.565323
26.392347 1.862131
26.483049 1.568857
26.493117 1.448278
26.480038 1.458325
26.336745 1.822369
26.340973 1.490306
26.340648 1.718987
26.275415 1.827422
26.263574 1.791225
26.316055 1.786479
26.340858 1.673463
26.398679 1.548024
26.430700 1.649212
26.317570 1.789820
26.234584 1.793061
26.441445 1.726744
26.509565 1.682183
26.322800 1.746340
26.243164 1.781998
26.235274 1.858055
26.423512 1.622177
26.376484 1.833477
26.401299 1.939409
26.463832 1.686622
26.377558 1.550010
26.289298 1.609498
26.420593 1.649338
26.333537 1.769458
26.414105 1.725116
26.353740 1.726130
26.380632 1.624772
26.498738 1.544110
26.491971 1.519385
26.502860 1.539435
26.370855 1.691883
26.430409 1.622836
26.277129 1.730490
26.301934 1.868106
26.431817 1.487937
26.370741 1.624678
26.546627 1.387441
26.327246 1.703909
26.155561 1.974589
26.187590 1.777770
26.209393 1.792138
26.418666 1.703549
26.305454 1.790690
26.353661 1.762850
26.364582 1.870597
26.437612 1.641538
26.292374 1.842586
26.176926 1.819105
26.398172 1.698611
26.428290 1.716986
26.334209 1.780742
26.337580 1.689900
26.411163 1.618337
26.391217 1.598760
26.403958 1.555559
26.441392 1.426127
26.560339 1.479534
26.491492 1.683745
26.419437 1.682945
26.493685 1.515591
26.368917 1.728056
26.382295 1.738553
26.433697 1.559014
26.286605 1.817036
26.340432 1.355443
26.533999 1.502346
26.421249 1.595504
26.387506 1.600633
26.346569 1.640278
26.370105 1.742606
26.406420 1.635445
26.427002 1.664312
26.282537 1.811110
26.281342 1.749435
26.315077 1.779161
26.386239 1.717862
26.289942 1.863287
26.405064 1.780747
26.458466 1.515145
26.360266 1.745631
26.521840 1.547187
26.520135 1.443380
26.497653 1.567835
26.286820 1.876566
26.358634 1.793491
26.356534 1.635404
26.387073 1.670989
26.384131 1.792083
26.430635 1.736358
