niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod
1.0000e+00,1.0000e+00,2.4938e-01,-1.3095e+05,-1.3095e+05,-2.4969e-03,-1.3095e+05,1.2922e-01,6.6871e+00,inf,4.9023e-01,-1.9678e-01,-1.3328e+00,-9.6847e-01,2.3696e+00,4.3213e+00,5.2533e+00,5.5773e+00,2.8739e+01
2.0000e+00,1.0000e+00,4.9751e-01,-1.2992e+05,-1.2992e+05,-4.9938e-03,-1.2992e+05,1.2924e-01,6.6896e+00,1.2370e+05,1.1226e+00,-5.9412e-01,-1.2165e+00,-6.6360e-01,2.8002e+00,3.9983e+00,3.6511e+00,5.8351e+00,2.8715e+01
3.0000e+00,1.0000e+00,7.4442e-01,-1.2914e+05,-1.2914e+05,-7.4906e-03,-1.2914e+05,1.2926e-01,6.6921e+00,1.2266e+05,1.5853e+00,1.4012e-01,-7.5109e-01,1.1829e+00,2.1211e+00,2.8140e+00,1.4835e+00,5.8136e+00,2.8283e+01
4.0000e+00,1.0000e+00,9.9010e-01,-1.2828e+05,-1.2829e+05,-9.9875e-03,-1.2829e+05,1.2929e-01,6.6946e+00,1.2189e+05,2.2424e+00,3.5482e-01,-8.8113e-01,3.3692e-01,-1.6971e-02,3.1071e+00,4.4875e+00,5.5637e+00,2.8438e+01
5.0000e+00,1.0000e+00,1.2346e+00,-1.2741e+05,-1.2742e+05,-1.2484e-02,-1.2742e+05,1.2931e-01,6.6971e+00,1.2103e+05,2.8785e+00,-9.0637e-01,-1.6110e+00,1.0718e+00,1.9172e+00,4.1919e+00,1.6046e+00,5.6835e+00,2.9360e+01
6.0000e+00,1.0000e+00,1.4778e+00,-1.2701e+05,-1.2701e+05,-1.4981e-02,-1.2701e+05,1.2934e-01,6.6996e+00,1.2016e+05,3.3681e+00,4.7627e-01,-1.0842e+00,1.5499e+00,2.5635e+00,2.6714e+00,2.1258e+00,5.7811e+00,2.8384e+01
7.0000e+00,1.0000e+00,1.7199e+00,-1.2631e+05,-1.2631e+05,-1.7478e-02,-1.2631e+05,1.2936e-01,6.7021e+00,1.1976e+05,3.8768e+00,2.7714e-01,-1.3851e+00,-1.1330e-02,2.9648e+00,3.6264e+00,4.5321e+00,5.6483e+00,2.9601e+01
8.0000e+00,1.0000e+00,1.9608e+00,-1.2608e+05,-1.2609e+05,-1.9975e-02,-1.2609e+05,1.2939e-01,6.7046e+00,1.1906e+05,4.3487e+00,-9.0816e-01,-1.9653e+00,9.7264e-01,1.0120e+00,2.2433e+00,5.2774e+00,5.0483e+00,2.9137e+01
9.0000e+00,1.0000e+00,2.2005e+00,-1.2578e+05,-1.2579e+05,-2.2472e-02,-1.2579e+05,1.2941e-01,6.7071e+00,1.1883e+05,4.8351e+00,4.9198e-01,-1.7308e+00,2.1327e-01,2.2188e+00,4.9950e-01,4.9855e+00,5.7662e+00,3.0228e+01
1.0000e+01,1.0000e+00,2.4390e+00,-1.2544e+05,-1.2545e+05,-2.4969e-02,-1.2545e+05,1.2943e-01,6.7096e+00,1.1853e+05,5.4194e+00,-9.1195e-01,-1.9115e+00,-8.4903e-01,2.0096e+00,2.0821e+00,5.3815e+00,2.2915e+00,2.9310e+01
