niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust_med,logNpix,tau,dmod
1.0000e+00,1.0000e+00,1.9960e-01,-1.4624e+05,-1.4625e+05,-1.9980e-03,-1.4625e+05,1.1750e-01,6.9098e+00,inf,7.7023e-01,-9.1919e-01,-1.3225e+00,5.9460e+00,1.3270e+00,2.8358e+01
2.0000e+00,1.0000e+00,3.9841e-01,-1.4453e+05,-1.4454e+05,-3.9960e-03,-1.4454e+05,1.1751e-01,6.9118e+00,1.4328e+05,1.7433e+00,-7.6710e-01,-1.4585e+00,5.8652e+00,1.3886e+00,2.8819e+01
3.0000e+00,1.0000e+00,5.9642e-01,-1.4381e+05,-1.4381e+05,-5.9940e-03,-1.4381e+05,1.1753e-01,6.9138e+00,1.4157e+05,2.5049e+00,2.6910e-01,-1.7251e+00,5.7389e+00,1.1262e+00,2.8380e+01
4.0000e+00,1.0000e+00,7.9365e-01,-1.4375e+05,-1.4376e+05,-7.9920e-03,-1.4376e+05,1.1755e-01,6.9157e+00,1.4085e+05,3.4441e+00,-8.5281e-01,-1.3427e+00,5.8425e+00,5.1179e-01,2.8933e+01
5.0000e+00,1.0000e+00,9.9010e-01,-1.4354e+05,-1.4355e+05,-9.9900e-03,-1.4355e+05,1.1757e-01,6.9177e+00,1.4079e+05,4.4470e+00,-1.4544e-01,-6.6599e-01,5.7544e+00,1.6086e+00,2.8357e+01
6.0000e+00,1.0000e+00,1.1858e+00,-1.4339e+05,-1.4339e+05,-1.1988e-02,-1.4339e+05,1.1758e-01,6.9197e+00,1.4058e+05,5.3966e+00,2.2353e-01,-5.3953e-01,5.7618e+00,1.0799e+00,2.8355e+01
7.0000e+00,1.0000e+00,1.3807e+00,-1.4275e+05,-1.4275e+05,-1.3986e-02,-1.4275e+05,1.1760e-01,6.9217e+00,1.4043e+05,6.1865e+00,-6.7716e-01,-1.9724e+00,5.5890e+00,1.2009e+00,2.8756e+01
8.0000e+00,1.0000e+00,1.5748e+00,-1.4269e+05,-1.4270e+05,-1.5984e-02,-1.4270e+05,1.1762e-01,6.9237e+00,1.3979e+05,6.9765e+00,-9.8678e-01,-1.0704e+00,5.7371e+00,2.2047e+00,2.8966e+01
9.0000e+00,1.0000e+00,1.7682e+00,-1.4257e+05,-1.4258e+05,-1.7982e-02,-1.4258e+05,1.1763e-01,6.9257e+00,1.3974e+05,7.7301e+00,-9.2180e-01,-1.8609e+00,5.6610e+00,1.7647e+00,2.9089e+01
1.0000e+01,1.0000e+00,1.9608e+00,-1.4253e+05,-1.4254e+05,-1.9980e-02,-1.4254e+05,1.1765e-01,6.9277e+00,1.3962e+05,8.5991e+00,-9.7902e-01,-1.0865e+00,5.9657e+00,2.3187e+00,2.9762e+01
1.1000e+01,1.0000e+00,2.1526e+00,-1.4244e+05,-1.4244e+05,-2.1978e-02,-1.4244e+05,1.1767e-01,6.9297e+00,1.3957e+05,9.5287e+00,-2.2055e-01,-1.6883e+00,5.6253e+00,2.3191e+00,2.8416e+01
1.2000e+01,1.0000e+00,2.3438e+00,-1.4240e+05,-1.4241e+05,-2.3976e-02,-1.4241e+05,1.1768e-01,6.9317e+00,1.3948e+05,1.0286e+01,2.0857e-01,-1.2736e+00,5.6300e+00,1.6070e+00,2.8659e+01
1.3000e+01,1.0000e+00,2.5341e+00,-1.4234e+05,-1.4235e+05,-2.5974e-02,-1.4235e+05,1.1770e-01,6.9337e+00,1.3945e+05,1.1223e+01,-9.0400e-01,-1.2412e+00,5.8003e+00,1.5747e+00,2.9708e+01
1.4000e+01,1.0000e+00,2.7237e+00,-1.4224e+05,-1.4225e+05,-2.7972e-02,-1.4225e+05,1.1772e-01,6.9357e+00,1.3938e+05,1.2210e+01,-9.8858e-01,-6.5549e-01,5.9927e+00,8.0794e+00,2.8091e+01
1.5000e+01,1.0000e+00,2.9126e+00,-1.4221e+05,-1.4221e+05,-2.9970e-02,-1.4221e+05,1.1774e-01,6.9377e+00,1.3929e+05,1.3141e+01,4.6108e-01,-8.6868e-01,5.7500e+00,4.7326e-01,2.8858e+01
1.6000e+01,1.0000e+00,3.1008e+00,-1.4192e+05,-1.4193e+05,-3.1968e-02,-1.4193e+05,1.1775e-01,6.9397e+00,1.3925e+05,1.4173e+01,-9.8598e-01,-6.4903e-01,5.9317e+00,5.6133e+00,2.8254e+01
1.7000e+01,1.0000e+00,3.2882e+00,-1.4176e+05,-1.4177e+05,-3.3966e-02,-1.4177e+05,1.1777e-01,6.9417e+00,1.3897e+05,1.5127e+01,-2.7542e-01,-1.8120e+00,5.8934e+00,2.6856e-01,3.0030e+01
1.8000e+01,1.0000e+00,3.4749e+00,-1.4157e+05,-1.4157e+05,-3.5964e-02,-1.4157e+05,1.1779e-01,6.9437e+00,1.3881e+05,1.6118e+01,-3.7547e-01,-1.0582e+00,5.7221e+00,7.8729e-01,2.9651e+01
1.9000e+01,1.0000e+00,3.6609e+00,-1.4139e+05,-1.4140e+05,-3.7962e-02,-1.4140e+05,1.1780e-01,6.9457e+00,1.3861e+05,1.6880e+01,2.6904e-01,-1.2900e+00,5.7077e+00,2.3374e+00,2.8912e+01
2.0000e+01,1.0000e+00,3.8462e+00,-1.4130e+05,-1.4131e+05,-3.9960e-02,-1.4131e+05,1.1782e-01,6.9477e+00,1.3844e+05,1.7871e+01,-9.5627e-01,-6.7899e-01,5.7350e+00,9.9579e-01,2.9798e+01
2.1000e+01,1.0000e+00,4.0307e+00,-1.4119e+05,-1.4119e+05,-4.1958e-02,-1.4119e+05,1.1784e-01,6.9497e+00,1.3834e+05,1.8820e+01,-1.0454e-01,-1.0573e+00,5.9480e+00,1.8455e+00,3.0400e+01
2.2000e+01,1.0000e+00,4.2146e+00,-1.4077e+05,-1.4078e+05,-4.3956e-02,-1.4078e+05,1.1785e-01,6.9517e+00,1.3823e+05,1.9657e+01,1.7362e-01,-1.4763e+00,5.2490e+00,6.4404e-01,2.8235e+01
2.3000e+01,1.0000e+00,4.3977e+00,-1.4076e+05,-1.4077e+05,-4.5954e-02,-1.4077e+05,1.1785e-01,6.9512e+00,1.3782e+05,2.0502e+01,-5.3673e-01,-1.4485e+00,5.2899e+00,1.8864e+00,2.8413e+01
2.4000e+01,1.0000e+00,4.5802e+00,-1.4048e+05,-1.4049e+05,-4.7952e-02,-1.4049e+05,1.1789e-01,6.9557e+00,1.3781e+05,2.1267e+01,-4.4195e-02,-1.7511e+00,5.6224e+00,1.0461e+00,2.9770e+01
2.5000e+01,1.0000e+00,4.7619e+00,-1.4041e+05,-1.4042e+05,-4.9950e-02,-1.4042e+05,1.1790e-01,6.9577e+00,1.3752e+05,2.2233e+01,-1.4938e-01,-7.7248e-01,5.8170e+00,2.0097e+00,3.0139e+01
2.6000e+01,1.0000e+00,4.9430e+00,-1.4029e+05,-1.4030e+05,-5.1948e-02,-1.4030e+05,1.1792e-01,6.9597e+00,1.3745e+05,2.3194e+01,-5.1521e-01,-1.1143e+00,5.5617e+00,2.9419e+00,2.8519e+01
2.7000e+01,1.0000e+00,5.1233e+00,-1.4025e+05,-1.4026e+05,-5.3946e-02,-1.4026e+05,1.1794e-01,6.9617e+00,1.3734e+05,2.3980e+01,-9.6094e-01,-1.8232e+00,5.4881e+00,1.4709e+00,2.9708e+01
2.8000e+01,1.0000e+00,5.3030e+00,-1.4003e+05,-1.4004e+05,-5.5944e-02,-1.4004e+05,1.1796e-01,6.9637e+00,1.3729e+05,2.4734e+01,-4.3918e-01,-1.3977e+00,5.7753e+00,2.5241e+00,2.9992e+01
2.9000e+01,1.0000e+00,5.4820e+00,-1.3989e+05,-1.3990e+05,-5.7942e-02,-1.3990e+05,1.1797e-01,6.9657e+00,1.3707e+05,2.5523e+01,3.9493e-01,-1.9141e+00,5.4549e+00,1.7298e+00,2.9319e+01
3.0000e+01,1.0000e+00,5.6604e+00,-1.3987e+05,-1.3988e+05,-5.9940e-02,-1.3988e+05,1.1799e-01,6.9677e+00,1.3693e+05,2.6499e+01,-1.6100e-01,-1.5066e+00,5.4978e+00,2.5271e+00,2.8864e+01
3.1000e+01,1.0000e+00,5.8380e+00,-1.3978e+05,-1.3979e+05,-6.1938e-02,-1.3979e+05,1.1801e-01,6.9697e+00,1.3692e+05,2.7341e+01,-9.5802e-01,-7.0461e-01,5.9959e+00,3.3206e+00,3.0551e+01
3.2000e+01,1.0000e+00,6.0150e+00,-1.3975e+05,-1.3976e+05,-6.3936e-02,-1.3976e+05,1.1802e-01,6.9717e+00,1.3682e+05,2.8095e+01,-4.3029e-02,-1.0162e+00,5.3080e+00,1.0225e-01,2.8902e+01
3.3000e+01,1.0000e+00,6.1914e+00,-1.3967e+05,-1.3968e+05,-6.5934e-02,-1.3968e+05,1.1804e-01,6.9737e+00,1.3679e+05,2.9102e+01,-9.4103e-01,-1.3523e+00,5.5628e+00,4.2811e+00,2.8265e+01
3.4000e+01,1.0000e+00,6.3670e+00,-1.3965e+05,-1.3966e+05,-6.7932e-02,-1.3966e+05,1.1806e-01,6.9757e+00,1.3671e+05,3.0069e+01,-8.8577e-01,-1.2176e+00,5.9522e+00,4.3000e+00,2.9907e+01
3.5000e+01,1.0000e+00,6.5421e+00,-1.3960e+05,-1.3961e+05,-6.9930e-02,-1.3961e+05,1.1807e-01,6.9777e+00,1.3669e+05,3.0827e+01,-6.0753e-01,-6.5996e-01,5.4674e+00,2.6903e+00,2.8621e+01
3.6000e+01,1.0000e+00,6.7164e+00,-1.3951e+05,-1.3951e+05,-7.1928e-02,-1.3951e+05,1.1809e-01,6.9797e+00,1.3664e+05,3.1618e+01,3.6871e-01,-1.1698e+00,5.3043e+00,5.3404e-01,2.8983e+01
3.7000e+01,1.0000e+00,6.8901e+00,-1.3932e+05,-1.3933e+05,-7.3926e-02,-1.3933e+05,1.1811e-01,6.9817e+00,1.3655e+05,3.2618e+01,-7.0184e-01,-1.3341e+00,5.7743e+00,6.7472e+00,2.8245e+01
3.8000e+01,1.0000e+00,7.0632e+00,-1.3930e+05,-1.3930e+05,-7.5924e-02,-1.3930e+05,1.1812e-01,6.9837e+00,1.3637e+05,3.3581e+01,3.8747e-01,-1.2063e+00,5.9136e+00,5.5178e+00,2.8019e+01
3.9000e+01,1.0000e+00,7.2356e+00,-1.3910e+05,-1.3911e+05,-7.7922e-02,-1.3911e+05,1.1814e-01,6.9857e+00,1.3634e+05,3.4521e+01,-2.4616e-01,-1.1947e+00,5.4576e+00,6.6544e-01,3.0008e+01
4.0000e+01,1.0000e+00,7.4074e+00,-1.3892e+05,-1.3893e+05,-7.9920e-02,-1.3893e+05,1.1816e-01,6.9877e+00,1.3615e+05,3.5577e+01,-5.9865e-01,-6.0076e-01,5.4784e+00,1.5399e+00,2.9941e+01
4.1000e+01,1.0000e+00,7.5786e+00,-1.3889e+05,-1.3890e+05,-8.1918e-02,-1.3890e+05,1.1818e-01,6.9897e+00,1.3596e+05,3.6523e+01,-7.0985e-01,-8.8993e-01,5.8702e+00,5.2074e+00,2.9290e+01
4.2000e+01,1.0000e+00,7.7491e+00,-1.3874e+05,-1.3875e+05,-8.3916e-02,-1.3875e+05,1.1819e-01,6.9917e+00,1.3594e+05,3.7309e+01,2.0717e-01,-1.5583e+00,5.3419e+00,2.3254e+00,2.8870e+01
4.3000e+01,1.0000e+00,7.9190e+00,-1.3873e+05,-1.3874e+05,-8.5914e-02,-1.3874e+05,1.1821e-01,6.9934e+00,1.3578e+05,3.8315e+01,-7.7291e-01,-1.4972e+00,4.9727e+00,8.2609e-01,2.8165e+01
4.4000e+01,1.0000e+00,8.0882e+00,-1.3871e+05,-1.3871e+05,-8.7912e-02,-1.3871e+05,1.1823e-01,6.9957e+00,1.3577e+05,3.9273e+01,-3.4665e-01,-1.1708e+00,5.3547e+00,1.7088e+00,2.9749e+01
4.5000e+01,1.0000e+00,8.2569e+00,-1.3864e+05,-1.3864e+05,-8.9910e-02,-1.3864e+05,1.1824e-01,6.9977e+00,1.3575e+05,4.0038e+01,-7.4933e-01,-1.6461e+00,5.8525e+00,5.8640e+00,2.9173e+01
4.6000e+01,2.0000e+00,8.4095e+00,-1.3841e+05,-1.3842e+05,-9.1908e-02,-1.3842e+05,1.1826e-01,6.9997e+00,1.3568e+05,4.1634e+01,-8.2726e-01,-1.5603e+00,5.2931e+00,8.3595e-01,2.9885e+01
4.7000e+01,1.0000e+00,8.5766e+00,-1.3826e+05,-1.3827e+05,-9.3906e-02,-1.3827e+05,1.1828e-01,7.0017e+00,1.3546e+05,4.2395e+01,-1.8581e-01,-1.2576e+00,5.4038e+00,3.1488e+00,2.8342e+01
4.8000e+01,1.0000e+00,8.7432e+00,-1.3824e+05,-1.3825e+05,-9.5904e-02,-1.3825e+05,1.1829e-01,7.0037e+00,1.3531e+05,4.3403e+01,-3.8559e-01,-1.9914e+00,5.8620e+00,6.0920e+00,2.8020e+01
4.9000e+01,2.0000e+00,8.8929e+00,-1.3808e+05,-1.3809e+05,-9.7902e-02,-1.3809e+05,1.1831e-01,7.0057e+00,1.3529e+05,4.5427e+01,-9.6734e-01,-1.3275e+00,5.6793e+00,7.7812e+00,2.8747e+01
5.0000e+01,1.0000e+00,9.0580e+00,-1.3793e+05,-1.3793e+05,-9.9900e-02,-1.3793e+05,1.1833e-01,7.0077e+00,1.3512e+05,4.6256e+01,-1.9808e-01,-1.5235e+00,5.2609e+00,1.8754e+00,2.9690e+01
5.1000e+01,1.0000e+00,9.2224e+00,-1.3788e+05,-1.3789e+05,-1.0190e-01,-1.3789e+05,1.1834e-01,7.0097e+00,1.3497e+05,4.7201e+01,3.0369e-01,-1.3457e+00,5.4064e+00,1.5233e+00,3.0113e+01
5.2000e+01,1.0000e+00,9.3863e+00,-1.3785e+05,-1.3786e+05,-1.0390e-01,-1.3786e+05,1.1836e-01,7.0117e+00,1.3492e+05,4.8189e+01,-7.0724e-01,-1.9139e+00,5.7442e+00,8.3236e+00,2.8477e+01
5.3000e+01,1.0000e+00,9.5495e+00,-1.3783e+05,-1.3784e+05,-1.0589e-01,-1.3784e+05,1.1838e-01,7.0136e+00,1.3490e+05,4.9148e+01,3.7338e-01,-1.7334e+00,5.9463e+00,6.5784e+00,2.8426e+01
5.4000e+01,1.0000e+00,9.7122e+00,-1.3781e+05,-1.3782e+05,-1.0789e-01,-1.3782e+05,1.1839e-01,7.0157e+00,1.3487e+05,5.0124e+01,-8.0234e-01,-6.0923e-01,5.4834e+00,3.9880e+00,2.8422e+01
5.5000e+01,1.0000e+00,9.8743e+00,-1.3763e+05,-1.3764e+05,-1.0989e-01,-1.3764e+05,1.1841e-01,7.0176e+00,1.3485e+05,5.1129e+01,-8.3665e-01,-1.3064e+00,5.6591e+00,4.7033e+00,2.9399e+01
5.6000e+01,2.0000e+00,1.0018e+01,-1.3759e+05,-1.3760e+05,-1.1189e-01,-1.3760e+05,1.1843e-01,7.0196e+00,1.3468e+05,5.2898e+01,-8.1371e-01,-1.0869e+00,5.0799e+00,8.7008e-01,2.9212e+01
5.7000e+01,1.0000e+00,1.0179e+01,-1.3755e+05,-1.3755e+05,-1.1389e-01,-1.3755e+05,1.1845e-01,7.0216e+00,1.3463e+05,5.3847e+01,4.9382e-01,-1.0052e+00,5.4537e+00,2.7871e+00,2.8876e+01
5.8000e+01,2.0000e+00,1.0320e+01,-1.3737e+05,-1.3738e+05,-1.1588e-01,-1.3738e+05,1.1846e-01,7.0236e+00,1.3459e+05,5.5828e+01,-9.4489e-01,-5.9729e-01,5.9764e+00,5.5463e+00,3.0451e+01
5.9000e+01,1.0000e+00,1.0480e+01,-1.3731e+05,-1.3731e+05,-1.1788e-01,-1.3731e+05,1.1848e-01,7.0256e+00,1.3442e+05,5.6796e+01,-2.3242e-01,-7.3458e-01,5.9806e+00,6.3445e+00,2.8856e+01
6.0000e+01,1.0000e+00,1.0638e+01,-1.3717e+05,-1.3718e+05,-1.1988e-01,-1.3718e+05,1.1850e-01,7.0276e+00,1.3435e+05,5.7816e+01,2.1553e-01,-5.5385e-01,5.8731e+00,5.9525e+00,2.8935e+01
6.1000e+01,2.0000e+00,1.0777e+01,-1.3708e+05,-1.3708e+05,-1.2188e-01,-1.3708e+05,1.1851e-01,7.0296e+00,1.3421e+05,5.9700e+01,-3.6282e-02,-8.5074e-01,5.2531e+00,6.5374e-01,2.9856e+01
6.2000e+01,1.0000e+00,1.0935e+01,-1.3705e+05,-1.3706e+05,-1.2388e-01,-1.3706e+05,1.1853e-01,7.0316e+00,1.3412e+05,6.0515e+01,-5.5989e-01,-1.9155e+00,5.8036e+00,6.5229e+00,2.9037e+01
6.3000e+01,1.0000e+00,1.1092e+01,-1.3695e+05,-1.3696e+05,-1.2587e-01,-1.3696e+05,1.1855e-01,7.0336e+00,1.3410e+05,6.1559e+01,-3.6759e-01,-6.0175e-01,5.6029e+00,4.5072e+00,2.8088e+01
6.4000e+01,1.0000e+00,1.1248e+01,-1.3668e+05,-1.3669e+05,-1.2787e-01,-1.3669e+05,1.1856e-01,7.0356e+00,1.3400e+05,6.2319e+01,1.7095e-01,-7.6776e-01,5.8602e+00,6.1386e+00,2.8870e+01
6.5000e+01,1.0000e+00,1.1404e+01,-1.3665e+05,-1.3665e+05,-1.2987e-01,-1.3665e+05,1.1858e-01,7.0376e+00,1.3372e+05,6.3282e+01,-3.6068e-01,-1.2170e+00,5.8402e+00,5.1967e+00,2.9126e+01
6.6000e+01,2.0000e+00,1.1538e+01,-1.3654e+05,-1.3654e+05,-1.3187e-01,-1.3654e+05,1.1860e-01,7.0396e+00,1.3369e+05,6.5112e+01,3.8551e-01,-1.3112e+00,4.8888e+00,1.3059e+00,2.8692e+01
6.7000e+01,1.0000e+00,1.1693e+01,-1.3650e+05,-1.3651e+05,-1.3387e-01,-1.3651e+05,1.1861e-01,7.0416e+00,1.3358e+05,6.6108e+01,-9.8740e-01,-1.2927e+00,5.5573e+00,9.2395e+00,2.8694e+01
6.8000e+01,1.0000e+00,1.1847e+01,-1.3643e+05,-1.3644e+05,-1.3586e-01,-1.3644e+05,1.1863e-01,7.0436e+00,1.3354e+05,6.7093e+01,-8.5849e-01,-1.6546e+00,5.6973e+00,6.9878e+00,2.9514e+01
6.9000e+01,1.0000e+00,1.2000e+01,-1.3636e+05,-1.3637e+05,-1.3786e-01,-1.3637e+05,1.1865e-01,7.0456e+00,1.3348e+05,6.8138e+01,-3.5431e-01,-7.3622e-01,5.4791e+00,4.0008e+00,2.8500e+01
7.0000e+01,1.0000e+00,1.2153e+01,-1.3630e+05,-1.3631e+05,-1.3986e-01,-1.3631e+05,1.1866e-01,7.0476e+00,1.3341e+05,6.9048e+01,-3.4089e-01,-1.0560e+00,5.7752e+00,3.6342e+00,3.0457e+01
7.1000e+01,1.0000e+00,1.2305e+01,-1.3622e+05,-1.3622e+05,-1.4186e-01,-1.3622e+05,1.1868e-01,7.0496e+00,1.3335e+05,7.0054e+01,-9.9416e-01,-1.7236e+00,5.7839e+00,6.8964e+00,3.0444e+01
7.2000e+01,1.0000e+00,1.2457e+01,-1.3609e+05,-1.3610e+05,-1.4386e-01,-1.3610e+05,1.1870e-01,7.0516e+00,1.3326e+05,7.0823e+01,2.7538e-01,-5.7277e-01,5.0489e+00,8.5401e-01,2.9230e+01
