logfeh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
2.2369e-01,-1.5551e+00,-2.4550e+00,-1.5293e-01,5.8228e-01,2.3055e+00,2.3104e+00,-1.3750e+03
2.2570e-01,-1.5351e+00,-2.9143e+00,-1.3468e-01,6.5837e-01,2.3059e+00,2.3029e+00,-1.3740e+03
2.4633e-01,-1.5355e+00,-1.9538e+00,-1.6137e-01,6.5341e-01,2.3051e+00,2.3055e+00,-1.3651e+03
2.2980e-01,-1.5586e+00,-2.3375e+00,-1.7662e-01,6.4053e-01,2.3024e+00,2.3114e+00,-1.3617e+03
2.1468e-01,-1.5587e+00,-2.5216e+00,-1.6199e-01,6.4513e-01,2.3045e+00,2.3043e+00,-1.3713e+03
2.1777e-01,-1.5489e+00,-2.7401e+00,-2.2685e-01,6.4369e-01,2.3036e+00,2.3131e+00,-1.3703e+03
2.0031e-01,-1.5693e+00,-2.6577e+00,-1.9539e-01,5.8328e-01,2.3024e+00,2.3129e+00,-1.3727e+03
2.0973e-01,-1.5624e+00,-2.7442e+00,-1.8934e-01,6.3800e-01,2.3021e+00,2.3112e+00,-1.3669e+03
2.4696e-01,-1.5427e+00,-3.1183e+00,-1.9071e-01,6.4576e-01,2.3055e+00,2.3060e+00,-1.3630e+03
2.0586e-01,-1.5765e+00,-2.0243e+00,-1.7681e-01,5.7084e-01,2.3033e+00,2.3127e+00,-1.3708e+03
2.0638e-01,-1.5395e+00,-2.3422e+00,-1.7313e-01,6.2784e-01,2.3030e+00,2.3135e+00,-1.3752e+03
2.3229e-01,-1.5639e+00,-2.8983e+00,-1.6872e-01,6.2196e-01,2.3019e+00,2.3130e+00,-1.3685e+03
2.3417e-01,-1.5630e+00,-2.9867e+00,-2.4190e-01,6.5806e-01,2.3019e+00,2.3116e+00,-1.3748e+03
2.1288e-01,-1.5649e+00,-2.1724e+00,-1.8470e-01,5.6929e-01,2.3048e+00,2.3130e+00,-1.3712e+03
2.2818e-01,-1.5837e+00,-2.3279e+00,-2.5131e-01,6.5506e-01,2.3018e+00,2.3094e+00,-1.3518e+03
2.1295e-01,-1.5759e+00,-2.3638e+00,-1.7352e-01,5.5664e-01,2.3028e+00,2.3133e+00,-1.3674e+03
2.3039e-01,-1.5546e+00,-1.9729e+00,-1.5910e-01,6.3453e-01,2.3027e+00,2.3097e+00,-1.3740e+03
2.4253e-01,-1.5697e+00,-2.4353e+00,-1.5572e-01,5.5364e-01,2.3050e+00,2.3125e+00,-1.3744e+03
2.2139e-01,-1.5699e+00,-2.7507e+00,-2.3668e-01,6.5066e-01,2.3042e+00,2.3066e+00,-1.3750e+03
2.0016e-01,-1.5804e+00,-1.8808e+00,-2.7492e-01,6.4395e-01,2.3022e+00,2.3103e+00,-1.3646e+03
2.0326e-01,-1.5593e+00,-2.5881e+00,-1.3761e-01,5.6831e-01,2.3031e+00,2.3140e+00,-1.3682e+03
2.4947e-01,-1.5421e+00,-2.4550e+00,-1.2870e-01,5.9213e-01,2.3034e+00,2.3124e+00,-1.3676e+03
2.4693e-01,-1.5564e+00,-1.8493e+00,-1.9885e-01,6.1883e-01,2.3041e+00,2.3079e+00,-1.3596e+03
2.0475e-01,-1.5809e+00,-2.5614e+00,-2.7839e-01,6.5215e-01,2.3033e+00,2.3059e+00,-1.3719e+03
2.2467e-01,-1.5351e+00,-2.6542e+00,-1.0219e-01,6.4496e-01,2.3022e+00,2.3107e+00,-1.3624e+03
2.0195e-01,-1.5612e+00,-2.6276e+00,-1.6532e-01,6.2436e-01,2.3021e+00,2.3116e+00,-1.3695e+03
2.2978e-01,-1.5564e+00,-2.5167e+00,-1.7088e-01,5.9142e-01,2.3046e+00,2.3112e+00,-1.3748e+03
2.4329e-01,-1.5677e+00,-2.1663e+00,-1.6211e-01,6.0441e-01,2.3041e+00,2.3107e+00,-1.3723e+03
2.3528e-01,-1.5400e+00,-1.6983e+00,-2.2392e-01,6.5543e-01,2.3048e+00,2.3064e+00,-1.3672e+03
2.4537e-01,-1.5603e+00,-2.5712e+00,-2.1258e-01,6.5535e-01,2.3033e+00,2.3069e+00,-1.3742e+03
2.0898e-01,-1.5870e+00,-2.5997e+00,-1.8574e-01,5.4560e-01,2.3026e+00,2.3146e+00,-1.3706e+03
2.2965e-01,-1.5872e+00,-2.4475e+00,-1.9867e-01,5.6508e-01,2.3032e+00,2.3124e+00,-1.3637e+03
2.2404e-01,-1.5500e+00,-2.4569e+00,-1.2861e-01,6.3017e-01,2.3033e+00,2.3109e+00,-1.3751e+03
2.3582e-01,-1.5316e+00,-2.5202e+00,-1.3096e-01,6.3974e-01,2.3053e+00,2.3046e+00,-1.3731e+03
2.0029e-01,-1.5197e+00,-2.5603e+00,-1.0165e-01,6.5402e-01,2.3053e+00,2.3095e+00,-1.3685e+03
2.1667e-01,-1.5645e+00,-1.9880e+00,-2.3212e-01,6.4011e-01,2.3041e+00,2.3068e+00,-1.3734e+03
2.4336e-01,-1.5417e+00,-2.9451e+00,-1.7227e-01,6.5303e-01,2.3052e+00,2.3043e+00,-1.3660e+03
2.4362e-01,-1.5752e+00,-2.2681e+00,-2.0102e-01,6.2110e-01,2.3011e+00,2.3106e+00,-1.3696e+03
2.2688e-01,-1.5475e+00,-3.0685e+00,-2.0004e-01,6.4227e-01,2.3029e+00,2.3100e+00,-1.3478e+03
2.1582e-01,-1.5434e+00,-2.5107e+00,-1.5304e-01,6.5091e-01,2.3051e+00,2.3061e+00,-1.3570e+03
2.2237e-01,-1.5405e+00,-2.4686e+00,-1.6440e-01,6.5778e-01,2.3030e+00,2.3117e+00,-1.3689e+03
2.4632e-01,-1.5616e+00,-1.8436e+00,-1.3043e-01,5.6542e-01,2.3044e+00,2.3125e+00,-1.3637e+03
2.3409e-01,-1.5421e+00,-2.4311e+00,-1.8814e-01,6.5336e-01,2.3081e+00,2.3012e+00,-1.3673e+03
2.2722e-01,-1.5667e+00,-2.1386e+00,-1.9456e-01,6.4361e-01,2.3024e+00,2.3098e+00,-1.3654e+03
2.0129e-01,-1.5768e+00,-2.6253e+00,-2.2619e-01,6.1640e-01,2.3034e+00,2.3105e+00,-1.3735e+03
2.3034e-01,-1.5430e+00,-2.6215e+00,-1.2222e-01,6.1623e-01,2.3061e+00,2.3047e+00,-1.3679e+03
2.3098e-01,-1.5694e+00,-2.6094e+00,-1.5414e-01,5.6927e-01,2.3052e+00,2.3108e+00,-1.3672e+03
2.1192e-01,-1.5622e+00,-2.9217e+00,-1.8733e-01,5.9011e-01,2.3053e+00,2.3071e+00,-1.3606e+03
2.1823e-01,-1.6030e+00,-1.8584e+00,-2.4546e-01,5.6871e-01,2.3027e+00,2.3133e+00,-1.3725e+03
2.4560e-01,-1.5718e+00,-2.3753e+00,-2.4923e-01,6.5299e-01,2.3020e+00,2.3086e+00,-1.3737e+03
2.0488e-01,-1.5541e+00,-2.4791e+00,-2.2087e-01,6.5704e-01,2.3025e+00,2.3102e+00,-1.3679e+03
2.4196e-01,-1.5763e+00,-2.8317e+00,-2.1534e-01,6.0595e-01,2.3027e+00,2.3106e+00,-1.3670e+03
2.3400e-01,-1.5586e+00,-1.8654e+00,-1.8291e-01,6.1660e-01,2.3037e+00,2.3092e+00,-1.3645e+03
2.0593e-01,-1.5732e+00,-2.9730e+00,-2.4652e-01,6.5304e-01,2.3020e+00,2.3125e+00,-1.3547e+03
2.0902e-01,-1.5554e+00,-2.8939e+00,-2.0789e-01,6.4124e-01,2.3025e+00,2.3106e+00,-1.3702e+03
2.1132e-01,-1.5688e+00,-2.8480e+00,-2.2594e-01,6.4421e-01,2.3016e+00,2.3103e+00,-1.3709e+03
2.3640e-01,-1.5197e+00,-2.8512e+00,-9.8422e-02,6.5719e-01,2.3050e+00,2.3069e+00,-1.3731e+03
2.0501e-01,-1.5429e+00,-2.8711e+00,-1.6013e-01,6.5672e-01,2.3048e+00,2.3072e+00,-1.3615e+03
2.1408e-01,-1.5629e+00,-2.1295e+00,-2.3328e-01,6.4801e-01,2.3024e+00,2.3094e+00,-1.3717e+03
2.4929e-01,-1.5343e+00,-2.8966e+00,-1.6584e-01,6.4499e-01,2.3055e+00,2.3070e+00,-1.3713e+03
2.4429e-01,-1.5421e+00,-2.5314e+00,-1.8459e-01,6.4543e-01,2.3052e+00,2.3062e+00,-1.3745e+03
2.0682e-01,-1.5590e+00,-2.5091e+00,-2.2163e-01,6.5139e-01,2.3013e+00,2.3107e+00,-1.3507e+03
2.3224e-01,-1.5775e+00,-2.1799e+00,-1.8651e-01,5.7226e-01,2.3046e+00,2.3077e+00,-1.3738e+03
2.4177e-01,-1.5506e+00,-2.4369e+00,-2.3267e-01,6.5530e-01,2.3023e+00,2.3106e+00,-1.3737e+03
2.2525e-01,-1.5505e+00,-2.7920e+00,-1.6824e-01,6.3517e-01,2.3032e+00,2.3107e+00,-1.3637e+03
2.1630e-01,-1.5307e+00,-2.7698e+00,-1.6405e-01,6.6329e-01,2.3049e+00,2.3080e+00,-1.3749e+03
2.2237e-01,-1.5570e+00,-2.4518e+00,-1.0185e-01,5.6219e-01,2.3039e+00,2.3130e+00,-1.3640e+03
