logfeh,logdust_med,logNpix,tau,dmod,logl
-6.9631e-01,-1.8001e+00,3.6341e+00,9.7097e+00,2.9646e+01,-1.6147e+03
-6.6689e-01,-1.7987e+00,3.6228e+00,9.9787e+00,2.9620e+01,-1.6112e+03
-6.8877e-01,-1.8846e+00,3.6311e+00,9.6032e+00,2.9637e+01,-1.5871e+03
-6.5516e-01,-1.9784e+00,3.6235e+00,9.9627e+00,2.9622e+01,-1.5999e+03
-9.0502e-01,-1.0304e+00,3.6649e+00,9.9712e+00,2.9711e+01,-1.6141e+03
-6.9436e-01,-1.9215e+00,3.6338e+00,9.7553e+00,2.9661e+01,-1.5900e+03
-6.3361e-01,-1.9049e+00,3.6595e+00,9.9639e+00,2.9711e+01,-1.6104e+03
-6.9050e-01,-1.9084e+00,3.6292e+00,9.7252e+00,2.9640e+01,-1.6118e+03
-6.9612e-01,-1.8046e+00,3.6287e+00,9.6256e+00,2.9637e+01,-1.6061e+03
-9.3310e-01,-1.0334e+00,3.7124e+00,9.9353e+00,2.9835e+01,-1.6062e+03
-6.2903e-01,-1.9378e+00,3.6613e+00,9.9998e+00,2.9712e+01,-1.6006e+03
-8.9954e-01,-1.0461e+00,3.6586e+00,9.9720e+00,2.9691e+01,-1.5855e+03
-6.9555e-01,-1.7148e+00,3.6288e+00,9.7214e+00,2.9635e+01,-1.5988e+03
-6.9258e-01,-1.8891e+00,3.6326e+00,9.5384e+00,2.9651e+01,-1.6134e+03
-9.4470e-01,-1.0028e+00,3.6651e+00,9.6165e+00,2.9702e+01,-1.6130e+03
-6.8936e-01,-1.9797e+00,3.6308e+00,9.6442e+00,2.9646e+01,-1.5983e+03
-6.9950e-01,-1.8820e+00,3.6290e+00,9.6619e+00,2.9643e+01,-1.6029e+03
-6.2664e-01,-1.9712e+00,3.6164e+00,9.9537e+00,2.9594e+01,-1.5944e+03
-6.9167e-01,-1.9745e+00,3.6306e+00,9.7017e+00,2.9651e+01,-1.5986e+03
-6.6107e-01,-1.9127e+00,3.6609e+00,9.9831e+00,2.9716e+01,-1.6104e+03
-6.9845e-01,-1.8727e+00,3.6280e+00,9.6522e+00,2.9638e+01,-1.6120e+03
