logfeh,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
-2.1247e-01,-1.9039e+00,1.7317e+00,2.5849e+00,2.2767e+00,1.7945e+00,4.2915e+00,-8.7417e+03
-2.2224e-01,-1.7543e+00,1.7327e+00,2.5819e+00,2.2223e+00,2.3613e+00,4.2884e+00,-8.7569e+03
-2.0159e-01,-1.9090e+00,1.7270e+00,2.5801e+00,2.1389e+00,2.4189e+00,4.2924e+00,-8.7802e+03
-2.1079e-01,-1.7981e+00,1.7289e+00,2.5953e+00,2.1980e+00,1.6349e+00,4.2959e+00,-8.7748e+03
-2.2395e-01,-1.8506e+00,1.7297e+00,2.5939e+00,2.5567e+00,2.3956e+00,4.2612e+00,-8.7812e+03
-2.6090e-01,-1.8780e+00,1.7305e+00,2.6044e+00,2.4286e+00,2.5168e+00,4.2641e+00,-8.7591e+03
-2.3020e-01,-1.9450e+00,1.7310e+00,2.5838e+00,2.2883e+00,1.8103e+00,4.2914e+00,-8.7528e+03
-2.5308e-01,-1.9897e+00,1.7333e+00,2.6122e+00,2.3342e+00,1.7420e+00,4.2828e+00,-8.7496e+03
-2.4808e-01,-1.8172e+00,1.7300e+00,2.6021e+00,2.1925e+00,1.6441e+00,4.2933e+00,-8.7461e+03
-2.0865e-01,-1.9578e+00,1.7301e+00,2.5811e+00,2.5530e+00,2.8036e+00,4.2420e+00,-8.7610e+03
-2.5493e-01,-1.9239e+00,1.7334e+00,2.5848e+00,2.1050e+00,1.8704e+00,4.3022e+00,-8.6922e+03
-2.9617e-01,-1.8350e+00,1.7333e+00,2.5970e+00,1.8643e+00,1.9040e+00,4.3077e+00,-8.7652e+03
-2.6723e-01,-1.9186e+00,1.7296e+00,2.6206e+00,2.5035e+00,1.6194e+00,4.2706e+00,-8.7494e+03
-2.5309e-01,-1.8052e+00,1.7256e+00,2.6079e+00,2.2006e+00,1.6201e+00,4.2941e+00,-8.7732e+03
-2.9216e-01,-1.9384e+00,1.7330e+00,2.5817e+00,2.3045e+00,2.3061e+00,4.2846e+00,-8.7661e+03
-2.9173e-01,-1.8930e+00,1.7315e+00,2.6100e+00,2.1542e+00,2.3316e+00,4.2940e+00,-8.7416e+03
-2.2160e-01,-1.9592e+00,1.7329e+00,2.5975e+00,2.1794e+00,1.8162e+00,4.2920e+00,-8.7723e+03
-2.3169e-01,-1.9386e+00,1.7295e+00,2.5884e+00,2.0634e+00,1.8811e+00,4.3017e+00,-8.7748e+03
-2.5960e-01,-1.9952e+00,1.7316e+00,2.5810e+00,2.1681e+00,1.7343e+00,4.2989e+00,-8.7373e+03
-2.6875e-01,-1.8000e+00,1.7335e+00,2.6062e+00,1.9140e+00,1.8162e+00,4.3065e+00,-8.7783e+03
-2.3550e-01,-1.8854e+00,1.7332e+00,2.6040e+00,2.2052e+00,1.7966e+00,4.2923e+00,-8.7296e+03
-2.3279e-01,-1.9019e+00,1.7313e+00,2.5848e+00,1.7137e+00,2.0493e+00,4.3109e+00,-8.7378e+03
-2.8397e-01,-1.9122e+00,1.7333e+00,2.5808e+00,1.0854e+00,1.9295e+00,4.3177e+00,-8.7345e+03
-2.6649e-01,-1.9195e+00,1.7332e+00,2.5706e+00,2.3453e+00,2.2554e+00,4.2826e+00,-8.7528e+03
-2.9590e-01,-1.9593e+00,1.7333e+00,2.5779e+00,2.4525e+00,2.5193e+00,4.2634e+00,-8.7684e+03
-2.4216e-01,-1.9359e+00,1.7323e+00,2.5868e+00,2.3364e+00,2.2915e+00,4.2817e+00,-8.7688e+03
-2.5710e-01,-1.9628e+00,1.7336e+00,2.5829e+00,2.2691e+00,2.3365e+00,4.2829e+00,-8.7722e+03
-2.5500e-01,-1.8859e+00,1.7331e+00,2.5989e+00,2.3312e+00,2.4048e+00,4.2772e+00,-8.7741e+03
-2.4961e-01,-1.8953e+00,1.7328e+00,2.5951e+00,2.4087e+00,2.8546e+00,4.2563e+00,-8.7808e+03
-2.5793e-01,-1.9032e+00,1.7327e+00,2.6105e+00,1.7290e+00,1.6230e+00,4.3101e+00,-8.7753e+03
-2.4587e-01,-1.9853e+00,1.7325e+00,2.5901e+00,1.7653e+00,1.6782e+00,4.3082e+00,-8.7046e+03
-2.1979e-01,-1.8179e+00,1.7336e+00,2.5823e+00,1.8056e+00,1.9899e+00,4.3095e+00,-8.7605e+03
