logfeh_scale,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
4.0976e-01,-1.4135e+00,-1.7935e-01,2.4489e+00,-8.6352e-02,4.4182e+00,3.8539e+00,3.0413e+01,-2.7993e+02
6.2843e-02,-1.4530e+00,2.4139e-01,5.5255e-01,2.0229e+00,4.2695e+00,3.9372e+00,3.0233e+01,-2.7657e+02
4.8672e-01,-1.6962e+00,1.1036e+00,1.0680e+00,2.8787e+00,4.1145e+00,3.5409e+00,2.9770e+01,-2.7484e+02
-7.3284e-01,-7.4010e-01,-1.0760e+00,-5.2030e-01,2.6331e+00,4.1752e+00,2.5481e+00,2.9789e+01,-2.0734e+02
-7.1086e-02,-1.0206e+00,1.0272e-01,2.7936e+00,2.4521e+00,3.6270e+00,4.5375e+00,3.0369e+01,-2.2132e+02
-8.3550e-01,-8.8000e-01,-1.1765e+00,1.5368e+00,6.3442e-01,3.5249e+00,4.5372e+00,3.0322e+01,-2.7930e+02
-4.0115e-01,-1.2395e+00,-1.4207e+00,1.5773e+00,2.3124e+00,1.7054e+00,4.4980e+00,3.0110e+01,-2.7914e+02
-4.6099e-01,-1.2873e+00,-3.5669e-01,6.8030e-03,-1.8206e-02,2.9171e+00,4.6328e+00,3.0501e+01,-2.6835e+02
-3.0487e-01,-1.5059e+00,-1.2961e+00,1.7898e+00,1.6345e+00,2.3873e+00,4.5408e+00,3.0242e+01,-2.5003e+02
4.8186e-01,-1.8865e+00,-4.6251e-01,-5.0765e-01,3.3518e+00,4.3419e+00,3.5248e+00,3.0365e+01,-2.1436e+02
3.9744e-01,-1.8443e+00,5.5346e-01,1.1972e+00,9.6281e-01,4.3388e+00,1.9615e+00,3.0062e+01,-1.6046e+02
-9.4316e-02,-1.8299e+00,-3.9659e-01,2.5813e-01,2.4157e+00,3.6231e+00,4.4572e+00,3.0219e+01,-1.6721e+02
2.0567e-01,-1.4617e+00,3.2062e-02,1.3986e-02,2.2063e-01,4.1695e+00,2.3756e+00,2.9648e+01,-1.2268e+02
7.5512e-02,-1.1986e+00,5.9423e-01,4.5546e-01,2.6061e+00,4.1294e+00,3.0093e+00,2.9675e+01,-2.5371e+02
-3.8344e-01,-1.4170e+00,-2.7489e-01,8.4198e-01,6.4566e-01,1.2457e+00,4.5205e+00,3.0191e+01,-2.6596e+02
7.8091e-03,-1.9513e+00,-1.3589e+00,9.3350e-01,3.4767e+00,3.0579e+00,4.5927e+00,3.0605e+01,-1.8460e+02
-3.8923e-01,-1.2467e+00,7.3883e-01,1.8728e+00,1.2616e+00,2.4731e+00,4.5659e+00,3.0289e+01,-1.5150e+02
-2.4445e-01,-1.8404e+00,-1.7148e+00,-5.7644e-01,9.1937e-01,2.2030e+00,4.3222e+00,2.9673e+01,-2.1461e+02
4.7272e-01,-1.6559e+00,1.8332e-02,7.2995e-01,9.5563e-01,4.1389e+00,2.0217e+00,2.9514e+01,-2.4328e+02
-5.9037e-01,-7.6709e-01,6.4029e-01,-1.0583e-01,2.8669e+00,4.2797e+00,2.2411e+00,3.0064e+01,-8.4693e+01
-3.7469e-01,-1.2254e+00,-7.7596e-01,1.6663e+00,7.0710e-02,2.4215e+00,4.3429e+00,2.9719e+01,-1.6769e+02
3.6250e-01,-1.8083e+00,3.5600e-01,-3.2098e-01,1.2130e+00,4.3961e+00,2.1959e+00,3.0195e+01,-1.5503e+02
-2.8812e-02,-1.3021e+00,2.0811e-01,2.0259e+00,1.4514e+00,4.1269e+00,4.1623e+00,3.0156e+01,-2.5017e+02
-8.6561e-02,-1.0791e+00,1.3527e+00,1.9715e-01,1.2080e+00,4.4023e+00,3.4977e+00,3.0352e+01,-2.2115e+02
-3.4127e-01,-9.4351e-01,-6.7152e-01,2.5468e-01,-3.0284e-02,4.2071e+00,3.6754e+00,2.9993e+01,-1.9607e+02
-6.3560e-02,-1.0672e+00,-1.3960e+00,1.7387e+00,3.6771e-01,4.2850e+00,2.9353e+00,2.9979e+01,-9.1934e+01
-1.8056e-02,-1.5535e+00,-6.5389e-01,1.7686e+00,3.4946e+00,2.6948e+00,4.4452e+00,3.0344e+01,-1.9341e+02
-9.5622e-01,-8.4806e-01,-1.5278e+00,1.9086e+00,1.2270e+00,1.9230e+00,4.5018e+00,3.0105e+01,-1.5238e+02
-4.1573e-02,-7.3149e-01,-3.5976e-01,3.1334e+00,2.7661e+00,3.4723e+00,4.4318e+00,3.0191e+01,-2.2257e+02
-1.2636e-01,-1.6237e+00,-1.3111e+00,2.2046e+00,9.5362e-01,2.0792e+00,4.5616e+00,3.0250e+01,-1.3115e+02
-1.7823e-01,-1.9663e+00,-1.0224e+00,-1.6017e-01,1.4690e+00,1.3641e+00,4.5450e+00,3.0187e+01,-2.2503e+02
4.4634e-01,-1.9173e+00,-7.8726e-01,6.3403e-02,1.3672e+00,4.1737e+00,3.0893e+00,2.9685e+01,-2.8280e+02
-4.3082e-01,-1.3214e+00,-7.1831e-01,-4.3592e-01,8.8685e-01,2.6929e+00,4.5928e+00,3.0384e+01,-1.9812e+02
4.6252e-01,-1.8033e+00,-2.8714e-01,-4.3821e-01,3.0699e+00,4.4050e+00,3.4038e+00,3.0359e+01,-2.3987e+02
-5.1168e-01,-8.3452e-01,-6.0262e-01,1.8690e+00,2.4156e-01,4.5019e+00,3.1401e+00,3.0582e+01,-2.3693e+02
3.6818e-01,-1.6806e+00,5.3085e-01,5.1954e-01,3.2977e+00,4.0949e+00,3.7493e+00,3.0010e+01,-1.9816e+02
-1.3288e-01,-1.8136e+00,1.0225e+00,4.9254e-01,8.0897e-02,3.7155e+00,4.5638e+00,3.0472e+01,-2.5854e+02
-9.6461e-01,-6.7047e-01,1.8268e-01,1.3354e+00,3.5468e+00,1.5478e+00,4.3274e+00,3.0023e+01,-2.0646e+02
3.4536e-01,-1.7365e+00,4.1220e-01,1.7792e+00,2.3586e-01,4.0871e+00,3.7375e+00,2.9678e+01,-2.4119e+02
4.0935e-01,-1.8088e+00,8.8760e-01,7.2428e-02,8.3940e-01,4.1555e+00,3.4733e+00,2.9714e+01,-1.2548e+02
1.3072e-01,-1.4545e+00,-5.8474e-01,-1.8313e-01,1.1372e+00,4.1708e+00,3.2641e+00,2.9739e+01,-1.6292e+02
-2.1446e-01,-9.7470e-01,1.1584e+00,1.7090e+00,8.5344e-01,4.3196e+00,2.9570e+00,3.0111e+01,-2.7442e+02
-7.1950e-01,-9.6281e-01,8.5579e-01,1.8628e+00,1.9023e+00,3.0500e+00,4.5309e+00,3.0250e+01,-2.2907e+02
2.4343e-01,-1.1337e+00,9.5540e-01,-4.2520e-02,3.7891e+00,4.1798e+00,2.2551e+00,3.0393e+01,-9.6766e+01
2.9495e-01,-1.7221e+00,-1.2930e+00,2.8588e-01,2.3168e+00,4.1814e+00,3.1495e+00,2.9761e+01,-1.6321e+02
2.2182e-02,-1.2808e+00,-5.6513e-01,-3.1031e-01,1.8039e+00,4.4397e+00,2.2165e+00,3.0360e+01,-2.5567e+02
3.0308e-01,-1.4387e+00,1.1850e+00,7.6413e-01,7.2305e-01,4.3219e+00,2.9513e+00,3.0041e+01,-1.7534e+02
-7.4355e-01,-1.0023e+00,-7.7327e-01,-8.6360e-02,-1.0239e-01,2.3817e+00,4.4533e+00,3.0009e+01,-1.2857e+02
4.9198e-01,-1.5196e+00,1.1397e+00,4.7130e-01,2.3111e+00,4.3241e+00,2.8038e+00,3.0014e+01,-2.5700e+02
5.1669e-02,-1.5557e+00,-1.6747e+00,1.2814e-01,1.0683e+00,4.0202e+00,3.9147e+00,2.9749e+01,-1.0520e+02
-2.2740e-01,-1.6366e+00,-7.5664e-02,-2.1892e-01,3.5689e-01,3.4368e+00,4.2966e+00,2.9808e+01,-1.9125e+02
1.5828e-01,-1.4425e+00,-1.6383e+00,-4.1405e-01,9.1585e-02,4.0921e+00,3.2086e+00,2.9537e+01,-1.5924e+02
4.3961e-01,-1.9342e+00,2.0905e-01,-3.6055e-01,6.0487e-01,4.3692e+00,2.8907e+00,3.0134e+01,-1.4936e+02
-7.5828e-03,-9.7376e-01,-3.4642e-01,2.2707e+00,2.3226e+00,4.2226e+00,2.5183e+00,2.9841e+01,-7.1585e+01
4.5802e-01,-1.4137e+00,1.3834e+00,5.2867e-02,3.5140e+00,3.9729e+00,4.0064e+00,3.0119e+01,-2.7681e+02
7.8738e-02,-1.2595e+00,-4.5431e-02,-6.4750e-01,1.3565e+00,4.4439e+00,2.0462e+00,3.0338e+01,-1.8138e+02
-4.8641e-01,-9.4809e-01,-3.3197e-01,1.9179e+00,3.2897e+00,3.4087e+00,4.3371e+00,3.0146e+01,-1.4173e+02
1.2282e-01,-1.1811e+00,6.1654e-01,2.2224e+00,1.7139e+00,4.1879e+00,3.7876e+00,2.9946e+01,-8.9668e+01
-4.9340e-01,-1.1715e+00,-6.3429e-01,1.0777e+00,7.8427e-01,2.4194e+00,4.3076e+00,2.9649e+01,-2.1463e+02
4.8178e-01,-1.4933e+00,7.5171e-01,1.1616e+00,3.1227e+00,4.3612e+00,2.3519e+00,3.0218e+01,-2.2327e+02
1.9614e-01,-1.5071e+00,-1.5223e+00,4.3527e-01,3.7695e+00,3.5106e+00,4.3546e+00,3.0515e+01,-2.4093e+02
-1.8830e-02,-1.7620e+00,-1.5492e+00,3.0985e-01,1.0307e+00,3.6835e+00,4.1070e+00,2.9569e+01,-2.3292e+02
-3.1272e-01,-5.7033e-01,-4.2225e-02,3.1510e+00,3.4097e+00,3.9490e+00,3.8337e+00,3.0094e+01,-2.0907e+02
1.3003e-01,-1.8321e+00,1.0085e-01,9.5990e-01,7.5785e-01,4.1015e+00,4.1799e+00,3.0110e+01,-1.3923e+02
1.1758e-01,-1.6422e+00,-1.0001e+00,2.0964e+00,2.6470e+00,3.3132e+00,4.2177e+00,2.9599e+01,-1.7692e+02
2.4231e-01,-1.1168e+00,-5.4709e-01,2.2333e+00,1.2424e+00,4.1586e+00,3.0987e+00,2.9649e+01,-1.2470e+02
4.4264e-01,-1.7521e+00,7.7810e-01,7.1927e-01,4.7114e-01,4.0775e+00,2.9125e+00,2.9415e+01,-2.6935e+02
1.0127e-01,-1.2710e+00,-6.9684e-01,-6.1784e-01,6.4682e-01,4.4034e+00,2.5290e+00,3.0241e+01,-2.3037e+02
2.6497e-01,-1.4723e+00,-2.9800e-01,9.5710e-01,3.1345e+00,4.3671e+00,2.2176e+00,3.0277e+01,-2.2818e+02
-2.9465e-01,-1.5107e+00,-6.7294e-01,-1.0067e-01,1.0228e+00,2.3292e+00,4.2564e+00,2.9507e+01,-2.6933e+02
2.8440e-01,-1.4133e+00,-8.4364e-01,1.7531e-01,3.2065e+00,4.1035e+00,3.4602e+00,2.9854e+01,-1.2607e+02
-3.2144e-01,-1.5431e+00,-8.8498e-02,1.1252e+00,2.1632e-01,2.6760e+00,4.5282e+00,3.0208e+01,-2.5031e+02
-3.1202e-01,-1.3264e+00,-5.3666e-02,1.6086e+00,1.2136e+00,2.7897e+00,4.3145e+00,2.9683e+01,-1.8019e+02
-1.4000e-01,-1.9317e+00,-8.7573e-01,1.0907e+00,2.1215e+00,1.6617e+00,4.4922e+00,3.0066e+01,-1.9078e+02
-4.6105e-01,-9.0972e-01,-2.3965e-01,2.6218e+00,3.3459e+00,1.9372e+00,4.5543e+00,3.0482e+01,-1.3310e+02
2.2318e-01,-1.4266e+00,-2.5553e-01,-3.5003e-01,1.4381e+00,4.4110e+00,2.4838e+00,3.0238e+01,-1.7973e+02
-7.5238e-02,-1.1310e+00,-3.0136e-01,2.1821e-01,3.2434e+00,4.3085e+00,3.6039e+00,3.0355e+01,-1.3375e+02
1.9561e-01,-1.4544e+00,-4.9565e-01,1.9757e+00,5.4369e-01,4.3250e+00,3.7508e+00,3.0211e+01,-1.6909e+02
2.6130e-01,-1.8369e+00,-7.3166e-01,2.0396e+00,1.6419e+00,4.1898e+00,4.2496e+00,3.0291e+01,-2.3229e+02
-8.2885e-01,-9.8759e-01,-5.9306e-01,4.0497e-01,8.7665e-01,1.9419e+00,4.5605e+00,3.0273e+01,-2.3852e+02
-1.6966e-01,-1.0265e+00,-1.3056e+00,1.3218e+00,2.8250e+00,4.2778e+00,3.1707e+00,3.0086e+01,-2.2850e+02
3.5773e-01,-1.6131e+00,-4.9327e-02,1.4914e+00,3.2942e+00,4.2436e+00,3.7454e+00,3.0226e+01,-1.2868e+02
-2.2260e-01,-1.9663e+00,-4.4310e-01,1.7210e+00,4.7034e-01,1.5390e+00,4.6066e+00,3.0397e+01,-2.6660e+02
-8.1707e-02,-1.2160e+00,6.8800e-01,-2.1497e-01,2.6039e+00,4.2126e+00,3.8234e+00,3.0126e+01,-2.5135e+02
2.5919e-01,-1.4429e+00,-7.8309e-01,-6.6247e-01,2.5138e+00,4.2560e+00,2.4518e+00,2.9885e+01,-1.0030e+02
-3.5347e-01,-9.9256e-01,-1.2085e+00,7.3071e-01,2.9843e-01,4.1222e+00,3.9447e+00,2.9985e+01,-8.2228e+01
-4.1870e-02,-1.2972e+00,-1.1195e+00,1.5198e-01,2.8374e+00,4.2384e+00,4.0557e+00,3.0317e+01,-1.3144e+02
1.4705e-01,-1.3053e+00,1.1768e+00,-1.1808e-01,1.6100e+00,4.4507e+00,3.3694e+00,3.0411e+01,-2.1581e+02
-1.1951e-01,-1.7184e+00,5.1349e-01,-1.6855e-02,6.8846e-01,3.7408e+00,4.4332e+00,3.0193e+01,-1.5766e+02
-4.1713e-01,-1.3449e+00,-5.6159e-02,-4.4651e-01,2.0121e+00,1.7646e+00,4.5631e+00,3.0285e+01,-1.6109e+02
-7.0950e-01,-7.7201e-01,9.2497e-01,2.3421e+00,2.0586e+00,3.9180e+00,4.2842e+00,3.0114e+01,-1.5642e+02
-1.6213e-01,-1.1285e+00,-5.2093e-01,8.4836e-01,1.7280e+00,4.4021e+00,3.8992e+00,3.0486e+01,-2.2338e+02
-6.2682e-01,-8.6067e-01,2.7544e-01,1.5013e+00,2.0269e+00,3.9023e+00,4.0942e+00,2.9810e+01,-2.5453e+02
2.8082e-01,-1.9670e+00,8.7476e-01,2.2544e-01,2.6028e+00,4.2539e+00,4.0094e+00,3.0253e+01,-2.7082e+02
1.0807e-01,-1.1032e+00,-1.2790e+00,2.8246e+00,2.4935e+00,3.4222e+00,4.5148e+00,3.0235e+01,-1.4284e+02
-1.8966e-02,-1.4691e+00,-9.6970e-01,2.0352e+00,2.6039e+00,3.4627e+00,4.2462e+00,2.9743e+01,-1.4079e+02
-4.2360e-01,-1.2358e+00,-1.5394e+00,3.8912e-01,2.5451e+00,2.7628e+00,4.5449e+00,3.0291e+01,-1.6747e+02
-2.5806e-01,-1.0115e+00,-2.5186e-01,1.3231e+00,5.4713e-01,4.2066e+00,3.6640e+00,3.0000e+01,-2.5822e+02
2.6441e-01,-1.6568e+00,-1.1967e-01,1.2311e+00,2.4600e+00,4.2840e+00,3.0565e+00,3.0017e+01,-2.5978e+02
-1.8169e-01,-9.6622e-01,-1.1864e+00,1.0803e+00,2.9399e+00,4.3082e+00,2.2292e+00,3.0134e+01,-1.6079e+02
4.5963e-01,-1.7466e+00,-1.2714e+00,7.2976e-01,3.2051e+00,4.3405e+00,3.4343e+00,3.0270e+01,-1.9984e+02
-4.2112e-01,-1.1462e+00,-1.0901e+00,-4.0449e-01,1.6598e+00,3.8633e+00,4.3862e+00,3.0245e+01,-1.4928e+02
2.3016e-02,-1.3910e+00,-5.1012e-01,-1.6928e-01,1.6105e+00,4.3079e+00,3.8131e+00,3.0222e+01,-2.7078e+02
-4.4918e-01,-8.1900e-01,7.8131e-03,2.2285e-02,2.4223e+00,4.2411e+00,2.6532e+00,2.9914e+01,-2.4101e+02
-5.4150e-01,-1.0866e+00,-1.6948e+00,5.1825e-01,5.3858e-01,3.6500e+00,4.4908e+00,3.0314e+01,-1.5163e+02
-7.2011e-02,-1.7626e+00,-4.8048e-01,1.7446e+00,3.0579e+00,3.6316e+00,4.5998e+00,3.0599e+01,-2.7753e+02
4.4777e-01,-1.4250e+00,-9.4470e-01,1.6679e+00,2.9768e+00,4.0499e+00,2.6241e+00,2.9530e+01,-2.7040e+02
-2.6302e-01,-1.2542e+00,-1.1486e+00,2.3620e+00,1.0773e+00,1.1567e+00,4.6236e+00,3.0418e+01,-2.4488e+02
2.7048e-01,-1.6060e+00,-7.2798e-01,2.1724e+00,2.4488e+00,3.4503e+00,4.1829e+00,2.9512e+01,-2.5275e+02
-9.1566e-01,-8.9056e-01,-3.8126e-01,4.2900e-01,1.3091e+00,2.9563e+00,4.4117e+00,2.9929e+01,-1.4779e+02
-4.8916e-01,-1.1443e+00,1.0627e+00,1.2237e+00,1.7127e+00,1.8673e+00,4.4537e+00,3.0002e+01,-1.6855e+02
-2.6182e-01,-8.6676e-01,-3.3104e-01,2.5602e+00,2.5577e+00,4.2982e+00,4.0857e+00,3.0404e+01,-2.8032e+02
4.9120e-01,-1.8768e+00,-9.9846e-01,1.0787e+00,1.6385e+00,4.3673e+00,2.8946e+00,3.0128e+01,-2.8329e+02
4.1876e-01,-1.5362e+00,-1.7515e+00,-2.3828e-01,3.1931e+00,4.0745e+00,2.7097e+00,2.9686e+01,-2.4523e+02
-2.9120e-01,-1.2835e+00,5.0331e-01,6.3357e-01,3.2092e+00,3.2783e+00,4.4768e+00,3.0332e+01,-2.1780e+02
-1.2026e-01,-1.1091e+00,-3.7605e-01,-1.2560e-01,6.1785e-01,4.3336e+00,2.8197e+00,3.0138e+01,-2.2299e+02
-9.2658e-02,-1.1677e+00,-5.2494e-01,8.3545e-02,2.0157e+00,4.2427e+00,3.6557e+00,3.0055e+01,-9.3869e+01
2.9903e-01,-1.6068e+00,-1.7550e+00,1.1344e+00,2.0516e+00,4.2128e+00,3.0665e+00,2.9805e+01,-7.4478e+01
1.1692e-02,-1.1727e+00,-9.3775e-01,-5.7623e-01,3.6584e+00,3.8715e+00,4.2299e+00,3.0404e+01,-2.1054e+02
