logfeh,logdust_med,logNpix,tau,dmod,logl
-9.5653e-01,-1.9839e+00,3.7824e+00,9.9653e+00,2.9670e+01,-2.2525e+03
-9.9170e-01,-1.8907e+00,3.6775e+00,9.9277e+00,2.9392e+01,-2.2521e+03
-9.6125e-01,-1.9625e+00,3.6722e+00,9.9952e+00,2.9381e+01,-2.2392e+03
-9.9792e-01,-1.9770e+00,3.7794e+00,9.9858e+00,2.9659e+01,-2.2362e+03
-9.5698e-01,-1.9492e+00,3.6453e+00,9.9189e+00,2.9310e+01,-2.2429e+03
-9.6079e-01,-1.8753e+00,3.6451e+00,9.9554e+00,2.9309e+01,-2.2427e+03
-9.6757e-01,-1.9416e+00,3.6769e+00,9.9486e+00,2.9388e+01,-2.2597e+03
-9.9551e-01,-1.9829e+00,3.6753e+00,9.9684e+00,2.9400e+01,-2.2625e+03
-9.7537e-01,-1.9894e+00,3.6763e+00,9.9143e+00,2.9390e+01,-2.2067e+03
-9.8704e-01,-1.9312e+00,3.6754e+00,9.9629e+00,2.9388e+01,-2.2429e+03
-9.5092e-01,-1.9926e+00,3.6746e+00,9.9763e+00,2.9385e+01,-2.2542e+03
-9.6032e-01,-1.9498e+00,3.6773e+00,9.8412e+00,2.9389e+01,-2.2619e+03
-9.8105e-01,-1.9321e+00,3.6754e+00,9.9524e+00,2.9380e+01,-2.2493e+03
-9.9433e-01,-1.9601e+00,3.6580e+00,9.9938e+00,2.9336e+01,-2.2600e+03
-9.6361e-01,-1.9501e+00,3.6770e+00,9.9495e+00,2.9393e+01,-2.2412e+03
-9.5042e-01,-1.9566e+00,3.6760e+00,9.9949e+00,2.9394e+01,-2.2500e+03
-9.5710e-01,-1.9418e+00,3.6421e+00,9.9666e+00,2.9300e+01,-2.2501e+03
-9.8426e-01,-1.9844e+00,3.6257e+00,9.9904e+00,2.9266e+01,-2.2591e+03
-9.7063e-01,-1.9504e+00,3.6777e+00,9.9554e+00,2.9395e+01,-2.2546e+03
-9.8154e-01,-1.9673e+00,3.6767e+00,9.9270e+00,2.9385e+01,-2.2286e+03
-9.8383e-01,-1.9382e+00,3.6453e+00,9.9533e+00,2.9303e+01,-2.2345e+03
-9.8053e-01,-1.9302e+00,3.6768e+00,9.8878e+00,2.9393e+01,-2.2428e+03
-9.9316e-01,-1.9853e+00,3.6786e+00,9.9497e+00,2.9392e+01,-2.2584e+03
-9.7606e-01,-1.9419e+00,3.6763e+00,9.9788e+00,2.9388e+01,-2.2469e+03
-9.9646e-01,-1.9554e+00,3.6437e+00,9.9417e+00,2.9306e+01,-2.2577e+03
-9.9469e-01,-1.9498e+00,3.6792e+00,9.9840e+00,2.9393e+01,-2.2519e+03
-9.6851e-01,-1.8974e+00,3.6759e+00,9.9584e+00,2.9385e+01,-2.2455e+03
-9.6462e-01,-1.9859e+00,3.6445e+00,9.9930e+00,2.9299e+01,-2.2620e+03
-9.7287e-01,-1.9843e+00,3.6770e+00,9.8659e+00,2.9383e+01,-2.2513e+03
-9.6267e-01,-1.9992e+00,3.6458e+00,9.9094e+00,2.9315e+01,-2.2412e+03
-9.8957e-01,-1.8903e+00,3.6462e+00,9.9965e+00,2.9303e+01,-2.2590e+03
-9.9729e-01,-1.8731e+00,3.6773e+00,9.8895e+00,2.9387e+01,-2.2484e+03
-9.7452e-01,-1.9747e+00,3.6452e+00,9.9346e+00,2.9303e+01,-2.2314e+03
-9.6301e-01,-1.8418e+00,3.6753e+00,9.9950e+00,2.9387e+01,-2.2612e+03
-9.8185e-01,-1.9960e+00,3.6437e+00,9.9337e+00,2.9304e+01,-2.2403e+03
