logfeh,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
1.9078e-01,-1.6550e+00,1.6025e+00,1.6988e+00,2.4590e+00,3.7130e+00,2.9948e+00,2.8547e+01,-5.4490e+03
1.4877e-01,-1.3028e+00,1.6126e+00,1.9865e+00,5.7480e-01,3.2563e+00,3.7705e+00,2.8411e+01,-4.8587e+03
2.4182e-01,-1.0321e+00,1.7165e+00,9.1022e-01,2.6603e+00,2.9221e+00,3.8374e+00,2.8397e+01,-5.4283e+03
2.3632e-01,-1.2159e+00,1.6970e+00,1.2110e+00,2.2474e+00,3.5804e+00,3.4342e+00,2.8403e+01,-5.4466e+03
1.8663e-01,-1.1581e+00,1.6349e+00,1.7341e+00,8.7176e-01,2.0883e+00,3.8943e+00,2.8303e+01,-5.5448e+03
6.8369e-02,-1.4784e+00,1.7055e+00,2.0303e+00,1.5362e+00,3.3324e+00,3.8997e+00,2.8799e+01,-5.5445e+03
1.5006e-01,-1.1035e+00,1.7210e+00,1.6209e+00,1.9675e+00,3.5341e+00,3.6398e+00,2.8535e+01,-4.9438e+03
1.8161e-01,-1.5043e+00,1.7319e+00,-9.1637e-02,2.5950e+00,3.5888e+00,3.5007e+00,2.8619e+01,-5.5209e+03
2.4774e-01,-1.8580e+00,1.6913e+00,1.7806e+00,1.8032e+00,3.3208e+00,3.8701e+00,2.8599e+01,-5.2396e+03
1.9641e-01,-1.7094e+00,1.7109e+00,7.2387e-01,2.1031e+00,3.8404e+00,2.4734e+00,2.8715e+01,-5.2374e+03
1.7793e-01,-1.2987e+00,1.6801e+00,2.4634e-01,2.3769e+00,3.0620e+00,3.7548e+00,2.8294e+01,-5.1559e+03
2.3252e-01,-1.0731e+00,1.6737e+00,1.6230e+00,2.6103e+00,2.1465e+00,3.8500e+00,2.8303e+01,-5.1950e+03
2.1612e-01,-1.1921e+00,1.5956e+00,2.1517e+00,1.2576e+00,2.0675e+00,3.9150e+00,2.8343e+01,-5.2729e+03
1.4096e-01,-1.4242e+00,1.6331e+00,1.9760e+00,1.0138e+00,3.7855e+00,2.8175e+00,2.8640e+01,-5.5012e+03
1.5776e-01,-1.3636e+00,1.7067e+00,6.3254e-01,1.0404e+00,3.3403e+00,3.6691e+00,2.8314e+01,-5.4925e+03
1.4249e-01,-1.8628e+00,1.6947e+00,1.9753e+00,2.2412e+00,2.8175e+00,3.9193e+00,2.8570e+01,-5.4754e+03
1.7626e-01,-1.8920e+00,1.6986e+00,9.3667e-01,1.4522e+00,3.7606e+00,2.9804e+00,2.8558e+01,-5.2253e+03
1.8463e-01,-1.0252e+00,1.6135e+00,2.0108e+00,1.0013e+00,3.7293e+00,2.6379e+00,2.8419e+01,-5.1624e+03
1.9530e-01,-1.4845e+00,1.5586e+00,1.8556e+00,8.7920e-01,3.2895e+00,3.6736e+00,2.8255e+01,-5.0310e+03
1.2660e-01,-1.6535e+00,1.7044e+00,1.6369e+00,8.4963e-01,3.1636e+00,3.8516e+00,2.8500e+01,-4.9289e+03
2.4207e-01,-1.7140e+00,1.5926e+00,2.0934e+00,2.1760e+00,2.1698e+00,3.9534e+00,2.8500e+01,-5.4173e+03
1.4315e-01,-1.3238e+00,1.7026e+00,1.3832e+00,3.0026e+00,2.0794e+00,3.8912e+00,2.8678e+01,-5.1673e+03
9.7403e-02,-1.6668e+00,1.6863e+00,8.6263e-01,2.2550e+00,2.3020e+00,3.9277e+00,2.8484e+01,-5.4722e+03
1.7121e-01,-1.7265e+00,1.6590e+00,2.2416e+00,1.2394e+00,3.3384e+00,3.9072e+00,2.8730e+01,-5.5372e+03
1.2021e-01,-1.7245e+00,1.6403e+00,1.7161e+00,1.9187e+00,3.2803e+00,3.8187e+00,2.8582e+01,-5.4064e+03
1.4710e-01,-1.7085e+00,1.6558e+00,1.2668e+00,1.4976e+00,2.0067e+00,3.9085e+00,2.8351e+01,-5.3601e+03
1.4526e-01,-1.4289e+00,1.6319e+00,1.9294e+00,2.0270e+00,3.6324e+00,3.4952e+00,2.8630e+01,-5.5505e+03
2.2992e-01,-1.7653e+00,1.7012e+00,6.9992e-01,1.1251e+00,3.8042e+00,2.5854e+00,2.8556e+01,-5.4943e+03
1.6749e-01,-1.1820e+00,1.6532e+00,1.2865e+00,1.5407e+00,2.8212e+00,3.7630e+00,2.8108e+01,-5.5366e+03
2.1115e-01,-1.2043e+00,1.6104e+00,2.3053e+00,1.2447e+00,2.3638e+00,3.9761e+00,2.8527e+01,-5.4579e+03
1.8912e-01,-1.6364e+00,1.6413e+00,8.1818e-02,2.0810e+00,3.4774e+00,3.4789e+00,2.8282e+01,-5.3983e+03
2.0427e-01,-1.8169e+00,1.6520e+00,1.3335e+00,2.3652e+00,1.9806e+00,3.8854e+00,2.8288e+01,-5.5283e+03
1.8496e-01,-1.7107e+00,1.7304e+00,2.0008e+00,9.4707e-01,3.7145e+00,3.7818e+00,2.8964e+01,-5.5539e+03
1.2359e-01,-1.4419e+00,1.6624e+00,1.2816e+00,7.2227e-01,3.5070e+00,3.5779e+00,2.8430e+01,-5.1681e+03
1.0242e-01,-1.5986e+00,1.5891e+00,1.8895e+00,2.2953e+00,1.8141e+00,3.8959e+00,2.8410e+01,-5.1532e+03
