niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4
1.0000e+00,1.0000e+00,2.4938e-01,-1.5207e+05,-1.5207e+05,-2.4969e-03,-1.5207e+05,1.2922e-01,6.6871e+00,inf,8.3484e-01,-5.1427e-01,-1.8607e+00,-5.2941e-01,3.0837e+00,6.8089e-01,3.6949e+00,6.3718e+00
2.0000e+00,1.0000e+00,4.9751e-01,-1.5196e+05,-1.5196e+05,-4.9938e-03,-1.5196e+05,1.2924e-01,6.6896e+00,1.3284e+05,1.6652e+00,-2.6831e-02,-1.4816e+00,9.0693e-01,3.2762e+00,3.8586e+00,5.5149e+00,6.3610e+00
3.0000e+00,1.0000e+00,7.4442e-01,-1.5180e+05,-1.5180e+05,-7.4906e-03,-1.5180e+05,1.2926e-01,6.6921e+00,1.3273e+05,2.4890e+00,-6.6183e-01,-1.3484e+00,-3.3467e-01,3.0798e+00,3.9420e+00,4.8658e+00,6.2807e+00
4.0000e+00,1.0000e+00,9.9010e-01,-1.5176e+05,-1.5177e+05,-9.9875e-03,-1.5177e+05,1.2929e-01,6.6946e+00,1.3257e+05,3.2944e+00,-2.5311e-01,-1.4600e+00,-6.2283e-01,2.6717e+00,3.7174e+00,2.8841e+00,6.3478e+00
5.0000e+00,1.0000e+00,1.2346e+00,-1.5160e+05,-1.5161e+05,-1.2484e-02,-1.5161e+05,1.2931e-01,6.6971e+00,1.3253e+05,4.1361e+00,1.4539e-01,-1.1995e+00,1.6218e+00,2.1567e+00,2.0677e+00,5.3425e+00,6.4114e+00
6.0000e+00,1.0000e+00,1.4778e+00,-1.5158e+05,-1.5159e+05,-1.4981e-02,-1.5159e+05,1.2934e-01,6.6996e+00,1.3237e+05,4.9690e+00,-9.1433e-01,-9.9587e-01,1.8022e+00,2.5987e+00,3.5637e+00,3.8396e+00,6.2989e+00
7.0000e+00,1.0000e+00,1.7199e+00,-1.5157e+05,-1.5158e+05,-1.7478e-02,-1.5158e+05,1.2935e-01,6.7011e+00,1.3235e+05,5.5536e+00,-3.3407e-01,-6.1285e-01,1.4194e+00,9.2305e-02,2.6669e+00,2.0912e+00,6.4354e+00
8.0000e+00,1.0000e+00,1.9608e+00,-1.5154e+05,-1.5155e+05,-1.9975e-02,-1.5155e+05,1.2939e-01,6.7046e+00,1.3234e+05,6.1561e+00,-9.2384e-01,-5.6973e-01,-5.5074e-01,7.3224e-02,4.1234e+00,4.9519e+00,6.3260e+00
9.0000e+00,1.0000e+00,2.2005e+00,-1.5151e+05,-1.5151e+05,-2.2472e-02,-1.5151e+05,1.2941e-01,6.7071e+00,1.3231e+05,6.7693e+00,-6.3093e-01,-1.9361e+00,-2.7512e-01,-5.3721e-02,3.1981e+00,4.9474e+00,6.1721e+00
1.0000e+01,1.0000e+00,2.4390e+00,-1.5149e+05,-1.5149e+05,-2.4969e-02,-1.5149e+05,1.2943e-01,6.7096e+00,1.3228e+05,7.4173e+00,-9.6318e-01,-1.6140e+00,3.7415e-01,-2.0019e-01,2.2625e+00,5.0183e+00,6.1283e+00
1.1000e+01,1.0000e+00,2.6764e+00,-1.5148e+05,-1.5148e+05,-2.7466e-02,-1.5148e+05,1.2946e-01,6.7118e+00,1.3226e+05,8.2257e+00,-7.2510e-02,-1.0289e+00,3.0091e-01,3.6859e+00,2.1536e+00,4.8393e+00,6.3141e+00
1.2000e+01,1.0000e+00,2.9126e+00,-1.5125e+05,-1.5125e+05,-2.9963e-02,-1.5125e+05,1.2948e-01,6.7146e+00,1.3225e+05,9.0454e+00,8.0521e-02,-6.4461e-01,-1.5585e-01,7.9287e-01,3.1751e+00,5.2149e+00,6.3703e+00
1.3000e+01,1.0000e+00,3.1477e+00,-1.5122e+05,-1.5123e+05,-3.2459e-02,-1.5123e+05,1.2951e-01,6.7171e+00,1.3202e+05,9.6611e+00,-9.0094e-01,-9.9648e-01,1.1560e-01,2.1331e+00,1.2925e+00,2.6789e+00,6.1668e+00
1.4000e+01,1.0000e+00,3.3816e+00,-1.5118e+05,-1.5119e+05,-3.4956e-02,-1.5119e+05,1.2953e-01,6.7196e+00,1.3199e+05,1.0509e+01,-4.3715e-01,-1.1642e+00,5.5476e-01,3.5446e+00,3.3645e+00,3.9796e+00,6.1739e+00
1.5000e+01,1.0000e+00,3.6145e+00,-1.5116e+05,-1.5117e+05,-3.7453e-02,-1.5117e+05,1.2955e-01,6.7221e+00,1.3195e+05,1.1345e+01,-1.0303e-01,-1.4857e+00,-1.9658e-01,1.8153e-01,1.0447e+00,2.5522e+00,6.2388e+00
1.6000e+01,1.0000e+00,3.8462e+00,-1.5105e+05,-1.5106e+05,-3.9950e-02,-1.5106e+05,1.2958e-01,6.7246e+00,1.3193e+05,1.2181e+01,-5.2262e-01,-8.1771e-01,9.9139e-01,1.4285e+00,1.6880e+00,5.2912e+00,6.1574e+00
1.7000e+01,1.0000e+00,4.0767e+00,-1.5104e+05,-1.5105e+05,-4.2447e-02,-1.5105e+05,1.2960e-01,6.7269e+00,1.3182e+05,1.3026e+01,-3.9175e-01,-9.5524e-01,-7.7234e-01,3.6967e+00,1.5499e+00,1.8340e+00,6.1737e+00
1.8000e+01,1.0000e+00,4.3062e+00,-1.5099e+05,-1.5100e+05,-4.4944e-02,-1.5100e+05,1.2963e-01,6.7296e+00,1.3181e+05,1.3851e+01,-4.9150e-01,-1.8199e+00,7.9878e-01,2.5630e+00,1.5708e+00,5.0550e+00,6.0588e+00
1.9000e+01,1.0000e+00,4.5346e+00,-1.5098e+05,-1.5099e+05,-4.7441e-02,-1.5099e+05,1.2964e-01,6.7313e+00,1.3176e+05,1.4441e+01,-4.3978e-01,-6.9508e-01,7.3178e-01,1.0807e+00,2.7170e+00,1.7860e+00,6.2122e+00
2.0000e+01,1.0000e+00,4.7619e+00,-1.5094e+05,-1.5094e+05,-4.9938e-02,-1.5094e+05,1.2967e-01,6.7345e+00,1.3175e+05,1.5295e+01,-2.9385e-01,-1.9427e+00,-7.0086e-02,1.2533e+00,2.8629e+00,1.7165e+00,6.1137e+00
2.1000e+01,1.0000e+00,4.9881e+00,-1.5093e+05,-1.5094e+05,-5.2434e-02,-1.5094e+05,1.2919e-01,6.6849e+00,1.3171e+05,1.6117e+01,-8.9726e-01,-1.2969e+00,1.5144e-01,9.7022e-02,9.1958e-01,5.2594e+00,5.9232e+00
2.2000e+01,1.0000e+00,5.2133e+00,-1.5086e+05,-1.5087e+05,-5.4931e-02,-1.5087e+05,1.2972e-01,6.7395e+00,1.3170e+05,1.6959e+01,-1.0873e-01,-1.7345e+00,4.1716e-01,7.2571e-01,8.8638e-01,5.1910e+00,6.0758e+00
2.3000e+01,1.0000e+00,5.4374e+00,-1.5076e+05,-1.5076e+05,-5.7428e-02,-1.5076e+05,1.2975e-01,6.7420e+00,1.3163e+05,1.7571e+01,3.8759e-01,-1.4645e+00,2.0102e+00,2.3268e+00,3.2365e+00,4.5623e+00,6.3195e+00
2.4000e+01,1.0000e+00,5.6604e+00,-1.5075e+05,-1.5076e+05,-5.9925e-02,-1.5076e+05,1.2646e-01,6.4050e+00,1.3153e+05,1.8397e+01,-4.1992e-01,-8.2218e-01,-8.6094e-01,1.3780e+00,3.3459e+00,1.6583e+00,6.1483e+00
2.5000e+01,1.0000e+00,5.8824e+00,-1.5073e+05,-1.5073e+05,-6.2422e-02,-1.5073e+05,1.2979e-01,6.7470e+00,1.3152e+05,1.9220e+01,-9.7407e-01,-1.5597e+00,-1.9514e-01,-8.6885e-02,3.5924e+00,2.9438e+00,6.0031e+00
2.6000e+01,1.0000e+00,6.1033e+00,-1.5073e+05,-1.5073e+05,-6.4919e-02,-1.5073e+05,1.2073e-01,5.8378e+00,1.3150e+05,1.9830e+01,-2.4555e-01,-1.8322e+00,1.1625e+00,2.0300e+00,4.0333e-01,4.0784e+00,6.0840e+00
2.7000e+01,3.0000e+00,6.2937e+00,-1.5072e+05,-1.5073e+05,-6.7416e-02,-1.5073e+05,1.2855e-01,6.6179e+00,1.3149e+05,2.2064e+01,-7.7869e-01,-1.8454e+00,-8.4092e-01,9.3922e-01,2.4967e+00,5.0739e+00,5.9107e+00
2.8000e+01,1.0000e+00,6.5116e+00,-1.5061e+05,-1.5062e+05,-6.9913e-02,-1.5062e+05,1.2987e-01,6.7545e+00,1.3149e+05,2.2651e+01,8.7859e-02,-5.3932e-01,8.7562e-01,1.5454e+00,4.6471e-01,4.0325e+00,6.2947e+00
2.9000e+01,1.0000e+00,6.7285e+00,-1.5058e+05,-1.5059e+05,-7.2410e-02,-1.5059e+05,1.2989e-01,6.7570e+00,1.3138e+05,2.3255e+01,-5.4377e-01,-9.2751e-01,1.6301e+00,-1.5908e-01,1.5195e+00,3.9305e+00,6.1587e+00
3.0000e+01,1.0000e+00,6.9444e+00,-1.5056e+05,-1.5057e+05,-7.4906e-02,-1.5057e+05,1.2991e-01,6.7595e+00,1.3135e+05,2.3899e+01,-8.7911e-01,-1.3055e+00,2.1682e+00,1.8363e-01,3.7882e+00,3.9971e+00,6.0979e+00
3.1000e+01,1.0000e+00,7.1594e+00,-1.5055e+05,-1.5056e+05,-7.7403e-02,-1.5056e+05,1.2992e-01,6.7606e+00,1.3133e+05,2.4503e+01,1.1065e-01,-1.1536e+00,1.7171e+00,1.5878e+00,9.9892e-01,5.5924e+00,5.9943e+00
3.2000e+01,1.0000e+00,7.3733e+00,-1.5055e+05,-1.5056e+05,-7.9900e-02,-1.5056e+05,1.1893e-01,5.6646e+00,1.3132e+05,2.5319e+01,-7.9770e-01,-1.9028e+00,-4.5546e-02,2.5426e+00,2.7313e+00,4.4778e+00,5.9313e+00
3.3000e+01,1.0000e+00,7.5862e+00,-1.5047e+05,-1.5047e+05,-8.2397e-02,-1.5047e+05,1.2999e-01,6.7670e+00,1.3132e+05,2.6147e+01,-9.3838e-01,-1.8186e+00,1.5237e+00,1.0717e+00,1.5998e+00,5.1071e+00,5.8944e+00
3.4000e+01,1.0000e+00,7.7982e+00,-1.5042e+05,-1.5043e+05,-8.4894e-02,-1.5043e+05,1.3001e-01,6.7695e+00,1.3124e+05,2.6979e+01,-7.7280e-01,-1.7072e+00,-1.0367e+00,3.4252e+00,3.6989e+00,2.2446e+00,5.9064e+00
3.5000e+01,1.0000e+00,8.0092e+00,-1.5034e+05,-1.5034e+05,-8.7391e-02,-1.5034e+05,1.3003e-01,6.7720e+00,1.3119e+05,2.7573e+01,-9.3715e-01,-1.7387e+00,9.9530e-01,4.5778e-01,2.6427e+00,3.6646e+00,5.9110e+00
3.6000e+01,1.0000e+00,8.2192e+00,-1.5026e+05,-1.5026e+05,-8.9888e-02,-1.5026e+05,1.3006e-01,6.7745e+00,1.3111e+05,2.8170e+01,-3.4616e-01,-1.8735e+00,2.4218e-01,3.5474e+00,2.4596e+00,4.7514e+00,5.8818e+00
3.7000e+01,1.0000e+00,8.4282e+00,-1.4999e+05,-1.4999e+05,-9.2385e-02,-1.4999e+05,1.3008e-01,6.7770e+00,1.3102e+05,2.8776e+01,1.3538e-01,-1.4468e+00,-1.3506e-01,7.3341e-01,3.8617e+00,3.0770e+00,5.9877e+00
3.8000e+01,1.0000e+00,8.6364e+00,-1.4998e+05,-1.4999e+05,-9.4881e-02,-1.4999e+05,1.3006e-01,6.7749e+00,1.3076e+05,2.9570e+01,-2.8388e-01,-1.9523e+00,1.6745e+00,2.2844e+00,1.0165e+00,4.0953e+00,6.0159e+00
3.9000e+01,1.0000e+00,8.8435e+00,-1.4995e+05,-1.4996e+05,-9.7378e-02,-1.4996e+05,1.3013e-01,6.7820e+00,1.3075e+05,3.0174e+01,-3.0966e-01,-1.8956e+00,2.3734e+00,2.5943e-01,3.9554e+00,2.4288e+00,6.1635e+00
4.0000e+01,1.0000e+00,9.0498e+00,-1.4992e+05,-1.4993e+05,-9.9875e-02,-1.4993e+05,1.3015e-01,6.7845e+00,1.3072e+05,3.0825e+01,-1.1352e-01,-1.3373e+00,1.2929e+00,6.5976e-02,2.1899e+00,2.7053e+00,5.9692e+00
4.1000e+01,1.0000e+00,9.2551e+00,-1.4991e+05,-1.4991e+05,-1.0237e-01,-1.4991e+05,1.3018e-01,6.7870e+00,1.3069e+05,3.1420e+01,-9.6088e-02,-1.4160e+00,3.8293e-01,1.8976e+00,3.8800e+00,4.6658e+00,5.8424e+00
4.2000e+01,1.0000e+00,9.4595e+00,-1.4990e+05,-1.4991e+05,-1.0487e-01,-1.4991e+05,1.2520e-01,6.2783e+00,1.3068e+05,3.2241e+01,-2.5226e-01,-1.1020e+00,-6.5722e-02,1.6132e+00,2.3587e+00,3.9512e+00,5.9141e+00
4.3000e+01,1.0000e+00,9.6629e+00,-1.4990e+05,-1.4991e+05,-1.0737e-01,-1.4991e+05,1.2959e-01,6.7259e+00,1.3067e+05,3.3085e+01,-4.2290e-03,-1.9311e+00,2.2359e+00,3.5380e+00,4.2527e+00,4.6058e+00,6.1665e+00
4.4000e+01,2.0000e+00,9.8434e+00,-1.4989e+05,-1.4989e+05,-1.0986e-01,-1.4989e+05,1.3025e-01,6.7942e+00,1.4846e+05,3.4730e+01,-9.9318e-01,-1.1937e+00,-1.1999e+00,1.9083e+00,5.5904e-01,2.2245e+00,5.8076e+00
4.5000e+01,1.0000e+00,1.0045e+01,-1.4987e+05,-1.4988e+05,-1.1236e-01,-1.4988e+05,1.3027e-01,6.7968e+00,1.4845e+05,3.5545e+01,-5.6681e-02,-1.7637e+00,1.6560e+00,3.7226e+00,3.4953e+00,5.5267e+00,5.6553e+00
4.6000e+01,1.0000e+00,1.0245e+01,-1.4985e+05,-1.4986e+05,-1.1486e-01,-1.4986e+05,1.3030e-01,6.7995e+00,1.4843e+05,3.6151e+01,-4.9724e-01,-1.0137e+00,-9.7294e-01,-1.3762e-02,1.6690e+00,3.9705e+00,5.8511e+00
4.7000e+01,1.0000e+00,1.0444e+01,-1.4981e+05,-1.4981e+05,-1.1735e-01,-1.4981e+05,1.3032e-01,6.8020e+00,1.4841e+05,3.6748e+01,4.1952e-01,-1.0494e+00,1.0590e+00,2.1757e-01,2.9526e+00,3.2914e+00,6.0432e+00
4.8000e+01,1.0000e+00,1.0643e+01,-1.4979e+05,-1.4980e+05,-1.1985e-01,-1.4980e+05,1.3034e-01,6.8044e+00,1.4837e+05,3.7356e+01,-2.0003e-02,-1.9706e+00,-6.8648e-02,1.6879e+00,2.4614e+00,5.4446e+00,5.4783e+00
4.9000e+01,1.0000e+00,1.0841e+01,-1.4978e+05,-1.4979e+05,-1.2235e-01,-1.4979e+05,1.3034e-01,6.8034e+00,1.4835e+05,3.8187e+01,-4.8052e-01,-1.7272e+00,4.0995e-01,8.8122e-01,5.7313e-01,4.9437e+00,5.6907e+00
