logfeh,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
-8.7336e-01,-1.9029e+00,1.7296e+00,9.7051e-01,6.6139e-01,2.3148e+00,3.3502e+00,2.8268e+01,-9.0750e+02
-8.6788e-01,-1.5401e+00,1.7074e+00,1.8123e+00,1.2275e+00,2.0396e+00,3.3904e+00,2.8380e+01,-9.0937e+02
-9.2225e-01,-1.2136e+00,1.6937e+00,1.6040e+00,5.0329e-01,2.8357e+00,3.1169e+00,2.8226e+01,-8.6271e+02
-7.0031e-01,-1.6669e+00,1.7247e+00,1.6232e+00,9.8892e-01,2.4873e+00,3.2687e+00,2.8257e+01,-8.8146e+02
-9.9044e-01,-1.2393e+00,1.7142e+00,1.8142e-01,1.0562e+00,2.1076e+00,3.3017e+00,2.8034e+01,-8.8763e+02
-2.5200e-02,-1.5425e+00,1.6892e+00,2.0367e+00,1.1861e+00,1.9873e+00,3.3647e+00,2.8197e+01,-9.1149e+02
-9.0845e-01,-1.5888e+00,1.6884e+00,1.5097e+00,1.8936e+00,2.4378e+00,3.2756e+00,2.8275e+01,-9.1147e+02
-8.5204e-01,-1.9491e+00,1.6854e+00,1.2369e+00,1.3902e+00,2.1685e+00,3.3175e+00,2.8153e+01,-9.0092e+02
-9.4056e-01,-1.2277e+00,1.6463e+00,1.8072e+00,3.7667e-01,1.8852e+00,3.3058e+00,2.8116e+01,-8.7156e+02
-7.2438e-01,-1.8799e+00,1.7316e+00,1.4707e+00,1.6250e+00,2.2020e+00,3.2998e+00,2.8234e+01,-9.2355e+02
-7.8951e-01,-1.3729e+00,1.7221e+00,1.2767e+00,1.1333e+00,2.4386e+00,3.2367e+00,2.8127e+01,-8.8199e+02
-9.8285e-01,-1.0802e+00,1.6313e+00,1.7483e+00,1.9087e+00,1.6355e+00,3.2652e+00,2.8069e+01,-9.0833e+02
-7.6715e-01,-1.2491e+00,1.6941e+00,1.8794e+00,6.7939e-01,1.9394e+00,3.3244e+00,2.8220e+01,-9.2537e+02
-8.0319e-01,-1.7385e+00,1.6960e+00,1.4374e+00,7.6153e-01,2.9548e+00,2.9955e+00,2.8221e+01,-9.1629e+02
-9.0838e-01,-1.2092e+00,1.7076e+00,1.0768e-01,6.4947e-01,2.3288e+00,3.2735e+00,2.8029e+01,-8.9296e+02
-9.1690e-01,-1.5032e+00,1.6957e+00,1.0224e+00,7.0370e-01,2.3925e+00,3.2568e+00,2.8061e+01,-8.8510e+02
-7.4624e-01,-1.1960e+00,1.7264e+00,8.9894e-01,1.2668e+00,2.6652e+00,3.1857e+00,2.8096e+01,-9.1773e+02
-8.6318e-01,-1.2286e+00,1.6689e+00,1.7659e+00,1.2465e+00,1.7694e+00,3.3423e+00,2.8211e+01,-9.1482e+02
-7.8752e-01,-1.4643e+00,1.6675e+00,1.8080e+00,1.1718e+00,1.6600e+00,3.3039e+00,2.8188e+01,-9.0592e+02
-7.3662e-01,-1.2528e+00,1.7248e+00,8.5850e-02,1.4595e+00,2.1656e+00,3.2385e+00,2.8009e+01,-9.2499e+02
-9.4292e-01,-1.1226e+00,1.7195e+00,1.4665e+00,5.5200e-01,2.7476e+00,3.1903e+00,2.8197e+01,-8.5622e+02
-9.3042e-01,-1.1196e+00,1.7134e+00,1.3062e+00,1.2351e+00,2.0382e+00,3.3110e+00,2.8092e+01,-8.7435e+02
-8.3481e-01,-1.3174e+00,1.7093e+00,1.2199e+00,9.3076e-01,2.0301e+00,3.2805e+00,2.8017e+01,-9.0827e+02
