logfeh,logdust_med,logNpix,tau,dmod,logl
-9.5808e-01,-1.9928e+00,3.2383e+00,9.9966e+00,2.8000e+01,-1.4259e+04
-9.7627e-01,-1.9935e+00,3.2383e+00,9.9982e+00,2.8002e+01,-1.4261e+04
-9.5946e-01,-1.9938e+00,3.2384e+00,9.9999e+00,2.8001e+01,-1.4251e+04
-9.9920e-01,-1.9970e+00,3.2384e+00,9.9994e+00,2.8001e+01,-1.4251e+04
-9.8898e-01,-1.9869e+00,3.2384e+00,9.9964e+00,2.8001e+01,-1.4264e+04
-9.8372e-01,-1.9966e+00,3.2384e+00,9.9979e+00,2.8000e+01,-1.4251e+04
-9.7950e-01,-1.9965e+00,3.2384e+00,9.9972e+00,2.8000e+01,-1.4246e+04
-9.8966e-01,-1.9998e+00,3.2382e+00,9.9989e+00,2.8000e+01,-1.4264e+04
-9.9477e-01,-1.9974e+00,3.2384e+00,9.9970e+00,2.8000e+01,-1.4255e+04
-9.5672e-01,-1.9957e+00,3.2382e+00,9.9954e+00,2.8001e+01,-1.4251e+04
-9.6281e-01,-1.9885e+00,3.2384e+00,9.9995e+00,2.8000e+01,-1.4266e+04
-9.5261e-01,-1.9997e+00,3.2384e+00,9.9996e+00,2.8000e+01,-1.4256e+04
-9.9872e-01,-1.9984e+00,3.2382e+00,9.9911e+00,2.8000e+01,-1.4256e+04
-9.7672e-01,-1.9984e+00,3.2382e+00,9.9971e+00,2.8001e+01,-1.4267e+04
-9.5257e-01,-1.9890e+00,3.2383e+00,9.9967e+00,2.8000e+01,-1.4262e+04
-9.7935e-01,-1.9902e+00,3.2383e+00,9.9991e+00,2.8001e+01,-1.4264e+04
-9.7937e-01,-1.9966e+00,3.2383e+00,9.9972e+00,2.8000e+01,-1.4255e+04
-9.7981e-01,-1.9953e+00,3.2384e+00,9.9976e+00,2.8002e+01,-1.4244e+04
-9.8725e-01,-1.9889e+00,3.2383e+00,9.9973e+00,2.8000e+01,-1.4250e+04
-9.8000e-01,-1.9913e+00,3.2383e+00,9.9965e+00,2.8001e+01,-1.4266e+04
-9.7587e-01,-1.9939e+00,3.2383e+00,9.9942e+00,2.8001e+01,-1.4266e+04
-9.9920e-01,-1.9962e+00,3.2383e+00,9.9979e+00,2.8001e+01,-1.4265e+04
