logfeh_mean,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
-2.4708e-01,-3.8484e-01,-1.4591e+00,-1.1119e+00,-9.5247e-01,1.8236e+00,2.1944e+00,2.7036e+01,-2.3690e-01
-1.0853e-01,-5.9970e-01,-1.5180e+00,-6.2519e-01,-2.3007e-01,7.7042e-01,1.9548e+00,2.5945e+01,-1.7529e-01
-6.2219e-02,-3.3600e-01,-1.0357e+00,-1.4260e+00,-4.3815e-01,1.5402e+00,1.5509e+00,2.5686e+01,-5.0797e-02
-4.6623e-01,-1.6644e-01,-1.6850e+00,-1.1687e+00,4.9506e-01,1.9303e+00,2.4699e+00,2.7646e+01,-6.2245e-02
-3.7245e-01,-5.7802e-01,-1.3888e+00,-7.9303e-01,-2.7326e-01,1.4174e+00,2.4579e+00,2.7497e+01,-9.4732e-02
-2.0867e-01,-3.0313e-01,-1.5216e+00,-1.1290e+00,2.1221e-01,1.6846e+00,1.9561e+00,2.6519e+01,-2.3926e-01
-4.5116e-01,-1.3007e-01,-2.5567e+00,-1.4846e+00,-5.9254e-01,1.5110e+00,1.8836e+00,2.6111e+01,-2.5114e-01
-2.3037e-01,-6.6101e-01,-1.4369e+00,-1.6931e-02,-3.2015e-02,1.6822e+00,2.5318e+00,2.7747e+01,-1.8006e-02
7.8037e-02,-7.0737e-01,-2.1113e+00,-1.7295e+00,1.8038e-01,2.0222e+00,1.7706e+00,2.6886e+01,-3.4471e-02
3.7302e-02,-6.3862e-01,-8.9829e-01,-3.6303e-01,3.1269e-01,5.7444e-01,1.8098e+00,2.5557e+01,-1.6879e-01
-4.6521e-01,-7.3965e-01,-1.6731e+00,-6.9932e-01,-1.3180e-01,3.6400e-01,2.8066e+00,2.8329e+01,-1.6375e-01
-2.7550e-01,-5.7171e-01,-1.4974e+00,2.3109e-01,7.9122e-01,3.3518e-01,2.5500e+00,2.7599e+01,-2.5992e-01
-1.9272e-01,-4.4393e-01,-9.1329e-01,-5.5247e-01,-9.9935e-03,1.2539e+00,2.0187e+00,2.6289e+01,-5.6711e-02
1.4692e-01,-8.4574e-01,-2.4412e+00,2.2182e-01,5.5670e-01,2.0802e+00,2.1482e+00,2.7358e+01,-2.7620e-01
-3.2316e-01,-9.2574e-01,-2.7336e+00,1.2547e-01,-4.5295e-02,9.9553e-01,2.7575e+00,2.8273e+01,-3.1374e-01
-4.9378e-01,-1.2957e-01,-8.5312e-01,-1.7331e+00,-3.7815e-02,2.0415e+00,2.5347e+00,2.7782e+01,-1.3850e-01
-3.5348e-01,-2.0952e-01,-1.2420e+00,-7.1911e-01,7.2871e-01,1.8819e+00,2.4629e+00,2.7584e+01,-3.0678e-01
-2.1319e-01,-2.6049e-01,-1.1531e+00,-1.0229e+00,7.5077e-02,1.1678e+00,1.5029e+00,2.5163e+01,-8.7456e-02
-4.0414e-01,-6.7667e-01,-1.5570e+00,-1.5515e+00,-2.4737e-01,9.2842e-01,2.3231e+00,2.7085e+01,-3.0366e-01
-1.2408e-01,-1.8104e-01,-2.4995e+00,-1.0639e+00,-1.6458e-02,1.5917e+00,1.5425e+00,2.5715e+01,-5.5854e-02
-3.2217e-01,-1.8748e-01,-2.3007e+00,-9.1027e-01,1.3496e-01,1.1080e+00,1.6385e+00,2.5328e+01,-3.1942e-02
1.7264e-01,-5.8954e-01,-1.2399e+00,-3.5027e-01,-2.9470e-01,1.2605e+00,1.4318e+00,2.5128e+01,-8.7177e-02
4.6401e-02,-9.2430e-01,-1.7540e+00,-1.4787e+00,2.3710e-01,7.4429e-01,2.0403e+00,2.6163e+01,-2.6763e-01
2.1415e-01,-9.5324e-01,-1.1053e+00,-3.4846e-01,-2.6147e-01,1.1358e+00,1.8911e+00,2.5855e+01,-1.8362e-01
-2.1796e-01,-9.8055e-01,-2.5732e+00,-1.4311e+00,6.2990e-01,1.3680e-01,2.3951e+00,2.7256e+01,-1.8588e-01
7.7984e-02,-5.3360e-01,-2.7045e+00,-1.4610e+00,-2.2717e-01,1.8396e+00,1.4602e+00,2.6236e+01,-1.4718e-01
-2.7489e-01,-5.3824e-01,-1.7751e+00,-5.6247e-01,6.1555e-01,1.7730e+00,2.4927e+00,2.7742e+01,-3.2186e-01
-4.5033e-01,-3.6644e-02,-2.3451e+00,-4.4131e-01,-2.5828e-01,3.0409e-01,1.9718e+00,2.5744e+01,-5.1134e-02
-1.2038e-01,-7.4584e-01,-1.7730e+00,-1.0955e+00,2.1293e-01,2.0604e+00,2.3737e+00,2.7690e+01,-1.8038e-01
-3.9055e-01,-5.9272e-01,-2.6747e+00,-3.7872e-01,6.4659e-02,6.4279e-01,2.2888e+00,2.6956e+01,-2.7025e-01
