logfeh,logdust,logNpix,tau,dmod,logl
-4.4065e-01,-8.7921e-01,5.2334e+00,2.2068e+00,3.0874e+01,-2.1611e+02
-4.8496e-01,-8.7084e-01,5.1531e+00,1.0162e+00,3.0653e+01,-1.8216e+02
-4.4329e-01,-8.8349e-01,5.1434e+00,1.9834e+00,3.0638e+01,-2.1071e+02
-4.8880e-01,-8.7276e-01,5.1002e+00,1.2027e+00,3.0524e+01,-2.1100e+02
-3.9255e-01,-9.1162e-01,5.2204e+00,2.3035e+00,3.0847e+01,-2.1703e+02
-3.3814e-01,-9.8444e-01,5.1710e+00,1.8274e+00,3.0702e+01,-2.1802e+02
-4.3238e-01,-9.2032e-01,5.1636e+00,1.1529e+00,3.0677e+01,-2.1139e+02
-4.2636e-01,-9.1621e-01,5.1673e+00,1.5819e+00,3.0690e+01,-1.9606e+02
-3.7956e-01,-9.2146e-01,5.1852e+00,2.2331e+00,3.0754e+01,-2.1028e+02
-4.7675e-01,-8.5970e-01,5.1020e+00,1.6167e+00,3.0532e+01,-2.1500e+02
-4.1344e-01,-9.3851e-01,5.1454e+00,1.0164e+00,3.0629e+01,-2.0774e+02
-3.1088e-01,-9.5733e-01,5.2341e+00,2.4859e+00,3.0884e+01,-2.2104e+02
-4.9135e-01,-8.6331e-01,5.1714e+00,1.5255e+00,3.0705e+01,-2.0263e+02
-4.1736e-01,-9.2446e-01,5.1829e+00,1.4896e+00,3.0727e+01,-2.1733e+02
-4.0715e-01,-9.3643e-01,5.1563e+00,1.4375e+00,3.0661e+01,-2.1605e+02
-3.4701e-01,-9.2832e-01,5.1835e+00,2.5463e+00,3.0767e+01,-2.2035e+02
-4.2084e-01,-8.8444e-01,5.1775e+00,2.3350e+00,3.0741e+01,-1.9925e+02
-3.7171e-01,-9.6811e-01,5.1949e+00,1.3604e+00,3.0752e+01,-2.2063e+02
-4.9549e-01,-8.3901e-01,5.1889e+00,2.1120e+00,3.0759e+01,-1.9177e+02
-4.3703e-01,-8.7117e-01,5.1987e+00,2.2944e+00,3.0789e+01,-2.1116e+02
-4.8105e-01,-8.3119e-01,5.1449e+00,2.2848e+00,3.0654e+01,-1.8222e+02
-4.3211e-01,-8.5971e-01,5.1763e+00,2.5500e+00,3.0747e+01,-1.9983e+02
-4.4836e-01,-8.3724e-01,5.2155e+00,2.6434e+00,3.0847e+01,-2.1739e+02
-4.8360e-01,-8.5034e-01,5.2282e+00,2.0043e+00,3.0857e+01,-2.0457e+02
-3.9080e-01,-9.5778e-01,5.1347e+00,8.1830e-01,3.0600e+01,-2.2074e+02
-4.0599e-01,-9.4269e-01,5.1187e+00,1.1024e+00,3.0562e+01,-2.1898e+02
-4.6591e-01,-8.6510e-01,5.1380e+00,1.5669e+00,3.0619e+01,-2.1399e+02
-4.4983e-01,-9.0942e-01,5.1605e+00,8.0891e-01,3.0668e+01,-1.9935e+02
-4.9511e-01,-8.6063e-01,5.2349e+00,1.6766e+00,3.0866e+01,-2.1082e+02
-4.8231e-01,-8.4457e-01,5.1469e+00,2.0900e+00,3.0659e+01,-2.0328e+02
-3.9935e-01,-8.8718e-01,5.1934e+00,2.5472e+00,3.0792e+01,-1.9758e+02
-4.8812e-01,-8.3020e-01,5.1702e+00,2.3516e+00,3.0723e+01,-1.9704e+02
-4.3942e-01,-8.7085e-01,5.2180e+00,2.3754e+00,3.0844e+01,-2.0444e+02
-4.0797e-01,-8.8415e-01,5.2336e+00,2.4710e+00,3.0889e+01,-2.0331e+02
