logfeh_scale,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
4.4105e-01,-9.5016e-01,-1.8546e+00,5.2384e-02,-2.2093e-01,2.7665e+00,1.3713e+00,2.5086e+01,-1.7549e+03
-3.9959e-03,-7.7550e-01,-1.9125e+00,2.5693e-01,5.9541e-01,2.7543e+00,9.5897e-01,2.5098e+01,-1.6609e+03
1.5108e-01,-9.9440e-01,-2.1569e+00,-3.4835e-01,1.2961e+00,2.2076e+00,2.6266e+00,2.4871e+01,-1.5779e+03
4.2315e-01,-9.5048e-01,-1.3733e+00,-7.0127e-01,5.7096e-01,2.5724e+00,1.5590e+00,2.4630e+01,-1.6003e+03
4.6943e-01,-1.9640e+00,-1.9436e+00,-1.8474e-01,4.0029e-01,1.4778e+00,2.8669e+00,2.4978e+01,-1.7255e+03
1.7049e-02,-9.1636e-01,-1.4451e+00,3.8612e-01,1.2252e+00,2.5051e+00,2.7684e+00,2.5400e+01,-1.8461e+03
3.2737e-01,-1.2008e+00,-1.0298e+00,3.8189e-01,-1.0039e+00,2.3851e+00,2.7455e+00,2.5158e+01,-1.8136e+03
4.7241e-01,-1.2200e+00,-1.9880e+00,3.4510e-01,6.8011e-02,2.3334e+00,2.7327e+00,2.5050e+01,-1.7994e+03
3.4695e-01,-1.4580e+00,-1.3895e+00,-3.0792e-01,1.1801e+00,1.6808e+00,2.8689e+00,2.5063e+01,-1.6058e+03
1.9088e-01,-1.0084e+00,-4.9022e-01,-1.5768e+00,1.1757e+00,2.4211e+00,2.6949e+00,2.5152e+01,-1.6352e+03
1.0950e-01,-9.3512e-01,-1.6057e+00,-5.0869e-01,1.0022e+00,2.4084e+00,2.4450e+00,2.4825e+01,-1.8394e+03
1.9854e-01,-1.1400e+00,-2.3425e+00,-9.8638e-01,1.4086e+00,1.8110e+00,2.8191e+00,2.5033e+01,-1.4432e+03
1.3641e-01,-8.4025e-01,-7.6037e-01,-8.6855e-01,1.5759e-01,2.7018e+00,1.1768e+00,2.4939e+01,-1.5281e+03
-1.6894e-01,-7.0302e-01,-7.5769e-01,3.7537e-01,3.5330e-02,2.6936e+00,1.6598e+00,2.5010e+01,-1.7944e+03
4.6999e-01,-1.0222e+00,-6.2825e-01,-1.5712e-01,3.8248e-01,2.6532e+00,2.1782e+00,2.4980e+01,-1.5827e+03
4.0227e-01,-1.0649e+00,-2.1602e+00,-4.5385e-01,1.2073e+00,2.5703e+00,2.4950e+00,2.5122e+01,-1.5791e+03
4.5614e-01,-1.0786e+00,-2.7183e+00,3.0289e-02,-7.7008e-03,2.4079e+00,2.3759e+00,2.4677e+01,-1.8304e+03
4.8206e-01,-1.3825e+00,-1.1720e+00,-1.1598e+00,1.4312e+00,1.9094e+00,2.8289e+00,2.5099e+01,-1.4578e+03
1.8085e-01,-9.1345e-01,-1.1062e+00,-1.0257e+00,2.0159e-01,2.5060e+00,2.2354e+00,2.4726e+01,-1.7194e+03
2.2884e-01,-8.8316e-01,-1.9622e+00,-1.0632e-01,-3.5613e-01,2.6766e+00,1.9559e+00,2.4964e+01,-1.6614e+03
2.9276e-01,-1.5188e+00,-2.0879e+00,-6.3945e-01,2.3854e-01,1.8096e+00,2.8220e+00,2.4963e+01,-1.8468e+03
1.5798e-01,-8.4518e-01,-2.5028e+00,6.2825e-02,7.1017e-01,2.7670e+00,1.0886e+00,2.5125e+01,-1.5754e+03
7.5671e-02,-8.7757e-01,-8.1408e-01,-2.3019e-01,1.9446e+00,1.1114e+00,2.8420e+00,2.5201e+01,-1.7531e+03
-4.2673e-02,-7.7053e-01,-3.4584e-01,-5.4364e-01,-2.6761e-01,2.7357e+00,1.7492e+00,2.5102e+01,-1.5785e+03
4.7237e-01,-1.0679e+00,-2.7142e+00,-1.4452e+00,1.2309e+00,2.4269e+00,2.4747e+00,2.4836e+01,-1.7191e+03
3.7194e-01,-1.3054e+00,-8.0263e-01,-3.5771e-02,1.2782e+00,1.5473e+00,2.8237e+00,2.4924e+01,-1.7332e+03
4.5100e-01,-9.4072e-01,-1.3121e+00,3.2647e-01,5.4311e-01,2.7563e+00,1.2598e+00,2.5056e+01,-1.5186e+03
9.0698e-02,-8.1111e-01,-1.3572e+00,4.8610e-01,1.1124e+00,2.5340e+00,2.3798e+00,2.4939e+01,-1.5888e+03
2.8169e-01,-1.1682e+00,-1.7058e+00,-4.0548e-01,1.7372e+00,4.0971e-01,2.9606e+00,2.5318e+01,-1.8736e+03
4.0125e-01,-1.0623e+00,-2.7470e+00,-1.5196e+00,-4.7032e-01,2.5176e+00,2.2952e+00,2.4795e+01,-1.6740e+03
1.2541e-01,-8.1176e-01,-1.9283e-01,-9.8996e-02,1.2570e+00,2.7025e+00,2.0648e+00,2.5126e+01,-1.7540e+03
2.8330e-01,-9.3542e-01,-6.4044e-01,-5.3215e-01,-4.9120e-01,2.6529e+00,2.1005e+00,2.4959e+01,-1.2327e+03
3.0257e-01,-1.0785e+00,-1.0997e+00,-1.0349e+00,1.6341e+00,1.5895e+00,2.7980e+00,2.4948e+01,-1.7999e+03
4.8421e-01,-9.8563e-01,-2.0707e+00,-4.0194e-01,3.8929e-01,2.5824e+00,1.7935e+00,2.4660e+01,-1.5350e+03
1.2543e-01,-1.2537e+00,-1.4127e+00,-6.8665e-01,1.1439e+00,5.4443e-01,2.8911e+00,2.5058e+01,-1.8456e+03
4.4301e-01,-1.0815e+00,-1.2711e+00,2.6428e-01,6.8894e-02,2.6092e+00,2.4450e+00,2.5087e+01,-1.4716e+03
7.8640e-02,-8.5978e-01,-7.1001e-01,-9.0204e-01,-1.4760e-01,2.5685e+00,2.2628e+00,2.4869e+01,-1.8264e+03
7.6820e-02,-1.1599e+00,-1.5723e+00,-1.8636e-01,1.4881e+00,1.6791e+00,2.9487e+00,2.5382e+01,-1.8600e+03
2.2220e-01,-1.0625e+00,-2.5557e+00,7.3266e-03,3.2247e-01,2.5132e+00,2.6577e+00,2.5175e+01,-1.8263e+03
4.6505e-01,-1.2293e+00,-1.9511e+00,-3.9146e-01,1.3403e+00,2.2636e+00,2.7405e+00,2.5094e+01,-1.3380e+03
4.7571e-02,-8.6251e-01,-4.3048e-01,-8.1431e-01,1.2353e+00,2.5765e+00,2.5313e+00,2.5180e+01,-1.8148e+03
3.0484e-01,-8.4158e-01,-1.6696e+00,1.7060e-01,8.5236e-01,2.6715e+00,1.1502e+00,2.4811e+01,-1.5159e+03
2.1749e-01,-8.9214e-01,-2.1656e+00,-4.8829e-02,-6.9386e-01,2.7595e+00,1.8624e+00,2.5141e+01,-1.8564e+03
1.8916e-01,-8.3566e-01,-1.5862e+00,5.8424e-01,-6.2574e-01,2.6927e+00,1.9050e+00,2.4991e+01,-1.4712e+03
3.8175e-02,-8.1081e-01,-5.1314e-01,-7.6479e-01,5.6439e-01,2.6983e+00,1.7690e+00,2.4997e+01,-1.7361e+03
-1.8340e-01,-6.3960e-01,-2.1298e+00,8.0432e-01,7.7968e-01,2.7250e+00,1.2264e+00,2.5037e+01,-1.8665e+03
4.6463e-01,-1.1625e+00,-2.5026e+00,2.3182e-01,-4.5497e-01,2.3278e+00,2.5683e+00,2.4765e+01,-1.7481e+03
2.3809e-01,-9.6975e-01,-1.7659e+00,7.6060e-02,-5.1590e-01,2.6020e+00,2.2700e+00,2.4984e+01,-1.6445e+03
-1.6789e-01,-6.8992e-01,-1.6978e+00,5.8996e-01,1.7289e+00,2.5278e+00,2.4396e+00,2.5187e+01,-1.5018e+03
1.5460e-01,-8.2003e-01,-1.6369e+00,6.8410e-01,-7.7833e-01,2.7920e+00,1.0963e+00,2.5188e+01,-1.8274e+03
4.9610e-02,-1.0540e+00,-3.4243e-01,-1.3634e+00,1.4272e+00,1.2550e+00,2.8938e+00,2.5134e+01,-1.8433e+03
3.2054e-01,-8.1294e-01,-1.2976e+00,-7.9040e-01,1.7716e+00,2.6181e+00,1.3484e+00,2.4945e+01,-1.6428e+03
4.1317e-01,-1.7382e+00,-1.0444e+00,-1.5921e-01,1.3063e+00,1.3417e-01,2.9484e+00,2.5220e+01,-1.6384e+03
4.5017e-01,-9.5474e-01,-9.8673e-01,-7.1923e-01,-3.7753e-01,2.6465e+00,1.4171e+00,2.4743e+01,-1.4827e+03
2.5737e-01,-8.7902e-01,-1.8035e+00,3.8884e-01,-7.6353e-01,2.8135e+00,9.7005e-01,2.5230e+01,-1.6352e+03
