niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4
1.0000e+00,1.0000e+00,2.4938e-01,-1.2983e+05,-1.2984e+05,-2.4969e-03,-1.2984e+05,1.2922e-01,6.6871e+00,inf,6.5198e-01,-2.6831e-02,-1.4816e+00,1.1163e+00,3.4556e+00,3.9445e+00,5.2893e+00,5.7827e+00
2.0000e+00,1.0000e+00,4.9751e-01,-1.2845e+05,-1.2845e+05,-4.9938e-03,-1.2845e+05,1.2924e-01,6.6896e+00,1.2320e+05,1.2850e+00,-6.6183e-01,-1.3484e+00,-1.2528e-01,3.2593e+00,4.0279e+00,4.6402e+00,5.7024e+00
3.0000e+00,1.0000e+00,7.4442e-01,-1.2767e+05,-1.2768e+05,-7.4906e-03,-1.2768e+05,1.2926e-01,6.6921e+00,1.2181e+05,1.9130e+00,-6.3093e-01,-1.9361e+00,-6.5729e-02,1.2572e-01,3.2840e+00,4.7218e+00,5.5938e+00
4.0000e+00,1.0000e+00,9.9010e-01,-1.2760e+05,-1.2760e+05,-9.9875e-03,-1.2760e+05,1.2929e-01,6.6946e+00,1.2104e+05,2.5334e+00,-2.5311e-01,-1.4600e+00,-4.1343e-01,2.8512e+00,3.8032e+00,2.6584e+00,5.7695e+00
5.0000e+00,1.0000e+00,1.2346e+00,-1.2722e+05,-1.2722e+05,-1.2484e-02,-1.2722e+05,1.2931e-01,6.6971e+00,1.2096e+05,3.1737e+00,-5.1427e-01,-1.8607e+00,-3.2001e-01,3.2631e+00,7.6673e-01,3.4692e+00,5.7935e+00
6.0000e+00,1.0000e+00,1.4778e+00,-1.2703e+05,-1.2703e+05,-1.4981e-02,-1.2703e+05,1.2934e-01,6.6996e+00,1.2058e+05,3.8124e+00,-9.2384e-01,-5.6973e-01,-3.4134e-01,2.5267e-01,4.2093e+00,4.7262e+00,5.7477e+00
7.0000e+00,1.0000e+00,1.7199e+00,-1.2695e+05,-1.2695e+05,-1.7478e-02,-1.2695e+05,1.2936e-01,6.7021e+00,1.2039e+05,4.2847e+00,-7.2510e-02,-1.0289e+00,5.1031e-01,3.8653e+00,2.2395e+00,4.6136e+00,5.7358e+00
8.0000e+00,1.0000e+00,1.9608e+00,-1.2658e+05,-1.2659e+05,-1.9975e-02,-1.2659e+05,1.2939e-01,6.7046e+00,1.2031e+05,4.7578e+00,8.0521e-02,-6.4461e-01,5.3542e-02,9.7232e-01,3.2609e+00,4.9892e+00,5.7920e+00
9.0000e+00,1.0000e+00,2.2005e+00,-1.2632e+05,-1.2633e+05,-2.2472e-02,-1.2633e+05,1.2941e-01,6.7071e+00,1.1995e+05,5.2613e+00,-9.6318e-01,-1.6140e+00,5.8355e-01,-2.0750e-02,2.3483e+00,4.7926e+00,5.5499e+00
1.0000e+01,1.0000e+00,2.4390e+00,-1.2623e+05,-1.2623e+05,-2.4969e-02,-1.2623e+05,1.2943e-01,6.7096e+00,1.1969e+05,5.9003e+00,-1.0303e-01,-1.4857e+00,1.2817e-02,3.6097e-01,1.1306e+00,2.3266e+00,5.6605e+00
1.1000e+01,1.0000e+00,2.6764e+00,-1.2608e+05,-1.2609e+05,-2.7466e-02,-1.2609e+05,1.2946e-01,6.7121e+00,1.1959e+05,6.5438e+00,-5.2262e-01,-8.1771e-01,1.2008e+00,1.6080e+00,1.7738e+00,5.0655e+00,5.5791e+00
1.2000e+01,1.0000e+00,2.9126e+00,-1.2577e+05,-1.2578e+05,-2.9963e-02,-1.2578e+05,1.2948e-01,6.7146e+00,1.1944e+05,7.1894e+00,-1.0873e-01,-1.7345e+00,6.2655e-01,9.0515e-01,9.7222e-01,4.9653e+00,5.4975e+00
1.3000e+01,1.0000e+00,3.1477e+00,-1.2575e+05,-1.2576e+05,-3.2459e-02,-1.2576e+05,1.2951e-01,6.7171e+00,1.1914e+05,7.6793e+00,1.4539e-01,-1.1995e+00,1.8312e+00,2.3362e+00,2.1536e+00,5.1169e+00,5.8331e+00
1.4000e+01,1.0000e+00,3.3816e+00,-1.2506e+05,-1.2507e+05,-3.4956e-02,-1.2507e+05,1.2953e-01,6.7196e+00,1.1912e+05,8.3392e+00,-3.3407e-01,-6.1285e-01,1.6288e+00,2.7175e-01,2.7527e+00,1.8656e+00,5.8571e+00
1.5000e+01,1.0000e+00,3.6145e+00,-1.2502e+05,-1.2502e+05,-3.7453e-02,-1.2502e+05,1.2955e-01,6.7221e+00,1.1843e+05,8.9858e+00,-7.8162e-01,-1.5957e+00,-7.2130e-01,7.2863e-01,4.2522e+00,5.2619e+00,1.8728e+00
1.6000e+01,1.0000e+00,3.8462e+00,-1.2489e+05,-1.2490e+05,-3.9950e-02,-1.2490e+05,1.2958e-01,6.7246e+00,1.1838e+05,9.6362e+00,2.0650e-01,-1.3703e+00,2.9995e-01,1.1342e+00,3.3341e+00,5.3742e+00,4.0648e+00
1.7000e+01,1.0000e+00,4.0767e+00,-1.2486e+05,-1.2487e+05,-4.2447e-02,-1.2487e+05,1.2960e-01,6.7271e+00,1.1826e+05,1.0299e+01,-8.9726e-01,-1.2969e+00,3.6084e-01,2.7646e-01,1.0054e+00,5.0338e+00,5.3449e+00
1.8000e+01,1.0000e+00,4.3062e+00,-1.2469e+05,-1.2470e+05,-4.4944e-02,-1.2470e+05,1.2963e-01,6.7296e+00,1.1823e+05,1.0948e+01,-9.0094e-01,-9.9648e-01,3.2500e-01,2.3125e+00,1.3783e+00,2.4532e+00,5.5885e+00
1.9000e+01,1.0000e+00,4.5346e+00,-1.2453e+05,-1.2453e+05,-4.7441e-02,-1.2453e+05,1.2965e-01,6.7321e+00,1.1806e+05,1.1419e+01,-4.9150e-01,-1.8199e+00,1.0082e+00,2.7425e+00,1.6567e+00,4.8294e+00,5.4804e+00
2.0000e+01,1.0000e+00,4.7619e+00,-1.2409e+05,-1.2409e+05,-4.9938e-02,-1.2409e+05,1.2967e-01,6.7345e+00,1.1789e+05,1.2115e+01,-7.7869e-01,-1.8454e+00,-6.3152e-01,1.1187e+00,2.5826e+00,4.8482e+00,5.3324e+00
2.1000e+01,1.0000e+00,4.9881e+00,-1.2403e+05,-1.2403e+05,-5.2434e-02,-1.2403e+05,1.2970e-01,6.7370e+00,1.1745e+05,1.2794e+01,-8.1482e-01,-1.4803e+00,4.8442e-01,1.9355e-01,3.7330e+00,5.3076e+00,3.2664e+00
2.2000e+01,1.0000e+00,5.2133e+00,-1.2399e+05,-1.2400e+05,-5.4931e-02,-1.2400e+05,1.2972e-01,6.7395e+00,1.1739e+05,1.3493e+01,-4.3715e-01,-1.1642e+00,7.6416e-01,3.7240e+00,3.4503e+00,3.7539e+00,5.5956e+00
2.3000e+01,1.0000e+00,5.4374e+00,-1.2398e+05,-1.2398e+05,-5.7428e-02,-1.2398e+05,1.2975e-01,6.7420e+00,1.1736e+05,1.4003e+01,8.7859e-02,-5.3932e-01,1.0850e+00,1.7248e+00,5.5055e-01,3.8069e+00,5.7164e+00
2.4000e+01,1.0000e+00,5.6604e+00,-1.2391e+05,-1.2392e+05,-5.9925e-02,-1.2392e+05,1.2977e-01,6.7445e+00,1.1734e+05,1.4681e+01,-2.0003e-02,-1.9706e+00,1.4075e-01,1.8673e+00,2.5472e+00,5.2189e+00,4.8999e+00
2.5000e+01,1.0000e+00,5.8824e+00,-1.2355e+05,-1.2356e+05,-6.2422e-02,-1.2356e+05,1.2979e-01,6.7470e+00,1.1728e+05,1.5328e+01,-4.3978e-01,-6.9508e-01,9.4118e-01,1.2602e+00,2.8028e+00,1.5603e+00,5.6339e+00
2.6000e+01,1.0000e+00,6.1033e+00,-1.2345e+05,-1.2346e+05,-6.4919e-02,-1.2346e+05,1.2982e-01,6.7495e+00,1.1692e+05,1.5816e+01,-2.9385e-01,-1.9427e+00,1.3931e-01,1.4327e+00,2.9488e+00,1.4908e+00,5.5354e+00
2.7000e+01,1.0000e+00,6.3232e+00,-1.2337e+05,-1.2338e+05,-6.7416e-02,-1.2338e+05,1.2984e-01,6.7520e+00,1.1682e+05,1.6438e+01,-3.9175e-01,-9.5524e-01,-5.6294e-01,3.8761e+00,1.6357e+00,1.6084e+00,5.5954e+00
2.8000e+01,2.0000e+00,6.5268e+00,-1.2333e+05,-1.2334e+05,-6.9913e-02,-1.2334e+05,1.2987e-01,6.7545e+00,1.1674e+05,1.7560e+01,-9.7407e-01,-1.5597e+00,1.4258e-02,9.2557e-02,3.6783e+00,2.7181e+00,5.4248e+00
2.9000e+01,1.0000e+00,6.7442e+00,-1.2329e+05,-1.2330e+05,-7.2410e-02,-1.2330e+05,1.2989e-01,6.7570e+00,1.1670e+05,1.8023e+01,-4.1992e-01,-8.2218e-01,-6.5154e-01,1.5574e+00,3.4317e+00,1.4327e+00,5.5700e+00
3.0000e+01,1.0000e+00,6.9606e+00,-1.2306e+05,-1.2307e+05,-7.4906e-02,-1.2307e+05,1.2991e-01,6.7595e+00,1.1666e+05,1.8544e+01,1.1065e-01,-1.1536e+00,1.9265e+00,1.7672e+00,1.0848e+00,5.3667e+00,5.4160e+00
3.1000e+01,1.0000e+00,7.1759e+00,-1.2302e+05,-1.2302e+05,-7.7403e-02,-1.2302e+05,1.2994e-01,6.7620e+00,1.1643e+05,1.9047e+01,1.8474e-01,-1.9848e+00,1.1813e+00,1.8698e+00,1.6769e+00,5.3461e+00,4.3187e+00
3.2000e+01,1.0000e+00,7.3903e+00,-1.2272e+05,-1.2273e+05,-7.9900e-02,-1.2273e+05,1.2996e-01,6.7645e+00,1.1638e+05,1.9546e+01,-9.1433e-01,-9.9587e-01,2.0115e+00,2.7781e+00,3.6496e+00,3.6140e+00,5.7206e+00
3.3000e+01,1.0000e+00,7.6037e+00,-1.2262e+05,-1.2262e+05,-8.2397e-02,-1.2262e+05,1.2999e-01,6.7670e+00,1.1609e+05,2.0205e+01,-7.9668e-01,-1.8094e+00,5.9902e-01,2.4154e+00,9.9118e-01,5.2808e+00,2.5798e+00
3.4000e+01,1.0000e+00,7.8161e+00,-1.2244e+05,-1.2245e+05,-8.4894e-02,-1.2245e+05,1.3001e-01,6.7695e+00,1.1598e+05,2.0835e+01,3.8730e-01,-9.4052e-01,-8.2177e-01,3.4802e+00,1.8130e+00,5.3661e+00,3.7055e+00
3.5000e+01,1.0000e+00,8.0275e+00,-1.2241e+05,-1.2241e+05,-8.7391e-02,-1.2241e+05,1.3003e-01,6.7720e+00,1.1581e+05,2.1471e+01,1.3538e-01,-1.4468e+00,7.4331e-02,9.1285e-01,3.9475e+00,2.8513e+00,5.4094e+00
3.6000e+01,1.0000e+00,8.2380e+00,-1.2178e+05,-1.2179e+05,-8.9888e-02,-1.2179e+05,1.3006e-01,6.7745e+00,1.1577e+05,2.1947e+01,-5.9752e-01,-1.2920e+00,-7.4156e-01,-1.8641e-02,2.6954e+00,5.2061e+00,1.9955e+00
3.7000e+01,1.0000e+00,8.4475e+00,-1.2174e+05,-1.2175e+05,-9.2385e-02,-1.2175e+05,1.3008e-01,6.7770e+00,1.1515e+05,2.2422e+01,-7.9770e-01,-1.9028e+00,1.6385e-01,2.7220e+00,2.8171e+00,4.2522e+00,5.3530e+00
3.8000e+01,1.0000e+00,8.6560e+00,-1.2164e+05,-1.2165e+05,-9.4881e-02,-1.2165e+05,1.3011e-01,6.7795e+00,1.1511e+05,2.2920e+01,-5.8935e-01,-1.6821e+00,2.4994e-01,-5.4173e-02,1.5293e+00,5.1834e+00,3.5287e+00
3.9000e+01,1.0000e+00,8.8636e+00,-1.2153e+05,-1.2153e+05,-9.7378e-02,-1.2153e+05,1.3013e-01,6.7820e+00,1.1501e+05,2.3548e+01,-3.6561e-01,-1.5297e+00,1.2163e+00,7.9914e-02,4.3695e+00,5.2653e+00,2.9863e+00
