niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust,logNpix,tau
1.0000e+00,1.0000e+00,1.9960e-01,-1.5734e+05,-1.5735e+05,-1.9980e-03,-1.5735e+05,1.1750e-01,6.9098e+00,inf,7.2013e-01,8.7972e-02,-1.9623e+00,4.9673e+00,4.4679e-01
2.0000e+00,1.0000e+00,3.9841e-01,-1.5723e+05,-1.5724e+05,-3.9960e-03,-1.5724e+05,1.1751e-01,6.9118e+00,1.5371e+05,1.4385e+00,5.2327e-02,-1.7214e+00,4.9429e+00,5.7009e-01
3.0000e+00,1.0000e+00,5.9642e-01,-1.5710e+05,-1.5711e+05,-5.9940e-03,-1.5711e+05,1.1753e-01,6.9138e+00,1.5360e+05,1.9866e+00,3.8404e-01,-1.1494e+00,4.9834e+00,9.7582e-01
4.0000e+00,1.0000e+00,7.9365e-01,-1.5672e+05,-1.5673e+05,-7.9920e-03,-1.5673e+05,1.1755e-01,6.9157e+00,1.5347e+05,2.7047e+00,-2.0285e-01,-9.2302e-01,4.9934e+00,2.8043e+00
5.0000e+00,1.0000e+00,9.9010e-01,-1.5669e+05,-1.5669e+05,-9.9900e-03,-1.5669e+05,1.1757e-01,6.9177e+00,1.5309e+05,3.4546e+00,-2.9966e-01,-1.0144e+00,4.8296e+00,1.8482e+00
6.0000e+00,1.0000e+00,1.1858e+00,-1.5660e+05,-1.5661e+05,-1.1988e-02,-1.5661e+05,1.1758e-01,6.9197e+00,1.5305e+05,4.0107e+00,3.3435e-01,-9.0293e-01,4.8843e+00,6.6187e-01
7.0000e+00,1.0000e+00,1.3807e+00,-1.5659e+05,-1.5660e+05,-1.3986e-02,-1.5660e+05,1.1739e-01,6.8970e+00,1.5297e+05,4.5605e+00,-2.2405e-01,-1.1254e+00,4.7899e+00,3.8075e-01
8.0000e+00,2.0000e+00,1.5717e+00,-1.5640e+05,-1.5641e+05,-1.5984e-02,-1.5641e+05,1.1762e-01,6.9237e+00,1.5296e+05,5.8404e+00,-4.9065e-01,-6.4903e-01,4.9317e+00,2.8288e+00
9.0000e+00,1.0000e+00,1.7647e+00,-1.5635e+05,-1.5636e+05,-1.7982e-02,-1.5636e+05,1.1763e-01,6.9257e+00,1.5277e+05,6.3975e+00,9.1166e-02,-1.5327e+00,4.7553e+00,3.4819e-01
1.0000e+01,1.0000e+00,1.9569e+00,-1.5629e+05,-1.5630e+05,-1.9980e-02,-1.5630e+05,1.1765e-01,6.9277e+00,1.5272e+05,7.1532e+00,2.9108e-01,-8.1907e-01,4.8433e+00,2.0610e+00
1.1000e+01,1.0000e+00,2.1484e+00,-1.5628e+05,-1.5629e+05,-2.1978e-02,-1.5629e+05,1.1754e-01,6.9149e+00,1.5266e+05,7.7093e+00,-3.0657e-01,-8.8993e-01,4.8702e+00,2.6279e+00
1.2000e+01,1.0000e+00,2.3392e+00,-1.5624e+05,-1.5624e+05,-2.3976e-02,-1.5624e+05,1.1768e-01,6.9317e+00,1.5265e+05,8.4276e+00,1.1900e-01,-8.3080e-01,4.7940e+00,1.7739e+00
1.3000e+01,1.0000e+00,2.5292e+00,-1.5619e+05,-1.5620e+05,-2.5974e-02,-1.5620e+05,1.1770e-01,6.9337e+00,1.5260e+05,9.1598e+00,-4.4786e-01,-1.8609e+00,4.6610e+00,9.2394e-01
