logfeh,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
2.3948e-01,-1.8459e+00,1.7070e+00,2.6946e+00,2.1793e+00,2.6298e+00,3.9064e+00,-7.1017e+02
8.3316e-03,-1.4238e+00,1.6981e+00,2.6518e+00,1.6161e+00,1.7255e+00,3.8974e+00,-6.4016e+02
8.6354e-02,-1.5316e+00,1.7157e+00,2.6310e+00,2.0403e+00,2.6957e+00,3.8801e+00,-6.5992e+02
1.1935e-02,-1.9090e+00,1.6735e+00,2.5624e+00,2.2144e+00,3.5295e+00,3.3954e+00,-7.1870e+02
2.4710e-01,-1.8112e+00,1.7038e+00,2.6998e+00,6.6098e-01,1.9864e+00,3.9508e+00,-7.1719e+02
2.4983e-01,-1.2072e+00,1.7320e+00,2.7192e+00,1.0382e+00,2.1061e+00,3.9762e+00,-7.3546e+02
1.7227e-01,-1.9480e+00,1.7281e+00,2.5566e+00,2.2689e+00,3.6048e+00,3.3497e+00,-5.9816e+02
1.7164e-01,-1.8908e+00,1.6714e+00,2.6728e+00,9.5128e-01,2.9423e+00,3.8859e+00,-7.0991e+02
1.7197e-01,-1.7569e+00,1.6934e+00,2.6759e+00,1.2573e+00,2.0546e+00,3.9513e+00,-6.9307e+02
1.6194e-01,-1.8399e+00,1.6646e+00,2.6281e+00,1.5902e+00,3.5252e+00,3.5664e+00,-7.3517e+02
1.8166e-01,-1.8052e+00,1.6733e+00,2.6867e+00,2.4005e+00,2.3477e+00,3.8913e+00,-7.3115e+02
2.1947e-01,-1.7135e+00,1.7006e+00,2.5346e+00,3.0923e+00,2.6452e+00,3.7146e+00,-6.9632e+02
2.0470e-01,-1.0972e+00,1.7233e+00,2.6528e+00,2.9577e+00,2.9963e+00,3.7155e+00,-7.2803e+02
7.8549e-02,-1.8635e+00,1.7275e+00,2.6240e+00,1.0071e+00,1.8407e+00,3.9260e+00,-5.8395e+02
2.3434e-01,-1.6361e+00,1.6901e+00,2.6267e+00,2.1089e+00,3.4848e+00,3.6466e+00,-7.3893e+02
1.4200e-01,-1.2896e+00,1.6925e+00,2.6200e+00,2.8506e+00,3.2311e+00,3.5842e+00,-7.1683e+02
2.4850e-02,-1.5747e+00,1.7322e+00,2.3694e+00,3.0606e+00,3.0977e+00,3.4858e+00,-7.1345e+02
1.7817e-01,-1.2245e+00,1.7082e+00,2.6428e+00,2.3413e+00,3.3723e+00,3.6705e+00,-7.0863e+02
5.1640e-02,-1.3719e+00,1.7188e+00,2.6711e+00,6.3578e-01,2.9241e+00,3.8512e+00,-6.7414e+02
1.1140e-01,-1.5432e+00,1.7197e+00,2.6277e+00,1.4221e+00,3.3899e+00,3.6721e+00,-6.2170e+02
8.5221e-02,-1.2629e+00,1.7299e+00,2.6850e+00,9.9362e-01,3.3390e+00,3.6923e+00,-7.2790e+02
1.6388e-01,-1.3919e+00,1.7154e+00,2.6991e+00,7.0442e-01,2.3086e+00,3.9321e+00,-6.1618e+02
1.6077e-01,-1.5599e+00,1.7130e+00,2.6595e+00,1.4319e+00,2.5684e+00,3.9232e+00,-6.3064e+02
1.7302e-01,-1.1448e+00,1.7182e+00,2.6906e+00,2.2337e+00,2.6627e+00,3.8765e+00,-7.1990e+02
8.7706e-02,-1.4497e+00,1.7107e+00,2.6034e+00,2.5904e+00,3.0810e+00,3.7303e+00,-7.1855e+02
1.5495e-01,-1.9704e+00,1.6993e+00,2.5951e+00,2.8895e+00,1.7195e+00,3.8134e+00,-6.7797e+02
-3.0340e-02,-1.6264e+00,1.6479e+00,2.6733e+00,5.9706e-01,1.9162e+00,3.9017e+00,-7.3438e+02
