niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4
1.0000e+00,1.0000e+00,2.4938e-01,-1.4766e+05,-1.4767e+05,-2.4969e-03,-1.4767e+05,1.2922e-01,6.6871e+00,inf,5.1348e-01,-5.1427e-01,-1.8607e+00,-1.0294e+00,2.5837e+00,1.8089e-01,3.1949e+00,5.8718e+00
2.0000e+00,1.0000e+00,4.9751e-01,-1.4760e+05,-1.4761e+05,-4.9938e-03,-1.4761e+05,1.2924e-01,6.6896e+00,1.4424e+05,1.0303e+00,-2.6831e-02,-1.4816e+00,4.0693e-01,2.7762e+00,3.3586e+00,5.0149e+00,5.8610e+00
3.0000e+00,1.0000e+00,7.4442e-01,-1.4733e+05,-1.4734e+05,-7.4906e-03,-1.4734e+05,1.2926e-01,6.6921e+00,1.4480e+05,1.5398e+00,-6.6183e-01,-1.3484e+00,-8.3467e-01,2.5798e+00,3.4420e+00,4.3658e+00,5.7807e+00
4.0000e+00,1.0000e+00,9.9010e-01,-1.4729e+05,-1.4729e+05,-9.9875e-03,-1.4729e+05,1.2929e-01,6.6946e+00,1.4453e+05,2.0408e+00,1.4539e-01,-1.1995e+00,1.1218e+00,1.6567e+00,1.5677e+00,4.8425e+00,5.9114e+00
5.0000e+00,1.0000e+00,1.2346e+00,-1.4728e+05,-1.4729e+05,-1.2484e-02,-1.4729e+05,1.2585e-01,6.3430e+00,1.4448e+05,2.5548e+00,-2.5311e-01,-1.4600e+00,-1.1228e+00,2.1717e+00,3.2174e+00,2.3841e+00,5.8478e+00
6.0000e+00,1.0000e+00,1.4778e+00,-1.4716e+05,-1.4716e+05,-1.4981e-02,-1.4716e+05,1.2934e-01,6.6996e+00,1.4448e+05,3.0624e+00,-9.2384e-01,-5.6973e-01,-1.0507e+00,-4.2678e-01,3.6234e+00,4.4519e+00,5.8260e+00
7.0000e+00,1.0000e+00,1.7199e+00,-1.4703e+05,-1.4704e+05,-1.7478e-02,-1.4704e+05,1.2936e-01,6.7021e+00,1.4436e+05,3.4155e+00,-3.3407e-01,-6.1285e-01,9.1943e-01,-4.0769e-01,2.1669e+00,1.5912e+00,5.9354e+00
8.0000e+00,1.0000e+00,1.9608e+00,-1.4693e+05,-1.4694e+05,-1.9975e-02,-1.4694e+05,1.2939e-01,6.7046e+00,1.4423e+05,3.7739e+00,8.0521e-02,-6.4461e-01,-6.5585e-01,2.9287e-01,2.6751e+00,4.7149e+00,5.8703e+00
9.0000e+00,1.0000e+00,2.2005e+00,-1.4687e+05,-1.4688e+05,-2.2472e-02,-1.4688e+05,1.2941e-01,6.7071e+00,1.4413e+05,4.1441e+00,-7.2510e-02,-1.0289e+00,-1.9909e-01,3.1859e+00,1.6536e+00,4.3393e+00,5.8141e+00
1.0000e+01,1.0000e+00,2.4390e+00,-1.4684e+05,-1.4684e+05,-2.4969e-02,-1.4684e+05,1.2943e-01,6.7096e+00,1.4407e+05,4.6515e+00,-9.1433e-01,-9.9587e-01,1.3022e+00,2.0987e+00,3.0637e+00,3.3396e+00,5.7989e+00
