logfeh,logdust,logNpix,logage,logl
-2.3953e-02,-1.2700e+00,4.6056e+00,9.9295e+00,-1.0662e+03
3.2812e-01,-1.1950e+00,4.5753e+00,9.7467e+00,-2.8201e+03
3.6364e-01,-1.0850e+00,4.4485e+00,9.5285e+00,-2.2971e+03
1.6828e-03,-1.1921e+00,4.6269e+00,9.9685e+00,-2.8830e+03
2.2348e-01,-1.5667e+00,4.6551e+00,9.9672e+00,-2.8771e+03
1.4389e-02,-1.3979e+00,4.6025e+00,9.9274e+00,-2.7297e+03
-1.6009e-01,-1.4723e+00,4.6533e+00,1.0105e+01,-1.5531e+03
3.8061e-01,-1.6188e+00,4.5936e+00,9.8052e+00,-2.4055e+03
2.2017e-01,-1.0780e+00,4.4891e+00,9.6445e+00,-1.8855e+03
2.4802e-01,-1.0327e+00,4.4993e+00,9.6577e+00,-1.5493e+03
8.7238e-02,-1.3145e+00,4.5522e+00,9.8663e+00,-2.2526e+03
-3.2976e-01,-1.0854e+00,4.6558e+00,1.0110e+01,-2.0814e+03
2.8100e-01,-1.2478e+00,4.5823e+00,9.7873e+00,-2.5466e+03
8.7279e-02,-1.5709e+00,4.6506e+00,1.0013e+01,-1.6322e+03
-2.7681e-01,-1.1293e+00,4.6323e+00,1.0027e+01,-2.3258e+03
3.3186e-01,-1.2313e+00,4.4971e+00,9.6593e+00,-2.4124e+03
1.5130e-01,-1.3504e+00,4.5703e+00,9.8273e+00,-1.8159e+03
1.8606e-01,-1.2357e+00,4.5246e+00,9.7559e+00,-2.2792e+03
-6.2914e-02,-1.0303e+00,4.5474e+00,9.8442e+00,-8.5225e+02
2.3659e-01,-1.7705e+00,4.6137e+00,9.9237e+00,-2.1756e+03
3.4244e-01,-1.3620e+00,4.5200e+00,9.6841e+00,-2.3273e+03
1.9680e-01,-1.3491e+00,4.5836e+00,9.8458e+00,-1.6776e+03
-4.2255e-02,-1.4049e+00,4.5998e+00,9.9588e+00,-2.3369e+03
1.8613e-01,-1.9038e+00,4.6300e+00,9.9521e+00,-1.8577e+03
-2.6812e-01,-1.2600e+00,4.6739e+00,1.0127e+01,-1.3702e+03
4.7398e-01,-1.0956e+00,4.4486e+00,9.5197e+00,-2.8680e+03
-1.5663e-01,-1.3051e+00,4.6956e+00,1.0150e+01,-2.8336e+03
-6.1668e-02,-1.3626e+00,4.7033e+00,1.0076e+01,-2.2910e+03
2.7730e-01,-1.7728e+00,4.7023e+00,9.9755e+00,-2.6270e+03
3.2474e-01,-1.9085e+00,4.6001e+00,9.8335e+00,-2.6903e+03
2.8461e-02,-1.8921e+00,4.6875e+00,1.0089e+01,-1.1302e+03
3.7282e-01,-1.1707e+00,4.4698e+00,9.6058e+00,-2.8454e+03
3.5492e-01,-1.8819e+00,4.6459e+00,9.9142e+00,-2.0746e+03
1.6351e-01,-1.8037e+00,4.6735e+00,9.9864e+00,-1.5411e+03
-3.4676e-02,-1.8128e+00,4.6915e+00,1.0104e+01,-9.4023e+02
3.0231e-01,-1.2097e+00,4.5611e+00,9.7520e+00,-1.9734e+03
-1.5192e-01,-1.1520e+00,4.6465e+00,1.0030e+01,-1.5761e+03
