niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4
1.0000e+00,1.0000e+00,2.4938e-01,-1.4258e+05,-1.4258e+05,-2.4969e-03,-1.4258e+05,1.2922e-01,6.6871e+00,inf,9.4746e-01,-2.6831e-02,-1.4816e+00,1.1163e+00,3.4556e+00,3.9445e+00,5.2893e+00,5.7827e+00
2.0000e+00,1.0000e+00,4.9751e-01,-1.4224e+05,-1.4225e+05,-4.9938e-03,-1.4225e+05,1.2924e-01,6.6896e+00,1.3937e+05,1.8874e+00,-6.6183e-01,-1.3484e+00,-1.2528e-01,3.2593e+00,4.0279e+00,4.6402e+00,5.7024e+00
3.0000e+00,1.0000e+00,7.4442e-01,-1.4214e+05,-1.4215e+05,-7.4906e-03,-1.4215e+05,1.2926e-01,6.6921e+00,1.3904e+05,2.8135e+00,-5.1427e-01,-1.8607e+00,-3.2001e-01,3.2631e+00,7.6673e-01,3.4692e+00,5.7935e+00
4.0000e+00,1.0000e+00,9.9010e-01,-1.4191e+05,-1.4192e+05,-9.9875e-03,-1.4192e+05,1.2929e-01,6.6946e+00,1.3894e+05,3.7388e+00,-2.5311e-01,-1.4600e+00,-4.1343e-01,2.8512e+00,3.8032e+00,2.6584e+00,5.7695e+00
5.0000e+00,1.0000e+00,1.2346e+00,-1.4180e+05,-1.4181e+05,-1.2484e-02,-1.4181e+05,1.2931e-01,6.6971e+00,1.3871e+05,4.6959e+00,-9.2384e-01,-5.6973e-01,-3.4134e-01,2.5267e-01,4.2093e+00,4.7262e+00,5.7477e+00
6.0000e+00,1.0000e+00,1.4778e+00,-1.4173e+05,-1.4174e+05,-1.4981e-02,-1.4174e+05,1.2934e-01,6.6996e+00,1.3860e+05,5.6335e+00,-6.3093e-01,-1.9361e+00,-6.5729e-02,1.2572e-01,3.2840e+00,4.7218e+00,5.5938e+00
7.0000e+00,1.0000e+00,1.7199e+00,-1.4161e+05,-1.4162e+05,-1.7478e-02,-1.4162e+05,1.2936e-01,6.7021e+00,1.3853e+05,6.3807e+00,8.0521e-02,-6.4461e-01,5.3542e-02,9.7232e-01,3.2609e+00,4.9892e+00,5.7920e+00
8.0000e+00,1.0000e+00,1.9608e+00,-1.4151e+05,-1.4152e+05,-1.9975e-02,-1.4152e+05,1.2939e-01,6.7046e+00,1.3841e+05,7.1344e+00,-7.2510e-02,-1.0289e+00,5.1031e-01,3.8653e+00,2.2395e+00,4.6136e+00,5.7358e+00
9.0000e+00,1.0000e+00,2.2005e+00,-1.4122e+05,-1.4123e+05,-2.2472e-02,-1.4123e+05,1.2941e-01,6.7071e+00,1.3831e+05,7.9349e+00,-9.6318e-01,-1.6140e+00,5.8355e-01,-2.0750e-02,2.3483e+00,4.7926e+00,5.5499e+00
1.0000e+01,1.0000e+00,2.4390e+00,-1.4101e+05,-1.4102e+05,-2.4969e-02,-1.4102e+05,1.2943e-01,6.7096e+00,1.3801e+05,8.8582e+00,1.4539e-01,-1.1995e+00,1.8312e+00,2.3362e+00,2.1536e+00,5.1169e+00,5.8331e+00
