logfeh,logdust,logSFH0,logSFH1,logSFH2,dmod,logl
-1.1224e+00,-1.5728e+00,3.0478e-01,1.9215e+00,3.1691e+00,3.1120e+01,-1.3124e+03
-1.1349e+00,-1.5638e+00,1.0928e+00,1.9464e+00,3.1622e+00,3.1125e+01,-1.3125e+03
-1.0299e+00,-1.6572e+00,1.0160e+00,2.8675e+00,2.6605e+00,3.1058e+01,-1.3180e+03
-1.1436e+00,-1.6886e+00,1.6126e+00,1.7953e+00,3.1765e+00,3.1193e+01,-1.3155e+03
-1.0279e+00,-1.5740e+00,5.5542e-01,2.9739e+00,1.6085e+00,3.0959e+01,-1.3182e+03
-1.0284e+00,-1.6822e+00,3.4119e-01,2.8819e+00,2.5981e+00,3.1045e+01,-1.3145e+03
-1.1230e+00,-1.7634e+00,9.0282e-01,2.5746e+00,2.9777e+00,3.1089e+01,-1.3106e+03
-1.0874e+00,-1.7522e+00,2.9207e-01,2.0753e+00,3.1166e+00,3.1057e+01,-1.3140e+03
-1.0705e+00,-1.6628e+00,1.2760e-01,3.0466e+00,1.8905e+00,3.1176e+01,-1.3169e+03
-1.0325e+00,-1.5724e+00,7.4463e-01,3.0466e+00,1.5088e+00,3.1136e+01,-1.3180e+03
-1.0163e+00,-1.5968e+00,1.0398e+00,2.1963e+00,3.1087e+00,3.1056e+01,-1.3189e+03
-1.0407e+00,-1.5503e+00,1.3444e+00,2.4493e+00,2.9961e+00,3.0974e+01,-1.3178e+03
-1.0287e+00,-1.6252e+00,1.1823e+00,3.0291e+00,1.3020e+00,3.1113e+01,-1.3191e+03
-1.0425e+00,-1.9551e+00,1.6352e+00,1.4889e+00,3.1439e+00,3.1073e+01,-1.3125e+03
-1.0398e+00,-1.7692e+00,1.4677e+00,1.9393e+00,3.1165e+00,3.1036e+01,-1.3185e+03
-1.0710e+00,-1.6187e+00,5.2530e-01,2.8230e+00,2.8241e+00,3.1137e+01,-1.3191e+03
-1.0475e+00,-1.5022e+00,1.1526e+00,3.0011e+00,1.7748e+00,3.1045e+01,-1.3152e+03
