logfeh,logdust_med,logNpix,tau,dmod,logl
2.2176e-01,-1.9715e+00,3.7291e+00,9.9941e+00,2.8167e+01,-6.3102e+03
2.2023e-01,-1.9967e+00,3.7250e+00,9.9929e+00,2.8158e+01,-6.3117e+03
2.4198e-01,-1.9866e+00,3.7271e+00,9.9771e+00,2.8165e+01,-6.3112e+03
2.3057e-01,-1.9078e+00,3.7261e+00,9.9900e+00,2.8163e+01,-6.3053e+03
2.1757e-01,-1.9246e+00,3.7274e+00,9.9679e+00,2.8168e+01,-6.2984e+03
2.0218e-01,-1.9693e+00,3.7269e+00,9.9699e+00,2.8169e+01,-6.3071e+03
2.2276e-01,-1.9773e+00,3.7272e+00,9.9637e+00,2.8164e+01,-6.3157e+03
2.0695e-01,-1.9971e+00,3.7282e+00,9.9930e+00,2.8166e+01,-6.3137e+03
2.1509e-01,-1.9712e+00,3.7261e+00,9.9878e+00,2.8165e+01,-6.3062e+03
2.2760e-01,-1.9656e+00,3.7272e+00,9.9563e+00,2.8166e+01,-6.3120e+03
2.3215e-01,-1.9883e+00,3.7288e+00,9.9802e+00,2.8165e+01,-6.3094e+03
2.2140e-01,-1.9654e+00,3.7276e+00,9.9501e+00,2.8169e+01,-6.3150e+03
2.1521e-01,-1.9929e+00,3.7259e+00,9.9827e+00,2.8160e+01,-6.3031e+03
2.2711e-01,-1.9086e+00,3.7252e+00,9.9836e+00,2.8162e+01,-6.3090e+03
2.1857e-01,-1.9991e+00,3.7262e+00,9.9927e+00,2.8167e+01,-6.3005e+03
2.0348e-01,-1.9658e+00,3.7283e+00,9.9978e+00,2.8168e+01,-6.2939e+03
2.4300e-01,-1.9895e+00,3.7270e+00,9.9487e+00,2.8166e+01,-6.3152e+03
2.0908e-01,-1.9697e+00,3.7263e+00,9.9921e+00,2.8164e+01,-6.2920e+03
2.2783e-01,-1.9223e+00,3.7272e+00,9.9756e+00,2.8167e+01,-6.2978e+03
2.1424e-01,-1.9880e+00,3.7259e+00,9.9921e+00,2.8160e+01,-6.3058e+03
2.1690e-01,-1.9405e+00,3.7267e+00,9.9832e+00,2.8165e+01,-6.3091e+03
2.3087e-01,-1.9889e+00,3.7285e+00,9.9945e+00,2.8170e+01,-6.2893e+03
2.1556e-01,-1.9957e+00,3.7262e+00,9.9840e+00,2.8160e+01,-6.2957e+03
2.1490e-01,-1.9286e+00,3.7287e+00,9.9752e+00,2.8164e+01,-6.3135e+03
2.2705e-01,-1.9871e+00,3.7272e+00,9.9758e+00,2.8168e+01,-6.3143e+03
2.2557e-01,-1.9981e+00,3.7265e+00,9.9790e+00,2.8162e+01,-6.3037e+03
2.1359e-01,-1.9985e+00,3.7265e+00,9.9956e+00,2.8164e+01,-6.2967e+03
2.2426e-01,-1.9978e+00,3.7282e+00,9.9932e+00,2.8168e+01,-6.3148e+03
2.1756e-01,-1.9577e+00,3.7275e+00,9.9544e+00,2.8164e+01,-6.3075e+03
2.4833e-01,-1.9773e+00,3.7289e+00,9.9798e+00,2.8170e+01,-6.3113e+03
2.4981e-01,-1.9391e+00,3.7300e+00,9.9962e+00,2.8174e+01,-6.3154e+03
2.3937e-01,-1.9805e+00,3.7260e+00,9.9935e+00,2.8166e+01,-6.3059e+03
2.4304e-01,-1.9372e+00,3.7273e+00,9.9627e+00,2.8169e+01,-6.3034e+03
2.2474e-01,-1.9673e+00,3.7264e+00,9.9944e+00,2.8164e+01,-6.2996e+03
2.2575e-01,-1.9632e+00,3.7282e+00,9.9945e+00,2.8170e+01,-6.2945e+03
2.2964e-01,-1.9292e+00,3.7265e+00,9.9907e+00,2.8163e+01,-6.3044e+03
2.4832e-01,-1.9666e+00,3.7260e+00,9.9919e+00,2.8161e+01,-6.2998e+03
2.3138e-01,-1.8866e+00,3.7273e+00,9.9744e+00,2.8164e+01,-6.3149e+03
2.0352e-01,-1.9389e+00,3.7263e+00,9.9977e+00,2.8163e+01,-6.2999e+03
2.0361e-01,-1.9731e+00,3.7268e+00,9.9840e+00,2.8166e+01,-6.3051e+03
2.0488e-01,-1.9865e+00,3.7284e+00,9.9861e+00,2.8170e+01,-6.3058e+03
2.0918e-01,-1.8856e+00,3.7271e+00,9.9772e+00,2.8163e+01,-6.3090e+03
2.0172e-01,-1.9309e+00,3.7288e+00,9.9672e+00,2.8171e+01,-6.3153e+03
2.0983e-01,-1.9905e+00,3.7262e+00,9.9986e+00,2.8162e+01,-6.2915e+03
2.0023e-01,-1.9760e+00,3.7248e+00,9.9964e+00,2.8160e+01,-6.2993e+03
2.1956e-01,-1.8513e+00,3.7261e+00,9.9929e+00,2.8165e+01,-6.3153e+03
2.4742e-01,-1.9984e+00,3.7271e+00,9.9801e+00,2.8165e+01,-6.3132e+03
2.2961e-01,-1.9717e+00,3.7298e+00,9.9879e+00,2.8169e+01,-6.3061e+03
2.3167e-01,-1.9940e+00,3.7260e+00,9.9963e+00,2.8163e+01,-6.2726e+03
2.1523e-01,-1.9940e+00,3.7262e+00,9.9988e+00,2.8160e+01,-6.2964e+03
2.0279e-01,-1.9747e+00,3.7261e+00,9.9997e+00,2.8158e+01,-6.3063e+03
2.1629e-01,-1.9900e+00,3.7259e+00,9.9824e+00,2.8166e+01,-6.2972e+03
2.0830e-01,-1.9057e+00,3.7261e+00,9.9947e+00,2.8161e+01,-6.3113e+03
2.3669e-01,-1.9868e+00,3.7262e+00,9.9967e+00,2.8168e+01,-6.3059e+03
2.4500e-01,-1.9627e+00,3.7264e+00,9.9961e+00,2.8167e+01,-6.3124e+03
2.0252e-01,-1.8951e+00,3.7263e+00,9.9874e+00,2.8163e+01,-6.3097e+03
