logfeh,logdust,logNpix,tau,logl
-3.0848e-01,-1.0668e+00,3.3132e+00,3.9483e+00,-6.1207e+04
2.7998e-01,-1.5911e+00,2.8294e+00,4.0292e+00,-1.4752e+05
4.5814e-01,-6.8610e-01,3.0735e+00,2.5549e+00,-1.4883e+05
1.8346e-01,-9.3095e-01,3.1108e+00,2.8499e+00,-1.4229e+05
3.1610e-01,-1.1916e+00,3.5399e+00,2.9775e+00,-5.9019e+04
3.9954e-01,-6.6969e-01,2.8582e+00,4.6697e+00,-1.4953e+05
4.3314e-01,-1.0229e+00,3.1916e+00,3.9648e+00,-1.3815e+05
2.0342e-01,-5.5898e-01,4.1448e+00,2.5265e+00,-1.3758e+05
6.6637e-02,-8.5876e-01,3.8774e+00,1.4991e+00,-7.1852e+04
-2.8121e-01,-6.1270e-01,3.3264e+00,4.5556e+00,-9.0725e+04
-4.4019e-01,-1.7236e+00,2.1421e+00,3.4069e+00,-1.5057e+05
3.8079e-01,-9.1550e-01,3.6543e+00,4.5960e+00,-2.3303e+04
-1.7033e-01,-1.2455e+00,2.3357e+00,3.0752e+00,-1.5057e+05
6.5945e-02,-1.9899e+00,3.8523e+00,4.5694e+00,-1.3345e+05
-7.3412e-02,-7.5838e-01,3.9517e+00,1.9253e-01,-1.0490e+05
-2.1475e-01,-1.0626e+00,3.4343e+00,1.0588e+00,-5.8533e+04
-1.1768e-01,-1.9192e+00,3.3549e+00,4.9118e+00,-2.4420e+04
-1.0773e-01,-1.6790e+00,3.2306e+00,4.6846e+00,-8.1517e+04
-2.8367e-02,-1.8393e+00,2.6877e+00,4.5098e+00,-1.4756e+05
-4.4492e-01,-9.0064e-01,2.5063e+00,7.9988e-01,-1.4997e+05
1.2751e-02,-7.5754e-01,3.8518e+00,4.8511e+00,-9.5409e+04
-9.9664e-02,-1.9405e+00,2.3146e+00,3.0632e+00,-1.5055e+05
-4.9230e-01,-5.3944e-01,3.6302e+00,6.0513e-01,-4.1433e+04
2.8224e-02,-5.7286e-01,3.4411e+00,2.5625e+00,-1.1313e+05
-4.1602e-01,-7.4891e-01,4.0197e+00,1.0323e+00,-1.4335e+05
3.0576e-01,-1.7676e+00,3.1400e+00,4.9151e+00,-1.2845e+05
2.9763e-01,-1.6989e+00,2.8631e+00,4.1593e+00,-1.4650e+05
-3.8593e-01,-5.7379e-01,2.9771e+00,1.0487e+00,-1.4584e+05
-3.5719e-01,-6.9041e-01,2.7240e+00,4.6544e+00,-1.4643e+05
-1.7697e-01,-1.8128e+00,2.5082e+00,4.9491e-01,-1.4996e+05
